Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,236.51575,-183.54585,641.3139,305.66483,-114.12337,542.33997,247.4081,-169.94028,482.5993,264.84952,-61.25779,472.06006
2,0.008,236.23524,-183.74831,641.56934,305.41858,-113.97346,542.31561,247.4827,-170.07764,482.81024,263.27234,-61.94407,471.35223
3,0.017,235.98183,-183.52058,641.52026,305.41858,-113.97346,542.31561,247.23962,-170.08684,482.56641,263.42972,-61.77238,471.4614
4,0.025,235.98183,-183.52058,641.52026,305.26163,-113.95397,542.25488,247.39195,-169.97705,482.58539,263.27234,-61.94407,471.35223
5,0.033,235.9478,-183.46494,641.62476,305.17871,-113.92506,542.10175,247.00331,-170.35046,482.52307,263.54672,-61.13962,471.10483
6,0.042,235.9478,-183.46494,641.62476,305.05905,-113.85304,542.14954,247.06659,-170.25241,482.53049,263.54672,-61.13962,471.10483
7,0.05,235.92828,-183.57991,641.53198,305.0108,-113.90408,542.23645,246.92245,-170.01932,482.58182,263.08386,-60.94868,470.89389
8,0.058,235.9478,-183.46494,641.62476,305.05905,-113.85304,542.14954,246.72679,-169.99609,482.60464,262.34909,-61.34073,471.17349
9,0.067,235.9478,-183.46494,641.62476,304.90115,-113.83572,542.30634,246.81728,-170.10556,482.66476,262.34909,-61.34073,471.17349
10,0.075,235.9478,-183.46494,641.62476,304.63803,-113.63423,542.31927,247.00082,-170.13895,482.64932,262.34909,-61.34073,471.17349
11,0.083,235.91698,-183.65884,641.71436,304.74768,-113.70261,542.24939,247.00784,-170.0598,482.71112,262.34909,-61.34073,471.17349
12,0.092,235.84924,-183.29332,641.62006,304.74768,-113.70261,542.24939,246.97188,-169.94832,482.58188,262.34909,-61.34073,471.17349
13,0.1,235.9478,-183.46494,641.62476,304.63803,-113.63423,542.31927,246.61699,-169.8801,482.57434,262.34909,-61.34073,471.17349
14,0.108,235.79573,-183.36613,641.53156,304.56158,-113.58172,542.42114,246.61699,-169.8801,482.57434,262.34909,-61.34073,471.17349
15,0.117,235.808,-183.60651,641.62433,304.56158,-113.58172,542.42114,246.61699,-169.8801,482.57434,262.34909,-61.34073,471.17349
16,0.125,235.9353,-183.74367,641.45813,304.63803,-113.63423,542.31927,246.81728,-170.10556,482.66476,262.34909,-61.34073,471.17349
17,0.133,235.80878,-183.53214,641.45544,304.63803,-113.63423,542.31927,246.78833,-169.91492,482.59732,262.34909,-61.34073,471.17349
18,0.142,235.74539,-183.67503,641.52832,304.63803,-113.63423,542.31927,246.78833,-169.91492,482.59732,262.34909,-61.34073,471.17349
19,0.15,235.69981,-183.47975,641.36542,304.63803,-113.63423,542.31927,246.7012,-170.00406,482.52716,262.34909,-61.34073,471.17349
20,0.158,235.68388,-183.42555,641.20587,304.69165,-113.82222,542.30951,246.52985,-169.96924,482.50415,262.34909,-61.34073,471.17349
21,0.167,235.68388,-183.42555,641.20587,304.90115,-113.83572,542.30634,246.64293,-170.31161,482.60303,262.49927,-61.64486,471.28268
