Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,-314.74356,48.99411,1087.06995,-279.22552,-131.82314,1042.41687,-299.31281,221.6942,1042.61743
2,0.008,-314.59082,48.86691,1087.15955,-279.21487,-131.6754,1042.56531,-299.13849,221.65051,1042.60254
3,0.017,-314.23456,49.04366,1087.03088,-279.22552,-131.82314,1042.41687,-299.13849,221.65051,1042.60254
4,0.025,-314.23456,49.04366,1087.03088,-279.22552,-131.82314,1042.41687,-299.12115,221.34448,1042.78955
5,0.033,-314.23456,49.04366,1087.03088,-279.21487,-131.6754,1042.56531,-299.12115,221.34448,1042.78955
6,0.042,-314.23456,49.04366,1087.03088,-279.22552,-131.82314,1042.41687,-299.12115,221.34448,1042.78955
7,0.05,-314.23456,49.04366,1087.03088,-279.21487,-131.6754,1042.56531,-298.93329,221.1394,1042.875
8,0.058,-314.23456,49.04366,1087.03088,-279.21487,-131.6754,1042.56531,-298.93329,221.1394,1042.875
9,0.067,-314.23456,49.04366,1087.03088,-278.9527,-131.5014,1042.57788,-298.93329,221.1394,1042.875
10,0.075,-314.01678,48.72091,1087.02185,-278.9527,-131.5014,1042.57788,-298.91324,221.03117,1042.61633
11,0.083,-314.23456,49.04366,1087.03088,-278.6907,-131.32718,1042.59045,-298.76089,221.1526,1042.41724
12,0.092,-314.23456,49.04366,1087.03088,-278.6907,-131.32718,1042.59045,-298.76089,221.1526,1042.41724
13,0.1,-313.9357,48.93102,1087.22021,-278.6907,-131.32718,1042.59045,-296.97195,224.16013,1042.74695
14,0.108,-313.88065,49.0079,1087.0448,-278.6907,-131.32718,1042.59045,-296.97195,224.16013,1042.74695
15,0.117,-313.66281,48.68507,1087.03577,-278.6907,-131.32718,1042.59045,-296.69214,224.13399,1042.64514
16,0.125,-313.66281,48.68507,1087.03577,-278.6907,-131.32718,1042.59045,-296.69214,224.13399,1042.64514
17,0.133,-313.66281,48.68507,1087.03577,-278.6907,-131.32718,1042.59045,-296.69214,224.13399,1042.64514
18,0.142,-313.66281,48.68507,1087.03577,-278.6907,-131.32718,1042.59045,-296.59851,224.21512,1042.54724
19,0.15,-313.66281,48.68507,1087.03577,-278.6907,-131.32718,1042.59045,-296.76422,224.07819,1042.55139
20,0.158,-313.88065,49.0079,1087.0448,-278.6907,-131.32718,1042.59045,-296.59851,224.21512,1042.54724
21,0.167,-313.66281,48.68507,1087.03577,-278.6907,-131.32718,1042.59045,-296.67056,224.15933,1042.45349
22,0.175,-313.88065,49.0079,1087.0448,-278.6907,-131.32718,1042.59045,-296.67056,224.15933,1042.45349
23,0.183,-313.88065,49.0079,1087.0448,-278.6907,-131.32718,1042.59045,-296.69568,224.24596,1042.3689
24,0.192,-313.9617,48.7977,1086.84644,-278.6907,-131.32718,1042.59045,-296.74332,224.22337,1042.32117
25,0.2,-313.88065,49.0079,1087.0448,-278.6907,-131.32718,1042.59045,-296.74332,224.22337,1042.32117
26,0.208,-313.9617,48.7977,1086.84644,-278.6907,-131.32718,1042.59045,-296.74332,224.22337,1042.32117
27,0.217,-313.9617,48.7977,1086.84644,-278.6907,-131.32718,1042.59045,-296.67056,224.15933,1042.45349
28,0.225,-313.88065,49.0079,1087.0448,-278.9527,-131.5014,1042.57788,-296.74332,224.22337,1042.32117
29,0.233,-313.88065,49.0079,1087.0448,-278.96338,-131.64914,1042.42944,-296.69568,224.24596,1042.3689
30,0.242,-313.9617,48.7977,1086.84644,-279.21487,-131.6754,1042.56531,-296.62793,224.57458,1042.67163
