Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
1,0,-220.03094,-54.6945,1026.70569,-234.17375,146.92517,1017.03571,-368.32697,-37.04646,1002.56128,-382.86438,131.71484,998.00299,-390.96039,-51.64649,928.37469
2,0.008,-220.16859,-54.92702,1026.73657,-234.01341,145.85767,1016.74469,-368.32697,-37.04646,1002.56128,-383.06015,131.32857,998.21863,-389.79153,-52.88409,928.36688
3,0.017,-220.16859,-54.92702,1026.73657,-233.80872,145.8335,1016.76123,-368.32697,-37.04646,1002.56128,-383.06015,131.32857,998.21863,-389.79153,-52.88409,928.36688
4,0.025,-220.16859,-54.92702,1026.73657,-233.66484,146.76254,1017.00006,-368.32697,-37.04646,1002.56128,-383.06015,131.32857,998.21863,-389.79153,-52.88409,928.36688
5,0.033,-220.03094,-54.6945,1026.70569,-233.80872,145.8335,1016.76123,-368.32697,-37.04646,1002.56128,-383.06015,131.32857,998.21863,-390.14203,-52.38736,928.46484
6,0.042,-220.03094,-54.6945,1026.70569,-233.90472,145.26862,1016.57312,-368.23264,-37.05318,1002.74609,-382.87653,131.6064,997.89294,-389.79153,-52.88409,928.36688
7,0.05,-219.67987,-54.87244,1026.61816,-233.78162,145.28917,1016.71826,-368.224,-37.38985,1002.67719,-382.4693,130.83487,998.29144,-389.79153,-52.88409,928.36688
8,0.058,-220.03094,-54.6945,1026.70569,-233.53337,146.79369,1017.18054,-368.224,-37.38985,1002.67719,-382.44025,130.97806,998.42352,-389.79153,-52.88409,928.36688
9,0.067,-219.67987,-54.87244,1026.61816,-233.20277,146.77371,1017.2616,-368.1283,-37.45271,1002.85052,-382.44025,130.97806,998.42352,-389.79153,-52.88409,928.36688
10,0.075,-219.67987,-54.87244,1026.61816,-232.85072,146.65805,1017.20667,-368.1283,-37.45271,1002.85052,-380.87244,129.94147,997.58063,-389.60135,-52.68159,928.896
11,0.083,-219.67987,-54.87244,1026.61816,-233.09111,145.24382,1016.73615,-368.1283,-37.45271,1002.85052,-381.07697,130.27557,998.09094,-389.61865,-52.72598,928.82556
12,0.092,-219.97545,-55.15058,1027.76086,-232.85072,146.65805,1017.20667,-368.1283,-37.45271,1002.85052,-380.80096,130.06471,997.82477,-389.60135,-52.68159,928.896
13,0.1,-219.67987,-54.87244,1026.61816,-232.85072,146.65805,1017.20667,-368.1283,-37.45271,1002.85052,-380.14243,129.5668,998.16992,-389.38654,-52.44633,928.65424
14,0.108,-219.67987,-54.87244,1026.61816,-232.85072,146.65805,1017.20667,-368.1283,-37.45271,1002.85052,-380.01593,130.09108,998.5694,-389.60135,-52.68159,928.896
15,0.117,-219.67987,-54.87244,1026.61816,-232.85072,146.65805,1017.20667,-368.1283,-37.45271,1002.85052,-380.95059,130.80017,998.49048,-389.77933,-52.38522,928.70575
16,0.125,-219.67987,-54.87244,1026.61816,-232.85072,146.65805,1017.20667,-368.00699,-37.4957,1002.96289,-380.95059,130.80017,998.49048,-389.60135,-52.68159,928.896
17,0.133,-219.67987,-54.87244,1026.61816,-232.85072,146.65805,1017.20667,-368.1283,-37.45271,1002.85052,-380.95059,130.80017,998.49048,-389.76859,-51.96919,928.69086
18,0.142,-219.67987,-54.87244,1026.61816,-233.20526,144.64508,1016.47412,-368.1283,-37.45271,1002.85052,-380.95059,130.80017,998.49048,-389.56454,-52.15,928.46399
19,0.15,-219.67987,-54.87244,1026.61816,-232.85072,146.65805,1017.20667,-368.23264,-37.05318,1002.74609,-382.29639,131.57921,997.65833,-389.56454,-52.15,928.46399
20,0.158,-219.67987,-54.87244,1026.61816,-232.85072,146.65805,1017.20667,-368.1283,-37.45271,1002.85052,-382.29639,131.57921,997.65833,-390.70789,-50.98404,928.42603
21,0.167,-219.67987,-54.87244,1026.61816,-232.85072,146.65805,1017.20667,-368.1283,-37.45271,1002.85052,-382.29639,131.57921,997.65833,-390.63928,-51.12302,928.36133
22,0.175,-220.03094,-54.6945,1026.70569,-232.85072,146.65805,1017.20667,-368.23264,-37.05318,1002.74609,-382.29639,131.57921,997.65833,-389.56454,-52.15,928.46399
23,0.183,-220.16859,-54.92702,1026.73657,-233.17133,144.99284,1016.46899,-368.23264,-37.05318,1002.74609,-382.44592,131.078,997.38947,-389.88928,-51.72519,928.51611
24,0.192,-220.16859,-54.92702,1026.73657,-233.547,144.99094,1016.40454,-368.23264,-37.05318,1002.74609,-382.44592,131.078,997.38947,-390.70789,-50.98404,928.42603
25,0.2,-220.03094,-54.6945,1026.70569,-233.58098,144.64316,1016.40967,-368.25308,-37.16047,1002.32983,-382.9299,131.30865,996.9577,-390.70789,-50.98404,928.42603
26,0.208,-220.16859,-54.92702,1026.73657,-233.547,144.99094,1016.40454,-368.34735,-37.15379,1002.14508,-382.65213,131.92992,997.18079,-390.63928,-51.12302,928.36133
27,0.217,-220.16859,-54.92702,1026.73657,-233.13646,144.83617,1016.71509,-368.34735,-37.15379,1002.14508,-382.06119,131.43599,997.2533,-389.56454,-52.15,928.46399
28,0.225,-220.16859,-54.92702,1026.73657,-232.85072,146.65805,1017.20667,-368.23264,-37.05318,1002.74609,-382.06119,131.43599,997.2533,-389.56454,-52.15,928.46399
29,0.233,-220.63322,-55.27527,1027.9209,-233.13646,144.83617,1016.71509,-368.1283,-37.45271,1002.85052,-382.04218,131.45164,997.14661,-389.57672,-52.6489,928.12506
30,0.242,-219.95677,-55.05411,1027.01685,-233.13646,144.83617,1016.71509,-368.1283,-37.45271,1002.85052,-382.29639,131.57921,997.65833,-389.56454,-52.15,928.46399
31,0.25,-219.95677,-55.05411,1027.01685,-233.13646,144.83617,1016.71509,-368.14874,-37.56001,1002.43427,-382.33908,130.81493,997.03021,-389.57672,-52.6489,928.12506
