Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,-255.24527,307.90054,872.52118,-262.01779,347.56458,718.19684,-307.54559,273.85175,689.23547
2,0.008,-254.7756,307.71368,872.57111,-262.004,347.49344,717.8476,-307.54559,273.85175,689.23547
3,0.017,-254.7756,307.71368,872.57111,-262.14636,347.47879,718.13672,-307.66431,274.10779,689.56244
4,0.025,-254.5981,307.65497,872.57452,-262.004,347.49344,717.8476,-308.20776,274.37567,689.49353
5,0.033,-254.5981,307.65497,872.57452,-262.08057,347.32544,717.92902,-308.20776,274.37567,689.49353
6,0.042,-254.5981,307.65497,872.57452,-262.08057,347.32544,717.92902,-307.66431,274.10779,689.56244
7,0.05,-254.5981,307.65497,872.57452,-262.08057,347.32544,717.92902,-308.20776,274.37567,689.49353
8,0.058,-254.5981,307.65497,872.57452,-262.08057,347.32544,717.92902,-308.20776,274.37567,689.49353
9,0.067,-254.5981,307.65497,872.57452,-262.08057,347.32544,717.92902,-309.16162,275.07605,689.77185
10,0.075,-254.57899,307.63663,872.3869,-261.77545,347.21368,717.81573,-307.88229,274.19727,689.05487
11,0.083,-254.57899,307.63663,872.3869,-261.77545,347.21368,717.81573,-308.27914,274.07446,689.55359
12,0.092,-254.5981,307.65497,872.57452,-261.77545,347.21368,717.81573,-308.27914,274.07446,689.55359
13,0.1,-254.57899,307.63663,872.3869,-261.28363,347.00888,717.87305,-308.27914,274.07446,689.55359
14,0.108,-254.45117,307.65063,872.32184,-261.39978,347.1037,717.8197,-308.27914,274.07446,689.55359
15,0.117,-254.57899,307.63663,872.3869,-261.28363,347.00888,717.87305,-307.81995,273.26102,689.68121
16,0.125,-254.57899,307.63663,872.3869,-261.39978,347.1037,717.8197,-308.27914,274.07446,689.55359
17,0.133,-254.57899,307.63663,872.3869,-261.6593,347.11893,717.86914,-308.72556,273.70749,689.56659
18,0.142,-254.85953,307.6571,872.2583,-261.77545,347.21368,717.81573,-308.72556,273.70749,689.56659
19,0.15,-255.22246,307.67822,872.03326,-261.77545,347.21368,717.81573,-308.72556,273.70749,689.56659
20,0.158,-255.89583,306.96042,871.95764,-261.77545,347.21368,717.81573,-308.29166,273.14749,689.02344
21,0.167,-255.4229,307.75421,872.22021,-262.08057,347.32544,717.92902,-308.29166,273.14749,689.02344
22,0.175,-255.89583,306.96042,871.95764,-262.08057,347.32544,717.92902,-307.54309,272.6633,688.9187
23,0.183,-256.03607,307.03317,872.09625,-262.08057,347.32544,717.92902,-307.54309,272.6633,688.9187
24,0.192,-256.03607,307.03317,872.09625,-262.08057,347.32544,717.92902,-307.54309,272.6633,688.9187
25,0.2,-256.03607,307.03317,872.09625,-262.08057,347.32544,717.92902,-307.25443,273.37195,689.34125
26,0.208,-255.24527,307.90054,872.52118,-262.08057,347.32544,717.92902,-307.25443,273.37195,689.34125
27,0.217,-254.89536,307.78851,872.52661,-262.08057,347.32544,717.92902,-307.54559,273.85175,689.23547
28,0.225,-254.71402,307.7308,872.52728,-262.004,347.49344,717.8476,-307.54559,273.85175,689.23547
29,0.233,-254.42874,307.83972,872.59802,-262.004,347.49344,717.8476,-307.54559,273.85175,689.23547
30,0.242,-254.47029,307.66898,872.50946,-262.004,347.49344,717.8476,-307.54559,273.85175,689.23547
31,0.25,-254.39449,308.0864,872.39313,-262.004,347.49344,717.8476,-307.54559,273.85175,689.23547
32,0.258,-254.39449,308.0864,872.39313,-262.004,347.49344,717.8476,-307.54559,273.85175,689.23547
33,0.267,-254.39449,308.0864,872.39313,-261.64731,347.4082,717.95221,-307.54559,273.85175,689.23547
34,0.275,-254.47029,307.66898,872.50946,-261.30777,347.31348,717.97992,-307.66431,274.10779,689.56244
35,0.283,-254.47029,307.66898,872.50946,-261.30777,347.31348,717.97992,-307.01004,273.60083,689.32617
36,0.292,-254.39449,308.0864,872.39313,-261.30777,347.31348,717.97992,-307.52582,273.80908,689.18103
