Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,56.73795,49.8129,1507.89221,94.12773,-157.08961,1434.42432,105.96017,233.0235,1456.66553
2,0.008,56.73795,49.8129,1507.89221,94.12773,-157.08961,1434.42432,105.88651,233.07089,1456.62036
3,0.017,56.73795,49.8129,1507.89221,94.12773,-157.08961,1434.42432,105.88651,233.07089,1456.62036
4,0.025,56.73795,49.8129,1507.89221,93.85574,-156.86562,1434.48657,105.88651,233.07089,1456.62036
5,0.033,56.10031,50.49494,1507.82544,93.61314,-156.86104,1434.70886,106.1365,233.25981,1456.61182
6,0.042,56.73795,49.8129,1507.89221,93.85574,-156.86562,1434.48657,105.99667,233.0563,1456.59314
7,0.05,56.10031,50.49494,1507.82544,93.61314,-156.86104,1434.70886,106.02635,233.27441,1456.63916
8,0.058,56.10031,50.49494,1507.82544,93.61157,-156.60931,1434.71057,106.46039,233.17447,1456.60803
9,0.067,56.10031,50.49494,1507.82544,93.61157,-156.60931,1434.71057,106.71098,233.65327,1456.4718
10,0.075,56.10031,50.49494,1507.82544,93.61157,-156.60931,1434.71057,106.8475,233.62906,1456.58887
11,0.083,56.10031,50.49494,1507.82544,93.72874,-156.62663,1434.81677,106.91386,233.3952,1456.38672
12,0.092,56.10031,50.49494,1507.82544,93.72874,-156.62663,1434.81677,106.91824,233.58777,1456.40051
13,0.1,56.10031,50.49494,1507.82544,93.72874,-156.62663,1434.81677,106.91824,233.58777,1456.40051
14,0.108,56.10031,50.49494,1507.82544,93.72874,-156.62663,1434.81677,107.08762,233.77411,1456.36328
15,0.117,56.73795,49.8129,1507.89221,93.72874,-156.62663,1434.81677,107.08762,233.77411,1456.36328
16,0.125,56.10031,50.49494,1507.82544,93.72181,-156.50063,1434.8103,107.00765,233.62721,1456.30823
17,0.133,56.10031,50.49494,1507.82544,93.72874,-156.62663,1434.81677,107.12766,233.74013,1456.23572
18,0.142,56.10031,50.49494,1507.82544,93.91563,-156.99028,1434.95581,107.21566,233.88017,1456.26526
19,0.15,56.10031,50.49494,1507.82544,93.91563,-156.99028,1434.95581,107.1591,234.05132,1456.20313
20,0.158,56.53337,50.33929,1507.70264,93.90372,-156.90424,1435.07874,107.07111,233.91125,1456.17358
21,0.167,56.10031,50.49494,1507.82544,93.90878,-156.89758,1434.9552,107.1591,234.05132,1456.20313
22,0.175,56.10031,50.49494,1507.82544,93.90372,-156.90424,1435.07874,107.08762,233.77411,1456.36328
23,0.183,56.10031,50.49494,1507.82544,93.72874,-156.62663,1434.81677,107.21566,233.88017,1456.26526
24,0.192,56.10031,50.49494,1507.82544,93.91563,-156.99028,1434.95581,107.29124,233.83452,1456.30652
25,0.2,56.10031,50.49494,1507.82544,93.89368,-156.80412,1435.08459,107.21566,233.88017,1456.26526
26,0.208,56.10031,50.49494,1507.82544,93.91563,-156.99028,1434.95581,107.615,233.7493,1456.30273
27,0.217,56.73795,49.8129,1507.89221,93.91563,-156.99028,1434.95581,107.84715,233.74467,1456.40283
28,0.225,56.73795,49.8129,1507.89221,93.7766,-157.33708,1435.06714,107.84715,233.74467,1456.40283
29,0.233,56.10031,50.49494,1507.82544,93.7766,-157.33708,1435.06714,107.84715,233.74467,1456.40283
30,0.242,56.73795,49.8129,1507.89221,93.7766,-157.33708,1435.06714,107.84715,233.74467,1456.40283
31,0.25,56.53337,50.33929,1507.70264,93.7766,-157.33708,1435.06714,107.84715,233.74467,1456.40283
32,0.258,56.73795,49.8129,1507.89221,93.9172,-157.24202,1434.9541,107.75922,233.60464,1456.37329
33,0.267,56.73795,49.8129,1507.89221,93.76614,-157.42268,1435.22021,108.07334,233.8712,1456.42578
34,0.275,56.73795,49.8129,1507.89221,93.7766,-157.33708,1435.06714,107.75922,233.60464,1456.37329
35,0.283,56.73795,49.8129,1507.89221,93.7766,-157.33708,1435.06714,108.07334,233.8712,1456.42578
36,0.292,56.73795,49.8129,1507.89221,93.7766,-157.33708,1435.06714,107.75922,233.60464,1456.37329
37,0.3,56.73795,49.8129,1507.89221,93.932,-157.39456,1435.15344,107.75922,233.60464,1456.37329
38,0.308,56.73795,49.8129,1507.89221,93.92347,-157.33817,1435.16357,107.75922,233.60464,1456.37329
39,0.317,56.73795,49.8129,1507.89221,94.55791,-157.56818,1434.71094,107.75922,233.60464,1456.37329
40,0.325,56.73795,49.8129,1507.89221,94.75957,-157.62357,1434.78894,107.61685,233.07449,1456.4259
41,0.333,56.73795,49.8129,1507.89221,94.75828,-157.65791,1434.80798,107.5403,232.91895,1456.5498
42,0.342,56.73795,49.8129,1507.89221,94.75828,-157.65791,1434.80798,107.35719,232.75818,1456.47961
43,0.35,56.73795,49.8129,1507.89221,94.75828,-157.65791,1434.80798,107.40059,232.7155,1456.53113
44,0.358,57.36848,49.18936,1508.11768,94.75828,-157.65791,1434.80798,107.26257,232.70636,1456.45544
45,0.367,56.73795,49.8129,1507.89221,94.75828,-157.65791,1434.80798,107.18797,232.47433,1456.53967
46,0.375,56.73795,49.8129,1507.89221,95.10479,-157.63692,1434.75806,107.28954,232.36252,1456.47083
47,0.383,57.36848,49.18936,1508.11768,95.48383,-157.65163,1434.5592,107.18797,232.47433,1456.53967
48,0.392,57.36848,49.18936,1508.11768,95.48383,-157.65163,1434.5592,107.18797,232.47433,1456.53967
49,0.4,57.36848,49.18936,1508.11768,95.48383,-157.65163,1434.5592,107.05012,232.10518,1456.80933
50,0.408,57.36848,49.18936,1508.11768,95.48383,-157.65163,1434.5592,107.05012,232.10518,1456.80933
51,0.417,57.36848,49.18936,1508.11768,95.48383,-157.65163,1434.5592,107.15165,231.99339,1456.74036
52,0.425,57.36848,49.18936,1508.11768,95.97469,-157.69431,1434.36768,107.15165,231.99339,1456.74036
53,0.433,56.96463,49.05011,1507.9281,96.02267,-158.00276,1434.37537,107.28384,231.83659,1456.70288
54,0.442,56.96463,49.05011,1507.9281,96.18168,-158.24231,1434.48755,107.26852,231.91277,1456.79126
55,0.45,56.96463,49.05011,1507.9281,96.18168,-158.24231,1434.48755,107.28384,231.83659,1456.70288
56,0.458,56.96463,49.05011,1507.9281,96.18168,-158.24231,1434.48755,107.40395,231.58015,1456.70813
57,0.467,57.36848,49.18936,1508.11768,96.18168,-158.24231,1434.48755,107.40395,231.58015,1456.70813
58,0.475,57.56074,48.46023,1508.03064,96.18168,-158.24231,1434.48755,107.40395,231.58015,1456.70813
59,0.483,57.56074,48.46023,1508.03064,96.28017,-158.47778,1434.68994,107.40395,231.58015,1456.70813
60,0.492,57.56074,48.46023,1508.03064,96.28017,-158.47778,1434.68994,107.40395,231.58015,1456.70813
61,0.5,57.56074,48.46023,1508.03064,96.34826,-158.29691,1434.71924,107.40395,231.58015,1456.70813
62,0.508,57.56074,48.46023,1508.03064,96.28017,-158.47778,1434.68994,107.40395,231.58015,1456.70813
63,0.517,57.56074,48.46023,1508.03064,96.44676,-158.53239,1434.92151,107.40395,231.58015,1456.70813
64,0.525,57.56074,48.46023,1508.03064,96.28017,-158.47778,1434.68994,107.40395,231.58015,1456.70813
65,0.533,57.56074,48.46023,1508.03064,96.57053,-158.68181,1435.16003,107.40395,231.58015,1456.70813
66,0.542,57.56074,48.46023,1508.03064,96.43266,-158.62926,1434.60229,107.42467,231.38982,1456.61523
67,0.55,57.87076,48.19226,1508.26221,96.59926,-158.68387,1434.83398,107.42467,231.38982,1456.61523
68,0.558,57.87076,48.19226,1508.26221,96.59926,-158.68387,1434.83398,107.40395,231.58015,1456.70813
69,0.567,58.48043,47.54456,1508.23645,96.59926,-158.68387,1434.83398,107.59003,231.41505,1456.36108
70,0.575,58.48043,47.54456,1508.23645,96.59926,-158.68387,1434.83398,107.59003,231.41505,1456.36108
71,0.583,58.48043,47.54456,1508.23645,96.72303,-158.83327,1435.07251,107.59003,231.41505,1456.36108
72,0.592,58.48043,47.54456,1508.23645,96.72303,-158.83327,1435.07251,107.59003,231.41505,1456.36108
73,0.6,58.48043,47.54456,1508.23645,96.72303,-158.83327,1435.07251,107.93097,231.16113,1456.25378
