Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
1,0,1944.7146,13.84491,1268.57117,1991.24402,50.43065,1116.94885,2024.15588,-19.14657,1104.07373
2,0.008,1937.54871,13.49005,1267.98242,1984.70483,50.00575,1116.09753,2018.09167,-19.44457,1103.81592
3,0.017,1933.17554,13.41761,1266.35132,1977.64136,49.27571,1115.4729,2012.19275,-18.98916,1102.63867
4,0.025,1926.3573,12.90108,1265.60046,1972.68591,49.064,1115.59045,2005.69885,-19.65579,1101.61694
5,0.033,1919.23938,13.10529,1265.02783,1966.06494,48.95354,1113.62305,2000.18738,-20.07081,1100.9696
6,0.042,1913.07141,12.49308,1263.39111,1960.59143,49.83204,1113.42932,1993.77185,-20.15137,1099.83655
7,0.05,1907.06018,12.86162,1262.20984,1954.34912,49.22812,1111.63159,1988.06787,-19.62549,1099.36804
8,0.058,1900.74524,12.48894,1261.6217,1948.38806,49.64454,1111.01184,1981.9812,-19.74669,1097.83093
9,0.067,1895.62134,13.52203,1260.65039,1941.2804,49.44283,1110.20874,1975.14539,-19.45068,1097.26331
10,0.075,1888.6543,13.63252,1259.56628,1936.89258,51.14453,1109.52869,1968.81311,-19.02201,1096.29639
11,0.083,1882.80725,13.9924,1258.71704,1929.6936,49.80455,1108.55371,1962.44238,-19.19286,1095.26428
12,0.092,1876.42664,15.61592,1257.68115,1922.8927,50.1037,1106.21143,1956.70837,-19.08035,1094.12024
13,0.1,1869.46265,15.54766,1256.46362,1917.78064,51.24862,1105.51868,1949.94153,-19.02046,1092.37231
14,0.108,1862.84949,15.68865,1255.172,1911.44006,50.40715,1103.94849,1944.00525,-18.73087,1091.98291
15,0.117,1856.77954,17.40783,1253.6875,1905.86462,51.76721,1102.95801,1937.4469,-17.83984,1090.82715
16,0.125,1850.14722,17.25666,1253.03845,1898.33606,50.81765,1101.58826,1930.99182,-17.53093,1089.66199
17,0.133,1843.6748,17.55434,1251.64136,1891.10535,52.78636,1100.51257,1924.29773,-17.07414,1088.58984
18,0.142,1837.51868,18.89087,1249.66199,1885.46289,53.66987,1099.43103,1919.99976,-15.60787,1087.3999
19,0.15,1831.25854,20.96025,1248.85425,1879.06812,53.93673,1097.80322,1913.35889,-15.3434,1086.8175
20,0.158,1825.45508,21.86683,1247.77295,1873.41199,54.98895,1096.81104,1906.5127,-14.79684,1084.79675
21,0.167,1818.32764,23.22332,1246.61987,1867.16406,55.96132,1094.76868,1899.05249,-13.74986,1083.8313
22,0.175,1811.70361,24.00178,1245.10583,1859.82068,56.39992,1093.17822,1892.16223,-13.30283,1082.26379
23,0.183,1805.86609,25.47453,1244.58313,1854.1991,57.84483,1092.18726,1885.23169,-12.30235,1080.97632
24,0.192,1798.49622,27.0326,1243.21692,1847.91711,58.98677,1092.24329,1878.79382,-11.49004,1079.37036
25,0.2,1792.44958,28.13235,1241.58887,1840.67358,60.1027,1089.9707,1871.75354,-10.61163,1077.95874
26,0.208,1785.6051,30.0077,1239.91272,1833.12817,61.04097,1088.59399,1864.45801,-8.86738,1076.93005
27,0.217,1777.43945,31.04825,1239.9834,1826.61084,62.80788,1087.6272,1857.71887,-7.91717,1075.81433
28,0.225,1770.32532,32.7257,1238.38208,1818.55383,62.63429,1086.28333,1850.06433,-6.00277,1074.61743
29,0.233,1763.9967,34.89311,1238.44202,1811.1106,64.3356,1086.11218,1842.3042,-5.25471,1074.271
30,0.242,1755.40161,36.07718,1238.41235,1803.11731,64.86746,1085.1687,1834.76709,-4.19381,1074.24988
31,0.25,1748.11194,36.66142,1238.74023,1795.93835,66.14427,1086.22717,1827.08716,-2.90145,1074.65247
32,0.258,1740.9906,39.14225,1239.12036,1787.86084,68.3201,1087.01465,1818.68701,-2.20452,1074.74805
33,0.267,1731.87561,39.44785,1239.12451,1779.34363,70.56329,1087.38098,1811.17859,-1.30354,1075.94128
34,0.275,1724.90771,43.0244,1240.36841,1772.62476,70.70317,1088.76038,1803.23596,0.49748,1077.60156
35,0.283,1716.69763,44.53981,1241.5321,1764.84485,73.15958,1090.74829,1795.33325,1.57513,1079.29614
36,0.292,1708.17029,45.78186,1243.28711,1756.38965,73.33781,1091.71191,1786.5686,2.87073,1080.92358
37,0.3,1700.04919,47.92398,1244.1333,1748.97778,75.94588,1094.14197,1779.27881,4.2918,1083.20801
38,0.308,1691.04956,51.38197,1247.60461,1741.15271,78.45116,1095.35071,1771.60278,6.8706,1085.52698
39,0.317,1683.60071,53.12575,1248.75671,1733.70032,80.95193,1098.44946,1764.23816,8.60808,1088.18262
40,0.325,1675.5896,54.82012,1249.8573,1725.65894,82.30079,1099.12817,1755.96252,11.54766,1090.07056
41,0.333,1667.52332,57.35764,1251.6781,1717.53967,85.0061,1101.24194,1749.21765,14.92694,1091.61426
42,0.342,1660.64954,60.50235,1252.63416,1710.87573,88.37252,1102.12585,1742.14734,17.55949,1093.74902
43,0.35,1651.97937,61.38252,1253.77661,1703.11951,90.86671,1103.67346,1735.68164,20.99043,1094.8728
44,0.358,1643.76636,64.13374,1254.94189,1694.78503,93.32024,1105.3269,1728.63306,24.30083,1096.12292
45,0.367,1637.03711,66.96985,1256.81213,1687.16772,95.36446,1105.5155,1720.89734,27.63643,1097.30664
46,0.375,1629.28052,66.64333,1256.15466,1679.68591,97.98897,1106.99683,1714.61194,30.83343,1097.73035
47,0.383,1621.07141,70.59386,1257.4259,1671.94934,100.92281,1108.16321,1707.14551,33.82348,1097.97107
48,0.392,1611.81018,72.49516,1258.32178,1662.10022,101.93616,1108.44385,1700.08569,36.32355,1098.93811
49,0.4,1603.19263,72.08497,1258.15698,1652.91382,104.58613,1106.63269,1692.65454,38.07493,1098.89307
50,0.408,1596.47229,74.24051,1258.08179,1645.67053,105.81202,1106.96497,1684.8606,40.59085,1098.4436
51,0.417,1589.72266,76.1299,1258.12598,1638.25586,105.9993,1107.57507,1676.74268,41.75423,1099.0144
52,0.425,1582.64197,75.50321,1258.36487,1631.12842,109.01221,1108.24023,1669.28503,42.81835,1099.40222
53,0.433,1575.59009,77.65281,1259.77588,1623.4447,110.60254,1108.79077,1661.33008,43.68389,1099.63513
54,0.442,1568.98425,79.66574,1259.97607,1617.19702,111.11442,1109.28198,1653.27319,43.97959,1098.96118
55,0.45,1561.42419,79.64857,1260.04822,1610.20142,112.43209,1109.46777,1645.23633,44.16214,1099.05042
56,0.458,1555.18298,81.51141,1259.9231,1602.08923,111.50083,1110.18884,1638.55957,45.07327,1099.74878
57,0.467,1547.24902,81.05715,1259.77051,1595.70923,112.93853,1110.27808,1630.98157,45.79232,1098.8562
58,0.475,1540.79468,82.11827,1260.46338,1586.5979,113.10249,1109.48914,1623.22046,46.25765,1099.18213
59,0.483,1532.16882,81.88726,1259.96814,1579.28625,115.41745,1110.22546,1615.75427,47.28399,1099.76953
60,0.492,1525.04883,83.27696,1261.2865,1572.76843,116.47964,1110.48279,1608.20581,48.15416,1099.52344
61,0.5,1518.31995,83.50264,1261.45544,1565.58948,116.53385,1110.80432,1601.19702,48.97414,1100.14893
62,0.508,1512.02539,84.07999,1261.73132,1558.33777,118.16859,1111.84229,1593.50635,49.22617,1100.09106
63,0.517,1506.19116,86.26938,1261.6853,1551.97461,118.47824,1111.59863,1587.07605,49.10959,1099.4126
64,0.525,1498.72778,85.52939,1262.47461,1545.18494,118.76669,1111.56433,1579.94507,50.45436,1099.75916
