Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,-1428.7782,402.51962,310.46585,-1544.29248,393.76956,77.04521,-1489.66418,311.14578,92.63956
2,0.008,-1427.94006,401.76526,309.84409,-1544.29248,393.76956,77.04521,-1487.4552,310.90256,93.85355
3,0.017,-1426.62622,400.8045,308.90714,-1544.29248,393.76956,77.04521,-1482.06055,312.02771,93.56044
4,0.025,-1424.44434,400.54153,308.56839,-1544.29248,393.76956,77.04521,-1488.5282,308.68988,93.22381
5,0.033,-1422.33374,400.20929,308.10126,-1544.09338,393.5509,77.19635,-1489.47998,310.90585,91.93467
6,0.042,-1420.28027,399.96777,307.43405,-1543.22473,389.76956,76.26728,-1489.68518,309.90625,92.94454
7,0.05,-1419.2168,400.21255,307.22916,-1543.30627,389.79617,76.82575,-1488.5282,308.68988,93.22381
8,0.058,-1417.63965,400.98209,306.43356,-1543.35535,389.81235,77.16079,-1488.29663,308.79388,93.24422
9,0.067,-1415.99817,401.10416,306.64017,-1543.35535,389.81235,77.16079,-1489.19153,310.93088,91.96409
10,0.075,-1414.48499,401.37808,305.98657,-1543.12866,389.98669,77.44856,-1487.17175,311.23328,91.82121
11,0.083,-1413.05994,401.31174,305.05478,-1543.91052,393.58353,78.02316,-1487.30042,308.74298,91.98052
12,0.092,-1409.92188,400.73328,305.26825,-1543.32227,393.53799,78.34866,-1489.15271,309.8616,92.93552
13,0.1,-1408.9458,400.73373,304.01608,-1542.19104,389.73093,77.97266,-1489.01855,309.2442,93.41563
14,0.108,-1407.81909,400.71317,303.40283,-1544.10522,392.3519,80.69166,-1489.01855,309.2442,93.41563
15,0.117,-1406.9187,400.25482,302.12735,-1544.0979,391.96158,81.56284,-1488.72705,309.20023,93.45014
16,0.125,-1403.25208,398.76312,302.85965,-1543.86414,390.66412,81.58224,-1484.78748,308.95166,94.04456
17,0.133,-1402.09375,399.11066,301.69623,-1543.44666,390.86972,82.12675,-1486.67139,309.00363,93.7099
18,0.142,-1400.80908,397.58514,302.08957,-1543.41492,390.03757,82.58723,-1485.57935,308.17599,93.93752
19,0.15,-1397.16406,398.05389,301.03757,-1543.22473,390.69916,83.82393,-1484.30579,305.75699,95.10181
20,0.158,-1394.07422,398.52219,300.94955,-1541.39001,389.59863,85.3657,-1484.80188,306.51855,95.04019
21,0.167,-1392.76294,399.7905,301.47101,-1540.86475,390.00766,86.17068,-1483.97095,308.17017,94.72139
22,0.175,-1390.17175,400.02841,301.24454,-1540.35974,389.54633,87.144,-1484.90955,307.65933,96.19814
23,0.183,-1387.47058,399.77792,301.48511,-1540.28931,390.19458,88.27299,-1484.26514,306.92877,97.02755
24,0.192,-1382.24756,397.9801,300.65799,-1539.44482,390.31366,90.64869,-1483.76941,306.75604,97.78053
25,0.2,-1379.51416,397.79742,300.53339,-1539.08899,390.10983,92.89554,-1483.24878,307.43204,98.93322
26,0.208,-1375.16394,398.62369,300.54865,-1536.75574,391.73264,95.02245,-1482.10156,308.63187,98.70321
27,0.217,-1372.25037,399.20102,300.59952,-1536.51099,393.19473,97.30431,-1478.55994,308.80646,100.90078
28,0.225,-1366.25586,398.53168,301.151,-1533.87561,393.12573,100.34581,-1478.98096,309.73877,104.82161
29,0.233,-1360.89551,398.13425,302.5654,-1531.36731,392.25128,104.63052,-1477.4386,309.14377,106.15834
30,0.242,-1355.12195,399.40701,302.9072,-1529.19543,392.09061,107.48934,-1474.31714,309.68088,109.47192
31,0.25,-1349.37683,398.40253,305.01239,-1527.77771,392.93158,113.09856,-1469.94983,309.85202,113.11382
32,0.258,-1342.8009,399.57562,305.83716,-1523.44702,391.64371,117.0737,-1464.89551,308.68726,117.3698
33,0.267,-1335.52075,399.65341,306.77454,-1521.34363,392.61868,123.3308,-1462.73486,310.81418,119.81295
34,0.275,-1327.02893,400.65793,308.76953,-1515.44397,391.44989,128.17781,-1455.83569,308.40262,124.31792
35,0.283,-1318.99292,400.99237,310.19626,-1511.77991,391.76239,135.12102,-1449.56482,308.22742,128.05492
36,0.292,-1309.29504,402.51813,312.29947,-1504.59717,386.93405,141.18518,-1443.44604,309.62128,132.40562
37,0.3,-1300.23279,403.40125,314.68954,-1499.06396,386.66092,148.77766,-1436.05872,308.62082,138.13188
38,0.308,-1288.97021,404.00024,316.72202,-1491.52881,386.00287,155.03015,-1426.42749,307.14407,141.74323
39,0.317,-1277.23279,405.50485,318.49466,-1483.44202,382.78983,163.45178,-1417.13086,308.69492,146.72972
40,0.325,-1266.25598,406.72675,320.74982,-1474.94641,379.58337,169.6035,-1408.0033,304.45126,151.36607
41,0.333,-1255.26135,405.57306,322.40479,-1467.01794,377.29681,176.45282,-1397.4541,303.65335,156.04208
42,0.342,-1242.54993,405.23587,324.12311,-1456.45935,371.09845,183.8261,-1387.12817,302.26324,160.38222
43,0.35,-1229.87244,405.75577,326.39081,-1446.47119,369.20862,192.40979,-1373.6604,299.43396,164.86513
44,0.358,-1217.20203,405.80563,330.00198,-1435.11499,362.99686,198.56731,-1364.80066,298.31708,168.94585
45,0.367,-1204.9502,403.23676,331.41382,-1423.53723,358.11243,203.13982,-1351.34949,296.18155,173.42426
46,0.375,-1191.62524,403.0213,333.61429,-1411.55005,353.99435,208.68889,-1338.82605,293.40332,176.86595
47,0.383,-1177.87903,403.63156,336.21558,-1398.36047,350.66296,212.66415,-1326.28271,294.09784,180.35629
48,0.392,-1164.18799,402.52322,337.11841,-1384.37622,348.59167,215.90239,-1311.41138,289.92288,181.61299
49,0.4,-1150.69885,401.20782,339.2616,-1370.50098,346.89136,217.29054,-1297.6355,287.3689,183.8819
50,0.408,-1135.74695,399.55289,341.15298,-1355.31409,345.577,218.38628,-1281.55676,286.74298,185.36285
51,0.417,-1121.12012,397.84177,342.33902,-1340.42114,344.59259,218.26122,-1265.44202,283.59396,185.89752
52,0.425,-1106.91235,395.7963,343.08386,-1324.75549,344.16907,216.08803,-1250.66077,280.83981,186.34769
53,0.433,-1091.56079,393.88919,343.44769,-1308.05127,343.40714,213.78795,-1235.64868,278.25467,186.65097
54,0.442,-1075.4635,390.68747,343.685,-1291.27527,342.64514,211.18245,-1220.31079,275.69281,187.12524
55,0.45,-1060.09912,387.41373,344.25693,-1273.5553,341.05508,207.29472,-1200.73718,274.86011,185.11278
56,0.458,-1044.98608,384.25555,344.86395,-1256.3562,340.71933,202.37094,-1185.89429,273.59473,184.18279
57,0.467,-1028.70557,381.00369,344.44733,-1237.92249,339.87695,198.48927,-1167.76917,270.16284,182.47581
58,0.475,-1012.83917,379.46237,345.30212,-1219.75854,340.73645,192.62202,-1148.03052,271.3186,178.51195
59,0.483,-997.63513,376.71307,344.67703,-1199.41882,339.01474,186.95128,-1128.85425,269.02942,175.57162
60,0.492,-982.47186,375.51816,344.61035,-1179.25244,338.25925,179.07848,-1111.01624,267.12741,171.92215
61,0.5,-968.21637,373.87534,344.22418,-1160.13159,338.76505,174.07835,-1089.65369,266.60248,166.12099
62,0.508,-951.71301,371.80035,343.57526,-1138.4928,339.20474,167.52634,-1067.04395,265.10345,160.86662
63,0.517,-937.28143,371.14233,342.81793,-1118.91382,338.70297,159.30597,-1047.57312,265.4332,156.65187
64,0.525,-922.4917,370.20499,341.71289,-1097.20032,339.44635,151.81966,-1025.86914,264.30991,150.09174
65,0.533,-907.57825,368.41092,341.44162,-1076.06665,338.3649,144.6873,-1005.56482,264.78842,146.43518
66,0.542,-892.97491,368.11816,339.59201,-1054.58728,338.67029,137.80771,-983.32037,265.46912,141.03224
67,0.55,-878.78113,367.43747,339.06918,-1031.23694,339.48541,131.92677,-962.08398,263.82919,136.65027
68,0.558,-863.45526,364.72275,338.71719,-1008.55756,340.74423,124.01525,-939.4707,265.41324,131.67723
69,0.567,-850.41486,365.25848,337.98337,-987.57739,341.89984,117.0143,-916.96118,266.48157,126.59269
70,0.575,-836.61823,364.16635,336.66681,-964.4696,339.71613,111.30613,-895.10303,266.5321,122.40241
