Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,-1299.5625,112.35268,676.91803,-1212.64709,157.92278,564.97235,-1277.95923,112.52964,492.12625,-1250.18604,228.85706,487.66623
2,0.008,-1291.00146,114.18226,677.04407,-1205.26636,158.13687,567.44299,-1268.95483,113.77431,493.60703,-1241.36255,230.8515,488.78098
3,0.017,-1285.88953,114.0335,676.44684,-1198.25903,160.57497,567.98254,-1261.50598,114.4658,493.58463,-1234.02966,231.39438,489.31116
4,0.025,-1278.07947,115.47654,677.59509,-1193.13354,161.19633,568.77332,-1254.25586,115.3313,493.28546,-1226.43555,233.08011,489.49747
5,0.033,-1270.69788,114.32118,677.08051,-1186.65674,162.80212,568.78644,-1246.6908,116.99699,492.93634,-1220.44409,233.48573,490.27921
6,0.042,-1263.94141,115.79758,676.64423,-1180.5332,164.89296,569.55316,-1240.37341,117.78812,493.01239,-1214.21167,235.68031,490.19736
7,0.05,-1258.7356,115.64087,676.89471,-1175.40674,165.82951,568.4964,-1233.4408,118.31572,492.86649,-1207.2832,237.84125,489.19736
8,0.058,-1252.75244,118.88409,675.79028,-1169.698,167.73666,568.39044,-1227.48938,121.00241,490.82635,-1201.20251,237.24821,488.53464
9,0.067,-1245.91199,116.81534,675.57953,-1165.33997,170.33876,566.91681,-1221.87109,122.43938,490.17593,-1197.45947,240.32576,487.10141
10,0.075,-1240.9314,116.20315,674.67627,-1159.80359,171.9702,566.2276,-1215.91394,123.44993,489.46741,-1191.62048,242.21738,486.77274
11,0.083,-1234.60486,118.42884,671.48566,-1156.33813,173.09886,564.47485,-1209.95862,123.97276,487.03082,-1186.95789,244.0004,485.4964
12,0.092,-1231.2738,117.70141,670.3623,-1152.41138,174.51471,563.46368,-1204.57959,124.32407,485.81848,-1181.85986,243.89499,483.12192
13,0.1,-1224.31213,118.92729,667.46527,-1147.172,176.25319,562.14264,-1199.47583,125.48427,482.67926,-1176.53613,244.867,481.88165
14,0.108,-1221.76636,118.58509,665.13397,-1144.39795,176.65176,560.38501,-1194.91443,126.56638,482.28046,-1172.01709,245.93146,479.50674
15,0.117,-1216.05908,118.90819,663.10071,-1139.94202,177.91069,558.13025,-1189.95569,127.29157,480.50452,-1166.29883,246.12744,477.86823
16,0.125,-1210.90894,119.58863,661.29779,-1136.11414,178.52434,555.91125,-1184.8678,128.09155,478.47415,-1161.31824,247.4099,476.68735
17,0.133,-1205.84656,119.58257,657.78345,-1130.79236,178.64542,554.922,-1179.70459,127.95734,477.36447,-1155.82471,247.86165,475.18979
18,0.142,-1202.37463,117.92158,656.17621,-1127.96191,178.52623,554.88574,-1174.36401,129.18369,474.4119,-1148.92273,247.93265,472.88916
19,0.15,-1198.9093,119.46727,653.14404,-1122.6189,179.06731,554.45636,-1168.68176,129.21791,473.03604,-1144.05933,248.08563,471.37207
20,0.158,-1193.35217,118.24524,650.06427,-1116.17908,178.71005,554.8219,-1162.08423,130.06998,471.5799,-1138.27307,249.51872,468.95419
21,0.167,-1187.14734,117.01158,648.97131,-1112.39673,179.03781,554.34399,-1156.38916,131.13458,470.83374,-1132.19397,249.31435,468.01706
22,0.175,-1182.59473,117.81807,647.21576,-1106.25647,179.48035,554.55096,-1150.64771,131.16524,469.89072,-1125.81335,251.43927,467.27335
23,0.183,-1176.03687,116.85551,645.55249,-1099.67212,178.95193,553.91174,-1144.41541,132.27689,468.12247,-1121.82007,251.0372,465.11783
24,0.192,-1168.58545,117.302,644.68799,-1091.95093,179.57516,554.31854,-1135.94226,133.54204,466.63443,-1114.90845,252.19675,464.12576
25,0.2,-1163.43311,116.18011,644.56177,-1083.2948,180.3609,553.85504,-1128.63245,132.50764,466.66226,-1109.69897,252.21414,463.14835
26,0.208,-1154.2948,116.70082,644.15808,-1074.14832,181.73119,553.20441,-1121.36279,131.78676,467.38992,-1103.31287,250.17702,463.07617
27,0.217,-1146.66309,116.49825,643.95001,-1065.57568,180.96396,553.67932,-1112.15222,130.54065,467.94553,-1096.48352,249.62627,463.74774
28,0.225,-1138.62549,115.60565,647.21814,-1057.38037,181.84729,553.03766,-1105.10559,130.24603,467.95926,-1090.22253,248.35483,464.16058
29,0.233,-1128.76758,114.09717,648.76917,-1051.45203,180.961,552.88269,-1096.70532,129.90714,468.98999,-1083.05347,247.96935,465.55307
30,0.242,-1121.38696,113.22884,650.17365,-1045.78406,180.26688,552.71765,-1090.64734,128.52786,469.978,-1076.5343,245.91023,465.60144
31,0.25,-1114.82251,112.62603,650.97174,-1040.55066,179.55553,553.53815,-1086.79968,127.40106,469.92413,-1071.06409,244.25089,464.93457
32,0.258,-1110.05713,112.66221,650.95844,-1035.85974,177.23161,552.99609,-1081.49365,127.37293,470.28226,-1066.04993,242.46513,464.72488
33,0.267,-1105.72693,110.89162,650.17285,-1030.42297,174.47409,552.96771,-1077.8927,126.35938,469.11032,-1062.93542,241.6109,464.58136
34,0.275,-1102.38904,109.93781,649.74243,-1026.32483,172.31448,551.6651,-1075.18579,125.59787,468.39462,-1057.76343,241.14664,464.70737
35,0.283,-1098.3479,110.08603,648.76166,-1024.67969,171.55922,550.90265,-1071.95374,124.92503,468.13803,-1056.37732,240.68066,464.1571
36,0.292,-1094.63806,107.46209,648.1496,-1020.716,170.96873,550.12732,-1069.36206,125.46466,467.35635,-1053.14954,240.073,463.61331
37,0.3,-1091.6449,107.21737,647.49213,-1017.80743,171.87595,549.38995,-1067.68494,125.379,467.83755,-1052.02954,240.04005,463.89114
38,0.308,-1087.16357,107.19123,647.84595,-1014.57861,172.37198,549.57239,-1065.21851,125.38092,467.91354,-1050.68713,240.4503,463.67892
39,0.317,-1082.94751,105.22195,647.79358,-1011.86786,172.3754,549.21039,-1063.18616,125.01404,467.71506,-1052.08252,239.645,463.6022
40,0.325,-1080.05908,105.68519,648.34485,-1010.84015,173.16664,548.85535,-1062.92236,124.76328,467.57578,-1051.84912,239.48042,463.38327
41,0.333,-1076.14661,106.10625,648.38477,-1008.03149,172.50922,547.72742,-1061.63208,123.853,467.24048,-1050.91125,238.93956,463.72586
42,0.342,-1071.88794,106.0696,648.16943,-1005.86713,171.69664,547.89764,-1059.55176,123.22336,467.88748,-1047.32483,239.09386,463.80212
43,0.35,-1067.28027,105.14607,648.95215,-1004.32111,171.244,546.67017,-1057.47192,122.13482,467.74454,-1044.90332,239.62103,463.85687
44,0.358,-1063.79272,103.42011,649.38983,-1001.47522,170.73839,546.13367,-1056.27515,120.65733,467.13937,-1043.19067,241.01213,463.26907
45,0.367,-1060.76111,102.19131,650.09967,-999.80042,169.61934,544.70721,-1054.58459,120.13958,467.2702,-1042.17065,239.5686,462.85538
46,0.375,-1055.27148,101.44089,649.38788,-996.62494,168.25461,543.82886,-1052.41675,119.58694,467.05759,-1038.45776,239.3571,462.61563
47,0.383,-1052.83325,101.40482,649.33215,-993.42944,167.59512,543.37994,-1051.68506,118.55239,467.17297,-1037.60352,238.58113,463.10022
48,0.392,-1048.70166,100.22598,649.45459,-993.237,167.56902,543.09808,-1050.5564,118.24574,467.30643,-1036.43066,237.91321,463.03775
49,0.4,-1044.81873,98.89355,648.68848,-990.33582,166.59006,543.1792,-1049.14893,118.64437,466.88641,-1034.00952,236.60822,463.06693
50,0.408,-1042.34326,98.25872,648.82941,-988.34369,165.65292,542.49261,-1045.99414,117.76077,466.73184,-1033.21289,236.55397,463.03677
51,0.417,-1040.21362,98.70546,649.45654,-985.18872,166.47466,541.67999,-1044.53772,117.70023,466.75192,-1033.37549,236.47627,462.27094
52,0.425,-1035.09558,97.54408,649.5365,-982.24396,165.74741,541.16284,-1041.55518,117.66866,466.42856,-1031.5791,236.65736,462.095
53,0.433,-1031.54968,96.41962,647.96527,-980.44824,167.13255,540.64612,-1039.34216,117.60537,465.96988,-1032.54663,237.34352,462.50748
54,0.442,-1027.29749,97.14082,648.40338,-978.21423,166.6154,539.6377,-1037.64209,117.59088,465.81992,-1030.10925,235.61847,462.91629
55,0.45,-1025.40137,96.36961,647.97034,-975.59247,165.039,539.56061,-1035.42725,117.61976,465.15158,-1024.25671,236.4543,461.68951
56,0.458,-1021.33099,96.90691,646.66302,-973.5202,165.32938,538.99719,-1034.35022,117.10933,465.45432,-1022.38763,236.58852,461.93515
57,0.467,-1015.83215,96.91061,646.73474,-970.03632,165.98532,537.80316,-1031.31372,117.81895,465.10892,-1021.39502,236.78679,461.67728
58,0.475,-1011.81311,96.82554,646.4635,-968.22894,164.75571,536.92554,-1028.63464,116.46931,465.04984,-1019.37622,236.92087,461.22653
59,0.483,-1009.85382,95.7058,646.35016,-965.10126,164.95,536.43634,-1026.72424,115.92847,464.48242,-1017.33307,235.75014,460.42896
