Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,1957.96667,-235.90428,131.20999,1788.11169,-326.33936,60.4889,1812.13672,-277.061,105.61008
2,0.008,1935.23999,-237.92041,123.11529,1762.57788,-327.70413,59.2123,1789.73792,-279.68085,102.93222
3,0.017,1913.22656,-240.74869,114.31855,1736.88623,-328.29108,56.29341,1768.03125,-281.22287,100.40113
4,0.025,1891.17175,-244.10443,105.85552,1711.17322,-329.72372,55.76077,1743.54541,-281.98093,97.70326
5,0.033,1868.2041,-244.08943,96.92527,1686.10901,-330.71417,55.44486,1720.7771,-284.49216,96.0799
6,0.042,1843.82251,-247.48508,89.40834,1661.88428,-333.28119,54.01868,1695.67688,-285.0975,93.33037
7,0.05,1823.0249,-248.31021,81.28976,1635.05713,-334.41437,54.42827,1671.72192,-285.57166,92.62086
8,0.058,1796.91663,-250.06952,76.163,1610.729,-336.20016,55.56379,1648.92029,-288.25031,90.45728
9,0.067,1772.62329,-251.24522,70.47145,1586.22778,-337.79642,56.25595,1625.57532,-289.17435,90.44576
10,0.075,1748.64026,-253.01251,64.33142,1560.94849,-337.89929,57.11628,1602.19836,-290.6116,91.12079
11,0.083,1725.13696,-255.65875,59.38869,1537.03625,-339.85858,59.8777,1579.47278,-291.04172,92.30287
12,0.092,1702.073,-256.13116,55.73901,1513.72949,-341.11575,62.49409,1557.45007,-291.97537,92.95892
13,0.1,1679.24573,-258.49045,53.39188,1490.89099,-341.68256,65.16837,1535.83716,-295.08728,93.58722
14,0.108,1658.71558,-259.20279,52.55127,1469.49268,-342.14795,68.64449,1514.80762,-295.79294,95.84234
15,0.117,1637.3739,-260.92343,49.58383,1449.40076,-343.4104,71.88065,1496.83716,-296.60602,98.46842
16,0.125,1619.16528,-260.66104,50.11119,1429.93726,-344.12949,75.37081,1478.81372,-298.32846,99.65608
17,0.133,1601.16016,-262.14825,49.79984,1413.20825,-344.77463,77.68902,1462.23865,-298.28326,102.03661
18,0.142,1585.51025,-262.28329,50.31051,1398.08923,-346.53018,80.17126,1447.68335,-299.18997,104.09258
19,0.15,1572.14148,-261.17807,49.67101,1384.0321,-347.63885,82.90453,1434.2572,-298.89951,105.77182
20,0.158,1559.30566,-258.9295,48.77208,1371.54529,-347.52844,84.12225,1423.16711,-299.17807,106.09657
21,0.167,1549.90662,-258.96524,48.04065,1362.22449,-347.41772,84.85105,1413.31226,-298.51865,105.02797
22,0.175,1542.31152,-258.14636,47.57415,1353.79919,-347.45566,84.72686,1404.45349,-298.849,104.581
23,0.183,1535.10681,-256.0112,47.06617,1347.33826,-346.67447,82.37598,1398.40051,-296.4458,104.19586
24,0.192,1530.9187,-254.98308,45.59582,1341.65955,-345.20932,79.59395,1392.99902,-296.10703,100.16039
25,0.2,1527.42908,-254.68169,43.48301,1338.43359,-342.2594,75.897,1388.00305,-294.08344,99.3496
26,0.208,1525.96399,-254.71048,42.38732,1335.54578,-340.04358,72.69913,1385.84692,-292.116,94.97511
27,0.217,1525.14685,-254.4005,41.79954,1334.12305,-337.73792,66.40494,1384.09619,-289.08386,91.69247
28,0.225,1523.4458,-254.07188,42.11777,1330.80786,-335.00406,61.90828,1380.50964,-287.02829,87.12144
29,0.233,1522.01611,-254.03674,44.048,1329.2312,-332.09103,54.77433,1377.24817,-286.06204,83.5278
30,0.242,1519.32166,-254.41223,44.95784,1325.82373,-328.3782,49.73184,1373.34167,-283.44595,81.40797
31,0.25,1518.6073,-255.67139,45.76945,1321.7522,-323.81833,47.92083,1372.10254,-281.73441,80.63145
32,0.258,1517.95239,-256.3103,46.8828,1319.87354,-323.74597,48.48072,1370.55225,-280.97537,79.21857
33,0.267,1517.28308,-256.06839,47.29929,1317.55652,-325.42938,48.34475,1369.34949,-280.60403,79.20334
34,0.275,1516.11536,-254.86496,47.45583,1316.57239,-328.43753,47.18909,1369.57861,-281.03952,78.29351
35,0.283,1515.60168,-255.31799,47.9446,1316.36548,-330.76663,44.6395,1368.76099,-281.77734,77.76123
36,0.292,1515.31555,-256.80002,48.38061,1316.17078,-330.42606,43.99711,1368.6792,-281.84924,77.60911
37,0.3,1515.31555,-256.80002,48.38061,1315.55688,-330.13626,44.30746,1367.89221,-282.267,78.01141
38,0.308,1515.56152,-257.05661,48.77147,1316.74561,-330.13211,43.90387,1368.52515,-283.12292,77.81903
39,0.317,1515.58948,-257.31305,48.89939,1316.94556,-331.73566,42.85743,1368.34509,-283.63745,77.81666
40,0.325,1515.56677,-257.33798,48.88252,1317.57361,-334.08875,40.99849,1368.52332,-283.99945,77.59126
41,0.333,1515.58948,-257.31305,48.89939,1317.21704,-334.85486,41.03809,1368.56274,-284.4245,77.14002
42,0.342,1515.48999,-257.19214,48.89887,1317.40637,-334.5387,40.92408,1368.56274,-284.4245,77.14002
43,0.35,1515.35608,-256.92624,48.89138,1317.61206,-334.06705,40.56221,1368.54028,-284.26242,77.10577
44,0.358,1515.35608,-256.92624,48.89138,1317.41907,-333.87012,40.08582,1368.49011,-284.22156,76.88469
45,0.367,1515.27124,-256.98779,48.88587,1317.28162,-334.14023,39.83563,1368.0188,-283.80646,76.51961
46,0.375,1514.89673,-256.68686,49.40031,1316.78284,-334.62686,39.60858,1367.16504,-282.62057,76.87148
47,0.383,1515.44006,-257.54123,49.36498,1316.82971,-334.3616,39.68927,1367.16553,-282.21375,76.49126
48,0.392,1515.44006,-257.54123,49.36498,1316.31714,-334.01041,39.35047,1367.23181,-282.41959,76.59918
49,0.4,1515.44006,-257.54123,49.36498,1316.11133,-334.09949,39.09224,1366.94714,-282.13321,76.01237
50,0.408,1515.0957,-257.04749,49.61399,1315.84583,-334.21994,39.00758,1367.07849,-281.80762,75.85052
51,0.417,1514.92908,-257.0101,49.81623,1316.08069,-334.16638,38.97103,1367.07349,-282.07867,75.64717
52,0.425,1514.78088,-256.85611,50.03953,1315.78455,-334.28366,38.88887,1367.06799,-282.11798,75.57455
53,0.433,1514.78088,-256.85611,50.03953,1315.3147,-334.1199,38.86919,1366.65051,-282.45801,75.12417
54,0.442,1514.30688,-256.51224,50.55207,1316.00171,-334.92572,38.39315,1366.66882,-282.39523,74.66557
55,0.45,1514.33813,-256.16379,50.34036,1316.14856,-335.14291,38.23977,1366.29761,-282.36987,75.32267
56,0.458,1514.37219,-256.27051,50.50608,1315.9939,-335.1727,38.18877,1365.86621,-282.55203,75.51381
57,0.467,1514.31873,-256.11322,50.72593,1315.73254,-335.20242,38.48055,1365.78735,-282.76514,75.12433
58,0.475,1513.65112,-255.71748,50.88136,1316.16418,-335.37015,37.71979,1365.79382,-282.53351,74.67028
59,0.483,1512.72046,-255.93048,51.13747,1316.48206,-335.41077,38.00467,1365.64587,-282.92804,74.59507
60,0.492,1512.69812,-256.31375,50.77398,1316.42554,-335.5578,37.82747,1365.73865,-283.0687,74.52339
61,0.5,1512.92139,-256.11981,51.17943,1315.86169,-335.33295,38.05833,1365.73865,-283.0687,74.52339
62,0.508,1514.00159,-255.13785,52.26407,1316.33203,-336.08762,37.80403,1365.74109,-283.16547,74.60921
63,0.517,1514.65515,-254.12953,51.4641,1316.44702,-336.00702,38.02535,1365.90723,-283.1633,74.78912
64,0.525,1514.32153,-254.48203,51.7689,1316.44702,-336.00702,38.02535,1365.74402,-283.09833,74.54973
65,0.533,1515.15112,-253.22647,51.98241,1316.50049,-336.03574,37.97119,1366.375,-283.07178,74.84377
66,0.542,1514.53516,-254.4926,53.05869,1316.3855,-336.11633,37.74987,1365.98853,-282.96222,74.92961
67,0.55,1514.58313,-254.33655,53.11082,1316.58813,-335.931,38.03981,1365.7854,-282.54349,74.5491
68,0.558,1514.1897,-253.89299,53.29074,1316.48254,-335.55267,37.86186,1365.96533,-282.82114,74.96346
69,0.567,1514.1897,-253.89299,53.29074,1315.77551,-336.16217,38.33161,1365.25378,-282.75098,74.0044
70,0.575,1513.90991,-253.98106,52.99509,1316.57581,-335.68591,37.83814,1365.29016,-282.66385,74.53133
71,0.583,1514.16833,-254.08336,53.41339,1316.68005,-335.47314,37.89402,1365.05591,-282.15967,74.69091
72,0.592,1514.14966,-253.98323,53.60768,1316.62451,-335.12997,37.85587,1365.05591,-282.15967,74.69091
73,0.6,1514.43018,-253.95303,54.12042,1317.70007,-334.51523,38.00533,1365.24109,-280.99323,74.15213
74,0.608,1513.66455,-253.67039,55.19786,1316.60925,-335.46765,37.78894,1365.04309,-280.72202,73.61937
75,0.617,1513.50635,-253.74414,55.46378,1316.45105,-335.27206,37.34158,1364.72034,-280.0542,74.12373
76,0.625,1513.04285,-254.99751,56.84539,1316.4624,-335.95676,37.68226,1364.64673,-279.68936,73.95929
77,0.633,1513.05713,-254.99216,57.16851,1316.60706,-335.58408,38.18867,1364.38403,-280.00775,74.00433
78,0.642,1512.90833,-255.02928,57.88736,1316.84302,-335.2778,37.72854,1364.45996,-279.67413,73.78467
79,0.65,1512.9657,-255.74945,59.09421,1316.86377,-335.34525,37.75521,1364.45923,-279.91476,73.94302
80,0.658,1513.00098,-255.56586,59.67513,1316.84326,-335.38513,37.71072,1364.66235,-280.08109,74.29802
81,0.667,1512.44824,-255.78087,60.43914,1316.729,-335.65845,38.05352,1363.927,-280.10342,74.86856
82,0.675,1512.28699,-255.74385,62.66752,1316.8302,-335.32272,37.68121,1363.59094,-280.19675,74.6394
83,0.683,1510.99243,-255.56471,64.23444,1316.78992,-335.79761,37.98068,1363.78369,-280.72327,74.91463
84,0.692,1511.13171,-255.69022,65.78142,1316.88562,-336.0582,38.0505,1363.45374,-280.62534,75.03625
85,0.7,1510.45911,-255.96805,67.0251,1316.88306,-336.02658,37.95732,1363.677,-281.55292,75.94096
86,0.708,1510.84937,-257.07074,69.70684,1316.02466,-337.46967,37.49599,1363.1488,-282.15533,76.02856
