Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
1,0,1759.7876,-388.47058,648.93793,1733.83704,-376.84433,501.46826,1708.2417,-261.26987,486.68304
2,0.008,1750.19556,-386.66162,649.474,1723.56433,-374.97659,501.36441,1699.30835,-259.60687,486.03278
3,0.017,1742.44202,-388.08804,649.36847,1714.63989,-375.66296,501.05453,1691.51196,-260.66461,486.03
4,0.025,1732.66772,-386.35205,648.34973,1707.12097,-374.64664,501.00235,1683.53674,-257.65579,485.46097
5,0.033,1724.77625,-384.70743,647.92761,1698.90845,-374.38162,501.16275,1674.08044,-256.87286,486.54269
6,0.042,1718.17651,-385.14136,648.17877,1690.34875,-375.87985,499.52722,1667.60205,-257.56717,484.62918
7,0.05,1709.66284,-386.89316,646.58313,1682.55859,-372.45395,498.66769,1659.96667,-256.86816,482.01163
8,0.058,1704.25427,-386.24405,645.94653,1675.99536,-374.93994,497.80536,1653.51379,-256.0014,483.4155
9,0.067,1696.52551,-387.22659,644.93274,1668.4126,-372.39252,495.54871,1646.98218,-256.44427,481.82224
10,0.075,1690.41052,-385.31076,643.67645,1660.47559,-372.37668,494.98572,1641.00427,-257.03397,480.3421
11,0.083,1685.37817,-386.41629,641.47247,1655.57397,-370.93588,493.56693,1633.97559,-256.21304,480.10962
12,0.092,1680.12,-386.88785,639.10535,1651.47229,-372.28824,492.50854,1629.10095,-255.84314,477.39432
13,0.1,1674.10291,-386.05261,636.617,1644.33435,-372.05164,491.08176,1621.13977,-254.47673,475.83737
14,0.108,1669.8772,-386.36023,635.4682,1639.31384,-372.1149,490.02155,1617.11157,-253.60474,474.69785
15,0.117,1666.479,-387.14832,634.30011,1632.3075,-372.50595,488.54504,1610.08252,-252.58868,473.74994
16,0.125,1659.28564,-388.60709,629.87238,1627.65479,-371.33362,487.52008,1604.35486,-253.07144,473.61575
17,0.133,1656.75854,-390.42691,629.27472,1619.9696,-371.49402,486.23676,1596.81543,-252.71429,473.33286
18,0.142,1652.44336,-394.09174,626.2608,1613.06323,-372.02942,486.72263,1589.81714,-253.03403,472.77173
19,0.15,1646.83765,-396.43454,624.86688,1604.95837,-370.79294,485.68527,1580.43237,-252.5578,473.5343
20,0.158,1639.59961,-396.47894,621.99347,1596.96301,-371.58481,484.97101,1571.92224,-253.55318,474.08545
21,0.167,1633.78589,-395.89386,621.40906,1589.25366,-371.88687,484.30249,1563.63892,-253.25262,473.89847
22,0.175,1625.25378,-395.28604,621.02008,1580.4104,-371.92688,481.97519,1551.72144,-253.75195,474.10147
23,0.183,1615.8949,-393.24771,619.83344,1571.08105,-371.27441,482.30902,1543.73157,-256.15823,473.42511
24,0.192,1606.59314,-393.73029,620.00494,1562.76855,-371.32748,480.68698,1533.70032,-256.1059,473.28058
25,0.2,1596.72351,-394.64191,619.68024,1550.8988,-370.49545,479.21939,1523.26001,-256.29242,474.15009
26,0.208,1585.59717,-394.5036,619.26288,1542.87695,-370.88983,479.24927,1514.19128,-256.6304,471.64127
27,0.217,1574.5354,-393.46051,618.8175,1531.63147,-369.92926,477.94788,1505.8927,-257.71002,470.76682
28,0.225,1565.44702,-393.48706,617.93848,1523.78137,-370.4263,477.64624,1498.25684,-255.77603,468.53458
29,0.233,1554.78967,-389.06042,618.13867,1513.39685,-371.21716,475.97626,1491.36292,-257.94104,467.37921
30,0.242,1543.3125,-389.31854,618.25739,1503.8136,-372.6571,477.52435,1485.02905,-255.16756,468.21249
31,0.25,1535.47766,-389.09283,619.3465,1495.24158,-370.37735,479.25967,1476.73572,-254.55803,468.54483
32,0.258,1528.43738,-390.71634,621.13269,1484.08093,-369.7475,479.59833,1470.245,-254.34377,470.39124
33,0.267,1519.94714,-393.09998,621.02795,1474.0304,-370.82278,479.30057,1462.76428,-254.78725,471.30011
34,0.275,1511.1543,-393.08353,622.08771,1465.8783,-371.87277,480.4761,1455.94287,-256.06973,471.46014
35,0.283,1502.67981,-393.72116,622.2312,1461.85339,-373.63651,479.26596,1449.2146,-257.73309,471.21002
36,0.292,1495.39783,-395.76181,625.56,1458.26819,-376.83929,480.29468,1444.53235,-261.53143,471.02206
37,0.3,1487.15527,-397.59155,625.70642,1454.08887,-376.82645,479.43805,1437.28455,-262.40112,470.28943
38,0.308,1481.43188,-399.50409,627.03955,1450.36133,-379.21664,479.72964,1432.453,-264.70905,469.55969
39,0.317,1478.28003,-399.78925,626.88995,1449.63647,-379.78397,478.36499,1428.05884,-266.99527,468.28461
40,0.325,1477.01648,-400.04901,626.2793,1446.86646,-381.70563,477.72739,1426.98547,-267.18088,468.66608
41,0.333,1475.47864,-400.62549,624.5697,1445.47021,-382.67111,477.80829,1423.69348,-268.36868,468.81198
42,0.342,1475.07178,-401.19394,624.41901,1442.46619,-383.84317,477.52121,1422.75549,-269.13272,468.2197
43,0.35,1474.13245,-403.41745,623.64282,1439.95154,-383.586,477.78293,1421.05298,-269.59381,468.25049
44,0.358,1471.64966,-404.7851,624.17548,1436.06665,-384.90216,478.65378,1418.12024,-269.22913,468.02188
45,0.367,1464.74377,-403.3248,624.78137,1432.21814,-385.11182,476.50912,1415.46082,-267.87952,468.21564
46,0.375,1458.13818,-403.12845,624.53186,1430.28052,-384.3689,476.04419,1414.63403,-267.0834,468.20099
47,0.383,1450.61694,-404.83405,626.4881,1427.14307,-384.22134,476.24167,1411.1908,-268.09451,467.64453
48,0.392,1443.86963,-404.94431,626.31226,1423.38098,-384.23325,476.44986,1408.77698,-267.85086,467.92477
49,0.4,1437.06274,-403.62778,626.92499,1420.44849,-385.52795,476.23969,1406.21265,-269.06158,467.00662
50,0.408,1431.45154,-403.55304,627.12329,1417.25171,-384.73422,476.24515,1402.96936,-267.28885,466.72174
51,0.417,1427.57983,-404.54333,627.38074,1415.07397,-384.87451,476.20059,1401.54382,-267.45035,466.35114
52,0.425,1423.41296,-404.62454,626.96326,1411.2395,-386.88541,475.5303,1399.89673,-267.90659,465.52417
53,0.433,1419.82056,-405.92908,625.98169,1408.93286,-386.06372,474.75894,1396.25647,-269.49899,465.08972
54,0.442,1415.75122,-405.78198,626.19739,1408.26831,-385.67337,473.80118,1394.13379,-269.25751,464.56552
55,0.45,1412.61755,-406.87393,626.47272,1405.13647,-385.71439,474.57104,1392.67065,-269.20111,464.34741
56,0.458,1408.82776,-406.54959,626.11407,1402.87,-385.65582,474.92807,1390.63721,-268.9021,464.42288
57,0.467,1405.6665,-407.64679,626.37506,1399.67871,-387.39609,475.1218,1387.6488,-268.3674,463.48685
