Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,1731.27087,43.16899,863.62524,1740.37451,-2.78404,850.18286,1756.4386,-12.4746,789.91534,1761.77856,-5.9661,744.29492,1725.005,53.64302,766.45111,1770.40222,45.83033,732.36359,1809.07324,33.56804,708.6886
2,0.008,1722.77283,42.24596,863.5575,1732.31653,-1.63275,849.43536,1745.7594,-14.44454,788.54889,1760.32166,-6.77771,745.94995,1718.30884,54.16038,767.13293,1762.6178,45.12693,731.85907,1801.4585,32.74549,709.83008
3,0.017,1715.89148,44.84739,863.09436,1722.08813,-0.9159,849.0816,1735.67419,-13.85786,788.81348,1747.01953,-8.15559,746.04022,1708.69507,53.01817,767.01721,1754.61731,43.63012,732.02051,1793.54712,30.10508,709.71912
4,0.025,1705.49023,42.43743,863.48981,1713.24902,-0.17302,850.00208,1731.02417,-14.76764,790.7486,1736.13574,-9.24936,748.29138,1702.8053,52.10878,767.38916,1746.25549,40.43861,731.82996,1786.17871,26.43652,710.40228
5,0.033,1698.52063,43.82474,861.87799,1705.5741,0.15604,851.99518,1714.94458,-13.66376,790.90088,1733.42139,-11.84048,749.38263,1693.90344,52.95862,765.70514,1739.54297,39.82893,731.18713,1778.33594,23.15896,710.96753
6,0.042,1689.93396,43.97553,861.80304,1694.61877,-0.66143,850.86017,1710.51636,-15.9778,790.77057,1723.51404,-11.18818,747.51013,1687.15442,51.64962,764.57538,1733.26038,39.03647,731.88599,1769.73328,19.99532,711.2196
7,0.05,1684.93921,46.2686,861.76044,1687.49255,3.18367,851.24738,1697.67126,-12.91694,792.5293,1710.43127,-11.72719,747.57611,1680.88354,52.2128,764.50641,1726.96692,38.22466,732.19403,1763.79272,20.19232,712.05939
8,0.058,1677.09729,46.29248,861.59637,1678.43042,-0.18157,851.85089,1688.5929,-14.2133,793.52393,1706.57385,-14.72682,747.86511,1673.50171,50.81934,764.04822,1718.10535,36.11691,731.12183,1757.42456,15.38089,712.25128
9,0.067,1670.19788,47.57639,861.83502,1669.65393,2.76579,850.84088,1683.03235,-13.06458,793.16998,1696.03479,-12.81728,745.66907,1667.11792,52.36102,763.80579,1709.34509,34.28307,730.6709,1747.09143,12.93961,711.02258
10,0.075,1659.19556,46.70611,860.85126,1659.14941,2.2981,849.38696,1674.05566,-17.03292,792.85034,1687.46106,-16.45115,745.39111,1659.54553,51.6534,764.39008,1702.75464,33.87022,730.98132,1739.99207,10.19714,711.74506
