Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
1,0,1754.22583,-71.59325,1407.18958,1748.17493,-278.6882,1417.07458,1902.94312,-98.18787,1423.21289,1905.31055,-276.81726,1430.55078,1945.29822,-92.75388,1356.31006
2,0.008,1746.65894,-70.32967,1407.48145,1742.44434,-279.22028,1416.99438,1896.17297,-98.46179,1422.37305,1898.67273,-277.06769,1430.55249,1938.36194,-92.10522,1356.11719
3,0.017,1740.96167,-71.72265,1407.55542,1736.10791,-280.7872,1419.31445,1890.19006,-98.36398,1422.40552,1892.64063,-277.03296,1429.97571,1932.27869,-93.36381,1356.13538
4,0.025,1734.4834,-71.29984,1407.15308,1733.17505,-282.68585,1417.43323,1882.54822,-99.44633,1421.25818,1886.37622,-277.45514,1429.55249,1925.39954,-93.04289,1355.08997
5,0.033,1727.56763,-72.93668,1406.74805,1722.1438,-281.30298,1417.87634,1876.13818,-100.10133,1421.09814,1879.55701,-278.06305,1428.9281,1919.32715,-93.25732,1354.78589
6,0.042,1722.55908,-73.21067,1406.85474,1718.86987,-282.98285,1417.6167,1869.33899,-100.48634,1420.13428,1872.95862,-278.03729,1428.13562,1912.39771,-93.96215,1354.1709
7,0.05,1714.25281,-73.5279,1406.67578,1714.99841,-285.05893,1416.57068,1863.17615,-100.91855,1420.08057,1866.72449,-278.86069,1427.24451,1905.73694,-94.85163,1353.82397
8,0.058,1708.43958,-73.45771,1406.3075,1703.77332,-282.96924,1414.64832,1856.20313,-101.48177,1419.61487,1859.94604,-279.62686,1426.78943,1899.43408,-94.92812,1353.21667
9,0.067,1701.66052,-74.98077,1406.56348,1695.03613,-282.93481,1416.34509,1850.10352,-102.01208,1419.0791,1853.24023,-280.18164,1426.01233,1892.07947,-96.15984,1352.20557
10,0.075,1695.14014,-73.93435,1405.46228,1687.53333,-284.19574,1417.27405,1844.02649,-102.59719,1418.755,1846.48962,-281.14795,1424.92883,1885.82861,-97.17435,1351.84155
11,0.083,1688.34863,-77.0319,1405.14453,1683.94336,-284.27625,1415.81958,1836.99548,-102.75888,1417.56262,1839.82556,-281.48904,1423.56299,1878.70325,-96.88707,1350.71509
12,0.092,1681.39575,-76.50432,1404.78796,1677.17627,-285.72232,1414.21533,1830.3147,-104.65034,1417.33765,1833.33289,-281.84854,1422.2854,1872.05603,-97.97066,1350.09302
13,0.1,1674.54407,-77.55708,1403.71558,1670.17383,-286.90396,1414.33557,1822.79797,-105.2335,1416.12134,1825.95813,-283.18326,1421.65308,1865.03149,-98.49788,1349.42139
14,0.108,1667.75696,-78.56989,1402.68591,1664.33813,-289.71613,1413.00452,1815.91492,-105.82953,1415.06519,1820.25061,-284.21255,1420.27747,1858.0708,-98.8987,1348.2428
15,0.117,1660.43665,-78.40971,1401.13818,1659.45825,-291.66443,1412.37927,1809.70581,-106.92897,1414.30933,1812.77551,-284.87192,1419.68372,1851.63599,-100.66447,1347.46582
16,0.125,1653.96655,-81.45317,1400.63708,1650.01111,-289.40253,1410.32178,1802.07385,-107.56247,1413.19763,1805.56433,-285.64627,1418.26306,1844.25269,-101.67503,1346.69043
17,0.133,1647.46606,-81.33443,1399.20032,1644.37195,-292.89191,1408.94141,1795.75781,-108.85607,1412.32874,1799.26929,-287.08304,1416.99951,1837.01965,-102.367,1345.49817
18,0.142,1640.30371,-83.4683,1399.1084,1638.82117,-294.89899,1407.31018,1788.5155,-109.5568,1411.35181,1792.22559,-288.28687,1415.76111,1830.08447,-103.5758,1344.22327
19,0.15,1634.66565,-84.03281,1398.08289,1629.85095,-293.3681,1407.11047,1781.08069,-110.71253,1409.93433,1786.06958,-289.46399,1414.32751,1822.76099,-104.11913,1342.98169
20,0.158,1626.2345,-84.11972,1397.40503,1623.87048,-295.64783,1405.31641,1774.76477,-111.05227,1408.9397,1778.33215,-290.55676,1413.13879,1815.93457,-105.46107,1341.53455
21,0.167,1619.85352,-86.32619,1396.58057,1619.04321,-297.80508,1404.87842,1767.99866,-113.27984,1407.93542,1770.3302,-292.03232,1411.55078,1809.21643,-106.02245,1339.96838
22,0.175,1611.75159,-85.53941,1396.65894,1609.32019,-298.02148,1403.44604,1760.27417,-115.22566,1406.4978,1764.78162,-293.22409,1410.73962,1802.15881,-107.44553,1339.73303
23,0.183,1605.46509,-88.36485,1394.82043,1603.66736,-300.49677,1403.20093,1754.68018,-116.71561,1406.16272,1757.43445,-293.75327,1409.6145,1794.14465,-109.58807,1339.19873
24,0.192,1598.59131,-91.54472,1395.19458,1595.69482,-300.82779,1400.49634,1747.64429,-117.49376,1405.24854,1750.56116,-296.44482,1408.38574,1787.54956,-110.32615,1337.62708
25,0.2,1591.16748,-92.41026,1394.7749,1588.29333,-301.05365,1399.34155,1740.16296,-119.47533,1404.95435,1743.36133,-296.90005,1407.72266,1780.97888,-111.5265,1337.59448
26,0.208,1584.27258,-93.76978,1392.75793,1582.5564,-305.67148,1399.04004,1732.87024,-120.3952,1404.01184,1736.13965,-299.05792,1406.67871,1774.3512,-113.12121,1336.72717
27,0.217,1576.41821,-94.70609,1392.88171,1573.5144,-306.44876,1398.40784,1726.66724,-122.94584,1402.92297,1729.31873,-300.97476,1405.08704,1765.75281,-115.05472,1335.27649
28,0.225,1570.82678,-96.97224,1392.12732,1565.84155,-307.30902,1396.9126,1719.10535,-124.67252,1401.70557,1722.34827,-303.33426,1404.63416,1760.0271,-116.77426,1335.27319
29,0.233,1563.18567,-98.60314,1392.20264,1560.2865,-309.04233,1396.39172,1711.85657,-125.60863,1401.83472,1715.40234,-304.34711,1403.74829,1751.25281,-118.0494,1334.61804
30,0.242,1555.82727,-101.36002,1391.89209,1554.3573,-313.72714,1396.34265,1704.14758,-127.48907,1401.54578,1707.8916,-306.81787,1402.68396,1744.67749,-120.32212,1333.90979
31,0.25,1547.00256,-101.88984,1392.53857,1545.85693,-312.6785,1396.77075,1696.65308,-129.87842,1403.25024,1700.50366,-307.99951,1403.35681,1737.34827,-123.05225,1334.12927
32,0.258,1540.89197,-103.57107,1392.54822,1538.91833,-315.74457,1397.75806,1688.91516,-131.59863,1402.06226,1693.48657,-310.06992,1402.41614,1729.82312,-125.23557,1334.69873
33,0.267,1532.90881,-105.2653,1393.25793,1530.24988,-316.99496,1397.28601,1680.8833,-133.60744,1402.93152,1686.1532,-310.55237,1403.46069,1722.00256,-126.34073,1334.86292
34,0.275,1524.05688,-107.0436,1394.42676,1521.70923,-317.17111,1396.63428,1673.18652,-134.57205,1403.42297,1678.52319,-312.74844,1403.28418,1713.30066,-127.43201,1335.9342
35,0.283,1516.15894,-108.90777,1395.51599,1516.71362,-320.8541,1399.22717,1665.03394,-135.92223,1403.90479,1670.88159,-314.06171,1403.83557,1706.39319,-128.35796,1336.55737
36,0.292,1508.5802,-108.78035,1395.77856,1509.25488,-322.81537,1399.2345,1658.09741,-137.28096,1406.02466,1663.14575,-314.91641,1405.5354,1698.56812,-129.95805,1338.45129
