Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
1,0,1922.62292,-277.55893,44.92907,1714.62366,-209.52875,39.40515,1763.83972,-261.60144,68.96947
2,0.008,1922.91284,-277.68839,45.22519,1715.36426,-209.20677,39.43779,1763.75317,-261.56073,68.76357
3,0.017,1922.83813,-277.86389,45.3956,1714.93604,-208.84694,39.1302,1763.75317,-261.56073,68.76357
4,0.025,1922.97278,-278.06616,45.50233,1716.37427,-209.64594,38.78275,1763.6355,-261.33234,68.47859
5,0.033,1922.40137,-278.36459,46.34276,1714.75574,-209.29872,39.09037,1763.6355,-261.33234,68.47859
6,0.042,1922.27161,-278.26627,46.78475,1715.21155,-209.1992,39.28018,1764.12366,-262.20071,68.89756
7,0.05,1922.20178,-278.8187,47.11415,1714.75574,-209.29872,39.09037,1762.83606,-262.33234,68.89885
8,0.058,1922.69836,-279.74835,47.44377,1714.7843,-209.32893,39.09047,1763.026,-262.58524,68.7615
9,0.067,1922.11084,-279.7045,47.80412,1714.2478,-209.41663,39.06738,1762.80493,-262.70297,68.81839
10,0.075,1920.47693,-280.2836,47.78495,1714.2478,-209.41663,39.06738,1762.80493,-262.70297,68.81839
11,0.083,1920.3844,-280.80554,48.05027,1714.1759,-209.61411,39.07756,1762.80493,-262.70297,68.81839
12,0.092,1920.17065,-281.30075,48.23145,1714.93127,-209.27174,38.88403,1762.8186,-263.11633,68.892
13,0.1,1920.44165,-281.69672,48.84296,1715.33386,-209.33238,39.44073,1762.80493,-262.70297,68.81839
14,0.108,1921.23438,-281.07025,51.94883,1715.40393,-209.21317,39.06299,1762.80493,-262.70297,68.81839
15,0.117,1922.88306,-282.51752,53.06702,1714.87122,-208.35226,39.63575,1762.80493,-262.70297,68.81839
16,0.125,1919.66125,-283.39304,51.38273,1715.75684,-209.17294,38.56751,1762.80493,-262.70297,68.81839
17,0.133,1919.78784,-283.40405,53.0571,1715.75684,-209.17294,38.56751,1762.81726,-263.47888,68.2543
18,0.142,1920.06921,-282.81155,55.27783,1715.75684,-209.17294,38.56751,1762.73438,-264.00449,68.33319
19,0.15,1919.92163,-282.34985,56.10313,1715.75684,-209.17294,38.56751,1762.66589,-262.77823,69.00748
20,0.158,1919.65918,-281.95639,57.34271,1715.03833,-208.65015,37.76686,1762.15662,-263.53186,69.00216
21,0.167,1921.39111,-283.00037,61.91137,1715.74365,-209.1622,38.40528,1762.03955,-264.42059,68.47852
22,0.175,1920.71265,-281.88409,63.95655,1716.41968,-210.08202,37.61662,1760.95142,-263.43076,69.49425
23,0.183,1919.87317,-282.83936,67.64403,1716.11621,-210.08322,37.67742,1760.18933,-263.30957,69.79066
24,0.192,1919.70605,-283.1254,70.98148,1715.71118,-209.89587,37.68508,1759.70569,-262.80017,70.04477
25,0.2,1919.81445,-279.39539,70.18118,1715.56812,-209.74103,37.6725,1758.42542,-263.11111,70.72887
26,0.208,1917.74841,-280.14841,76.24768,1715.19543,-209.62352,37.61797,1757.49451,-261.15417,70.82014
27,0.217,1916.90015,-278.07724,78.88269,1715.19543,-209.62352,37.61797,1758.08264,-262.14441,70.71027
28,0.225,1918.32263,-274.37158,81.71684,1715.02917,-209.6347,37.74931,1757.07007,-260.98779,71.39096
29,0.233,1916.4021,-272.3053,86.04565,1715.12598,-209.59615,37.57991,1755.1842,-261.0343,71.68382
30,0.242,1913.92871,-271.12299,91.69536,1714.02905,-209.89465,37.53153,1753.36682,-259.31677,74.45631
31,0.25,1911.7998,-270.66446,98.58968,1713.10437,-208.7686,37.82673,1752.77039,-260.21057,73.98884
32,0.258,1905.95496,-271.35101,104.41183,1712.57727,-208.34964,37.95343,1748.40015,-259.03357,75.82472
33,0.267,1901.47717,-270.83105,111.52118,1711.99316,-208.13615,38.0316,1746.05176,-257.61838,77.114
34,0.275,1895.56091,-270.54495,119.22428,1711.77478,-208.61403,37.81298,1744.19592,-256.41522,79.38046
35,0.283,1891.98303,-270.27838,129.39241,1711.13635,-207.8739,37.79691,1738.26904,-254.74754,79.92573
36,0.292,1885.74316,-270.75635,138.61154,1711.96521,-207.48317,37.68014,1735.16772,-254.19809,81.36597
37,0.3,1873.61243,-270.66388,147.5,1710.83765,-208.2764,36.88291,1729.07422,-251.22009,81.91273
38,0.308,1866.17456,-271.95685,159.65392,1709.92346,-208.14766,37.01844,1722.47498,-248.85878,82.79507
39,0.317,1854.07849,-271.40836,170.45462,1708.72034,-208.63,36.24987,1717.5531,-248.85873,83.74815
40,0.325,1840.88232,-272.25198,179.9718,1706.26843,-209.54338,37.34599,1709.87158,-248.34639,84.81576
41,0.333,1829.39673,-270.87936,190.72679,1701.96265,-208.41296,40.00448,1704.22571,-247.77394,89.37592
42,0.342,1817.10352,-270.79358,200.29344,1696.00195,-207.5392,43.54022,1694.55933,-246.74741,92.55003
