Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,64.22932,-177.62773,476.54733,201.66339,-116.66388,525.17523,219.82433,-166.39227,443.90833,221.75427,-39.32275,446.28546
2,0.008,64.26989,-177.87935,476.46753,201.74721,-116.68118,525.19025,219.85953,-166.63417,444.01099,221.57768,-39.13206,446.55582
3,0.017,64.26989,-177.87935,476.46753,201.66339,-116.66388,525.17523,219.85953,-166.63417,444.01099,221.96573,-39.27567,446.49234
4,0.025,64.22932,-177.62773,476.54733,201.79674,-116.67244,525.09241,219.85953,-166.63417,444.01099,221.71596,-39.17208,446.42169
5,0.033,64.30785,-177.68578,476.72778,201.908,-116.67549,525.01172,219.67795,-166.15929,444.04218,221.71596,-39.17208,446.42169
6,0.042,64.30785,-177.68578,476.72778,201.79674,-116.67244,525.09241,219.80353,-166.17876,443.95764,221.71596,-39.17208,446.42169
7,0.05,64.30785,-177.68578,476.72778,201.66339,-116.66388,525.17523,219.80353,-166.17876,443.95764,221.75427,-39.32275,446.28546
8,0.058,64.42117,-177.51299,476.79898,201.80995,-116.52809,525.08716,219.82433,-166.39227,443.90833,221.57768,-39.13206,446.55582
9,0.067,64.46683,-177.39452,476.89987,201.79799,-116.45484,525.09399,219.82433,-166.39227,443.90833,221.75427,-39.32275,446.28546
10,0.075,64.42117,-177.51299,476.79898,201.8112,-116.3105,525.08868,219.8627,-166.28539,443.97388,221.87593,-39.39214,446.50882
11,0.083,64.42117,-177.51299,476.79898,201.85686,-116.26045,525.05634,219.8627,-166.28539,443.97388,221.96573,-39.27567,446.49234
12,0.092,64.42117,-177.51299,476.79898,201.90083,-116.25053,524.95697,219.83786,-166.14767,443.90393,221.71596,-39.17208,446.42169
13,0.1,64.46683,-177.39452,476.89987,201.97572,-116.21786,524.93164,219.81708,-165.93414,443.95328,222.00406,-39.42635,446.35611
14,0.108,64.46683,-177.39452,476.89987,201.90083,-116.25053,524.95697,219.93399,-165.94803,443.9646,221.71596,-39.17208,446.42169
15,0.117,64.46683,-177.39452,476.89987,201.94412,-116.11201,524.96002,219.90915,-165.81032,443.89468,221.88678,-39.1456,446.34232
16,0.125,64.46683,-177.39452,476.89987,202.05057,-115.96186,525.04468,219.90915,-165.81032,443.89468,221.73131,-38.892,446.22879
17,0.133,64.46683,-177.39452,476.89987,202.03175,-115.95935,524.94885,219.90915,-165.81032,443.89468,221.73131,-38.892,446.22879
18,0.142,64.46683,-177.39452,476.89987,202.03175,-115.95935,524.94885,219.90915,-165.81032,443.89468,221.98103,-38.99556,446.29944
19,0.15,64.46683,-177.39452,476.89987,202.03175,-115.95935,524.94885,219.90915,-165.81032,443.89468,221.8748,-39.05492,446.25983
20,0.158,64.46683,-177.39452,476.89987,202.03175,-115.95935,524.94885,219.96385,-165.68701,443.93155,221.73131,-38.892,446.22879
21,0.167,64.46683,-177.39452,476.89987,202.03175,-115.95935,524.94885,219.97534,-165.55183,444.05252,221.96906,-38.90488,446.21695
22,0.175,64.46683,-177.39452,476.89987,202.06654,-115.8077,524.95074,219.97534,-165.55183,444.05252,221.71933,-38.80134,446.14633
23,0.183,64.46683,-177.39452,476.89987,202.06654,-115.8077,524.95074,220.07437,-165.33397,443.93979,221.71933,-38.80134,446.14633
24,0.192,64.46683,-177.39452,476.89987,202.00308,-115.90701,524.90637,219.99544,-165.53069,444.10019,221.62506,-38.95138,446.18918
25,0.2,64.46683,-177.39452,476.89987,202.00554,-115.21792,524.94238,220.24089,-165.08101,444.01413,221.71933,-38.80134,446.14633
26,0.208,64.46683,-177.39452,476.89987,202.08536,-115.81021,525.04657,219.93739,-165.22662,444.18011,221.96906,-38.90488,446.21695
27,0.217,64.51241,-177.27623,477.00089,202.06654,-115.8077,524.95074,219.9619,-165.38736,444.12616,221.96906,-38.90488,446.21695
28,0.225,64.46683,-177.39452,476.89987,202.0952,-115.86004,524.99323,219.78752,-165.27901,444.05212,221.71933,-38.80134,446.14633
29,0.233,64.43442,-177.06975,476.92252,202.00308,-115.90701,524.90637,219.71957,-165.55403,444.04654,221.73131,-38.892,446.22879
