Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,51.3834,134.57809,45.69513,254.35989,149.29924,43.25843,200.90259,119.53017,69.73051
2,0.008,51.3834,134.57809,45.69513,254.26498,149.03827,43.25138,200.77284,119.77917,69.67731
3,0.017,51.3834,134.57809,45.69513,254.34343,149.24001,43.16844,200.90259,119.53017,69.73051
4,0.025,51.55688,134.7798,45.59271,254.35989,149.29924,43.25843,200.46031,119.04166,69.68346
5,0.033,51.75877,135.01555,45.59259,254.34343,149.24001,43.16844,200.55243,118.92983,69.70442
6,0.042,51.75877,135.01555,45.59259,254.35989,149.29924,43.25843,200.46031,119.04166,69.68346
7,0.05,51.55688,134.7798,45.59271,254.35989,149.29924,43.25843,200.52473,119.09174,69.65884
8,0.058,51.3834,134.57809,45.69513,254.34343,149.24001,43.16844,200.51193,119.21204,69.69221
9,0.067,51.3834,134.57809,45.69513,254.35989,149.29924,43.25843,200.80913,119.63692,69.7146
10,0.075,51.3834,134.57809,45.69513,254.35989,149.29924,43.25843,200.8857,119.64502,69.61251
11,0.083,51.3834,134.57809,45.69513,254.27795,149.47691,43.26035,200.8857,119.64502,69.61251
12,0.092,51.62359,134.6595,45.73609,254.33008,149.37616,43.10416,200.54202,119.06618,69.56796
13,0.1,51.75877,135.01555,45.59259,254.33008,149.37616,43.10416,200.54495,119.15783,69.70037
14,0.108,51.55688,134.7798,45.59271,254.34654,149.43539,43.19415,200.56972,118.90427,69.61355
15,0.117,51.3834,134.57809,45.69513,254.27795,149.47691,43.26035,200.54202,119.06618,69.56796
16,0.125,51.3834,134.57809,45.69513,254.19952,149.27519,43.34327,200.8649,119.75228,69.64407
17,0.133,51.45011,134.45778,45.83851,254.22932,149.19827,43.49754,200.94608,119.66415,69.67212
18,0.142,51.6036,134.40137,45.827,254.34654,149.43539,43.19415,200.85844,119.72387,69.65741
19,0.15,51.62359,134.6595,45.73609,254.45473,149.34116,43.29446,200.00705,119.69964,69.466
20,0.158,51.75499,134.69792,45.66388,254.27795,149.47691,43.26035,200.60152,119.13332,69.76589
21,0.167,51.3834,134.57809,45.69513,254.38615,149.38268,43.36066,200.0195,119.80657,69.36884
22,0.175,51.3834,134.57809,45.69513,254.27795,149.47691,43.26035,200.92598,119.55917,69.58097
23,0.183,51.45011,134.45778,45.83851,254.19952,149.27519,43.34327,200.88969,119.70142,69.54369
24,0.192,51.45011,134.45778,45.83851,254.21597,149.33444,43.43327,201.05,119.8297,69.68285
