Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,198.88414,200.02754,244.21666,108.35166,188.43925,62.44374,124.85147,102.84786,93.76656
2,0.008,198.88414,200.02754,244.21666,108.3353,188.36974,62.23808,125.78662,103.16128,94.21014
3,0.017,198.88414,200.02754,244.21666,108.57725,188.59961,62.27603,125.78662,103.16128,94.21014
4,0.025,198.88414,200.02754,244.21666,108.47394,188.91039,62.3877,125.78662,103.16128,94.21014
5,0.033,198.88414,200.02754,244.21666,108.26369,188.68285,62.49926,125.54348,103.12666,94.35096
6,0.042,198.88414,200.02754,244.21666,108.35166,188.43925,62.44374,124.60834,102.81326,93.9074
7,0.05,198.88414,200.02754,244.21666,108.3353,188.36974,62.23808,124.60834,102.81326,93.9074
8,0.058,198.88414,200.02754,244.21666,108.3353,188.36974,62.23808,125.14097,103.04956,93.9734
9,0.067,198.88414,200.02754,244.21666,108.3353,188.36974,62.23808,125.54348,103.12666,94.35096
10,0.075,198.88414,200.02754,244.21666,108.24091,188.6487,62.33064,125.14097,103.04956,93.9734
11,0.083,197.8119,200.68539,243.74699,108.24091,188.6487,62.33064,125.38411,103.08417,93.83257
12,0.092,198.88414,200.02754,244.21666,108.26369,188.68285,62.49926,125.14097,103.04956,93.9734
13,0.1,198.7272,199.81453,244.18581,108.3353,188.36974,62.23808,125.14097,103.04956,93.9734
14,0.108,198.7272,199.81453,244.18581,108.3353,188.36974,62.23808,124.85147,102.84786,93.76656
15,0.117,198.88414,200.02754,244.21666,108.3353,188.36974,62.23808,124.60834,102.81326,93.9074
16,0.125,198.88414,200.02754,244.21666,108.3353,188.36974,62.23808,124.60834,102.81326,93.9074
17,0.133,197.62886,200.45918,243.72729,108.47394,188.91039,62.3877,125.14097,103.04956,93.9734
18,0.142,197.62886,200.45918,243.72729,108.47394,188.91039,62.3877,125.54348,103.12666,94.35096
19,0.15,197.62886,200.45918,243.72729,108.57725,188.59961,62.27603,125.54348,103.12666,94.35096
20,0.158,197.62886,200.45918,243.72729,108.3353,188.36974,62.23808,124.85147,102.84786,93.76656
21,0.167,197.8119,200.68539,243.74699,108.3353,188.36974,62.23808,124.60834,102.81326,93.9074
22,0.175,197.62886,200.45918,243.72729,108.35166,188.43925,62.44374,124.85147,102.84786,93.76656
23,0.183,197.62886,200.45918,243.72729,108.3353,188.36974,62.23808,124.85147,102.84786,93.76656
24,0.192,198.7272,199.81453,244.18581,108.3353,188.36974,62.23808,125.14097,103.04956,93.9734
25,0.2,197.62886,200.45918,243.72729,108.57725,188.59961,62.27603,125.78662,103.16128,94.21014
26,0.208,198.7272,199.81453,244.18581,108.35166,188.43925,62.44374,126.09183,102.84414,93.97663
27,0.217,197.8119,200.68539,243.74699,108.35166,188.43925,62.44374,125.78662,103.16128,94.21014
28,0.225,197.62886,200.45918,243.72729,108.35166,188.43925,62.44374,124.85147,102.84786,93.76656
29,0.233,197.8119,200.68539,243.74699,108.35166,188.43925,62.44374,124.31848,102.61195,93.70055
30,0.242,197.62886,200.45918,243.72729,108.35166,188.43925,62.44374,124.62365,102.29459,93.46688
31,0.25,198.7272,199.81453,244.18581,108.35166,188.43925,62.44374,124.85147,102.84786,93.76656
32,0.258,198.88414,200.02754,244.21666,108.59362,188.66913,62.48171,125.78662,103.16128,94.21014
33,0.267,198.86368,199.66814,244.29459,108.59362,188.66913,62.48171,125.78662,103.16128,94.21014
34,0.275,199.03149,199.95723,244.26599,108.35166,188.43925,62.44374,125.78662,103.16128,94.21014
35,0.283,199.03149,199.95723,244.26599,108.35166,188.43925,62.44374,124.31848,102.61195,93.70055
36,0.292,199.03149,199.95723,244.26599,108.35166,188.43925,62.44374,124.07534,102.57735,93.84141
