Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-314.42493,115.28259,1221.39587,-178.18666,99.60172,1181.68457,-373.71005,112.6674,1097.04712,-146.66208,71.18224,1032.07581
2,0.008,-314.42493,115.28259,1221.39587,-178.21133,99.49332,1181.88708,-373.71005,112.6674,1097.04712,-146.66208,71.18224,1032.07581
3,0.017,-314.44806,115.33633,1221.34509,-178.21133,99.49332,1181.88708,-373.83652,112.66637,1097.1145,-146.82881,71.28942,1032.01587
4,0.025,-314.42493,115.28259,1221.39587,-178.2999,99.5209,1181.9707,-373.71005,112.6674,1097.04712,-146.66208,71.18224,1032.07581
5,0.033,-314.42493,115.28259,1221.39587,-178.18666,99.60172,1181.68457,-373.83652,112.66637,1097.1145,-146.66208,71.18224,1032.07581
6,0.042,-314.42493,115.28259,1221.39587,-178.21133,99.49332,1181.88708,-373.71005,112.6674,1097.04712,-146.81883,71.13958,1032.15588
7,0.05,-314.42493,115.28259,1221.39587,-178.21133,99.49332,1181.88708,-373.83652,112.66637,1097.1145,-146.66631,71.0286,1032.22302
8,0.058,-314.64499,114.85378,1221.47839,-178.09103,99.40472,1181.99402,-373.98413,112.18871,1097.28247,-146.81883,71.13958,1032.15588
9,0.067,-314.44418,114.62241,1221.43909,-178.49297,98.51933,1181.95947,-374.09048,112.16873,1097.35608,-146.66208,71.18224,1032.07581
10,0.075,-314.7554,114.01501,1221.44885,-178.15416,99.13104,1181.73401,-374.09048,112.16873,1097.35608,-147.02322,70.83533,1032.078
11,0.083,-314.7554,114.01501,1221.44885,-178.15416,99.13104,1181.73401,-374.07755,112.01472,1097.40222,-147.03818,70.65532,1031.90125
12,0.092,-314.66162,114.10471,1221.5166,-178.15416,99.13104,1181.73401,-374.07755,112.01472,1097.40222,-147.18767,70.62233,1031.97046
13,0.1,-314.93619,114.07248,1221.59387,-178.24539,99.14871,1181.82458,-373.91742,112.23281,1097.30371,-147.47685,70.72925,1031.74219
14,0.108,-314.90192,114.05447,1221.65894,-178.27483,99.0381,1181.48462,-374.07755,112.01472,1097.40222,-147.47685,70.72925,1031.74219
15,0.117,-315.05029,113.74213,1221.60181,-178.34402,98.58616,1181.56311,-374.07755,112.01472,1097.40222,-147.47685,70.72925,1031.74219
16,0.125,-315.06805,113.59723,1221.56726,-178.58487,98.32715,1181.53198,-374.88538,111.43584,1097.38513,-147.47685,70.72925,1031.74219
17,0.133,-315.12549,113.47733,1221.60107,-178.4958,98.20937,1181.5437,-374.68683,111.76981,1097.38684,-147.51488,70.44296,1031.18762
18,0.142,-315.09204,113.28153,1221.66345,-178.70836,97.91019,1181.81409,-374.91745,111.72018,1097.43823,-147.34828,71.02989,1031.54053
19,0.15,-315.09204,113.28153,1221.66345,-178.65825,97.73553,1181.89404,-374.68683,111.76981,1097.38684,-147.66197,70.42834,1031.63574
20,0.158,-315.09204,113.28153,1221.66345,-178.7473,97.85332,1181.8822,-374.68683,111.76981,1097.38684,-148.09764,70.65814,1031.71021
