Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-144.42195,62.59098,1314.25623,-15.17696,65.6635,1229.28711,-239.80435,69.10121,1217.71143,-10.98373,60.37307,1077.97754
2,0.008,-144.32256,62.47171,1314.22278,-15.00763,65.44205,1229.474,-239.85478,69.13002,1217.59241,-10.98373,60.37307,1077.97754
3,0.017,-144.32256,62.47171,1314.22278,-14.80811,65.14488,1229.50952,-239.85478,69.13002,1217.59241,-10.84966,60.30096,1078.26477
4,0.025,-144.32256,62.47171,1314.22278,-14.30702,64.98481,1229.49573,-239.80435,69.10121,1217.71143,-10.97402,60.42382,1078.1875
5,0.033,-144.23181,62.20383,1314.36755,-14.54689,64.97172,1229.60803,-239.80435,69.10121,1217.71143,-10.97402,60.42382,1078.1875
6,0.042,-144.23181,62.20383,1314.36755,-14.30702,64.98481,1229.49573,-239.85478,69.13002,1217.59241,-11.01005,60.36207,1078.27271
7,0.05,-144.11653,62.16222,1314.25488,-14.30702,64.98481,1229.49573,-239.80435,69.10121,1217.71143,-11.01005,60.36207,1078.27271
8,0.058,-144.11653,62.16222,1314.25488,-14.55733,64.87213,1229.36145,-239.80435,69.10121,1217.71143,-11.01005,60.36207,1078.27271
9,0.067,-144.08412,61.92969,1314.26636,-14.30702,64.98481,1229.49573,-239.80435,69.10121,1217.71143,-11.01005,60.36207,1078.27271
10,0.075,-144.08412,61.92969,1314.26636,-14.30702,64.98481,1229.49573,-239.53397,68.92723,1217.72437,-10.98373,60.37307,1077.97754
11,0.083,-144.07173,61.82635,1314.12268,-14.22058,65.29379,1229.3407,-239.68272,68.60326,1217.65308,-10.98373,60.37307,1077.97754
12,0.092,-143.90685,61.76304,1314.11145,-14.7329,65.81609,1229.01428,-239.81953,68.05462,1217.76685,-11.03568,60.64312,1078.07397
13,0.1,-144.07173,61.82635,1314.12268,-14.72245,65.91561,1229.26086,-239.81953,68.05462,1217.76685,-11.03568,60.64312,1078.07397
14,0.108,-143.91718,61.69349,1314.21362,-14.7329,65.81609,1229.01428,-239.82219,67.95557,1217.67712,-11.05249,60.88838,1077.77039
15,0.117,-143.90685,61.76304,1314.11145,-14.46816,65.84737,1228.88086,-239.5647,68.42314,1217.57336,-11.24783,61.44499,1077.58691
16,0.125,-143.90685,61.76304,1314.11145,-14.35488,66.97533,1228.95972,-239.5647,68.42314,1217.57336,-11.34229,61.74303,1077.40918
17,0.133,-143.82367,61.72448,1314.17712,-14.13345,66.78882,1228.66187,-239.5647,68.42314,1217.57336,-11.34229,61.74303,1077.40918
18,0.142,-143.90685,61.76304,1314.11145,-14.19274,67.05565,1228.8092,-239.82219,67.95557,1217.67712,-11.34229,61.74303,1077.40918
19,0.15,-143.90685,61.76304,1314.11145,-14.27654,67.0313,1228.86768,-239.5647,68.42314,1217.57336,-11.34229,61.74303,1077.40918
20,0.158,-143.68321,61.60379,1314.25977,-14.34748,67.1396,1228.77173,-239.5647,68.42314,1217.57336,-11.34229,61.74303,1077.40918
21,0.167,-143.53459,61.65741,1313.86865,-14.20873,67.43304,1228.74524,-239.08885,68.12508,1217.52734,-11.34229,61.74303,1077.40918
22,0.175,-143.46381,61.72222,1314.07813,-14.42281,67.78377,1228.85498,-239.29428,68.24946,1217.5863,-11.34229,61.74303,1077.40918
23,0.183,-143.44789,61.63436,1313.88245,-14.08724,67.60614,1228.76636,-239.08885,68.12508,1217.52734,-11.23096,61.19967,1077.8905
