Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,250.61398,-258.53989,283.96729,168.76196,-224.69217,79.06471,248.68721,-154.88377,100.13909
2,0.008,250.61398,-258.53989,283.96729,168.76196,-224.69217,79.06471,248.68721,-154.88377,100.13909
3,0.017,250.61398,-258.53989,283.96729,168.88631,-224.51154,79.02261,248.49385,-154.75333,100.21342
4,0.025,250.61398,-258.53989,283.96729,168.88631,-224.51154,79.02261,248.834,-154.99109,100.21046
5,0.033,250.61398,-258.53989,283.96729,168.76196,-224.69217,79.06471,248.68721,-154.88377,100.13909
6,0.042,250.61398,-258.53989,283.96729,168.88631,-224.51154,79.02261,248.68721,-154.88377,100.13909
7,0.05,250.61398,-258.53989,283.96729,168.76196,-224.69217,79.06471,248.68721,-154.88377,100.13909
8,0.058,250.61398,-258.53989,283.96729,168.76196,-224.69217,79.06471,248.68721,-154.88377,100.13909
9,0.067,250.61398,-258.53989,283.96729,168.84831,-224.42903,78.73335,248.77931,-154.66333,99.98412
10,0.075,250.61398,-258.53989,283.96729,168.84831,-224.42903,78.73335,248.77931,-154.66333,99.98412
11,0.083,250.61398,-258.53989,283.96729,168.84831,-224.42903,78.73335,248.77931,-154.66333,99.98412
12,0.092,250.61398,-258.53989,283.96729,168.76196,-224.69217,79.06471,248.68721,-154.88377,100.13909
13,0.1,250.61398,-258.53989,283.96729,168.88631,-224.51154,79.02261,248.68721,-154.88377,100.13909
14,0.108,250.61398,-258.53989,283.96729,168.84831,-224.42903,78.73335,248.85629,-154.63498,99.816
15,0.117,250.61398,-258.53989,283.96729,168.84831,-224.42903,78.73335,249.01091,-154.6391,99.6937
16,0.125,250.69327,-258.422,283.90158,168.97266,-224.2484,78.69125,248.85629,-154.63498,99.816
17,0.133,250.69279,-258.41879,283.95285,168.84831,-224.42903,78.73335,248.8063,-154.53658,99.51529
18,0.142,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.8063,-154.53658,99.51529
19,0.15,250.93973,-258.19537,283.65097,168.84831,-224.42903,78.73335,249.02295,-154.55273,99.74155
20,0.158,250.84602,-258.33344,283.72104,168.97266,-224.2484,78.69125,249.01175,-154.58524,99.50455
21,0.167,250.82744,-258.35089,283.68661,168.84831,-224.42903,78.73335,248.90414,-154.5087,99.332
22,0.175,250.84602,-258.33344,283.72104,168.97266,-224.2484,78.69125,248.90414,-154.5087,99.332
23,0.183,250.93973,-258.19537,283.65097,168.84831,-224.42903,78.73335,248.90414,-154.5087,99.332
24,0.192,250.84602,-258.33344,283.72104,168.97266,-224.2484,78.69125,248.90414,-154.5087,99.332
25,0.2,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.71072,-154.37822,99.4064
26,0.208,250.84602,-258.33344,283.72104,168.97266,-224.2484,78.69125,248.71072,-154.37822,99.4064
27,0.217,250.84602,-258.33344,283.72104,168.97266,-224.2484,78.69125,248.90414,-154.5087,99.332
28,0.225,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.90414,-154.5087,99.332
29,0.233,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.65208,-154.41267,99.21869
30,0.242,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.86534,-154.41531,99.08344
31,0.25,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.90414,-154.5087,99.332
32,0.258,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.90414,-154.5087,99.332
33,0.267,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.90414,-154.5087,99.332
34,0.275,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.71072,-154.37822,99.4064
35,0.283,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.65208,-154.41267,99.21869
36,0.292,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.65208,-154.41267,99.21869
37,0.3,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.65208,-154.41267,99.21869
38,0.308,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.90414,-154.5087,99.332
39,0.317,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.90414,-154.5087,99.332
40,0.325,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.90414,-154.5087,99.332
41,0.333,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.90414,-154.5087,99.332
42,0.342,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.90414,-154.5087,99.332
43,0.35,250.89189,-258.46201,283.68454,168.97266,-224.2484,78.69125,248.90414,-154.5087,99.332
44,0.358,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.65208,-154.41267,99.21869
45,0.367,250.93973,-258.19537,283.65097,168.97266,-224.2484,78.69125,248.90414,-154.5087,99.332
46,0.375,250.93973,-258.19537,283.65097,168.97266,-224.2484,78.69125,248.90414,-154.5087,99.332
47,0.383,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.90414,-154.5087,99.332
48,0.392,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,248.90414,-154.5087,99.332
49,0.4,250.93973,-258.19537,283.65097,169.12965,-224.14554,78.72823,248.90414,-154.5087,99.332
50,0.408,250.93973,-258.19537,283.65097,168.88631,-224.51154,79.02261,248.65208,-154.41267,99.21869
51,0.417,250.82744,-258.35089,283.68661,168.88631,-224.51154,79.02261,248.90414,-154.5087,99.332
52,0.425,250.82744,-258.35089,283.68661,168.97266,-224.2484,78.69125,249.21635,-154.68321,99.66717
53,0.433,250.93973,-258.19537,283.65097,168.88631,-224.51154,79.02261,249.01175,-154.58524,99.50455
54,0.442,250.93973,-258.19537,283.65097,168.88631,-224.51154,79.02261,249.01091,-154.6391,99.6937
55,0.45,250.69327,-258.422,283.90158,169.04327,-224.40868,79.0596,248.91882,-154.85948,99.84864
56,0.458,250.61398,-258.53989,283.96729,169.04327,-224.40868,79.0596,248.91882,-154.85948,99.84864
57,0.467,250.69327,-258.422,283.90158,168.76196,-224.69217,79.06471,249.01091,-154.6391,99.6937
58,0.475,250.78651,-258.2807,283.88275,168.88631,-224.51154,79.02261,248.68721,-154.88377,100.13909
59,0.483,250.78651,-258.2807,283.88275,168.88631,-224.51154,79.02261,248.68721,-154.88377,100.13909
60,0.492,250.61398,-258.53989,283.96729,169.04327,-224.40868,79.0596,248.68721,-154.88377,100.13909
61,0.5,250.61398,-258.53989,283.96729,168.88631,-224.51154,79.02261,248.68721,-154.88377,100.13909
62,0.508,250.61398,-258.53989,283.96729,168.88631,-224.51154,79.02261,248.68721,-154.88377,100.13909
63,0.517,250.61398,-258.53989,283.96729,168.88631,-224.51154,79.02261,248.68721,-154.88377,100.13909
64,0.525,250.61398,-258.53989,283.96729,168.88631,-224.51154,79.02261,248.68721,-154.88377,100.13909
65,0.533,250.61398,-258.53989,283.96729,168.76196,-224.69217,79.06471,248.834,-154.99109,100.21046
66,0.542,250.61398,-258.53989,283.96729,168.76196,-224.69217,79.06471,248.68721,-154.88377,100.13909
67,0.55,250.61398,-258.53989,283.96729,168.76196,-224.69217,79.06471,248.68721,-154.88377,100.13909
68,0.558,250.61398,-258.53989,283.96729,168.76196,-224.69217,79.06471,248.68721,-154.88377,100.13909
69,0.567,250.69327,-258.422,283.90158,168.88631,-224.51154,79.02261,248.68721,-154.88377,100.13909
70,0.575,250.78651,-258.2807,283.88275,168.88631,-224.51154,79.02261,248.68721,-154.88377,100.13909
71,0.583,250.78651,-258.2807,283.88275,168.88631,-224.51154,79.02261,248.77931,-154.66333,99.98412
72,0.592,250.69327,-258.422,283.90158,168.88631,-224.51154,79.02261,248.77931,-154.66333,99.98412
73,0.6,250.69327,-258.422,283.90158,168.76196,-224.69217,79.06471,248.77931,-154.66333,99.98412
74,0.608,250.69327,-258.422,283.90158,168.88631,-224.51154,79.02261,248.77931,-154.66333,99.98412
75,0.617,250.69327,-258.422,283.90158,168.88631,-224.51154,79.02261,248.77931,-154.66333,99.98412
76,0.625,250.78651,-258.2807,283.88275,168.88631,-224.51154,79.02261,248.85629,-154.63498,99.816
77,0.633,250.78651,-258.2807,283.88275,169.12965,-224.14554,78.72823,248.85629,-154.63498,99.816
78,0.642,250.69327,-258.422,283.90158,169.12965,-224.14554,78.72823,248.85629,-154.63498,99.816
