Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,-89.6935,317.55005,938.41846,46.33477,340.93591,888.39484,37.20481,273.76389,801.51947
2,0.008,-89.83424,317.72397,939.12085,46.38951,342.1463,889.88098,38.16645,275.20483,802.45337
3,0.017,-89.14285,317.81158,939.66388,47.27478,342.57806,890.52509,39.08446,274.78113,804.34137
4,0.025,-89.01832,318.26205,939.98743,46.97755,343.44638,891.66064,40.23243,276.20807,805.5166
5,0.033,-89.2121,318.5112,940.47388,46.9612,342.65421,892.07526,41.19563,276.16641,806.02026
6,0.042,-89.33448,318.54123,940.72821,47.2529,343.21515,894.22003,40.78536,276.83829,806.3432
7,0.05,-89.29462,317.8718,940.94348,47.49674,343.19876,894.91821,41.76205,277.52411,808.24402
8,0.058,-89.07951,317.93152,941.68268,47.60234,343.71646,896.42731,41.87508,278.78589,808.74121
9,0.067,-89.14323,317.87357,941.76648,48.00261,343.49554,897.14569,42.08916,279.66257,810.11896
10,0.075,-89.32713,317.65631,941.95282,48.88809,344.36435,898.60162,42.81455,280.4487,810.95538
11,0.083,-89.56809,317.95834,942.52118,48.80864,344.55649,899.35272,43.53149,281.01352,811.84668
12,0.092,-89.48624,318.37497,943.59283,49.49352,345.30176,901.1991,44.05894,281.58655,812.5578
13,0.1,-89.26557,318.30103,943.96057,50.00977,345.92621,902.27728,45.42568,281.88824,814.40369
14,0.108,-88.88567,318.90775,945.03491,49.61799,345.74411,903.73431,46.62141,282.63898,815.4162
15,0.117,-88.75047,318.85855,946.42694,50.09731,346.13797,905.79688,46.80069,283.47314,817.09473
16,0.125,-88.76485,318.52679,946.66101,50.14432,346.00946,907.01074,46.85277,284.22241,817.63971
17,0.133,-88.71927,318.3642,946.81647,50.41757,346.98166,908.06519,47.45359,285.49203,819.24701
