Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,272.91135,307.1058,296.53998,178.45715,249.11861,75.86873,248.45172,176.21114,106.08924
2,0.008,272.72409,307.48569,296.75388,178.46806,249.03697,76.18446,248.33244,176.39915,105.92012
3,0.017,272.60925,307.68893,296.72849,178.39365,249.01022,76.32417,247.97551,176.3013,105.78671
4,0.025,272.63605,307.91074,296.63315,178.69429,248.63364,76.27393,247.97551,176.3013,105.78671
5,0.033,272.49387,308.06177,296.57571,178.39365,249.01022,76.32417,248.36531,176.27304,105.84708
6,0.042,272.58478,308.07568,296.55008,178.7494,249.01028,76.16103,248.06033,176.38663,105.91563
7,0.05,272.49387,308.06177,296.57571,178.19601,249.06714,76.19042,248.33244,176.39915,105.92012
8,0.058,272.58478,308.07568,296.55008,178.19601,249.06714,76.19042,248.06033,176.38663,105.91563
9,0.067,272.45331,308.14954,296.51559,178.45715,249.11861,75.86873,248.20146,176.22719,106.06122
10,0.075,272.45331,308.14954,296.51559,178.45715,249.11861,75.86873,248.06033,176.38663,105.91563
11,0.083,272.54224,308.15939,296.49341,178.9075,249.0675,75.86411,248.20146,176.22719,106.06122
12,0.092,272.58478,308.07568,296.55008,178.64659,249.10158,75.84914,248.68282,175.90042,106.22202
13,0.1,272.41119,308.13235,296.53943,178.45715,249.11861,75.86873,248.20146,176.22719,106.06122
14,0.108,272.27975,308.20621,296.50497,178.35403,249.1243,75.89353,248.20146,176.22719,106.06122
15,0.117,272.36865,308.21606,296.48276,178.9075,249.0675,75.86411,248.06033,176.38663,105.91563
16,0.125,272.26099,308.2764,296.36737,178.9075,249.0675,75.86411,248.20146,176.22719,106.06122
17,0.133,272.17209,308.26654,296.38959,178.9075,249.0675,75.86411,248.20146,176.22719,106.06122
18,0.142,272.17209,308.26654,296.38959,178.9075,249.0675,75.86411,248.06033,176.38663,105.91563
19,0.15,272.17209,308.26654,296.38959,178.64659,249.10158,75.84914,248.68282,175.90042,106.22202
20,0.158,272.17209,308.26654,296.38959,178.45715,249.11861,75.86873,248.68282,175.90042,106.22202
21,0.167,272.26099,308.2764,296.36737,178.63159,249.09564,75.61686,248.06033,176.38663,105.91563
22,0.175,272.4314,308.21951,296.38303,178.9075,249.0675,75.86411,248.20146,176.22719,106.06122
23,0.183,272.26099,308.2764,296.36737,178.64659,249.10158,75.84914,248.54167,176.05986,106.07645
24,0.192,272.17209,308.26654,296.38959,178.55312,248.7594,75.84357,248.68282,175.90042,106.22202
25,0.2,272.17209,308.26654,296.38959,178.8925,249.06157,75.63182,248.68282,175.90042,106.22202
26,0.208,272.21259,308.1788,296.44971,178.64659,249.10158,75.84914,248.20146,176.22719,106.06122
27,0.217,272.21259,308.1788,296.44971,178.64659,249.10158,75.84914,248.54167,176.05986,106.07645
28,0.225,272.17209,308.26654,296.38959,178.9075,249.0675,75.86411,248.54167,176.05986,106.07645
29,0.233,272.49387,308.06177,296.57571,178.9075,249.0675,75.86411,248.06033,176.38663,105.91563
30,0.242,272.17209,308.26654,296.38959,178.9075,249.0675,75.86411,248.20146,176.22719,106.06122
31,0.25,272.4314,308.21951,296.38303,178.64659,249.10158,75.84914,248.20146,176.22719,106.06122
32,0.258,272.38303,308.12192,296.46533,178.64659,249.10158,75.84914,248.20146,176.22719,106.06122
33,0.267,272.38303,308.12192,296.46533,178.9075,249.0675,75.86411,248.45688,175.97455,105.94756
34,0.275,272.49387,308.06177,296.57571,178.64659,249.10158,75.84914,248.06033,176.38663,105.91563
35,0.283,272.49387,308.06177,296.57571,178.64659,249.10158,75.84914,248.20146,176.22719,106.06122
