Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,-148.45645,339.56082,860.07977,-50.72957,362.92642,731.10278,-121.23456,305.40558,675.62909
2,0.008,-148.8308,339.1048,860.10516,-50.7618,363.25125,731.77588,-121.23456,305.40558,675.62909
3,0.017,-148.8308,339.1048,860.10516,-50.78865,363.36139,731.67761,-121.23456,305.40558,675.62909
4,0.025,-149.17845,338.87137,860.24927,-50.90803,363.33029,731.75085,-121.23456,305.40558,675.62909
5,0.033,-149.31032,339.2363,860.49072,-50.53677,363.34058,731.91504,-120.98962,305.10632,675.91449
6,0.042,-149.31688,339.33533,860.89435,-51.26942,363.4614,731.72449,-121.23456,305.40558,675.62909
7,0.05,-148.95564,339.08789,860.17169,-51.23216,363.3457,731.82458,-120.98962,305.10632,675.91449
8,0.058,-149.20695,339.63184,860.76929,-51.23216,363.3457,731.82458,-120.98962,305.10632,675.91449
9,0.067,-149.08752,339.45276,860.41315,-51.26942,363.4614,731.72449,-121.23456,305.40558,675.62909
10,0.075,-149.41064,339.13046,860.55786,-51.26942,363.4614,731.72449,-120.98962,305.10632,675.91449
11,0.083,-149.31032,339.2363,860.49072,-51.26942,363.4614,731.72449,-121.43377,304.22952,676.11487
12,0.092,-149.06853,339.16794,860.12415,-51.30145,363.42114,731.49139,-121.56318,304.90244,675.68915
13,0.1,-149.20695,339.63184,860.76929,-51.30145,363.42114,731.49139,-121.56318,304.90244,675.68915
14,0.108,-149.24588,339.11789,860.01538,-51.41631,363.95111,731.36249,-121.56318,304.90244,675.68915
15,0.117,-149.24588,339.11789,860.01538,-51.45097,363.91391,730.97888,-121.56318,304.90244,675.68915
16,0.125,-149.24588,339.11789,860.01538,-51.63168,363.98676,730.53937,-121.56318,304.90244,675.68915
17,0.133,-149.24588,339.11789,860.01538,-51.77916,364.08334,730.72064,-121.81567,305.03839,675.43225
18,0.142,-149.24588,339.11789,860.01538,-51.706,364.19864,730.24103,-121.56318,304.90244,675.68915
19,0.15,-149.24588,339.11789,860.01538,-51.86635,364.21674,730.05048,-121.81567,305.03839,675.43225
20,0.158,-148.87146,339.57394,859.98999,-51.86635,364.21674,730.05048,-121.77351,305.0007,675.06482
21,0.167,-148.87146,339.57394,859.98999,-51.86635,364.21674,730.05048,-121.77351,305.0007,675.06482
22,0.175,-148.74579,339.59772,859.91534,-51.86635,364.21674,730.05048,-121.77351,305.0007,675.06482
23,0.183,-148.74579,339.59772,859.91534,-51.86635,364.21674,730.05048,-121.77351,305.0007,675.06482
24,0.192,-149.04913,340.13327,859.85315,-51.86635,364.21674,730.05048,-121.77351,305.0007,675.06482
