Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,427.45563,-184.03253,1273.52747,401.224,-164.11409,1323.29211,402.95932,-135.8546,1352.68591,419.59576,-110.5502,1381.77246,470.25232,-102.5304,1290.7522,476.75784,-56.63924,1295.91162,475.11301,-7.94065,1296.89966
2,0.008,427.70984,-183.94827,1273.52893,401.07468,-163.87743,1323.18787,403.17047,-135.24495,1353.05713,419.54517,-110.17409,1381.88574,470.32281,-102.1918,1290.98169,476.46106,-56.2432,1295.45264,475.57724,-7.47977,1296.99951
3,0.017,427.9729,-183.82156,1273.58337,401.07468,-163.87743,1323.18787,402.8884,-134.88048,1352.41467,419.61765,-110.07784,1381.70837,470.83405,-102.16978,1291.09033,476.46106,-56.2432,1295.45264,475.11221,-7.35029,1296.10828
4,0.025,427.9729,-183.82156,1273.58337,400.98135,-163.37146,1323.30762,403.17688,-134.7092,1352.51758,419.07645,-109.41028,1381.18787,470.55298,-102.09452,1291.0813,476.46106,-56.2432,1295.45264,475.18344,-7.05097,1296.9801
5,0.033,427.9729,-183.82156,1273.58337,401.24097,-163.08795,1323.27649,403.1149,-134.65167,1352.35815,419.07645,-109.41028,1381.18787,470.64206,-101.78258,1291.28259,476.46106,-56.2432,1295.45264,475.18344,-7.05097,1296.9801
6,0.042,428.08246,-183.70743,1273.32837,401.24957,-162.60625,1323.20813,403.1149,-134.65167,1352.35815,419.11957,-109.04695,1381.08289,470.64206,-101.78258,1291.28259,476.46106,-56.2432,1295.45264,475.18344,-7.05097,1296.9801
7,0.05,427.83383,-183.35271,1273.66785,401.24957,-162.60625,1323.20813,403.1149,-134.65167,1352.35815,419.02939,-108.89965,1381.16125,470.64206,-101.78258,1291.28259,476.46106,-56.2432,1295.45264,475.18344,-7.05097,1296.9801
8,0.058,427.83383,-183.35271,1273.66785,401.24957,-162.60625,1323.20813,403.1149,-134.65167,1352.35815,419.02939,-108.89965,1381.16125,470.37482,-101.56245,1291.22046,476.46106,-56.2432,1295.45264,475.18344,-7.05097,1296.9801
9,0.067,427.67566,-183.25011,1273.78137,401.24957,-162.60625,1323.20813,402.96078,-134.41515,1352.25745,418.74063,-108.82552,1380.8324,470.31973,-101.52554,1291.35522,476.46106,-56.2432,1295.45264,474.8689,-6.3492,1296.07556
10,0.075,427.67566,-183.25011,1273.78137,401.24957,-162.60625,1323.20813,403.0184,-134.20079,1352.38611,418.74063,-108.82552,1380.8324,470.37482,-101.56245,1291.22046,476.46106,-56.2432,1295.45264,474.78601,-5.99089,1297.00867
11,0.083,427.78668,-183.19574,1273.51453,401.24957,-162.60625,1323.20813,402.96078,-134.41515,1352.25745,418.90012,-108.73104,1380.90735,470.62207,-101.5811,1291.16382,476.46106,-56.2432,1295.45264,474.8689,-6.3492,1296.07556
12,0.092,427.94373,-182.75345,1273.39954,401.24957,-162.60625,1323.20813,403.0184,-134.20079,1352.38611,419.02939,-108.89965,1381.16125,470.62207,-101.5811,1291.16382,476.46106,-56.2432,1295.45264,474.8689,-6.3492,1296.07556
13,0.1,427.94373,-182.75345,1273.39954,401.24957,-162.60625,1323.20813,403.17252,-134.43729,1352.48694,419.02939,-108.89965,1381.16125,470.62207,-101.5811,1291.16382,476.07498,-55.49629,1295.1543,474.8689,-6.3492,1296.07556
14,0.108,428.19513,-182.847,1273.05664,401.24957,-162.60625,1323.20813,403.46094,-134.26596,1352.58984,419.02939,-108.89965,1381.16125,471.2395,-101.53572,1291.36365,475.61337,-55.47938,1295.16833,474.71005,-6.26911,1296.17493
15,0.117,428.19513,-182.847,1273.05664,401.24957,-162.60625,1323.20813,403.46094,-134.26596,1352.58984,419.02939,-108.89965,1381.16125,471.41095,-101.75507,1291.42383,475.99966,-56.22644,1295.46692,474.71005,-6.26911,1296.17493
16,0.125,428.36011,-182.82375,1273.41626,401.24957,-162.60625,1323.20813,403.46094,-134.26596,1352.58984,419.1478,-108.9548,1380.92554,471.41095,-101.75507,1291.42383,475.61337,-55.47938,1295.16833,474.71005,-6.26911,1296.17493
17,0.133,428.5043,-182.77579,1273.0321,401.24957,-162.60625,1323.20813,403.46094,-134.26596,1352.58984,419.1478,-108.9548,1380.92554,471.41095,-101.75507,1291.42383,476.09946,-56.14297,1295.59253,474.71005,-6.26911,1296.17493
18,0.142,428.51553,-182.91603,1273.31091,401.24957,-162.60625,1323.20813,403.46094,-134.26596,1352.58984,419.19006,-108.73438,1381.1438,471.31436,-101.37878,1291.59448,476.09946,-56.14297,1295.59253,474.56168,-6.27057,1296.07214
19,0.15,428.51553,-182.91603,1273.31091,401.57996,-162.54456,1323.19861,403.46094,-134.26596,1352.58984,419.11957,-109.04695,1381.08289,471.41095,-101.75507,1291.42383,475.65057,-56.11587,1295.62256,474.73843,-6.23055,1296.34619
