Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,-56.15411,-267.51913,892.88416,35.27396,-218.89276,803.61444,37.69684,-150.14461,911.16418
2,0.008,-56.43576,-267.31046,892.36072,35.02053,-218.77563,803.47864,37.69684,-150.14461,911.16418
3,0.017,-56.23304,-267.4306,892.19574,35.23652,-219.01814,803.18921,37.80122,-150.21371,910.66882
4,0.025,-56.23304,-267.4306,892.19574,35.23652,-219.01814,803.18921,37.7994,-149.8739,910.30231
5,0.033,-56.23304,-267.4306,892.19574,35.23652,-219.01814,803.18921,37.95949,-148.44789,908.86731
6,0.042,-56.03823,-266.90714,891.85095,35.37803,-219.38927,802.93176,38.11297,-148.45238,908.63055
7,0.05,-55.70127,-266.96515,890.7439,35.26833,-219.74577,802.82721,38.11297,-148.45238,908.63055
8,0.058,-55.70596,-267.35275,890.37811,35.29422,-219.53804,802.64502,38.30025,-148.21988,908.11035
9,0.067,-55.70596,-267.35275,890.37811,35.29422,-219.53804,802.64502,38.01803,-147.4948,907.56293
10,0.075,-55.70596,-267.35275,890.37811,35.29422,-219.53804,802.64502,38.01803,-147.4948,907.56293
11,0.083,-55.70596,-267.35275,890.37811,35.23277,-219.54279,802.4259,38.01803,-147.4948,907.56293
12,0.092,-55.70596,-267.35275,890.37811,35.15354,-219.47485,801.92242,38.41916,-147.50258,907.37402
13,0.1,-55.70596,-267.35275,890.37811,35.15354,-219.47485,801.92242,38.41916,-147.50258,907.37402
14,0.108,-56.07681,-267.22495,890.35626,34.63335,-219.91739,800.69031,38.41916,-147.50258,907.37402
15,0.117,-56.36217,-267.43903,889.9375,34.46371,-219.55147,800.61273,38.63528,-147.17064,906.97559
16,0.125,-56.36217,-267.43903,889.9375,34.44884,-219.79694,800.41663,38.63528,-147.17064,906.97559
17,0.133,-56.66549,-267.22333,889.76801,34.47453,-219.7404,800.41608,38.07666,-147.664,906.65833
18,0.142,-56.66549,-267.22333,889.76801,34.63485,-219.74367,800.19995,38.07666,-147.664,906.65833
19,0.15,-56.59509,-267.12057,889.3092,34.71212,-219.53354,799.7627,38.07666,-147.664,906.65833
20,0.158,-56.39228,-267.24094,889.14429,33.80983,-218.43925,799.73889,38.12485,-147.98991,906.01538
21,0.167,-56.25085,-267.18979,888.84393,33.80983,-218.43925,799.73889,38.12485,-147.98991,906.01538
22,0.175,-56.33275,-266.82901,888.42383,33.15834,-218.38333,799.36755,38.12485,-147.98991,906.01538
23,0.183,-56.33275,-266.82901,888.42383,33.15834,-218.38333,799.36755,37.61793,-148.27722,905.77594
24,0.192,-56.33275,-266.82901,888.42383,32.38736,-217.93997,799.23547,38.14784,-147.76242,906.01715
25,0.2,-56.33275,-266.82901,888.42383,32.50843,-217.64386,799.08655,38.14784,-147.76242,906.01715
26,0.208,-56.58148,-266.60031,888.21405,32.50843,-217.64386,799.08655,38.14784,-147.76242,906.01715
27,0.217,-56.58148,-266.60031,888.21405,32.76144,-217.55251,799.073,38.14784,-147.76242,906.01715
28,0.225,-56.58148,-266.60031,888.21405,32.6921,-217.5818,799.18787,38.14784,-147.76242,906.01715
29,0.233,-56.77427,-266.65298,887.93201,32.6921,-217.5818,799.18787,37.88094,-147.73676,905.65558
30,0.242,-56.77427,-266.65298,887.93201,33.01449,-217.46127,799.05951,37.88094,-147.73676,905.65558
31,0.25,-56.77427,-266.65298,887.93201,33.25907,-217.85999,799.01581,38.14784,-147.76242,906.01715
32,0.258,-56.77427,-266.65298,887.93201,33.53243,-217.996,799.2052,38.14784,-147.76242,906.01715
33,0.267,-56.58148,-266.60031,888.21405,33.8514,-218.0753,799.08624,38.14784,-147.76242,906.01715
34,0.275,-56.58148,-266.60031,888.21405,34.19059,-218.2354,799.28345,38.14784,-147.76242,906.01715
35,0.283,-56.33275,-266.82901,888.42383,34.19059,-218.2354,799.28345,38.14784,-147.76242,906.01715
36,0.292,-56.33275,-266.82901,888.42383,33.47443,-218.02008,799.30164,38.44302,-147.71719,906.05682
37,0.3,-56.33275,-266.82901,888.42383,33.86962,-218.14798,799.37079,38.53417,-147.59354,906.20337
38,0.308,-56.25085,-267.18979,888.84393,34.19059,-218.2354,799.28345,38.53417,-147.59354,906.20337
39,0.317,-56.25085,-267.18979,888.84393,34.19059,-218.2354,799.28345,38.53417,-147.59354,906.20337
40,0.325,-56.25085,-267.18979,888.84393,34.19059,-218.2354,799.28345,38.53417,-147.59354,906.20337
41,0.333,-56.39228,-267.24094,889.14429,34.19059,-218.2354,799.28345,38.42517,-147.4485,906.3869
42,0.342,-56.39228,-267.24094,889.14429,34.54329,-218.6815,799.72021,38.32306,-147.17029,906.56451
43,0.35,-56.4168,-267.0462,889.3418,34.61221,-218.59412,800.13269,38.07666,-147.664,906.65833
44,0.358,-56.4168,-267.0462,889.3418,34.33548,-218.80673,800.38788,38.32306,-147.17029,906.56451
45,0.367,-56.59727,-266.91672,889.51086,34.45518,-218.70276,800.35419,38.90874,-146.63945,906.82068
46,0.375,-56.4168,-267.0462,889.3418,34.29478,-218.6994,800.57037,38.90874,-146.63945,906.82068
47,0.383,-56.29397,-267.13242,889.68042,34.46371,-219.55147,800.61273,38.90874,-146.63945,906.82068
48,0.392,-56.29397,-267.13242,889.68042,34.33548,-218.80673,800.38788,38.90874,-146.63945,906.82068
49,0.4,-56.29397,-267.13242,889.68042,34.36252,-218.45621,800.65637,38.90874,-146.63945,906.82068
50,0.408,-56.29397,-267.13242,889.68042,34.33548,-218.80673,800.38788,38.90874,-146.63945,906.82068
51,0.417,-56.29397,-267.13242,889.68042,34.28008,-218.48792,800.90607,38.90874,-146.63945,906.82068
52,0.425,-56.29397,-267.13242,889.68042,34.36252,-218.45621,800.65637,38.90874,-146.63945,906.82068
53,0.433,-56.29397,-267.13242,889.68042,34.36252,-218.45621,800.65637,39.50604,-146.21907,906.24414
54,0.442,-56.29397,-267.13242,889.68042,34.5636,-218.27202,800.72839,38.68296,-147.00439,907.17834
55,0.45,-56.29397,-267.13242,889.68042,34.48115,-218.30373,800.97815,38.90874,-146.63945,906.82068
56,0.458,-56.18171,-267.56854,889.76849,34.67443,-219.55508,800.49164,38.68296,-147.00439,907.17834
57,0.467,-56.29397,-267.13242,889.68042,34.73252,-219.12411,800.77069,39.50604,-146.21907,906.24414
58,0.475,-56.1135,-267.26193,889.51141,34.84059,-219.28032,801.2782,39.10385,-146.58447,906.62756
59,0.483,-56.1135,-267.26193,889.51141,34.92303,-219.24863,801.02856,38.90874,-146.63945,906.82068
60,0.492,-56.1135,-267.26193,889.51141,34.92303,-219.24863,801.02856,38.90874,-146.63945,906.82068
61,0.5,-56.1135,-267.26193,889.51141,34.92303,-219.24863,801.02856,38.90874,-146.63945,906.82068
