Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,52.77091,131.65881,54.42606,260.41821,223.79842,46.64694,208.67964,170.14902,86.40645
2,0.008,52.78146,131.69638,54.59566,260.50739,223.57968,46.58189,208.67964,170.14902,86.40645
3,0.017,52.72097,131.65721,54.4868,260.42639,223.82085,46.58573,208.67964,170.14902,86.40645
4,0.025,52.54176,132.35448,54.99308,260.59821,223.45476,46.70056,208.52252,170.18349,86.49191
5,0.033,52.78146,131.69638,54.59566,260.59821,223.45476,46.70056,208.63268,170.05275,86.39989
6,0.042,52.78146,131.69638,54.59566,260.6272,223.78082,46.8782,208.63268,170.05275,86.39989
7,0.05,52.78146,131.69638,54.59566,260.70819,223.53967,46.87438,208.63268,170.05275,86.39989
8,0.058,52.47863,132.31728,54.89153,260.49924,223.55727,46.6431,208.52252,170.18349,86.49191
9,0.067,52.78146,131.69638,54.59566,260.59821,223.45476,46.70056,208.63268,170.05275,86.39989
10,0.075,52.9577,131.63983,54.62878,260.59821,223.45476,46.70056,208.63268,170.05275,86.39989
11,0.083,52.73227,131.55312,54.43428,260.59821,223.45476,46.70056,208.63268,170.05275,86.39989
12,0.092,52.72097,131.65721,54.4868,260.40842,223.68217,46.52443,208.63268,170.05275,86.39989
13,0.1,52.78146,131.69638,54.59566,260.70819,223.53967,46.87438,208.63268,170.05275,86.39989
14,0.108,52.83785,131.49049,54.36673,260.70819,223.53967,46.87438,208.63268,170.05275,86.39989
15,0.117,52.77091,131.65881,54.42606,260.59821,223.45476,46.70056,208.63268,170.05275,86.39989
16,0.125,52.73227,131.55312,54.43428,260.59821,223.45476,46.70056,208.73611,169.81808,86.23496
17,0.133,52.90848,131.49657,54.4674,260.59821,223.45476,46.70056,208.75621,169.94737,86.29046
18,0.142,53.06401,131.43559,54.3391,260.59821,223.45476,46.70056,208.63268,170.05275,86.39989
19,0.15,53.01406,131.43398,54.39985,260.59821,223.45476,46.70056,208.63268,170.05275,86.39989
20,0.158,53.03216,131.55495,54.36574,260.59821,223.45476,46.70056,208.63268,170.05275,86.39989
21,0.167,52.82655,131.59459,54.41927,260.59821,223.45476,46.70056,208.63268,170.05275,86.39989
22,0.175,52.73227,131.55312,54.43428,260.70819,223.53967,46.87438,208.63268,170.05275,86.39989
23,0.183,52.72097,131.65721,54.4868,260.59821,223.45476,46.70056,208.63268,170.05275,86.39989
24,0.192,52.82655,131.59459,54.41927,260.51721,223.69591,46.7044,208.63268,170.05275,86.39989
25,0.2,52.83785,131.49049,54.36673,260.51721,223.69591,46.7044,208.63268,170.05275,86.39989
26,0.208,52.89719,131.60066,54.51993,260.50739,223.57968,46.58189,208.63268,170.05275,86.39989
27,0.217,53.01406,131.43398,54.39985,260.51721,223.69591,46.7044,208.63268,170.05275,86.39989
28,0.225,52.93788,131.51344,54.38075,260.51721,223.69591,46.7044,208.63268,170.05275,86.39989
29,0.233,53.03216,131.55495,54.36574,260.59821,223.45476,46.70056,208.63268,170.05275,86.39989
30,0.242,53.06401,131.43559,54.3391,260.51721,223.69591,46.7044,208.63268,170.05275,86.39989
31,0.25,52.72097,131.65721,54.4868,260.49924,223.55727,46.6431,208.5296,170.22766,86.42829
32,0.258,52.90848,131.49657,54.4674,260.41821,223.79842,46.64694,208.5296,170.22766,86.42829
33,0.267,52.90848,131.49657,54.4674,260.41821,223.79842,46.64694,208.5296,170.22766,86.42829
34,0.275,52.72097,131.65721,54.4868,260.53635,223.90575,46.75953,208.5296,170.22766,86.42829
35,0.283,52.77064,131.64815,54.43082,260.32739,223.92332,46.52827,208.5296,170.22766,86.42829
36,0.292,52.75036,131.67409,54.40016,260.41821,223.79842,46.64694,208.72794,170.05986,86.31358
37,0.3,52.73227,131.55312,54.43428,260.32739,223.92332,46.52827,208.63268,170.05275,86.39989
38,0.308,53.01406,131.43398,54.39985,260.41821,223.79842,46.64694,208.72794,170.05986,86.31358
39,0.317,52.95843,131.49817,54.40665,260.32739,223.92332,46.52827,208.72794,170.05986,86.31358
40,0.325,52.72097,131.65721,54.4868,260.42639,223.82085,46.58573,208.72794,170.05986,86.31358
41,0.333,52.44214,132.35756,54.75881,260.51721,223.69591,46.7044,208.72794,170.05986,86.31358
42,0.342,52.7915,131.86177,54.44935,260.6272,223.78082,46.8782,208.62485,170.23477,86.34198
43,0.35,52.68628,131.70776,54.34268,260.49924,223.55727,46.6431,208.5296,170.22766,86.42829
44,0.358,52.72097,131.65721,54.4868,260.41821,223.79842,46.64694,208.62485,170.23477,86.34198
45,0.367,52.58878,132.17441,54.77966,260.32739,223.92332,46.52827,208.72794,170.05986,86.31358
46,0.375,52.68628,131.70776,54.34268,260.41821,223.79842,46.64694,208.72794,170.05986,86.31358
47,0.383,52.79187,131.64516,54.27514,260.41821,223.79842,46.64694,208.63268,170.05275,86.39989
48,0.392,52.8625,131.65121,54.3758,260.41821,223.79842,46.64694,208.72794,170.05986,86.31358
49,0.4,52.8512,131.75531,54.42833,260.41821,223.79842,46.64694,208.62485,170.23477,86.34198
50,0.408,52.79187,131.64516,54.27514,260.42639,223.82085,46.58573,208.72794,170.05986,86.31358
51,0.417,52.78057,131.74925,54.32767,260.42639,223.82085,46.58573,208.72794,170.05986,86.31358
52,0.425,52.72097,131.65721,54.4868,260.41821,223.79842,46.64694,208.62485,170.23477,86.34198
53,0.433,52.47863,132.31728,54.89153,260.41821,223.79842,46.64694,208.61992,170.18811,86.39629
54,0.442,52.84182,131.64677,54.21438,260.42639,223.82085,46.58573,208.63268,170.05275,86.39989
55,0.45,52.72039,131.92757,54.39259,260.41821,223.79842,46.64694,208.5296,170.22766,86.42829
56,0.458,52.72039,131.92757,54.39259,260.5282,223.88332,46.82074,208.5296,170.22766,86.42829
57,0.467,52.73058,131.81297,54.3366,260.6272,223.78082,46.8782,208.5296,170.22766,86.42829
58,0.475,52.72097,131.65721,54.4868,260.61734,223.66461,46.7557,208.5296,170.22766,86.42829
59,0.483,52.82655,131.59459,54.41927,260.32739,223.92332,46.52827,208.5296,170.22766,86.42829
60,0.492,52.72097,131.65721,54.4868,260.51721,223.69591,46.7044,208.5296,170.22766,86.42829
61,0.5,52.78146,131.69638,54.59566,260.6272,223.78082,46.8782,208.5296,170.22766,86.42829
62,0.508,52.73547,131.85106,54.50406,260.6272,223.78082,46.8782,208.63268,170.05275,86.39989
63,0.517,52.54176,132.35448,54.99308,260.70819,223.53967,46.87438,208.52252,170.18349,86.49191
64,0.525,52.72097,131.65721,54.4868,260.41821,223.79842,46.64694,208.5296,170.22766,86.42829
65,0.533,52.73227,131.55312,54.43428,260.41821,223.79842,46.64694,208.63268,170.05275,86.39989
66,0.542,52.73227,131.55312,54.43428,260.51721,223.69591,46.7044,208.5296,170.22766,86.42829
67,0.55,52.82655,131.59459,54.41927,260.6272,223.78082,46.8782,208.5296,170.22766,86.42829
68,0.558,52.76046,131.76274,54.4868,260.70819,223.53967,46.87438,208.5296,170.22766,86.42829
69,0.567,52.51814,132.45863,54.92208,260.51721,223.69591,46.7044,208.63139,169.96915,86.45907
70,0.575,52.93199,131.74747,54.52517,260.70819,223.53967,46.87438,208.63268,170.05275,86.39989
71,0.583,53.05239,131.64752,54.44173,260.70819,223.53967,46.87438,208.63268,170.05275,86.39989
72,0.592,52.82139,131.81154,54.59956,260.6272,223.78082,46.8782,208.5296,170.22766,86.42829
73,0.6,52.82139,131.81154,54.59956,260.70819,223.53967,46.87438,208.63268,170.05275,86.39989
74,0.608,52.87106,131.69867,54.41242,260.59821,223.45476,46.70056,208.5296,170.22766,86.42829
75,0.617,52.76046,131.76274,54.4868,260.59821,223.45476,46.70056,208.63268,170.05275,86.39989
76,0.625,52.75036,131.67409,54.40016,260.70819,223.53967,46.87438,208.63268,170.05275,86.39989
77,0.633,52.88705,131.63377,54.52812,260.6272,223.78082,46.8782,208.5296,170.22766,86.42829
78,0.642,52.78146,131.69638,54.59566,260.70819,223.53967,46.87438,208.63268,170.05275,86.39989
79,0.65,52.90848,131.49657,54.4674,260.51721,223.69591,46.7044,208.63268,170.05275,86.39989
80,0.658,53.00277,131.53806,54.45238,260.59821,223.45476,46.70056,208.5296,170.22766,86.42829
81,0.667,52.89719,131.60066,54.51993,260.51721,223.69591,46.7044,208.63268,170.05275,86.39989
82,0.675,52.9577,131.63983,54.62878,260.70819,223.53967,46.87438,208.34016,170.33656,86.36073
83,0.683,53.06328,131.57724,54.56125,260.61734,223.66461,46.7557,208.5296,170.22766,86.42829
84,0.692,52.92658,131.61754,54.43328,260.70819,223.53967,46.87438,208.63268,170.05275,86.39989
85,0.7,53.01406,131.43398,54.39985,260.59821,223.45476,46.70056,208.63268,170.05275,86.39989
86,0.708,53.01406,131.43398,54.39985,260.70819,223.53967,46.87438,208.63268,170.05275,86.39989
87,0.717,52.95843,131.49817,54.40665,260.70819,223.53967,46.87438,208.75621,169.94737,86.29046
88,0.725,52.90848,131.49657,54.4674,260.70819,223.53967,46.87438,208.63268,170.05275,86.39989
89,0.733,52.90848,131.49657,54.4674,260.70819,223.53967,46.87438,208.75621,169.94737,86.29046
90,0.742,52.90848,131.49657,54.4674,260.70819,223.53967,46.87438,208.71562,169.74843,86.31604
