Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,-316.57803,17.48935,641.11157,-111.58027,-160.50264,650.17712,-120.05631,185.94528,636.52161
2,0.008,-316.57803,17.48935,641.11157,-111.61861,-160.3076,650.21289,-120.05631,185.94528,636.52161
3,0.017,-316.57803,17.48935,641.11157,-111.56712,-160.53151,650.32599,-114.86139,186.07784,637.28052
4,0.025,-316.29507,17.44733,641.13177,-111.34672,-160.55269,650.29901,-120.05631,185.94528,636.52161
5,0.033,-316.57803,17.48935,641.11157,-111.66174,-160.69279,650.33691,-120.05631,185.94528,636.52161
6,0.042,-316.57803,17.48935,641.11157,-111.56712,-160.53151,650.32599,-120.05631,185.94528,636.52161
7,0.05,-316.48111,17.65895,641.2312,-111.56712,-160.53151,650.32599,-114.86139,186.07784,637.28052
8,0.058,-316.06894,17.58232,641.59082,-111.34672,-160.55269,650.29901,-114.86139,186.07784,637.28052
9,0.067,-316.06894,17.58232,641.59082,-111.34672,-160.55269,650.29901,-114.86139,186.07784,637.28052
10,0.075,-316.06894,17.58232,641.59082,-111.56712,-160.53151,650.32599,-114.86139,186.07784,637.28052
11,0.083,-316.62534,17.48597,641.33307,-111.56712,-160.53151,650.32599,-114.86139,186.07784,637.28052
12,0.092,-316.52841,17.65558,641.4527,-111.58027,-160.50264,650.17712,-114.86139,186.07784,637.28052
13,0.1,-316.06894,17.58232,641.59082,-111.52457,-160.50719,650.45691,-114.86139,186.07784,637.28052
14,0.108,-316.06894,17.58232,641.59082,-111.52457,-160.50719,650.45691,-114.86139,186.07784,637.28052
15,0.117,-316.06894,17.58232,641.59082,-111.70087,-160.1562,650.36505,-114.86139,186.07784,637.28052
16,0.125,-316.41809,17.93306,641.64844,-111.65104,-159.81274,650.35004,-114.86139,186.07784,637.28052
17,0.133,-316.28189,18.08459,641.73474,-111.65104,-159.81274,650.35004,-114.86139,186.07784,637.28052
18,0.142,-316.19272,17.77333,641.64117,-112.07607,-160.62186,650.41602,-114.86139,186.07784,637.28052
19,0.15,-316.19272,17.77333,641.64117,-111.71513,-160.18079,650.53064,-114.86139,186.07784,637.28052
20,0.158,-316.9158,17.8776,641.65955,-111.57513,-159.94797,650.53729,-114.86139,186.07784,637.28052
21,0.167,-316.4527,17.81288,641.60522,-111.81155,-160.2917,650.62573,-114.86139,186.07784,637.28052
22,0.175,-316.28189,18.08459,641.73474,-111.6907,-160.09209,650.60486,-114.86139,186.07784,637.28052
23,0.183,-316.19272,17.77333,641.64117,-111.6907,-160.09209,650.60486,-114.86139,186.07784,637.28052
24,0.192,-316.69055,17.84024,641.75879,-111.6907,-160.09209,650.60486,-120.05631,185.94528,636.52161
25,0.2,-317.39462,18.23019,642.07538,-111.85459,-160.05226,650.49365,-114.86139,186.07784,637.28052
26,0.208,-317.39462,18.23019,642.07538,-111.97543,-160.25189,650.51447,-114.86139,186.07784,637.28052
