Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,-293.36752,28.27939,1112.57153,-183.31158,-152.15813,1100.89734,-225.91162,260.43204,1022.13123
2,0.008,-293.36752,28.27939,1112.57153,-182.83774,-151.25354,1101.16101,-225.91162,260.43204,1022.13123
3,0.017,-293.36752,28.27939,1112.57153,-182.76338,-150.9418,1101.49585,-225.82648,260.60184,1022.40643
4,0.025,-293.36752,28.27939,1112.57153,-182.00778,-150.20674,1101.84802,-225.91162,260.43204,1022.13123
5,0.033,-293.36752,28.27939,1112.57153,-182.06381,-150.09103,1101.9856,-225.91162,260.43204,1022.13123
6,0.042,-293.36752,28.27939,1112.57153,-181.99936,-150.14311,1102.5011,-225.91162,260.43204,1022.13123
7,0.05,-293.36752,28.27939,1112.57153,-181.2916,-149.93211,1103.26953,-225.82648,260.60184,1022.40643
8,0.058,-293.36752,28.27939,1112.57153,-181.28464,-149.83192,1103.54089,-225.82648,260.60184,1022.40643
9,0.067,-293.0686,27.29944,1112.59314,-181.08347,-149.49451,1103.71423,-225.82648,260.60184,1022.40643
10,0.075,-293.36752,28.27939,1112.57153,-181.00786,-149.53571,1104.0249,-225.82648,260.60184,1022.40643
11,0.083,-293.0686,27.29944,1112.59314,-180.94525,-149.09459,1104.56409,-225.82648,260.60184,1022.40643
12,0.092,-293.0686,27.29944,1112.59314,-180.70692,-148.96712,1104.83972,-225.82648,260.60184,1022.40643
13,0.1,-293.0686,27.29944,1112.59314,-180.46591,-148.4196,1105.06458,-225.82648,260.60184,1022.40643
14,0.108,-293.0686,27.29944,1112.59314,-179.68927,-148.10924,1105.56433,-225.82648,260.60184,1022.40643
15,0.117,-293.0686,27.29944,1112.59314,-180.31232,-147.7489,1105.53247,-225.91162,260.43204,1022.13123
16,0.125,-293.36752,28.27939,1112.57153,-180.5155,-146.8568,1105.53894,-225.82648,260.60184,1022.40643
17,0.133,-293.36752,28.27939,1112.57153,-180.09177,-146.46439,1106.05713,-225.82648,260.60184,1022.40643
18,0.142,-293.0686,27.29944,1112.59314,-179.43729,-146.87054,1106.16187,-226.01628,260.62704,1022.47314
19,0.15,-293.0686,27.29944,1112.59314,-179.26428,-146.89911,1106.29297,-226.56253,260.67969,1022.20184
20,0.158,-293.0686,27.29944,1112.59314,-179.6805,-145.83278,1106.23071,-226.56253,260.67969,1022.20184
21,0.167,-293.0686,27.29944,1112.59314,-179.48186,-145.77011,1106.20313,-226.56253,260.67969,1022.20184
22,0.175,-293.0686,27.29944,1112.59314,-179.30775,-145.25835,1106.36511,-226.01628,260.62704,1022.47314
23,0.183,-293.0686,27.29944,1112.59314,-179.10907,-145.19569,1106.3374,-226.47734,260.84943,1022.47699
24,0.192,-293.0686,27.29944,1112.59314,-178.87819,-144.75578,1106.56018,-226.56253,260.67969,1022.20184
25,0.2,-293.0686,27.29944,1112.59314,-178.62729,-144.50174,1107.00073,-226.56253,260.67969,1022.20184
