Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,54.56551,-191.87752,668.01093,45.05936,-139.17825,680.63177,65.71667,-88.1568,665.91382,102.15641,-61.46384,636.23267,130.50301,-161.10022,648.8277,130.93492,-97.69331,601.41406,85.98412,-59.77273,587.56506
2,0.008,54.39763,-191.31689,667.64337,45.79927,-139.4381,680.50256,65.81657,-88.023,665.78809,103.3632,-61.65147,636.72498,130.50301,-161.10022,648.8277,130.74091,-96.97881,601.33124,86.88301,-59.66113,587.94995
3,0.017,55.11956,-191.13013,666.44037,45.05936,-139.17825,680.63177,66.32447,-88.33621,666.77948,103.26107,-62.2271,636.98248,130.35542,-161.06714,648.98395,131.1223,-97.88188,601.25287,86.88301,-59.66113,587.94995
4,0.025,54.03813,-193.18048,668.16962,46.63185,-139.86357,681.48633,66.01215,-88.25753,667.22662,101.71829,-61.7602,636.8551,130.59875,-160.93016,648.9187,130.47165,-96.89177,601.51166,85.98412,-59.77273,587.56506
5,0.033,54.28247,-193.13438,668.41528,46.74459,-140.82019,682.08423,64.21454,-88.05603,667.24902,100.34361,-60.30484,637.86072,130.26909,-161.0204,649.05109,130.60097,-96.6367,601.25702,85.98412,-59.77273,587.56506
6,0.042,54.50897,-192.13789,667.85321,45.39185,-140.19435,681.92102,61.5814,-87.58617,668.91083,97.16033,-58.01599,639.5105,130.03371,-159.96393,649.19092,130.55704,-96.15373,601.27924,85.10252,-59.17271,587.84204
7,0.05,53.94868,-192.01875,668.91876,45.39185,-140.19435,681.92102,60.56568,-86.98907,669.98083,95.16316,-58.06611,641.00702,129.87006,-159.04077,649.17303,130.10341,-95.41017,601.89752,82.66629,-57.8149,586.8562
8,0.058,53.82432,-190.73853,669.35742,44.58375,-140.10725,682.90918,58.87543,-87.09878,671.6676,92.46206,-55.69477,641.54163,129.72206,-158.37169,649.16071,129.7384,-93.99741,602.73712,82.66629,-57.8149,586.8562
9,0.067,53.71563,-191.16,670.31207,42.71281,-139.05669,681.56909,57.36115,-87.58213,670.51984,91.23828,-54.65166,641.78308,130.45569,-156.23273,649.7193,129.37401,-93.84225,602.86011,83.31407,-55.62758,586.90747
10,0.075,53.52107,-191.13718,670.41711,42.04415,-137.28287,682.61316,57.10903,-87.48129,672.98419,89.31096,-54.2101,641.67975,129.75142,-155.15083,649.59607,129.37877,-93.38315,602.97534,82.62326,-55.64677,586.49243
11,0.083,54.95335,-190.88391,670.46375,44.54815,-141.18781,684.03546,56.61629,-87.49826,673.38837,87.79943,-53.46532,642.19202,129.86281,-154.68527,649.66144,126.06387,-91.22027,603.66925,82.19556,-55.09611,586.46411
12,0.092,54.77035,-190.51006,670.49664,43.12738,-140.72401,683.79126,56.41807,-87.21697,673.37292,87.7195,-52.74019,641.90265,128.53893,-155.15138,649.92786,126.06387,-91.22027,603.66925,82.07961,-54.67065,586.12598
13,0.1,52.89634,-190.63202,671.88165,43.12738,-140.72401,683.79126,57.05966,-86.13454,673.87958,86.77914,-51.87152,642.89429,128.65973,-153.84775,650.37695,126.06387,-91.22027,603.66925,82.07961,-54.67065,586.12598
14,0.108,52.67298,-191.26083,672.59467,45.10279,-141.9761,684.60651,56.53157,-85.85458,673.57465,87.31761,-52.70406,642.30359,128.65973,-153.84775,650.37695,126.06387,-91.22027,603.66925,82.07961,-54.67065,586.12598
15,0.117,52.67298,-191.26083,672.59467,45.10279,-141.9761,684.60651,56.77005,-87.00806,673.651,87.97372,-52.65903,641.83154,128.6788,-154.60188,650.19366,126.06387,-91.22027,603.66925,82.07961,-54.67065,586.12598
16,0.125,52.67298,-191.26083,672.59467,45.71059,-142.02191,684.6366,56.61629,-87.49826,673.38837,88.57088,-54.66927,641.59204,128.53893,-155.15138,649.92786,126.06387,-91.22027,603.66925,82.19556,-55.09611,586.46411
17,0.133,53.07959,-191.00626,671.84863,43.69564,-140.84114,682.45392,57.10903,-87.48129,672.98419,90.08334,-54.37874,641.61273,128.24509,-155.84818,649.67108,126.68092,-91.7682,604.13037,82.62326,-55.64677,586.49243
18,0.142,54.82417,-191.0414,670.13202,43.54406,-139.74617,683.08997,57.46492,-87.63374,672.71857,91.53506,-54.50552,641.76233,128.51727,-156.85287,649.91125,126.52183,-92.22754,603.96423,82.62326,-55.64677,586.49243
19,0.15,53.75316,-190.97072,670.42212,44.62575,-139.63689,682.89502,59.34902,-87.02231,672.07129,93.27219,-56.6683,640.71777,129.2616,-157.69225,649.75818,128.83121,-94.41084,603.56909,83.45418,-56.09616,587.24341
20,0.158,53.89062,-190.85977,669.86334,44.49246,-138.12086,682.4184,60.61925,-87.23852,671.92651,95.00819,-57.98797,639.96625,130.22858,-158.63071,649.40979,128.80084,-94.00239,603.59125,82.66629,-57.8149,586.8562
21,0.167,53.84652,-192.63329,669.56525,44.64034,-138.35155,681.86646,61.97423,-87.47536,669.07361,97.67514,-59.1946,638.91254,130.07561,-159.77672,649.35541,129.39026,-95.27563,602.29938,84.78747,-57.37951,587.45007
22,0.175,54.50624,-190.83673,667.92603,46.74459,-140.82019,682.08423,64.21454,-88.05603,667.24902,99.16484,-60.32998,636.87512,130.27686,-160.76935,649.26624,130.44481,-96.77119,601.39801,85.10252,-59.17271,587.84204
23,0.183,54.84594,-192.29567,666.49066,44.97778,-139.90686,680.98529,66.49568,-88.39178,667.44604,101.27354,-61.18484,636.78076,130.35542,-161.06714,648.98395,130.3855,-97.45027,601.92151,86.88301,-59.66113,587.94995
24,0.192,53.53915,-191.20126,666.6983,45.33331,-139.67416,680.29199,66.68127,-88.41416,666.85706,103.52303,-61.8192,636.88428,130.17963,-162.22769,648.95355,131.38826,-97.64309,601.90204,86.88301,-59.66113,587.94995
25,0.2,53.53915,-191.20126,666.6983,45.77889,-139.33084,679.24579,67.11488,-88.09961,666.03699,104.75728,-61.81445,637.15216,130.29305,-162.46713,648.9577,131.64539,-98.15109,601.4726,86.88301,-59.66113,587.94995
26,0.208,53.43748,-191.32613,665.99689,45.77889,-139.33084,679.24579,66.95045,-88.33344,666.51227,104.70204,-61.62511,637.83612,130.17464,-162.63475,648.90839,131.89804,-98.03331,601.2533,86.88301,-59.66113,587.94995
27,0.217,53.43748,-191.32613,665.99689,45.30415,-139.5266,679.91144,66.46722,-88.66994,667.09735,102.88693,-60.96385,638.1485,130.15607,-162.18649,648.81689,131.77129,-97.93029,601.37292,86.88301,-59.66113,587.94995
28,0.225,53.50314,-191.44852,666.50311,47.08623,-140.99463,681.46411,65.24469,-88.01356,667.68097,101.76759,-59.98633,639.62756,130.03047,-161.80943,648.80011,130.82175,-96.97237,601.31537,86.88301,-59.66113,587.94995
29,0.233,53.53915,-191.20126,666.6983,46.99767,-141.3127,681.79926,62.14111,-88.03042,668.89233,98.40569,-58.73666,640.60992,130.12427,-160.8427,648.91034,130.87558,-97.58265,601.00214,85.98412,-59.77273,587.56506
30,0.242,53.75851,-190.9055,666.80646,45.02791,-140.0043,681.72455,60.96956,-87.4074,669.32062,95.6226,-56.23803,641.90753,129.7843,-159.83664,648.81195,129.93098,-95.25619,600.93683,84.43776,-59.83794,586.53448
31,0.25,54.0857,-191.77119,668.86145,44.36679,-140.22545,681.96637,58.43,-86.97268,671.32794,92.62917,-54.694,642.39581,129.36104,-158.58762,649.16217,128.95744,-94.06703,601.13165,82.93935,-57.9238,586.09888
32,0.258,53.68967,-190.64349,669.48584,42.71281,-139.05669,681.56909,57.25558,-87.59077,672.83557,90.54324,-53.8855,641.81122,128.7907,-156.8461,649.37354,128.4075,-92.96448,602.04608,82.9249,-56.97412,586.13251
33,0.267,53.57049,-190.97276,670.52716,42.40936,-139.15775,681.60522,56.5072,-87.02105,670.89087,88.24805,-52.16067,642.13739,128.06322,-155.98445,649.4538,124.91512,-92.19539,602.26404,82.62326,-55.64677,586.49243
