Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,243.9895,-176.89874,315.7836,137.80249,-225.24329,95.62737,170.59019,-124.11135,102.73888
2,0.008,243.9895,-176.89874,315.7836,137.94191,-225.41109,95.66009,170.59019,-124.11135,102.73888
3,0.017,243.98534,-176.55943,315.77527,137.76147,-225.60776,95.59415,170.59019,-124.11135,102.73888
4,0.025,243.9895,-176.89874,315.7836,137.80249,-225.24329,95.62737,170.6463,-124.27828,102.83791
5,0.033,244.08369,-176.35889,315.82721,137.71397,-225.18808,95.628,171.06645,-124.51187,102.6514
6,0.042,243.98534,-176.55943,315.77527,137.93231,-225.44438,95.576,171.06645,-124.51187,102.6514
7,0.05,243.9895,-176.89874,315.7836,137.93231,-225.44438,95.576,170.59019,-124.11135,102.73888
8,0.058,243.9895,-176.89874,315.7836,137.98814,-225.2973,95.47785,170.59019,-124.11135,102.73888
9,0.067,244.08369,-176.35889,315.82721,137.63165,-225.40666,95.64552,170.8954,-124.22308,102.67827
10,0.075,243.98534,-176.55943,315.77527,137.86618,-225.24348,95.55718,170.44247,-123.84489,102.76397
11,0.083,244.08369,-176.35889,315.82721,137.93231,-225.44438,95.576,170.33086,-124.01308,102.60259
12,0.092,243.9895,-176.89874,315.7836,137.93231,-225.44438,95.576,170.59019,-124.11135,102.73888
13,0.1,244.08788,-176.69821,315.83557,137.93231,-225.44438,95.576,170.79132,-124.3956,102.51373
14,0.108,243.9895,-176.89874,315.7836,137.93231,-225.44438,95.576,171.13107,-124.69263,102.75488
15,0.117,244.12292,-176.6181,315.81006,137.80249,-225.24329,95.62737,170.8954,-124.22308,102.67827
16,0.125,244.22546,-176.75687,315.87036,137.81209,-225.20999,95.71146,171.06645,-124.51187,102.6514
17,0.133,244.2213,-176.41757,315.86203,137.93231,-225.44438,95.576,171.06645,-124.51187,102.6514
18,0.142,244.22546,-176.75687,315.87036,137.93231,-225.44438,95.576,170.79132,-124.3956,102.51373
19,0.15,243.9895,-176.89874,315.7836,137.86862,-225.44418,95.64619,170.33086,-124.01308,102.60259
20,0.158,243.9895,-176.89874,315.7836,137.7951,-225.52718,95.93835,171.06645,-124.51187,102.6514
21,0.167,243.9895,-176.89874,315.7836,137.93231,-225.44438,95.576,170.59019,-124.11135,102.73888
22,0.175,243.9895,-176.89874,315.7836,137.80249,-225.24329,95.62737,170.6463,-124.27828,102.83791
23,0.183,244.12709,-176.9574,315.81839,137.93231,-225.44438,95.576,170.6463,-124.27828,102.83791
24,0.192,244.12709,-176.9574,315.81839,137.93231,-225.44438,95.576,170.6463,-124.27828,102.83791
25,0.2,244.46205,-176.78575,315.89154,137.94191,-225.41109,95.66009,171.06645,-124.51187,102.6514
26,0.208,244.12709,-176.9574,315.81839,137.94191,-225.41109,95.66009,170.79132,-124.3956,102.51373
27,0.217,244.46205,-176.78575,315.89154,137.93231,-225.44438,95.576,170.59019,-124.11135,102.73888
28,0.225,244.36369,-176.98627,315.83957,137.93231,-225.44438,95.576,171.13107,-124.69263,102.75488
29,0.233,244.46205,-176.78575,315.89154,137.76147,-225.60776,95.59415,171.06645,-124.51187,102.6514
30,0.242,244.46205,-176.78575,315.89154,137.76147,-225.60776,95.59415,170.59019,-124.11135,102.73888
31,0.25,244.46205,-176.78575,315.89154,137.93231,-225.44438,95.576,170.6463,-124.27828,102.83791
32,0.258,244.46205,-176.78575,315.89154,137.86862,-225.44418,95.64619,170.59019,-124.11135,102.73888
33,0.267,244.46205,-176.78575,315.89154,137.86862,-225.44418,95.64619,170.33086,-124.01308,102.60259
34,0.275,244.46205,-176.78575,315.89154,137.94191,-225.41109,95.66009,170.59019,-124.11135,102.73888
35,0.283,244.46205,-176.78575,315.89154,137.94191,-225.41109,95.66009,170.59019,-124.11135,102.73888
36,0.292,244.36369,-176.98627,315.83957,137.69778,-225.60756,95.66434,170.59019,-124.11135,102.73888
37,0.3,244.36369,-176.98627,315.83957,137.69778,-225.60756,95.66434,170.59019,-124.11135,102.73888
38,0.308,244.46205,-176.78575,315.89154,137.94191,-225.41109,95.66009,171.06645,-124.51187,102.6514
