Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
1,0,1894.84961,-176.69609,670.06384,1896.24536,-146.0641,526.95825,1906.50854,-39.36294,512.88446
2,0.008,1893.17212,-176.99542,670.50635,1894.18359,-146.10866,526.84338,1902.88611,-41.25475,513.97327
3,0.017,1889.16931,-176.98087,669.30615,1893.35583,-146.00098,526.89093,1901.64526,-40.26426,513.83057
4,0.025,1887.25537,-176.2233,668.76141,1891.96655,-146.16948,526.62427,1903.4845,-38.31342,512.64471
5,0.033,1885.44971,-175.98058,668.75128,1891.06384,-146.07759,526.18286,1904.5033,-37.65083,512.27386
6,0.042,1883.78296,-176.46532,668.18127,1889.19226,-145.39362,525.80011,1901.51367,-39.13397,512.13788
7,0.05,1880.71631,-177.4751,668.57416,1887.39563,-146.47171,524.85791,1901.45276,-39.03806,512.11218
8,0.058,1879.32922,-177.44319,668.59589,1885.90979,-146.54218,524.90076,1901.05481,-38.30289,511.60608
9,0.067,1875.4812,-176.19528,666.74127,1883.22498,-144.29063,524.8725,1898.75012,-37.31686,511.05161
10,0.075,1873.71716,-175.8571,667.18475,1880.97363,-143.09645,524.3175,1894.95679,-38.16736,511.42795
11,0.083,1869.63196,-175.03053,667.41425,1879.31287,-143.91531,524.28143,1894.9502,-37.94861,510.51855
12,0.092,1869.68579,-175.07388,665.29553,1876.77356,-144.46312,524.35016,1893.91125,-37.95367,510.67169
13,0.1,1864.21472,-176.2599,667.06268,1876.06238,-144.52306,524.1521,1891.78857,-38.19792,509.82922
14,0.108,1862.89111,-175.3448,665.24091,1875.24231,-144.43021,524.20447,1889.32581,-38.79705,509.22263
15,0.117,1860.51697,-175.70586,665.07776,1873.17896,-144.42662,522.98907,1887.94714,-37.80191,509.51041
16,0.125,1858.10583,-175.97119,665.19281,1872.14734,-144.67136,522.87561,1886.32935,-37.88765,509.55948
17,0.133,1856.09534,-175.70903,665.3692,1869.96924,-145.30408,523.00134,1883.20276,-37.37713,508.96933
18,0.142,1855.1405,-175.69673,664.26453,1867.99622,-144.73053,522.79626,1882.24585,-37.40819,508.9924
19,0.15,1851.52722,-175.77965,663.82465,1866.28015,-145.6785,522.83539,1879.70581,-37.93541,507.8222
20,0.158,1848.61731,-176.52322,664.74445,1864.91687,-145.90205,521.48676,1877.12744,-38.15445,507.90994
