Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,145.57809,133.44029,36.50159,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
2,0.008,145.57809,133.44029,36.50159,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
3,0.017,145.57809,133.44029,36.50159,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
4,0.025,145.43002,133.59976,36.71114,362.63345,157.60019,41.57724,309.54797,100.47467,56.208
5,0.033,145.32129,133.21292,36.33609,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
6,0.042,145.57809,133.44029,36.50159,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
7,0.05,145.44023,133.29347,36.61298,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
8,0.058,145.64511,133.7233,36.63302,362.63345,157.60019,41.57724,309.54797,100.47467,56.208
9,0.067,145.57809,133.44029,36.50159,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
10,0.075,145.49263,133.46666,36.80685,362.63345,157.60019,41.57724,309.54797,100.47467,56.208
11,0.083,145.37976,133.06418,36.44329,362.63345,157.60019,41.57724,309.54797,100.47467,56.208
12,0.092,145.44023,133.29347,36.61298,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
13,0.1,145.57809,133.44029,36.50159,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
14,0.108,145.57809,133.44029,36.50159,362.63345,157.60019,41.57724,309.54797,100.47467,56.208
15,0.117,145.43002,133.59976,36.71114,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
16,0.125,145.38177,133.4422,36.50579,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
17,0.133,145.57809,133.44029,36.50159,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
18,0.142,145.36107,133.34322,36.90098,362.63345,157.60019,41.57724,309.54797,100.47467,56.208
19,0.15,145.37976,133.06418,36.44329,362.63345,157.60019,41.57724,309.54797,100.47467,56.208
20,0.158,145.39505,133.09067,36.42345,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
21,0.167,145.37976,133.06418,36.44329,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
22,0.175,145.57809,133.44029,36.50159,362.63345,157.60019,41.57724,309.54797,100.47467,56.208
23,0.183,145.64511,133.7233,36.63302,362.69528,157.57767,42.09213,309.54797,100.47467,56.208
24,0.192,145.29219,133.45294,36.82251,362.70514,157.78888,41.92936,310.14108,100.84428,56.32145
25,0.2,145.37976,133.06418,36.44329,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
26,0.208,145.51762,133.21101,36.33188,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
27,0.217,145.51762,133.21101,36.33188,362.63345,157.60019,41.57724,309.54797,100.47467,56.208
28,0.225,145.51762,133.21101,36.33188,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
29,0.233,145.51762,133.21101,36.33188,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
30,0.242,145.50726,133.57648,36.74441,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
31,0.25,145.44881,133.72519,36.63721,362.69528,157.57767,42.09213,309.54797,100.47467,56.208
32,0.258,145.44023,133.29347,36.61298,362.70514,157.78888,41.92936,309.54797,100.47467,56.208
33,0.267,145.51762,133.21101,36.33188,362.69528,157.57767,42.09213,309.54797,100.47467,56.208
34,0.275,145.51762,133.21101,36.33188,362.0072,158.39639,41.36581,309.54797,100.47467,56.208
35,0.283,145.37976,133.06418,36.44329,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
36,0.292,145.50912,133.18375,36.69147,362.70514,157.78888,41.92936,309.74014,100.40205,56.18956
37,0.3,145.50726,133.57648,36.74441,362.64334,157.81137,41.41446,309.74014,100.40205,56.18956
38,0.308,145.51762,133.21101,36.33188,362.69528,157.57767,42.09213,309.54797,100.47467,56.208
39,0.317,145.51762,133.21101,36.33188,362.70514,157.78888,41.92936,309.54797,100.47467,56.208
40,0.325,145.37976,133.06418,36.44329,362.10022,158.40352,41.93048,309.54797,100.47467,56.208
41,0.333,145.44023,133.29347,36.61298,362.10883,158.17815,42.09696,309.54797,100.47467,56.208
42,0.342,145.57809,133.44029,36.50159,362.69528,157.57767,42.09213,309.74014,100.40205,56.18956
43,0.35,145.51762,133.21101,36.33188,362.70514,157.78888,41.92936,309.54797,100.47467,56.208
44,0.358,145.36954,133.37045,36.54142,362.64334,157.81137,41.41446,309.74014,100.40205,56.18956
45,0.367,145.44023,133.29347,36.61298,362.70514,157.78888,41.92936,309.54797,100.47467,56.208
46,0.375,145.64511,133.7233,36.63302,362.70514,157.78888,41.92936,309.54797,100.47467,56.208
47,0.383,145.44023,133.29347,36.61298,362.70514,157.78888,41.92936,309.54797,100.47467,56.208
48,0.392,145.29219,133.45294,36.82251,362.0072,158.39639,41.36581,309.54797,100.47467,56.208
49,0.4,145.36954,133.37045,36.54142,362.0072,158.39639,41.36581,309.54797,100.47467,56.208
50,0.408,145.57809,133.44029,36.50159,362.0072,158.39639,41.36581,309.54797,100.47467,56.208
51,0.417,145.57809,133.44029,36.50159,362.01578,158.17107,41.5323,309.54797,100.47467,56.208
52,0.425,145.38177,133.4422,36.50579,362.0072,158.39639,41.36581,309.54797,100.47467,56.208
53,0.433,145.44023,133.29347,36.61298,362.0072,158.39639,41.36581,309.54797,100.47467,56.208
54,0.442,145.44023,133.29347,36.61298,362.0072,158.39639,41.36581,309.54797,100.47467,56.208
55,0.45,145.57809,133.44029,36.50159,362.0072,158.39639,41.36581,310.09332,100.64155,56.42571
56,0.458,145.57809,133.44029,36.50159,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
57,0.467,145.44023,133.29347,36.61298,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
58,0.475,145.27177,133.3075,36.60756,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
59,0.483,145.44023,133.29347,36.61298,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
60,0.492,145.44023,133.29347,36.61298,362.64334,157.81137,41.41446,309.74014,100.40205,56.18956
61,0.5,145.57809,133.44029,36.50159,362.0072,158.39639,41.36581,309.54797,100.47467,56.208
62,0.508,145.57809,133.44029,36.50159,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
63,0.517,145.29219,133.45294,36.82251,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
64,0.525,145.38177,133.4422,36.50579,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
65,0.533,145.44023,133.29347,36.61298,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
66,0.542,145.44023,133.29347,36.61298,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
67,0.55,145.57809,133.44029,36.50159,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
68,0.558,145.38177,133.4422,36.50579,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
69,0.567,145.29219,133.45294,36.82251,362.64334,157.81137,41.41446,309.74014,100.40205,56.18956
70,0.575,145.57809,133.44029,36.50159,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
71,0.583,145.44023,133.29347,36.61298,362.01578,158.17107,41.5323,309.54797,100.47467,56.208
72,0.592,145.49263,133.46666,36.80685,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
73,0.6,145.37976,133.06418,36.44329,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
74,0.608,145.57809,133.44029,36.50159,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
75,0.617,145.23393,133.19315,36.80907,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
76,0.625,145.08591,133.35262,37.01857,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
77,0.633,145.44023,133.29347,36.61298,362.64334,157.81137,41.41446,309.70935,100.54117,56.0213
78,0.642,145.51762,133.21101,36.33188,362.64334,157.81137,41.41446,310.22791,100.7271,56.24844
79,0.65,145.37976,133.06418,36.44329,362.64334,157.81137,41.41446,309.74014,100.40205,56.18956
80,0.658,145.36954,133.37045,36.54142,362.64334,157.81137,41.41446,309.87473,100.48761,56.01229
81,0.667,145.51762,133.21101,36.33188,362.63345,157.60019,41.57724,309.70935,100.54117,56.0213
82,0.675,145.51762,133.21101,36.33188,362.0072,158.39639,41.36581,309.74014,100.40205,56.18956
83,0.683,145.37976,133.06418,36.44329,362.64334,157.81137,41.41446,309.70935,100.54117,56.0213
84,0.692,145.29219,133.45294,36.82251,362.64334,157.81137,41.41446,309.87473,100.48761,56.01229
85,0.7,145.37976,133.06418,36.44329,362.64334,157.81137,41.41446,309.87473,100.48761,56.01229
86,0.708,145.51762,133.21101,36.33188,362.0072,158.39639,41.36581,309.70935,100.54117,56.0213
87,0.717,145.51762,133.21101,36.33188,362.64334,157.81137,41.41446,309.74014,100.40205,56.18956
88,0.725,145.21129,133.0782,36.43787,362.64334,157.81137,41.41446,309.74014,100.40205,56.18956
89,0.733,145.37976,133.06418,36.44329,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
90,0.742,145.58023,133.07788,36.42761,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
91,0.75,145.37976,133.06418,36.44329,362.0072,158.39639,41.36581,309.54797,100.47467,56.208
92,0.758,145.32129,133.21292,36.33609,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
93,0.767,145.37976,133.06418,36.44329,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
94,0.775,145.30058,133.11388,36.73129,362.70514,157.78888,41.92936,309.74014,100.40205,56.18956
95,0.783,145.37976,133.06418,36.44329,362.01578,158.17107,41.5323,309.74014,100.40205,56.18956
96,0.792,145.45552,133.31996,36.59315,362.64334,157.81137,41.41446,309.54797,100.47467,56.208
97,0.8,145.44023,133.29347,36.61298,362.64334,157.81137,41.41446,309.74014,100.40205,56.18956
98,0.808,145.37976,133.06418,36.44329,362.64334,157.81137,41.41446,309.74014,100.40205,56.18956
