Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
1,0,97.3378,237.23251,496.70404,255.06982,226.6747,468.88834,269.39984,112.3974,450.87936
2,0.008,97.3378,237.23251,496.70404,255.06982,226.6747,468.88834,269.55493,112.06984,451.31796
3,0.017,97.3378,237.23251,496.70404,255.06982,226.6747,468.88834,269.89334,111.74577,451.42154
4,0.025,97.49882,237.37376,496.61725,255.06982,226.6747,468.88834,269.89334,111.74577,451.42154
5,0.033,97.49882,237.37376,496.61725,255.06982,226.6747,468.88834,269.89334,111.74577,451.42154
6,0.042,97.49165,237.27493,496.70663,255.06982,226.6747,468.88834,269.89334,111.74577,451.42154
7,0.05,97.49165,237.27493,496.70663,255.06982,226.6747,468.88834,269.89334,111.74577,451.42154
8,0.058,97.65595,237.32445,496.48859,255.06982,226.6747,468.88834,269.89334,111.74577,451.42154
9,0.067,97.58658,237.13963,496.66684,255.27132,226.32884,468.88284,269.89334,111.74577,451.42154
10,0.075,97.33064,237.13365,496.7934,255.27132,226.32884,468.88284,269.89334,111.74577,451.42154
11,0.083,97.41837,236.89948,496.84299,255.27132,226.32884,468.88284,270.04727,111.49487,451.74634
12,0.092,97.77398,236.95435,496.61761,255.27132,226.32884,468.88284,270.04727,111.49487,451.74634
13,0.1,97.74371,237.09032,496.53818,255.27132,226.32884,468.88284,270.04727,111.49487,451.74634
14,0.108,97.49538,236.85538,496.5882,255.27132,226.32884,468.88284,270.0015,111.23843,451.90002
15,0.117,97.41893,236.83633,496.89862,255.27132,226.32884,468.88284,270.04727,111.49487,451.74634
16,0.125,97.41837,236.89948,496.84299,255.27132,226.32884,468.88284,270.04727,111.49487,451.74634
17,0.133,97.68997,236.76892,496.44958,255.33659,226.22105,468.97864,270.0015,111.23843,451.90002
18,0.142,97.68997,236.76892,496.44958,255.27132,226.32884,468.88284,270.04727,111.49487,451.74634
19,0.15,97.33437,236.71407,496.67499,255.27132,226.32884,468.88284,270.0015,111.23843,451.90002
20,0.158,97.41837,236.89948,496.84299,255.33659,226.22105,468.97864,270.0015,111.23843,451.90002
21,0.167,97.41837,236.89948,496.84299,255.27132,226.32884,468.88284,270.0015,111.23843,451.90002
22,0.175,97.49538,236.85538,496.5882,255.22475,226.16559,469.16492,270.0015,111.23843,451.90002
23,0.183,97.5794,237.04077,496.7562,255.33659,226.22105,468.97864,269.73795,111.0399,451.89725
24,0.192,97.33518,236.67853,497.06519,255.22475,226.16559,469.16492,270.05893,110.909,451.50162
25,0.2,97.33437,236.71407,496.67499,255.22475,226.16559,469.16492,269.6109,111.0484,451.50211
26,0.208,97.15786,236.72191,496.84897,255.33659,226.22105,468.97864,269.66861,110.71875,451.10364
27,0.217,97.51083,236.83502,496.80975,255.22475,226.16559,469.16492,269.79535,110.71044,451.49881
28,0.225,97.4184,237.02823,497.15167,255.22475,226.16559,469.16492,269.79535,110.71044,451.49881
29,0.233,97.30389,236.39395,497.24072,255.33659,226.22105,468.97864,269.48413,111.05672,451.1069
30,0.242,97.17335,236.70152,497.0705,255.17799,225.96428,468.78787,269.66861,110.71875,451.10364
31,0.25,97.15786,236.72191,496.84897,255.09892,225.96121,468.93951,269.48413,111.05672,451.1069
32,0.258,97.4029,237.04861,496.93015,255.22475,226.16559,469.16492,269.48413,111.05672,451.1069
33,0.267,97.34984,236.69371,496.89655,255.22475,226.16559,469.16492,269.48413,111.05672,451.1069
34,0.275,97.17513,236.63138,497.1492,255.22475,226.16559,469.16492,269.48413,111.05672,451.1069
35,0.283,97.25739,236.8869,497.23843,254.93552,225.6971,468.75369,269.48413,111.05672,451.1069
36,0.292,97.33518,236.67853,497.06519,255.09892,225.96121,468.93951,269.48413,111.05672,451.1069
37,0.3,97.4184,237.02823,497.15167,255.22475,226.16559,469.16492,269.48413,111.05672,451.1069
38,0.308,97.17335,236.70152,497.0705,255.22475,226.16559,469.16492,269.48413,111.05672,451.1069
39,0.317,97.15786,236.72191,496.84897,255.22475,226.16559,469.16492,269.48413,111.05672,451.1069
40,0.325,97.24188,236.90729,497.01691,255.09892,225.96121,468.93951,269.48413,111.05672,451.1069
41,0.333,97.25739,236.8869,497.23843,255.22475,226.16559,469.16492,269.38458,111.00852,451.14417
42,0.342,97.34984,236.69371,496.89655,255.22475,226.16559,469.16492,269.38458,111.00852,451.14417
43,0.35,97.34984,236.69371,496.89655,255.22475,226.16559,469.16492,269.48413,111.05672,451.1069
44,0.358,97.4631,236.47664,496.76651,254.93552,225.6971,468.75369,269.66861,110.71875,451.10364
45,0.367,97.4631,236.47664,496.76651,255.09892,225.96121,468.93951,269.48413,111.05672,451.1069
46,0.375,97.33437,236.71407,496.67499,255.22475,226.16559,469.16492,269.66861,110.71875,451.10364
47,0.383,97.4786,236.45628,496.98807,255.22475,226.16559,469.16492,269.66861,110.71875,451.10364
48,0.392,97.65942,236.65131,497.38373,255.33659,226.22105,468.97864,269.84592,110.40791,451.24313
49,0.4,97.51225,236.60756,496.94687,255.21077,226.01668,468.7532,270.1095,110.60648,451.24594
50,0.408,97.6577,236.39018,496.6279,255.33659,226.22105,468.97864,269.84592,110.40791,451.24313
51,0.417,97.86284,236.36499,496.8201,255.33659,226.22105,468.97864,269.84592,110.40791,451.24313
52,0.425,98.01386,236.40529,497.02914,255.33659,226.22105,468.97864,269.71506,110.32025,451.25751
53,0.433,97.68558,236.36093,497.25894,255.22475,226.16559,469.16492,269.71506,110.32025,451.25751
54,0.442,97.88017,236.27448,497.12036,255.22475,226.16559,469.16492,269.71506,110.32025,451.25751
55,0.45,97.87836,236.34464,497.04166,255.41193,225.9603,469.05582,269.84592,110.40791,451.24313
56,0.458,97.75823,236.12456,496.9104,255.46046,226.1308,469.05603,269.84592,110.40791,451.24313
57,0.467,97.46368,236.4135,496.82214,255.33659,226.22105,468.97864,269.84592,110.40791,451.24313
58,0.475,97.86342,236.30185,496.87573,254.93552,225.6971,468.75369,269.84592,110.40791,451.24313
59,0.483,97.6577,236.39018,496.6279,255.22475,226.16559,469.16492,269.84592,110.40791,451.24313
60,0.492,97.6577,236.39018,496.6279,255.22475,226.16559,469.16492,269.84592,110.40791,451.24313
61,0.5,97.30389,236.39395,497.24072,255.22475,226.16559,469.16492,269.97263,110.39962,451.63824
62,0.508,97.30389,236.39395,497.24072,255.06616,225.90881,468.97415,269.97263,110.39962,451.63824
63,0.517,97.15842,236.65877,496.9046,254.82727,225.92088,468.9733,269.97263,110.39962,451.63824
64,0.525,97.28658,236.48448,496.94049,254.98589,226.17766,469.16403,269.82092,110.67853,451.65396
65,0.533,97.28658,236.48448,496.94049,254.98589,226.17766,469.16403,269.6109,111.0484,451.50211
66,0.542,96.93697,236.73776,496.99161,254.63887,226.23587,469.18271,269.14026,110.8671,451.35178
67,0.55,96.93697,236.73776,496.99161,254.1481,226.11331,468.77704,269.41629,110.92912,451.68909
68,0.558,97.15786,236.72191,496.84897,254.2251,226.43913,468.89536,269.41629,110.92912,451.68909
69,0.567,97.02101,236.92313,497.15955,254.0388,226.39783,468.888,269.39957,111.36397,451.7937
70,0.575,96.85645,237.07088,496.8526,254.38373,226.69583,469.08609,269.24561,111.61488,451.46887
71,0.583,96.85645,237.07088,496.8526,254.38373,226.69583,469.08609,269.21823,111.6298,451.82535
72,0.592,96.94049,237.25623,497.02054,254.2251,226.43913,468.89536,269.03638,112.19968,451.45724
73,0.6,96.94049,237.25623,497.02054,254.38373,226.69583,469.08609,269.03638,112.19968,451.45724
74,0.608,96.85645,237.07088,496.8526,254.38373,226.69583,469.08609,269.03638,112.19968,451.45724
75,0.617,96.85645,237.07088,496.8526,254.38373,226.69583,469.08609,268.91663,112.32096,451.63104
76,0.625,96.94049,237.25623,497.02054,254.38373,226.69583,469.08609,269.03638,112.19968,451.45724
77,0.633,96.71901,237.29301,496.89713,254.25786,226.49152,468.86072,268.81042,112.37064,451.57324
78,0.642,96.71901,237.29301,496.89713,254.38373,226.69583,469.08609,269.07404,112.56919,451.57605
79,0.65,96.71901,237.29301,496.89713,254.38373,226.69583,469.08609,268.95428,112.69049,451.74982
80,0.658,96.94049,237.25623,497.02054,254.38373,226.69583,469.08609,269.07404,112.56919,451.57605
81,0.667,97.16134,237.24036,496.87793,254.38373,226.69583,469.08609,269.07404,112.56919,451.57605
82,0.675,96.94049,237.25623,497.02054,254.38373,226.69583,469.08609,269.07404,112.56919,451.57605
83,0.683,97.10149,237.39752,496.93378,254.38373,226.69583,469.08609,269.07404,112.56919,451.57605
84,0.692,97.10073,237.4211,496.63452,254.38373,226.69583,469.08609,269.30112,112.55975,451.39072
85,0.7,97.16134,237.24036,496.87793,254.38373,226.69583,469.08609,269.07404,112.56919,451.57605
86,0.708,97.16134,237.24036,496.87793,254.25786,226.49152,468.86072,269.29999,112.39822,451.46002
87,0.717,97.16134,237.24036,496.87793,254.38373,226.69583,469.08609,269.29999,112.39822,451.46002
88,0.725,97.16134,237.24036,496.87793,254.38373,226.69583,469.08609,269.52707,112.38879,451.27466
89,0.733,97.16134,237.24036,496.87793,254.38373,226.69583,469.08609,269.52707,112.38879,451.27466
90,0.742,97.23831,237.19627,496.6232,254.25786,226.49152,468.86072,268.98636,112.25397,451.5878
