Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,18.76028,-252.54178,692.83716,65.55748,-251.91609,610.80188,89.35599,-173.97508,637.7674
2,0.008,18.76028,-252.54178,692.83716,65.55748,-251.91609,610.80188,89.35599,-173.97508,637.7674
3,0.017,18.76028,-252.54178,692.83716,65.55748,-251.91609,610.80188,89.35599,-173.97508,637.7674
4,0.025,17.64199,-251.90814,692.31866,65.55748,-251.91609,610.80188,89.35599,-173.97508,637.7674
5,0.033,17.64199,-251.90814,692.31866,65.55748,-251.91609,610.80188,89.35599,-173.97508,637.7674
6,0.042,16.31582,-249.77335,691.25653,65.55748,-251.91609,610.80188,89.35599,-173.97508,637.7674
7,0.05,16.31582,-249.77335,691.25653,65.17434,-252.25658,609.8457,89.35599,-173.97508,637.7674
8,0.058,16.31582,-249.77335,691.25653,65.17434,-252.25658,609.8457,89.35599,-173.97508,637.7674
9,0.067,16.31582,-249.77335,691.25653,65.17434,-252.25658,609.8457,89.0476,-173.55096,637.76343
10,0.075,16.31582,-249.77335,691.25653,65.17434,-252.25658,609.8457,89.0476,-173.55096,637.76343
11,0.083,16.27272,-250.08794,690.94318,65.17434,-252.25658,609.8457,88.48061,-173.82138,637.6568
12,0.092,16.27272,-250.08794,690.94318,65.17434,-252.25658,609.8457,88.03798,-173.65987,637.65265
13,0.1,16.27272,-250.08794,690.94318,64.47195,-252.40617,610.08173,87.62015,-173.79303,637.92004
14,0.108,16.27272,-250.08794,690.94318,64.47195,-252.40617,610.08173,87.49419,-174.00908,637.70367
15,0.117,16.27272,-250.08794,690.94318,64.17099,-252.16496,609.73285,87.91205,-173.87593,637.43622
16,0.125,15.27334,-249.64079,689.89349,64.17099,-252.16496,609.73285,87.49419,-174.00908,637.70367
17,0.133,15.07055,-249.99498,689.6535,64.17099,-252.16496,609.73285,87.49419,-174.00908,637.70367
18,0.142,14.80781,-250.23627,689.48828,64.17099,-252.16496,609.73285,87.23363,-174.01082,637.24854
19,0.15,14.80781,-250.23627,689.48828,64.17099,-252.16496,609.73285,86.43327,-174.02405,636.99445
20,0.158,14.80781,-250.23627,689.48828,64.17099,-252.16496,609.73285,86.69376,-174.02219,637.44952
21,0.167,14.42512,-250.25119,689.47235,64.17099,-252.16496,609.73285,86.43327,-174.02405,636.99445
22,0.175,14.42512,-250.25119,689.47235,63.95302,-251.63173,609.70953,86.43327,-174.02405,636.99445
23,0.183,14.42512,-250.25119,689.47235,63.95302,-251.63173,609.70953,86.50455,-174.28676,636.89575
24,0.192,14.42512,-250.25119,689.47235,63.05083,-252.24936,609.68597,86.50455,-174.28676,636.89575
25,0.2,14.27889,-250.34306,688.88098,63.05083,-252.24936,609.68597,86.50455,-174.28676,636.89575
26,0.208,14.27889,-250.34306,688.88098,63.05083,-252.24936,609.68597,86.50455,-174.28676,636.89575
27,0.217,14.27889,-250.34306,688.88098,63.05083,-252.24936,609.68597,86.50455,-174.28676,636.89575
28,0.225,14.60381,-250.60165,689.60608,63.05083,-252.24936,609.68597,86.15015,-174.96719,636.90906
29,0.233,14.60381,-250.60165,689.60608,62.68438,-252.80302,609.26239,86.15015,-174.96719,636.90906
30,0.242,14.60381,-250.60165,689.60608,62.68438,-252.80302,609.26239,86.15015,-174.96719,636.90906
31,0.25,14.06173,-251.76254,689.35522,62.68438,-252.80302,609.26239,86.15015,-174.96719,636.90906
32,0.258,14.06173,-251.76254,689.35522,62.68438,-252.80302,609.26239,86.15015,-174.96719,636.90906
33,0.267,13.77273,-251.53249,688.54309,62.68438,-252.80302,609.26239,86.15015,-174.96719,636.90906
34,0.275,13.33123,-251.89699,688.38348,61.78275,-253.22142,608.70715,86.15015,-174.96719,636.90906
35,0.283,13.33123,-251.89699,688.38348,61.78275,-253.22142,608.70715,86.15015,-174.96719,636.90906
36,0.292,13.33123,-251.89699,688.38348,61.78275,-253.22142,608.70715,86.15015,-174.96719,636.90906
37,0.3,12.57178,-252.85559,689.04236,61.56469,-253.38339,607.97491,86.15015,-174.96719,636.90906
38,0.308,12.89716,-252.51274,688.02838,61.56469,-253.38339,607.97491,86.15015,-174.96719,636.90906
39,0.317,12.82402,-253.79608,688.00378,61.56469,-253.38339,607.97491,86.15015,-174.96719,636.90906
40,0.325,12.73418,-254.79906,687.5719,61.56469,-253.38339,607.97491,86.15015,-174.96719,636.90906
41,0.333,12.73418,-254.79906,687.5719,61.56469,-253.38339,607.97491,86.15015,-174.96719,636.90906
42,0.342,12.73418,-254.79906,687.5719,61.56469,-253.38339,607.97491,86.15015,-174.96719,636.90906
43,0.35,12.75187,-255.07851,687.97937,61.78548,-253.64474,607.72522,86.37012,-174.51768,636.6416
44,0.358,12.75187,-255.07851,687.97937,61.78548,-253.64474,607.72522,86.36414,-175.05846,636.78638
45,0.367,12.73418,-254.79906,687.5719,61.78548,-253.64474,607.72522,86.36414,-175.05846,636.78638
46,0.375,12.94378,-255.11049,687.91663,61.78548,-253.64474,607.72522,87.56261,-175.52574,636.13861
47,0.383,12.94378,-255.11049,687.91663,61.78548,-253.64474,607.72522,87.77574,-175.9679,635.78381
48,0.392,13.11749,-254.46623,687.48505,62.09757,-253.69182,607.22931,87.73748,-175.87202,635.80048
49,0.4,13.11749,-254.46623,687.48505,62.09757,-253.69182,607.22931,87.73748,-175.87202,635.80048
50,0.408,12.94378,-255.11049,687.91663,62.53708,-254.86823,606.47864,88.07738,-175.77968,635.15411
51,0.417,13.7981,-254.21762,687.52563,62.53708,-254.86823,606.47864,87.73748,-175.87202,635.80048
52,0.425,13.11749,-254.46623,687.48505,62.53708,-254.86823,606.47864,87.9391,-175.62747,635.4762
53,0.433,14.49094,-254.74925,687.47693,62.53708,-254.86823,606.47864,87.96455,-175.95201,635.23181
54,0.442,14.98449,-254.64758,687.55615,62.53708,-254.86823,606.47864,88.07738,-175.77968,635.15411
55,0.45,15.76476,-255.01442,688.21857,62.53708,-254.86823,606.47864,88.10087,-176.06378,634.92633
56,0.458,16.53951,-255.45847,688.27191,63.11879,-255.00909,606.30219,88.10087,-176.06378,634.92633
57,0.467,16.53951,-255.45847,688.27191,63.11879,-255.00909,606.30219,88.16026,-176.12093,634.99835
58,0.475,17.11824,-255.08531,688.39063,63.11879,-255.00909,606.30219,88.16026,-176.12093,634.99835
59,0.483,17.11824,-255.08531,688.39063,63.11879,-255.00909,606.30219,88.16026,-176.12093,634.99835
