Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,148.10194,-174.67314,605.53473,108.91657,-146.06531,615.18396,100.05301,-94.62831,603.57495,103.21604,-51.93345,567.24683,192.35648,-111.14127,574.96033,192.5088,-61.3565,535.89313,182.52887,-36.64425,493.58752
2,0.008,148.13812,-174.73769,605.41766,108.91657,-146.06531,615.18396,99.18164,-94.73543,603.77094,103.97031,-50.99821,567.28638,191.31294,-111.13488,574.91223,192.5088,-61.3565,535.89313,182.52887,-36.64425,493.58752
3,0.017,148.13812,-174.73769,605.41766,108.91657,-146.06531,615.18396,98.8447,-94.75583,604.34778,103.21604,-51.93345,567.24683,191.31294,-111.13488,574.91223,192.5088,-61.3565,535.89313,182.52887,-36.64425,493.58752
4,0.025,148.0107,-174.7632,605.25641,108.72173,-145.66428,614.80597,98.8447,-94.75583,604.34778,103.23671,-51.90609,567.79303,191.31294,-111.13488,574.91223,192.5088,-61.3565,535.89313,181.28397,-35.94968,494.63245
5,0.033,148.0107,-174.7632,605.25641,108.91657,-146.06531,615.18396,98.8447,-94.75583,604.34778,103.23671,-51.90609,567.79303,191.31294,-111.13488,574.91223,192.17029,-61.27093,535.6394,182.52887,-36.64425,493.58752
6,0.042,148.13722,-174.72394,605.00739,108.91657,-146.06531,615.18396,98.8447,-94.75583,604.34778,103.23671,-51.90609,567.79303,191.31294,-111.13488,574.91223,192.17029,-61.27093,535.6394,181.28397,-35.94968,494.63245
7,0.05,148.13722,-174.72394,605.00739,108.72173,-145.66428,614.80597,99.02447,-95.09499,604.10339,103.80479,-51.96574,567.65082,191.31294,-111.13488,574.91223,192.17029,-61.27093,535.6394,181.28397,-35.94968,494.63245
8,0.058,147.99445,-174.38736,605.03943,108.72173,-145.66428,614.80597,99.18198,-94.86463,603.70251,103.80479,-51.96574,567.65082,191.31294,-111.13488,574.91223,192.17029,-61.27093,535.6394,181.28397,-35.94968,494.63245
9,0.067,147.86792,-174.42664,605.28845,108.72173,-145.66428,614.80597,99.18198,-94.86463,603.70251,103.72298,-52.15812,567.0213,191.31294,-111.13488,574.91223,191.58701,-61.2614,535.81976,181.28397,-35.94968,494.63245
10,0.075,147.99445,-174.38736,605.03943,108.26649,-145.7773,614.33783,99.46523,-94.76006,603.18683,103.30009,-52.25897,566.47943,191.31294,-111.13488,574.91223,191.58701,-61.2614,535.81976,181.28397,-35.94968,494.63245
11,0.083,147.99445,-174.38736,605.03943,108.26649,-145.7773,614.33783,99.03281,-94.56827,603.91571,102.91561,-51.86874,566.77704,191.31294,-111.13488,574.91223,191.58701,-61.2614,535.81976,181.28397,-35.94968,494.63245
12,0.092,147.79153,-174.69106,604.77631,108.26649,-145.7773,614.33783,99.03281,-94.56827,603.91571,102.44152,-51.36051,566.38733,191.31294,-111.13488,574.91223,191.30147,-61.25313,535.7879,181.28397,-35.94968,494.63245
13,0.1,147.66502,-174.73036,605.02527,108.26649,-145.7773,614.33783,99.03281,-94.56827,603.91571,102.07319,-51.97952,566.10101,191.31294,-111.13488,574.91223,191.58701,-61.2614,535.81976,181.28397,-35.94968,494.63245
14,0.108,147.66502,-174.73036,605.02527,108.26649,-145.7773,614.33783,98.81344,-95.38446,603.35583,102.07319,-51.97952,566.10101,191.31294,-111.13488,574.91223,191.30147,-61.25313,535.7879,181.28397,-35.94968,494.63245
15,0.117,147.45482,-174.85413,604.96649,108.26649,-145.7773,614.33783,99.03281,-94.56827,603.91571,102.07319,-51.97952,566.10101,190.71016,-111.93731,574.85449,191.58701,-61.2614,535.81976,181.28397,-35.94968,494.63245
16,0.125,147.58133,-174.81482,604.71747,108.26649,-145.7773,614.33783,98.81344,-95.38446,603.35583,102.69646,-51.82394,566.0722,190.56412,-111.84597,575.11414,191.30147,-61.25313,535.7879,181.28397,-35.94968,494.63245
17,0.133,147.45482,-174.85413,604.96649,108.26649,-145.7773,614.33783,97.62741,-94.7581,603.73175,102.07319,-51.97952,566.10101,190.62097,-112.18005,574.737,191.58701,-61.2614,535.81976,181.28397,-35.94968,494.63245
18,0.142,146.84225,-174.88805,604.70087,108.26649,-145.7773,614.33783,97.75629,-95.43533,603.25378,102.13895,-52.19065,566.26947,190.62097,-112.18005,574.737,191.58701,-61.2614,535.81976,181.28397,-35.94968,494.63245
19,0.15,146.84225,-174.88805,604.70087,108.26649,-145.7773,614.33783,98.81344,-95.38446,603.35583,102.13895,-52.19065,566.26947,190.62097,-112.18005,574.737,191.58701,-61.2614,535.81976,181.28397,-35.94968,494.63245
20,0.158,146.84225,-174.88805,604.70087,108.26649,-145.7773,614.33783,99.03281,-94.56827,603.91571,102.6153,-51.35419,566.2879,190.62097,-112.18005,574.737,191.58403,-61.76843,536.20148,181.28397,-35.94968,494.63245
21,0.167,146.92615,-174.49251,604.36652,108.26649,-145.7773,614.33783,99.03281,-94.56827,603.91571,102.54723,-52.48771,566.49078,190.30785,-112.32198,574.83319,192.09911,-62.06316,536.62738,181.28397,-35.94968,494.63245
22,0.175,147.10692,-174.83289,604.70624,108.29611,-145.46909,614.09131,99.03281,-94.56827,603.91571,103.32407,-51.71614,566.97906,189.68213,-112.40926,575.20264,192.26685,-62.4752,536.72626,181.46494,-35.61017,496.26059
23,0.183,146.94913,-174.91151,604.98383,106.86588,-145.61079,613.99243,99.03281,-94.56827,603.91571,103.32407,-51.71614,566.97906,189.68213,-112.40926,575.20264,192.26685,-62.4752,536.72626,181.46494,-35.61017,496.26059
24,0.192,147.10692,-174.83289,604.70624,106.86588,-145.61079,613.99243,98.81344,-95.38446,603.35583,104.38948,-51.06356,567.15204,190.14091,-112.29953,575.15778,192.40382,-62.75051,536.98511,181.46494,-35.61017,496.26059
25,0.2,145.995,-176.25723,604.45282,106.86588,-145.61079,613.99243,98.81344,-95.38446,603.35583,104.38948,-51.06356,567.15204,189.68213,-112.40926,575.20264,192.40382,-62.75051,536.98511,181.46494,-35.61017,496.26059
26,0.208,146.73537,-175.36816,604.11346,106.86588,-145.61079,613.99243,97.75629,-95.43533,603.25378,104.38948,-51.06356,567.15204,189.68213,-112.40926,575.20264,192.40382,-62.75051,536.98511,181.46494,-35.61017,496.26059
27,0.217,145.98193,-176.51656,603.8927,106.86588,-145.61079,613.99243,97.75629,-95.43533,603.25378,103.32407,-51.71614,566.97906,189.68213,-112.40926,575.20264,192.40382,-62.75051,536.98511,181.46494,-35.61017,496.26059
28,0.225,145.82407,-176.59529,604.17041,106.86588,-145.61079,613.99243,97.75629,-95.43533,603.25378,104.38948,-51.06356,567.15204,189.68213,-112.40926,575.20264,192.40382,-62.75051,536.98511,181.46494,-35.61017,496.26059
29,0.233,145.80637,-176.78688,604.04449,106.86588,-145.61079,613.99243,97.75629,-95.43533,603.25378,103.51776,-51.41289,566.83051,190.00258,-112.90324,575.15826,192.40382,-62.75051,536.98511,181.46494,-35.61017,496.26059
