Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,17.85192,-255.52837,652.83691,58.35482,-240.27246,570.03375,106.40862,-187.28972,618.39172
2,0.008,17.85192,-255.52837,652.83691,57.76883,-240.12848,570.21063,106.40862,-187.28972,618.39172
3,0.017,17.85192,-255.52837,652.83691,58.39787,-239.85309,570.30377,106.40862,-187.28972,618.39172
4,0.025,17.85192,-255.52837,652.83691,58.35482,-240.27246,570.03375,106.40862,-187.28972,618.39172
5,0.033,17.85192,-255.52837,652.83691,57.76883,-240.12848,570.21063,106.40862,-187.28972,618.39172
6,0.042,17.85192,-255.52837,652.83691,57.76883,-240.12848,570.21063,106.3654,-187.51791,618.23816
7,0.05,17.85192,-255.52837,652.83691,57.76883,-240.12848,570.21063,106.40862,-187.28972,618.39172
8,0.058,17.85192,-255.52837,652.83691,57.76883,-240.12848,570.21063,106.40862,-187.28972,618.39172
9,0.067,17.85192,-255.52837,652.83691,57.76883,-240.12848,570.21063,106.40862,-187.28972,618.39172
10,0.075,17.85192,-255.52837,652.83691,57.43,-240.06062,570.84131,106.40862,-187.28972,618.39172
11,0.083,17.85192,-255.52837,652.83691,57.76883,-240.12848,570.21063,106.40862,-187.28972,618.39172
12,0.092,17.85192,-255.52837,652.83691,57.76883,-240.12848,570.21063,106.3654,-187.51791,618.23816
13,0.1,17.85192,-255.52837,652.83691,57.43,-240.06062,570.84131,106.40862,-187.28972,618.39172
14,0.108,17.85192,-255.52837,652.83691,57.76883,-240.12848,570.21063,106.40862,-187.28972,618.39172
15,0.117,17.85192,-255.52837,652.83691,57.76883,-240.12848,570.21063,106.3654,-187.51791,618.23816
16,0.125,17.85192,-255.52837,652.83691,57.76883,-240.12848,570.21063,106.1723,-187.67659,618.14294
17,0.133,17.85192,-255.52837,652.83691,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
18,0.142,17.85192,-255.52837,652.83691,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
19,0.15,17.85192,-255.52837,652.83691,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
20,0.158,17.70737,-255.39636,652.99091,57.76883,-240.12848,570.21063,106.1723,-187.67659,618.14294
21,0.167,17.54454,-255.70596,652.78589,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
22,0.175,17.54454,-255.70596,652.78589,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
23,0.183,17.74758,-255.8822,652.95532,57.43,-240.06062,570.84131,106.49264,-187.28999,618.59503
24,0.192,17.70737,-255.39636,652.99091,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
25,0.2,17.70737,-255.39636,652.99091,57.43,-240.06062,570.84131,106.1723,-187.67659,618.14294
26,0.208,17.70737,-255.39636,652.99091,57.43,-240.06062,570.84131,106.1723,-187.67659,618.14294
27,0.217,17.40001,-255.57394,652.93988,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
28,0.225,17.85192,-255.52837,652.83691,57.76883,-240.12848,570.21063,106.1723,-187.67659,618.14294
29,0.233,17.85192,-255.52837,652.83691,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
30,0.242,17.70737,-255.39636,652.99091,57.76883,-240.12848,570.21063,106.1723,-187.67659,618.14294
31,0.25,17.40001,-255.57394,652.93988,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
32,0.258,17.40001,-255.57394,652.93988,57.76883,-240.12848,570.21063,106.1723,-187.67659,618.14294
33,0.267,17.40001,-255.57394,652.93988,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
34,0.275,17.70737,-255.39636,652.99091,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
35,0.283,17.40001,-255.57394,652.93988,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
36,0.292,17.70737,-255.39636,652.99091,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
37,0.3,17.70737,-255.39636,652.99091,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
38,0.308,17.40001,-255.57394,652.93988,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
39,0.317,17.40001,-255.57394,652.93988,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
40,0.325,17.70737,-255.39636,652.99091,57.76883,-240.12848,570.21063,106.1723,-187.67659,618.14294
41,0.333,17.70737,-255.39636,652.99091,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
42,0.342,17.70737,-255.39636,652.99091,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
43,0.35,17.70737,-255.39636,652.99091,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
44,0.358,17.70737,-255.39636,652.99091,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
45,0.367,17.70737,-255.39636,652.99091,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
46,0.375,17.40001,-255.57394,652.93988,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
47,0.383,17.70737,-255.39636,652.99091,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
48,0.392,17.40001,-255.57394,652.93988,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
49,0.4,17.70737,-255.39636,652.99091,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
50,0.408,17.70737,-255.39636,652.99091,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
51,0.417,17.40001,-255.57394,652.93988,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
52,0.425,17.70737,-255.39636,652.99091,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
53,0.433,17.40001,-255.57394,652.93988,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
54,0.442,17.07523,-255.3168,652.77802,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
55,0.45,17.40001,-255.57394,652.93988,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
56,0.458,17.40001,-255.57394,652.93988,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
57,0.467,17.40001,-255.57394,652.93988,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
58,0.475,17.07523,-255.3168,652.77802,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
59,0.483,17.07523,-255.3168,652.77802,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
60,0.492,17.40001,-255.57394,652.93988,57.76883,-240.12848,570.21063,106.1723,-187.67659,618.14294
61,0.5,17.40001,-255.57394,652.93988,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
62,0.508,17.40001,-255.57394,652.93988,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
63,0.517,17.07523,-255.3168,652.77802,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
64,0.525,17.40001,-255.57394,652.93988,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
65,0.533,16.75017,-255.06062,652.61621,57.76883,-240.12848,570.21063,106.1723,-187.67659,618.14294
66,0.542,17.07523,-255.3168,652.77802,57.76883,-240.12848,570.21063,106.1723,-187.67659,618.14294
67,0.55,17.07523,-255.3168,652.77802,57.43,-240.06062,570.84131,106.1723,-187.67659,618.14294
68,0.558,17.07523,-255.3168,652.77802,57.76883,-240.12848,570.21063,106.1723,-187.67659,618.14294
69,0.567,17.07523,-255.3168,652.77802,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
70,0.575,16.75017,-255.06062,652.61621,57.76883,-240.12848,570.21063,105.65881,-187.72487,618.30829
71,0.583,16.75017,-255.06062,652.61621,57.76883,-240.12848,570.21063,105.70206,-187.49669,618.46179
72,0.592,16.75017,-255.06062,652.61621,57.43,-240.06062,570.84131,105.65881,-187.72487,618.30829
73,0.6,16.75017,-255.06062,652.61621,57.76883,-240.12848,570.21063,106.21552,-187.44843,618.29645
74,0.608,16.75017,-255.06062,652.61621,57.76883,-240.12848,570.21063,105.70206,-187.49669,618.46179
75,0.617,16.75017,-255.06062,652.61621,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
76,0.625,16.75017,-255.06062,652.61621,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
77,0.633,16.75017,-255.06062,652.61621,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
78,0.642,16.75017,-255.06062,652.61621,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
79,0.65,16.75017,-255.06062,652.61621,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
80,0.658,16.75017,-255.06062,652.61621,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
81,0.667,16.75017,-255.06062,652.61621,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
82,0.675,16.75017,-255.06062,652.61621,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
83,0.683,16.75017,-255.06062,652.61621,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
84,0.692,16.75017,-255.06062,652.61621,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
85,0.7,17.07523,-255.3168,652.77802,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
86,0.708,16.75017,-255.06062,652.61621,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
87,0.717,16.75017,-255.06062,652.61621,57.43,-240.06062,570.84131,105.65881,-187.72487,618.30829
88,0.725,16.75017,-255.06062,652.61621,57.76883,-240.12848,570.21063,105.70206,-187.49669,618.46179
89,0.733,16.75017,-255.06062,652.61621,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
90,0.742,16.75017,-255.06062,652.61621,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
91,0.75,17.07523,-255.3168,652.77802,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
92,0.758,17.07523,-255.3168,652.77802,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
93,0.767,17.07523,-255.3168,652.77802,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
94,0.775,16.75017,-255.06062,652.61621,57.76883,-240.12848,570.21063,105.70206,-187.49669,618.46179
95,0.783,17.07523,-255.3168,652.77802,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
96,0.792,16.75017,-255.06062,652.61621,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
97,0.8,17.40001,-255.57394,652.93988,57.76883,-240.12848,570.21063,105.70206,-187.49669,618.46179
98,0.808,17.07523,-255.3168,652.77802,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
99,0.817,17.40001,-255.57394,652.93988,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
100,0.825,17.40001,-255.57394,652.93988,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
101,0.833,17.40001,-255.57394,652.93988,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
102,0.842,17.40001,-255.57394,652.93988,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
103,0.85,17.40001,-255.57394,652.93988,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
104,0.858,17.40001,-255.57394,652.93988,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
105,0.867,17.40001,-255.57394,652.93988,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
106,0.875,17.40001,-255.57394,652.93988,57.43,-240.06062,570.84131,105.70206,-187.49669,618.46179
107,0.883,17.40001,-255.57394,652.93988,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
108,0.892,17.40001,-255.57394,652.93988,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
109,0.9,17.40001,-255.57394,652.93988,57.43,-240.06062,570.84131,106.21552,-187.44843,618.29645
