Frame#,Time,L.Forearm.x,L.Forearm.y,L.Forearm.z,L.Ulna.x,L.Ulna.y,L.Ulna.z,L.Radius.x,L.Radius.y,L.Radius.z
1,0,360.78137,352.13425,1165.24866,434.34839,368.04401,1123.99731,437.76584,309.88586,1184.59863
2,0.008,360.78137,352.13425,1165.24866,434.34839,368.04401,1123.99731,437.49902,309.83682,1184.21924
3,0.017,360.78137,352.13425,1165.24866,434.54877,367.30157,1124.12512,437.76584,309.88586,1184.59863
4,0.025,360.78137,352.13425,1165.24866,434.81369,367.3353,1124.11829,437.76584,309.88586,1184.59863
5,0.033,360.78137,352.13425,1165.24866,434.81369,367.3353,1124.11829,437.50079,309.94894,1184.98584
6,0.042,360.78137,352.13425,1165.24866,434.81369,367.3353,1124.11829,438.10583,310.53738,1184.73877
7,0.05,360.78137,352.13425,1165.24866,434.81369,367.3353,1124.11829,437.49902,309.83682,1184.21924
8,0.058,360.78137,352.13425,1165.24866,434.81369,367.3353,1124.11829,437.49902,309.83682,1184.21924
9,0.067,360.78137,352.13425,1165.24866,434.81369,367.3353,1124.11829,437.49902,309.83682,1184.21924
10,0.075,360.78137,352.13425,1165.24866,434.81369,367.3353,1124.11829,437.49902,309.83682,1184.21924
11,0.083,360.78137,352.13425,1165.24866,435.42218,367.3522,1124.25806,437.76584,309.88586,1184.59863
12,0.092,360.78137,352.13425,1165.24866,435.42218,367.3522,1124.25806,437.49902,309.83682,1184.21924
13,0.1,360.78137,352.13425,1165.24866,435.42218,367.3522,1124.25806,437.49902,309.83682,1184.21924
14,0.108,360.78137,352.13425,1165.24866,435.42218,367.3522,1124.25806,437.49902,309.83682,1184.21924
15,0.117,360.78137,352.13425,1165.24866,435.65387,367.30951,1123.96545,437.49902,309.83682,1184.21924
16,0.125,360.78137,352.13425,1165.24866,435.47705,367.496,1124.11511,437.49902,309.83682,1184.21924
17,0.133,360.78137,352.13425,1165.24866,435.47705,367.496,1124.11511,437.49902,309.83682,1184.21924
18,0.142,360.78137,352.13425,1165.24866,435.65387,367.30951,1123.96545,437.49902,309.83682,1184.21924
19,0.15,360.78137,352.13425,1165.24866,435.65387,367.30951,1123.96545,437.76584,309.88586,1184.59863
20,0.158,360.78137,352.13425,1165.24866,435.65387,367.30951,1123.96545,437.51224,309.99146,1184.06274
21,0.167,360.78137,352.13425,1165.24866,435.65387,367.30951,1123.96545,437.49902,309.83682,1184.21924
22,0.175,360.78137,352.13425,1165.24866,435.47705,367.496,1124.11511,437.49902,309.83682,1184.21924
23,0.183,360.78137,352.13425,1165.24866,435.65387,367.30951,1123.96545,437.51224,309.99146,1184.06274
24,0.192,360.78137,352.13425,1165.24866,435.65387,367.30951,1123.96545,437.49902,309.83682,1184.21924
25,0.2,360.78137,352.13425,1165.24866,435.65387,367.30951,1123.96545,437.49902,309.83682,1184.21924
26,0.208,360.78137,352.13425,1165.24866,435.65387,367.30951,1123.96545,437.51224,309.99146,1184.06274
27,0.217,360.78137,352.13425,1165.24866,435.04541,367.29266,1123.82556,437.49902,309.83682,1184.21924
28,0.225,360.78137,352.13425,1165.24866,434.86444,367.37033,1123.7262,437.51224,309.99146,1184.06274
29,0.233,360.78137,352.13425,1165.24866,435.04541,367.29266,1123.82556,437.51224,309.99146,1184.06274
30,0.242,360.78137,352.13425,1165.24866,435.04541,367.29266,1123.82556,437.51224,309.99146,1184.06274
31,0.25,360.78137,352.13425,1165.24866,435.04541,367.29266,1123.82556,437.51224,309.99146,1184.06274
32,0.258,360.78137,352.13425,1165.24866,435.04541,367.29266,1123.82556,437.51224,309.99146,1184.06274
33,0.267,360.78137,352.13425,1165.24866,435.04541,367.29266,1123.82556,437.51224,309.99146,1184.06274
34,0.275,360.78137,352.13425,1165.24866,434.86444,367.37033,1123.7262,437.51224,309.99146,1184.06274
35,0.283,360.78137,352.13425,1165.24866,435.04541,367.29266,1123.82556,437.51224,309.99146,1184.06274
36,0.292,360.90149,351.63324,1164.01953,435.09555,366.82535,1123.60059,437.67941,308.59552,1183.45911
37,0.3,360.78137,352.13425,1165.24866,435.04541,367.29266,1123.82556,437.68616,308.36935,1183.64465
38,0.308,360.78137,352.13425,1165.24866,435.04541,367.29266,1123.82556,437.67941,308.59552,1183.45911
39,0.317,360.78137,352.13425,1165.24866,435.09555,366.82535,1123.60059,437.68616,308.36935,1183.64465
40,0.325,360.78137,352.13425,1165.24866,434.88107,366.76508,1123.64014,437.68616,308.36935,1183.64465
41,0.333,360.78137,352.13425,1165.24866,435.09555,366.82535,1123.60059,437.68616,308.36935,1183.64465
42,0.342,360.78137,352.13425,1165.24866,435.04062,366.68149,1123.74353,437.68616,308.36935,1183.64465
43,0.35,360.78137,352.13425,1165.24866,435.09555,366.82535,1123.60059,437.68616,308.36935,1183.64465
44,0.358,360.78137,352.13425,1165.24866,434.88107,366.76508,1123.64014,437.29724,307.34634,1183.52234
45,0.367,360.78137,352.13425,1165.24866,435.04062,366.68149,1123.74353,437.29724,307.34634,1183.52234
46,0.375,361.47916,350.4725,1164.78784,435.04062,366.68149,1123.74353,437.29724,307.34634,1183.52234
47,0.383,361.47916,350.4725,1164.78784,435.04062,366.68149,1123.74353,437.2905,307.57269,1183.33691
48,0.392,361.47916,350.4725,1164.78784,435.04062,366.68149,1123.74353,437.29724,307.34634,1183.52234
49,0.4,361.47916,350.4725,1164.78784,435.09555,366.82535,1123.60059,437.29724,307.34634,1183.52234
50,0.408,361.59894,349.9707,1163.55835,435.04062,366.68149,1123.74353,437.29724,307.34634,1183.52234
51,0.417,361.47916,350.4725,1164.78784,434.88107,366.76508,1123.64014,437.29724,307.34634,1183.52234
52,0.425,361.47916,350.4725,1164.78784,434.88107,366.76508,1123.64014,437.29724,307.34634,1183.52234
53,0.433,361.59894,349.9707,1163.55835,435.04062,366.68149,1123.74353,437.29724,307.34634,1183.52234
54,0.442,361.47916,350.4725,1164.78784,435.04062,366.68149,1123.74353,437.29724,307.34634,1183.52234
55,0.45,361.47916,350.4725,1164.78784,435.04062,366.68149,1123.74353,437.29724,307.34634,1183.52234
56,0.458,361.47916,350.4725,1164.78784,435.21747,366.49524,1123.59387,437.29724,307.34634,1183.52234
57,0.467,361.47916,350.4725,1164.78784,435.04062,366.68149,1123.74353,437.29724,307.34634,1183.52234
58,0.475,361.59894,349.9707,1163.55835,435.11258,366.42087,1123.83496,437.29724,307.34634,1183.52234
59,0.483,361.59894,349.9707,1163.55835,435.14886,365.97757,1123.66333,437.29724,307.34634,1183.52234
60,0.492,361.59894,349.9707,1163.55835,435.05789,366.57886,1123.49048,437.29724,307.34634,1183.52234
61,0.5,361.59894,349.9707,1163.55835,435.05789,366.57886,1123.49048,437.29724,307.34634,1183.52234
62,0.508,361.47916,350.4725,1164.78784,435.2543,366.09497,1123.55298,437.29724,307.34634,1183.52234
63,0.517,361.59894,349.9707,1163.55835,434.91455,366.90302,1123.50122,437.29724,307.34634,1183.52234
64,0.525,361.59894,349.9707,1163.55835,434.81241,366.70776,1123.33154,437.29724,307.34634,1183.52234
65,0.533,361.59894,349.9707,1163.55835,434.62662,366.74316,1123.63611,437.29724,307.34634,1183.52234
66,0.542,361.47916,350.4725,1164.78784,434.80347,366.55695,1123.48645,437.29724,307.34634,1183.52234
67,0.55,361.47916,350.4725,1164.78784,434.62662,366.74316,1123.63611,437.29724,307.34634,1183.52234
68,0.558,361.59894,349.9707,1163.55835,434.62662,366.74316,1123.63611,437.29724,307.34634,1183.52234
69,0.567,361.59894,349.9707,1163.55835,434.62662,366.74316,1123.63611,437.29724,307.34634,1183.52234
70,0.575,361.47916,350.4725,1164.78784,434.62662,366.74316,1123.63611,436.74179,307.39676,1183.28857
71,0.583,361.47916,350.4725,1164.78784,434.62662,366.74316,1123.63611,436.74179,307.39676,1183.28857
72,0.592,361.47916,350.4725,1164.78784,434.62662,366.74316,1123.63611,436.74179,307.39676,1183.28857
73,0.6,361.47916,350.4725,1164.78784,434.62662,366.74316,1123.63611,436.19373,307.54251,1183.51355
74,0.608,361.47916,350.4725,1164.78784,434.62662,366.74316,1123.63611,436.19373,307.54251,1183.51355
75,0.617,360.90149,351.63324,1164.01953,434.62662,366.74316,1123.63611,436.19373,307.54251,1183.51355
76,0.625,360.78137,352.13425,1165.24866,434.62662,366.74316,1123.63611,435.84418,308.98157,1183.19849
77,0.633,360.78137,352.13425,1165.24866,434.62662,366.74316,1123.63611,434.97626,308.85379,1182.88953
78,0.642,360.78137,352.13425,1165.24866,434.63559,366.89398,1123.4812,434.76642,309.0217,1183.02393
79,0.65,360.78137,352.13425,1165.24866,434.62662,366.74316,1123.63611,434.97626,308.85379,1182.88953
80,0.658,360.37955,351.73798,1165.19409,434.62662,366.74316,1123.63611,434.76642,309.0217,1183.02393
81,0.667,360.78137,352.13425,1165.24866,433.909,365.85587,1123.62036,434.76642,309.0217,1183.02393
82,0.675,360.37955,351.73798,1165.19409,433.909,365.85587,1123.62036,434.76642,309.0217,1183.02393
83,0.683,360.37955,351.73798,1165.19409,433.909,365.85587,1123.62036,434.76642,309.0217,1183.02393
84,0.692,360.37955,351.73798,1165.19409,433.91797,366.00671,1123.46545,434.76642,309.0217,1183.02393
85,0.7,360.37955,351.73798,1165.19409,433.73215,366.0423,1123.77014,434.62079,308.90125,1183.1344
86,0.708,360.37955,351.73798,1165.19409,433.73215,366.0423,1123.77014,434.62079,308.90125,1183.1344
87,0.717,360.37955,351.73798,1165.19409,433.73792,365.9068,1123.5498,434.58795,308.6441,1182.91992
88,0.725,360.37955,351.73798,1165.19409,433.57111,365.93689,1123.8623,434.58795,308.6441,1182.91992
89,0.733,360.00217,351.54037,1165.40515,433.57111,365.93689,1123.8623,434.58795,308.6441,1182.91992
90,0.742,359.4899,351.3783,1165.52173,433.57111,365.93689,1123.8623,434.32135,308.62347,1182.73206
91,0.75,360.00217,351.54037,1165.40515,433.57111,365.93689,1123.8623,434.35425,308.88065,1182.94641
92,0.758,359.4899,351.3783,1165.52173,433.56107,366.09323,1123.69958,434.35425,308.88065,1182.94641
93,0.767,359.4899,351.3783,1165.52173,433.57111,365.93689,1123.8623,434.35425,308.88065,1182.94641
94,0.775,359.4899,351.3783,1165.52173,433.56107,366.09323,1123.69958,434.35425,308.88065,1182.94641
95,0.783,359.38733,349.74997,1165.2334,433.56107,366.09323,1123.69958,434.35425,308.88065,1182.94641
96,0.792,359.38733,349.74997,1165.2334,433.57111,365.93689,1123.8623,434.35425,308.88065,1182.94641
97,0.8,359.4899,351.3783,1165.52173,433.271,366.09454,1123.66809,434.35425,308.88065,1182.94641
98,0.808,359.38733,349.74997,1165.2334,433.16946,365.94928,1123.80774,434.35425,308.88065,1182.94641
99,0.817,359.38733,349.74997,1165.2334,432.56049,365.93201,1123.66772,434.13397,308.94315,1182.86365
100,0.825,359.38733,349.74997,1165.2334,431.8429,365.04303,1123.65186,434.13397,308.94315,1182.86365
101,0.833,358.6485,349.72067,1165.07251,431.8429,365.04303,1123.65186,434.13397,308.94315,1182.86365
102,0.842,358.6485,349.72067,1165.07251,431.44473,365.09427,1123.78516,434.13397,308.94315,1182.86365
