Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,378.03632,31.84758,1624.02649,472.55786,49.49481,1538.76868,255.59465,35.22549,1526.72156,430.1102,57.58397,1361.95044
2,0.008,377.93497,31.5328,1624.71814,472.64816,49.02332,1539.04749,255.59465,35.22549,1526.72156,430.20538,57.40926,1361.5415
3,0.017,378.12057,31.24869,1624.61096,472.55786,49.49481,1538.76868,255.47418,34.57925,1526.89709,430.20538,57.40926,1361.5415
4,0.025,377.8999,31.37678,1624.41077,472.64816,49.02332,1539.04749,255.21733,34.61158,1526.82983,430.20538,57.40926,1361.5415
5,0.033,378.02472,31.44966,1624.12134,472.64816,49.02332,1539.04749,255.59465,35.22549,1526.72156,430.20538,57.40926,1361.5415
6,0.042,378.02472,31.44966,1624.12134,472.64816,49.02332,1539.04749,255.70476,35.74077,1526.70679,430.20538,57.40926,1361.5415
7,0.05,377.65765,31.44866,1624.08447,473.14233,48.38826,1538.75977,255.59465,35.22549,1526.72156,430.20538,57.40926,1361.5415
8,0.058,378.02472,31.44966,1624.12134,472.55786,49.49481,1538.76868,255.33783,35.25777,1526.65442,430.20538,57.40926,1361.5415
9,0.067,378.22198,31.56345,1623.91919,472.64816,49.02332,1539.04749,255.59465,35.22549,1526.72156,430.20538,57.40926,1361.5415
10,0.075,377.80408,31.57776,1623.92102,472.84998,48.94114,1538.76404,255.59465,35.22549,1526.72156,430.20538,57.40926,1361.5415
11,0.083,377.80408,31.57776,1623.92102,472.55786,49.49481,1538.76868,255.33783,35.25777,1526.65442,430.20538,57.40926,1361.5415
12,0.092,378.00134,31.69156,1623.71887,472.64816,49.02332,1539.04749,255.33783,35.25777,1526.65442,430.20538,57.40926,1361.5415
13,0.1,378.31781,31.36257,1624.40894,472.84998,48.94114,1538.76404,255.33783,35.25777,1526.65442,430.20538,57.40926,1361.5415
14,0.108,377.43707,31.57675,1623.88416,473.14233,48.38826,1538.75977,255.33783,35.25777,1526.65442,430.20538,57.40926,1361.5415
15,0.117,378.00134,31.69156,1623.71887,472.84998,48.94114,1538.76404,255.33783,35.25777,1526.65442,430.12006,57.1218,1360.70642
16,0.125,378.00134,31.69156,1623.71887,472.86066,48.7386,1538.79749,255.33783,35.25777,1526.65442,430.12006,57.1218,1360.70642
17,0.133,378.00134,31.69156,1623.71887,473.02853,48.70085,1538.5332,255.33783,35.25777,1526.65442,430.11682,56.6222,1360.49377
18,0.142,378.00134,31.69156,1623.71887,473.02853,48.70085,1538.5332,255.59465,35.22549,1526.72156,430.11682,56.6222,1360.49377
19,0.15,377.90506,31.89363,1623.22986,473.02853,48.70085,1538.5332,255.59465,35.22549,1526.72156,430.11682,56.6222,1360.49377
20,0.158,378.00134,31.69156,1623.71887,473.13235,47.48886,1538.01599,255.47418,34.57925,1526.89709,430.11682,56.6222,1360.49377
21,0.167,378.00134,31.69156,1623.71887,473.13235,47.48886,1538.01599,255.21733,34.61158,1526.82983,430.11682,56.6222,1360.49377
22,0.175,378.00134,31.69156,1623.71887,473.02853,48.70085,1538.5332,255.47418,34.57925,1526.89709,430.11682,56.6222,1360.49377
23,0.183,378.00134,31.69156,1623.71887,472.86066,48.7386,1538.79749,255.33783,35.25777,1526.65442,430.11682,56.6222,1360.49377
24,0.192,377.90506,31.89363,1623.22986,473.50644,46.59698,1538.02563,255.33783,35.25777,1526.65442,430.11682,56.6222,1360.49377
25,0.2,377.90506,31.89363,1623.22986,473.50644,46.59698,1538.02563,255.33783,35.25777,1526.65442,430.35706,56.33339,1360.23657
26,0.208,377.65863,31.67435,1623.71606,473.50644,46.59698,1538.02563,255.33783,35.25777,1526.65442,430.11682,56.6222,1360.49377
27,0.217,378.00134,31.69156,1623.71887,473.50644,46.59698,1538.02563,255.33783,35.25777,1526.65442,430.11682,56.6222,1360.49377
28,0.225,377.90506,31.89363,1623.22986,473.50644,46.59698,1538.02563,255.33783,35.25777,1526.65442,430.11682,56.6222,1360.49377
29,0.233,377.70776,31.77993,1623.43201,473.11411,46.72313,1537.68652,255.21733,34.61158,1526.82983,430.082,56.27229,1360.21936
30,0.242,377.65863,31.67435,1623.71606,472.73999,47.61491,1537.67688,255.21733,34.61158,1526.82983,429.76224,56.5542,1360.46375
31,0.25,377.65863,31.67435,1623.71606,472.86688,47.57304,1538.09326,255.33783,35.25777,1526.65442,429.76224,56.5542,1360.46375
32,0.258,377.56235,31.87639,1623.22705,472.72931,46.84684,1537.56799,255.33783,35.25777,1526.65442,429.76224,56.5542,1360.46375
33,0.267,377.03503,31.81742,1623.07788,472.35529,47.73846,1537.55835,255.05092,35.30469,1526.69788,429.98816,56.65193,1360.01526
34,0.275,377.34076,31.77886,1623.39514,472.2366,47.78485,1537.79321,255.05092,35.30469,1526.69788,429.76224,56.5542,1360.46375
35,0.283,376.64627,32.30745,1623.13867,472.35529,47.73846,1537.55835,255.05092,35.30469,1526.69788,429.76224,56.5542,1360.46375
36,0.292,376.33228,32.3933,1623.23059,472.35529,47.73846,1537.55835,255.05092,35.30469,1526.69788,429.62448,56.92775,1360.25037
37,0.3,376.33228,32.3933,1623.23059,472.35529,47.73846,1537.55835,255.05092,35.30469,1526.69788,429.98816,56.65193,1360.01526
38,0.308,376.32751,33.34267,1623.23035,472.35529,47.73846,1537.55835,255.05092,35.30469,1526.69788,428.81,56.91336,1360.50818
39,0.317,376.10611,33.2451,1623.39832,472.02893,49.33908,1538.17603,255.05092,35.30469,1526.69788,428.81,56.91336,1360.50818
40,0.325,376.10611,33.2451,1623.39832,472.2366,47.78485,1537.79321,254.86513,35.25904,1526.75586,428.94766,56.53976,1360.72168
41,0.333,376.10611,33.2451,1623.39832,471.98148,48.63107,1537.54907,254.8839,35.34564,1526.62378,429.34821,56.60112,1360.25183
42,0.342,375.87076,33.31983,1623.22668,471.90948,49.10019,1538.53333,254.06679,35.61311,1526.51697,428.81,56.91336,1360.50818
43,0.35,376.10611,33.2451,1623.39832,471.90948,49.10019,1538.53333,254.11357,35.73757,1526.54932,428.81,56.91336,1360.50818
44,0.358,375.87076,33.31983,1623.22668,471.84833,49.48055,1538.28748,253.94658,35.77842,1526.47522,428.46118,57.5869,1360.53064
45,0.367,375.87076,33.31983,1623.22668,471.79251,49.01569,1538.03857,254.06679,35.61311,1526.51697,428.46118,57.5869,1360.53064
46,0.375,375.87076,33.31983,1623.22668,471.84833,49.48055,1538.28748,254.39769,35.72963,1526.75488,428.46118,57.5869,1360.53064
47,0.383,375.87076,33.31983,1623.22668,471.79251,49.01569,1538.03857,253.92781,35.69184,1526.6073,428.46118,57.5869,1360.53064
48,0.392,375.72006,33.30271,1623.58337,471.71902,49.37938,1537.83032,253.94658,35.77842,1526.47522,428.46118,57.5869,1360.53064
49,0.4,375.87076,33.31983,1623.22668,471.79251,49.01569,1538.03857,253.75957,35.727,1526.54199,428.46118,57.5869,1360.53064
50,0.408,375.87076,33.31983,1623.22668,471.71902,49.37938,1537.83032,253.80951,35.82223,1526.3988,428.46118,57.5869,1360.53064
51,0.417,375.87076,33.31983,1623.22668,471.88104,48.75576,1537.42236,253.75957,35.727,1526.54199,428.46118,57.5869,1360.53064
52,0.425,375.87076,33.31983,1623.22668,471.59073,49.27918,1537.37329,254.08556,35.69969,1526.38477,428.46118,57.5869,1360.53064
