Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
1,0,154.31003,-113.67183,47.65914,360.16074,-154.75488,46.5108,325.68204,-98.56072,49.91688
2,0.008,154.33943,-113.38942,47.66055,360.08853,-154.82126,46.65609,325.68204,-98.56072,49.91688
3,0.017,154.33943,-113.38942,47.66055,360.08853,-154.82126,46.65609,325.68204,-98.56072,49.91688
4,0.025,154.31003,-113.67183,47.65914,360.38467,-154.84103,46.5696,325.81091,-98.30856,49.98841
5,0.033,154.28049,-113.95419,47.65771,360.37326,-154.70996,46.43563,325.68204,-98.56072,49.91688
6,0.042,154.28049,-113.95419,47.65771,360.37326,-154.70996,46.43563,325.68204,-98.56072,49.91688
7,0.05,154.28049,-113.95419,47.65771,360.27509,-154.78656,46.60099,325.74774,-98.44201,49.74184
8,0.058,154.33943,-113.38942,47.66055,360.25467,-154.94882,46.53894,325.74774,-98.44201,49.74184
9,0.067,154.33943,-113.38942,47.66055,360.16074,-154.75488,46.5108,325.74774,-98.44201,49.74184
10,0.075,154.33943,-113.38942,47.66055,360.17215,-154.88597,46.64477,325.61536,-98.15799,49.9214
11,0.083,154.28049,-113.95419,47.65771,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
12,0.092,154.28049,-113.95419,47.65771,360.19705,-154.83246,46.35597,325.74774,-98.44201,49.74184
13,0.1,154.71106,-114.09893,47.77634,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
14,0.108,154.31299,-113.79273,47.72831,360.16074,-154.75488,46.5108,325.74774,-98.44201,49.74184
15,0.117,154.33943,-113.38942,47.66055,360.08853,-154.82126,46.65609,325.47568,-98.84711,49.61532
16,0.125,154.33943,-113.38942,47.66055,360.16074,-154.75488,46.5108,325.74774,-98.44201,49.74184
17,0.133,154.33943,-113.38942,47.66055,360.16074,-154.75488,46.5108,325.74774,-98.44201,49.74184
18,0.142,154.28049,-113.95419,47.65771,360.7941,-153.97301,46.94334,325.74774,-98.44201,49.74184
19,0.15,154.28049,-113.95419,47.65771,360.38467,-154.84103,46.5696,325.74774,-98.44201,49.74184
20,0.158,154.28049,-113.95419,47.65771,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
21,0.167,154.28049,-113.95419,47.65771,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
22,0.175,154.33943,-113.38942,47.66055,360.16074,-154.75488,46.5108,325.74774,-98.44201,49.74184
23,0.183,154.34023,-113.25046,47.51373,360.17215,-154.88597,46.64477,325.74774,-98.44201,49.74184
24,0.192,154.37198,-113.22797,47.73114,360.7941,-153.97301,46.94334,325.74774,-98.44201,49.74184
25,0.2,154.33943,-113.38942,47.66055,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
26,0.208,154.28049,-113.95419,47.65771,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
27,0.217,154.24663,-114.17944,47.54593,360.46719,-154.9039,46.46376,325.74774,-98.44201,49.74184
28,0.225,154.28049,-113.95419,47.65771,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
29,0.233,154.31003,-113.67183,47.65914,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
30,0.242,154.33943,-113.38942,47.66055,360.7941,-153.97301,46.94334,325.74774,-98.44201,49.74184
31,0.25,154.33943,-113.38942,47.66055,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
32,0.258,154.31003,-113.67183,47.65914,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
33,0.267,154.28049,-113.95419,47.65771,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
34,0.275,154.28049,-113.95419,47.65771,360.37326,-154.70996,46.43563,325.47568,-98.84711,49.61532
35,0.283,154.28049,-113.95419,47.65771,360.16074,-154.75488,46.5108,325.74774,-98.44201,49.74184
36,0.292,154.28049,-113.95419,47.65771,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
37,0.3,154.28049,-113.95419,47.65771,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
38,0.308,154.31003,-113.67183,47.65914,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
39,0.317,154.33943,-113.38942,47.66055,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
40,0.325,154.31003,-113.67183,47.65914,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
41,0.333,154.31003,-113.67183,47.65914,360.19705,-154.83246,46.35597,325.56458,-99.28793,49.36077
42,0.342,154.28049,-113.95419,47.65771,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
43,0.35,154.28049,-113.95419,47.65771,360.16074,-154.75488,46.5108,325.68204,-98.56072,49.91688
44,0.358,154.31003,-113.67183,47.65914,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
45,0.367,154.31003,-113.67183,47.65914,360.7941,-153.97301,46.94334,325.74774,-98.44201,49.74184
46,0.375,154.28049,-113.95419,47.65771,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
47,0.383,154.28049,-113.95419,47.65771,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
48,0.392,154.31003,-113.67183,47.65914,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
49,0.4,154.33943,-113.38942,47.66055,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
50,0.408,154.33943,-113.38942,47.66055,360.49524,-154.52637,46.30141,325.74774,-98.44201,49.74184
51,0.417,154.50958,-113.68539,47.63802,360.49524,-154.52637,46.30141,325.74774,-98.44201,49.74184
52,0.425,154.71106,-114.09893,47.77634,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
53,0.433,154.28049,-113.95419,47.65771,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
54,0.442,154.31003,-113.67183,47.65914,360.49524,-154.52637,46.30141,325.87173,-98.17686,49.80972
55,0.45,154.33943,-113.38942,47.66055,360.28271,-154.57127,46.37658,325.74774,-98.44201,49.74184
56,0.458,154.33943,-113.38942,47.66055,360.41635,-154.54361,46.22774,325.74774,-98.44201,49.74184
57,0.467,154.31003,-113.67183,47.65914,360.28271,-154.57127,46.37658,325.74774,-98.44201,49.74184
58,0.475,154.28049,-113.95419,47.65771,360.49524,-154.52637,46.30141,325.74774,-98.44201,49.74184
59,0.483,154.28049,-113.95419,47.65771,360.49524,-154.52637,46.30141,325.74774,-98.44201,49.74184
60,0.492,154.28049,-113.95419,47.65771,360.49524,-154.52637,46.30141,325.74774,-98.44201,49.74184
61,0.5,154.31003,-113.67183,47.65914,360.16074,-154.75488,46.5108,325.83661,-98.88283,49.4873
62,0.508,154.33943,-113.38942,47.66055,360.28271,-154.57127,46.37658,325.74774,-98.44201,49.74184
63,0.517,154.33943,-113.38942,47.66055,360.28271,-154.57127,46.37658,325.74774,-98.44201,49.74184
64,0.525,154.33943,-113.38942,47.66055,360.31903,-154.64886,46.22175,325.74774,-98.44201,49.74184
65,0.533,154.28049,-113.95419,47.65771,360.49524,-154.52637,46.30141,325.74774,-98.44201,49.74184
66,0.542,154.28049,-113.95419,47.65771,360.49524,-154.52637,46.30141,325.74774,-98.44201,49.74184
67,0.55,154.28049,-113.95419,47.65771,360.50687,-154.68231,46.28679,325.74774,-98.44201,49.74184
68,0.558,154.28049,-113.95419,47.65771,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
69,0.567,154.33943,-113.38942,47.66055,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
70,0.575,154.33943,-113.38942,47.66055,360.37326,-154.70996,46.43563,325.74774,-98.44201,49.74184
71,0.583,154.33943,-113.38942,47.66055,360.62885,-154.49873,46.15257,325.74774,-98.44201,49.74184
72,0.592,154.28049,-113.95419,47.65771,360.49524,-154.52637,46.30141,325.74774,-98.44201,49.74184
