Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,1376.45532,-77.25133,228.96173,1482.56006,-86.34803,74.90408,1456.745,-3.65782,92.28993
2,0.008,1373.80933,-77.2614,228.36124,1482.44031,-86.18066,74.80371,1459.75256,-2.54509,93.5681
3,0.017,1374.92041,-77.21258,227.89447,1482.14368,-85.56268,75.20186,1459.85876,-1.56154,94.45497
4,0.025,1374.05664,-76.75381,227.52176,1482.26233,-85.88062,75.65521,1459.1084,-0.79802,94.63499
5,0.033,1371.25684,-76.41753,228.11708,1481.34094,-85.69884,75.77171,1459.07324,-0.6766,94.54568
6,0.042,1369.28821,-76.25052,227.97969,1479.98413,-85.94321,77.42001,1458.79883,-0.4791,94.33768
7,0.05,1369.25012,-76.74355,227.84856,1479.98413,-85.94321,77.42001,1458.01392,-0.65205,94.47568
8,0.058,1367.38281,-77.02599,227.09415,1480.1449,-85.81236,78.87076,1457.92676,-0.61532,94.70939
9,0.067,1366.45215,-77.1964,226.83403,1479.79504,-85.93616,78.99438,1457.83191,-1.04726,95.06435
10,0.075,1364.44666,-77.08897,226.34476,1479.93701,-84.59261,79.82703,1457.08984,-1.00526,96.4892
11,0.083,1362.87354,-77.68134,225.71959,1479.93701,-84.59261,79.82703,1455.58594,-1.47218,96.6759
12,0.092,1359.89539,-76.52264,225.25108,1479.60779,-84.66962,80.35212,1454.68652,-1.50549,96.93242
13,0.1,1358.10767,-76.45583,224.83414,1479.50769,-84.24887,80.89694,1454.58618,-1.55972,97.05012
14,0.108,1355.54419,-76.77647,224.7617,1479.53723,-83.73086,82.02563,1453.98035,-1.06438,97.4764
15,0.117,1353.86182,-77.55699,224.60062,1478.55481,-84.19688,83.57688,1453.40564,-0.19172,98.49655
16,0.125,1351.15869,-76.41856,224.07678,1477.78784,-84.81355,84.89011,1452.20691,-0.56939,99.98594
17,0.133,1347.62927,-76.09008,224.5757,1477.18201,-85.40424,85.95776,1451.31042,-0.51903,101.50071
18,0.142,1344.25208,-75.72218,224.45012,1475.92627,-85.26917,89.21738,1450.66931,-0.61111,102.43307
19,0.15,1340.41016,-76.52525,224.00166,1472.82788,-85.11491,92.14564,1447.01147,-0.9113,104.07188
20,0.158,1334.68787,-75.9255,225.66306,1469.771,-85.90089,94.43607,1444.43286,-1.79032,108.50794
21,0.167,1329.99341,-77.53758,226.19698,1467.32263,-85.10785,99.79433,1441.02368,-1.45074,111.28028
22,0.175,1322.56934,-76.31367,227.72066,1465.02039,-85.62375,104.48325,1438.89001,-1.73801,116.56007
23,0.183,1315.25317,-75.12582,230.79256,1461.09521,-86.83295,110.12237,1432.78113,-2.08833,120.2829
24,0.192,1307.52539,-76.46432,232.69156,1456.93689,-88.15549,116.93587,1425.84473,-3.03157,127.20878
25,0.2,1298.84753,-76.6644,235.69598,1450.50635,-88.5106,125.279,1419.1886,-2.77333,133.995
26,0.208,1287.13318,-78.1331,237.74326,1442.48108,-88.69304,133.43958,1412.23853,-5.11646,139.58257
27,0.217,1275.27014,-79.78773,240.54547,1433.19751,-88.98045,140.8116,1404.45557,-3.30522,148.0535
28,0.225,1264.04614,-82.02969,245.32263,1424.29065,-88.47123,148.46686,1392.20032,-6.10153,153.36078
29,0.233,1254.02112,-82.88326,247.86009,1414.89319,-90.11648,156.50058,1379.75342,-8.29379,160.05592
30,0.242,1241.51331,-83.17944,251.57365,1405.78284,-90.39822,163.47595,1372.24023,-7.31358,166.49846
31,0.25,1229.12744,-83.51868,255.21788,1394.80249,-91.71409,171.49875,1361.67114,-6.61766,173.58517
32,0.258,1217.49707,-82.5448,259.46561,1384.36682,-90.97688,176.6483,1352.85852,-7.67278,178.65388
33,0.267,1207.67761,-81.54139,261.94281,1373.79224,-91.31635,182.65614,1340.73987,-8.20336,183.07753
34,0.275,1194.09277,-81.38239,266.0748,1362.75989,-90.95211,187.18878,1329.07751,-7.45868,188.2439
35,0.283,1180.95166,-81.1391,268.39807,1350.93677,-88.88344,190.67589,1317.34143,-7.24491,190.98213
36,0.292,1169.04248,-80.38017,270.12579,1338.27014,-88.56892,193.15508,1303.48059,-6.30193,192.46912
37,0.3,1154.85767,-80.35531,273.4241,1326.56946,-90.49973,195.96445,1290.58301,-7.74409,192.18558
38,0.308,1142.85681,-79.21941,273.9733,1311.28052,-89.82275,195.75798,1278.73975,-6.2766,193.59969
39,0.317,1128.68628,-79.4951,275.25305,1297.42444,-88.96159,196.21863,1263.28894,-6.21791,193.04268
40,0.325,1114.38916,-77.53996,276.16275,1282.40942,-88.01728,194.3531,1248.09399,-5.57285,191.01889
41,0.333,1100.74768,-77.01256,275.49121,1269.86023,-90.35187,192.47673,1233.27454,-5.60148,190.4222
42,0.342,1086.41602,-75.90125,276.38605,1254.19702,-90.38517,190.40549,1217.22388,-5.50714,187.62799
43,0.35,1073.41528,-74.75066,276.96085,1235.75623,-87.79341,185.13087,1203.04688,-5.24076,185.85849
