Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
1,0,-985.11273,244.13187,1144.92224,-1029.52087,301.81458,959.18781,-1076.99683,245.88863,946.44678
2,0.008,-977.85437,244.66148,1146.23474,-1022.46796,302.39032,958.97748,-1068.44299,245.74792,946.91559
3,0.017,-970.28436,243.98232,1146.72412,-1016.19714,303.04852,960.27594,-1062.43848,246.03152,947.66418
4,0.025,-964.84674,243.36449,1146.59802,-1008.39752,303.02551,960.75342,-1054.59741,245.5549,947.94446
5,0.033,-957.97101,243.55373,1146.20483,-1001.66321,303.09518,960.4632,-1045.91077,245.61765,947.54486
6,0.042,-953.802,243.95576,1147.43213,-994.20892,302.56949,961.12219,-1039.6322,245.66873,948.16168
7,0.05,-947.42029,244.41592,1147.64063,-987.22455,302.4642,960.75403,-1033.67004,246.6412,947.58221
8,0.058,-940.27899,245.07858,1148.13892,-980.23572,302.83362,961.16382,-1025.89807,245.98822,948.58374
9,0.067,-933.5528,244.69484,1148.04834,-972.83917,302.83597,961.32135,-1018.16388,246.16666,947.53149
10,0.075,-926.67767,243.78297,1146.79321,-967.46588,304.06519,962.03003,-1012.55566,246.07603,947.59436
11,0.083,-920.5105,243.69833,1146.72034,-961.40845,304.06744,961.62415,-1006.53906,246.13831,946.65875
12,0.092,-913.9743,242.55545,1146.31335,-954.2179,303.7244,961.40723,-1000.63574,245.66864,947.01727
13,0.1,-909.38593,244.95103,1147.05273,-947.38385,303.3811,961.13342,-993.16492,245.87798,946.6485
14,0.108,-900.92346,243.21696,1146.55286,-941.04431,302.86472,959.97192,-986.66083,246.29146,946.05316
15,0.117,-894.38928,242.12474,1146.16467,-934.45294,301.91656,960.17889,-979.99084,246.59888,944.15381
16,0.125,-888.00385,241.14232,1144.51697,-928.27161,302.18256,959.05682,-973.0437,245.65474,943.26459
17,0.133,-882.94971,239.33542,1143.44312,-922.36505,302.15634,958.41687,-967.74603,245.47224,942.81024
18,0.142,-876.49091,239.51822,1142.92261,-915.71161,301.54352,957.33478,-961.08405,244.7813,942.18689
19,0.15,-870.37091,237.80859,1143.19495,-909.41656,300.24966,955.7193,-955.51752,243.97295,940.67395
20,0.158,-864.37006,236.02196,1140.78442,-903.46356,300.51263,955.39392,-948.86719,243.49551,940.39667
21,0.167,-858.698,235.56786,1140.00476,-897.75519,299.18243,954.47827,-943.40137,242.94115,939.59863
22,0.175,-853.15845,233.78201,1139.90125,-893.03125,298.35968,954.20416,-938.1095,242.31493,938.51953
23,0.183,-846.76019,234.12723,1139.13159,-887.38739,297.90912,953.72412,-931.34198,240.70633,937.27112
24,0.192,-840.94434,234.14783,1137.96033,-881.62073,296.19687,952.87378,-926.30005,239.5432,937.33893
25,0.2,-834.50647,232.19875,1137.59521,-875.94879,296.00262,952.40338,-919.17261,237.29546,936.66541
26,0.208,-829.06262,232.13516,1137.13049,-869.7851,293.84616,952.03119,-913.23779,236.43338,936.57739
27,0.217,-823.81494,229.52611,1136.66504,-864.2901,292.94464,951.22784,-911.55023,236.22939,936.06891
28,0.225,-816.99438,229.98813,1137.00708,-859.94806,293.08582,951.67145,-904.17987,236.24847,936.33386
29,0.233,-810.45709,230.24089,1136.5387,-854.30353,293.04022,951.23547,-900.78619,234.77457,935.97137
30,0.242,-806.92694,227.72198,1134.53699,-849.67957,292.09286,950.99567,-893.80536,232.5106,935.36591
31,0.25,-801.35858,228.59288,1135.4126,-846.10529,289.20901,950.2464,-888.00031,231.10295,934.61426
32,0.258,-796.16669,228.50192,1135.16064,-839.37384,289.51147,949.66309,-883.74347,230.51198,935.23364
33,0.267,-791.14941,226.75999,1134.50806,-834.93298,288.07428,949.39038,-878.90308,229.68388,935.1131
34,0.275,-785.86707,227.42987,1134.79114,-830.2182,288.39465,947.8457,-875.11884,228.92296,934.17694
35,0.283,-780.28101,225.79272,1133.9043,-826.30957,285.93024,948.14502,-871.29871,228.40071,934.05304
36,0.292,-774.39069,225.03622,1133.07886,-821.57068,285.77115,947.37115,-864.4975,227.17278,932.47717
37,0.3,-771.44476,225.3979,1131.7373,-816.77521,285.16946,946.85828,-860.77557,224.30591,932.75769
38,0.308,-765.63373,225.4776,1132.47559,-813.56299,284.63669,946.24719,-853.4729,223.22879,933.02234
39,0.317,-761.13965,224.798,1132.32117,-808.4234,281.97949,945.60553,-853.4729,223.22879,933.02234
40,0.325,-755.86707,224.00723,1132.43982,-803.97302,281.92712,946.00012,-846.0556,222.72643,932.61597
41,0.333,-751.73901,226.41095,1132.14221,-799.03583,281.60153,946.06915,-843.15204,221.76515,933.20343
42,0.342,-747.86609,225.06847,1131.81445,-796.53894,281.37567,945.77588,-836.69135,221.40202,933.53668
43,0.35,-741.97247,224.91591,1132.02258,-790.43866,280.3082,945.22821,-835.16846,220.84677,933.10175
44,0.358,-737.27527,224.72932,1131.91357,-787.05994,279.77789,944.52356,-826.79681,219.36037,934.03076
45,0.367,-733.36877,225.05615,1131.69836,-782.82294,278.71115,945.73267,-826.79681,219.36037,934.03076
46,0.375,-729.5979,224.0256,1131.50098,-778.7663,278.62555,946.01184,-819.83093,217.78653,934.19836
47,0.383,-723.07654,224.63179,1131.4801,-773.5705,278.67944,945.79114,-816.27948,216.49895,934.66638
48,0.392,-718.43073,224.38531,1131.65125,-770.46606,278.14154,946.49646,-813.86438,215.39555,935.67969
49,0.4,-715.35724,225.36285,1132.84961,-766.61835,277.59656,946.97137,-808.88202,215.2124,936.1911
50,0.408,-709.27948,226.95978,1134.18262,-762.42828,276.26019,947.72894,-803.99414,214.03061,937.56287
51,0.417,-704.6394,224.32149,1134.06018,-758.31934,276.09244,947.79962,-799.81848,214.01201,937.90558
52,0.425,-698.47278,224.00346,1134.27026,-754.21283,275.89902,948.07471,-794.95227,213.64943,939.63995
53,0.433,-692.92181,225.99525,1134.38342,-749.94403,276.01199,948.27454,-790.71704,213.20219,940.1087
54,0.442,-689.224,226.40871,1134.52612,-746.38641,276.08121,949.61981,-785.82251,213.86563,940.37604
55,0.45,-683.49835,226.65935,1134.96399,-741.66681,274.68008,949.17877,-782.22931,213.51578,941.62415
56,0.458,-678.28485,227.3063,1135.9989,-738.09167,275.53845,950.47125,-776.79651,213.27928,941.59497
57,0.467,-673.32404,226.62569,1136.60974,-733.26172,275.28656,951.48468,-772.42352,213.88081,942.21484
58,0.475,-667.76758,227.85258,1137.2417,-728.01178,275.67624,952.19189,-766.77112,213.51157,943.02106
59,0.483,-662.55627,226.33463,1136.31323,-724.58728,276.5473,952.60229,-764.70874,214.67729,943.18854
60,0.492,-658.81134,228.40196,1135.89197,-720.3302,275.6889,952.19318,-758.34277,215.15305,943.65594
61,0.5,-652.76862,229.92262,1136.46741,-714.46423,276.63452,952.86053,-754.09766,214.88908,944.39008
62,0.508,-646.7583,231.62889,1136.85291,-709.67206,277.69318,953.43243,-750.22534,214.72466,944.82245
63,0.517,-640.32764,230.12512,1136.34985,-706.52148,278.43445,953.17249,-742.85883,215.10472,944.83679
64,0.525,-635.86206,230.2072,1136.46423,-700.59802,279.41565,953.08185,-739.21234,215.9481,945.9035
65,0.533,-630.10016,229.93846,1136.00037,-695.02026,279.82742,953.33136,-735.81476,217.54376,945.63074
66,0.542,-624.13495,231.64316,1135.81763,-688.62744,279.21289,952.99951,-728.966,217.57265,945.25873
67,0.55,-617.83368,231.70735,1135.52502,-683.74994,279.87399,952.39825,-722.45477,217.74348,945.22418
68,0.558,-613.62567,233.95332,1136.81177,-678.58282,281.29871,952.89941,-718.89471,218.57051,945.45813
69,0.567,-607.50037,233.65933,1136.12927,-673.23883,281.29669,953.06067,-713.29968,219.6619,945.3092
70,0.575,-601.73291,235.27321,1134.9209,-667.32959,282.22186,952.78589,-709.36652,221.58781,946.0423
71,0.583,-594.68109,236.67561,1134.74768,-661.4953,282.87286,952.90112,-701.21875,221.94614,945.66052
72,0.592,-586.50146,234.8938,1133.19934,-655.23615,284.61356,951.86792,-695.90955,222.62538,944.76398
73,0.6,-580.3974,235.35887,1132.82019,-648.83282,285.10071,950.92194,-689.16748,223.25897,943.9931
74,0.608,-574.65997,235.14595,1132.0918,-642.6217,285.42523,950.42749,-683.48596,223.71475,942.96387
75,0.617,-567.85864,236.80595,1131.82642,-636.44324,287.25137,950.05444,-676.90967,225.14948,941.60089
76,0.625,-561.4516,239.32945,1130.18347,-630.14569,288.82968,948.75812,-670.33716,226.24992,941.52985
77,0.633,-555.59082,239.46098,1130.00562,-624.0993,289.03745,947.88562,-664.07764,228.15494,941.30023
78,0.642,-549.08813,240.83116,1129.27209,-617.57257,289.39529,947.19171,-657.30603,228.71306,939.42255
79,0.65,-542.71252,241.34563,1128.43518,-611.14532,291.48022,946.67688,-650.7121,230.68353,938.4693
80,0.658,-536.26788,242.60484,1127.38879,-603.79517,293.13779,945.24066,-643.12781,231.36385,938.08521
81,0.667,-529.57489,244.81389,1127.93066,-596.65857,293.41525,945.2049,-636.55652,232.37636,937.46069
82,0.675,-522.92682,246.35464,1127.38928,-589.56268,294.72009,944.96802,-631.82971,233.98082,937.46313
83,0.683,-515.94946,247.92307,1127.21338,-581.45551,295.62976,945.34344,-625.47803,235.19321,937.92389
84,0.692,-509.41544,248.41518,1126.64368,-573.75739,295.85379,945.06372,-618.61163,235.75476,938.3028
85,0.7,-502.09723,248.92381,1127.58911,-566.81396,296.30276,945.56384,-611.11737,236.72937,938.36548
86,0.708,-494.29901,248.42656,1127.48779,-559.82562,297.78476,946.11774,-604.71191,236.85968,938.97443
87,0.717,-488.32492,249.70679,1128.25977,-553.43207,298.7135,946.05157,-597.05341,238.35443,939.47058
88,0.725,-481.77893,251.205,1128.84985,-545.20874,299.60068,946.92853,-589.17566,238.73657,940.10126
89,0.733,-474.45828,252.16319,1129.85669,-538.69513,300.75928,947.5011,-582.80139,240.53975,940.8598
90,0.742,-467.71506,252.95853,1129.9873,-532.07056,301.93057,948.05676,-575.67133,241.27606,940.62476
91,0.75,-458.89886,252.42659,1129.66602,-524.15063,302.32797,948.24554,-567.37213,241.8302,941.05353
92,0.758,-452.96228,253.47778,1129.85645,-517.66498,304.23349,947.5871,-560.40222,243.59404,941.78735
93,0.767,-447.05804,254.36139,1131.27246,-509.55222,304.52744,949.10321,-553.80383,244.30807,942.16492
94,0.775,-441.00894,255.28368,1131.29797,-502.17651,304.74405,949.16418,-545.28448,245.07016,942.38031
95,0.783,-434.28363,257.68625,1132.21167,-494.96729,305.1033,949.29761,-538.91223,246.56573,943.16858
96,0.792,-427.3269,256.44501,1132.78931,-488.51794,307.09418,949.61084,-532.18604,247.58543,943.82654
97,0.8,-420.56842,257.12393,1133.37097,-479.62088,307.1799,950.3418,-526.41144,249.37984,943.86823
98,0.808,-413.32797,255.94188,1133.47766,-472.22324,309.00006,951.00842,-519.89783,250.72847,944.07227
99,0.817,-407.05927,256.94034,1134.33423,-466.29788,310.11792,950.62653,-513.63464,251.69928,944.75873
100,0.825,-401.31723,258.95004,1135.47766,-459.22757,310.91852,952.29767,-504.14069,252.35699,944.07642
101,0.833,-394.65039,258.10501,1136.28601,-450.72714,310.82068,952.75476,-501.89557,252.35262,945.46619
102,0.842,-386.60379,259.20859,1136.37036,-444.21622,311.86493,953.19934,-492.25418,254.4223,944.35626
103,0.85,-380.18405,256.79404,1135.46973,-438.01184,311.69879,953.39929,-483.15765,254.657,945.78766
104,0.858,-373.75201,258.34641,1137.66602,-429.70532,311.98517,953.5575,-477.33789,256.01334,945.45886
105,0.867,-367.25168,261.31677,1139.28967,-421.8595,314.06631,954.32617,-469.2554,256.86627,945.71637
106,0.875,-362.07031,259.94821,1138.80945,-415.25238,314.7522,954.76221,-461.25461,257.54044,945.98486
107,0.883,-356.13446,260.34534,1139.05042,-407.70197,315.2832,955.59833,-454.06036,258.24667,946.13446
108,0.892,-348.34219,258.30441,1139.23914,-400.8602,315.94543,956.25812,-448.10489,258.5712,946.81024
109,0.9,-342.13385,260.96576,1140.96521,-393.64639,316.31357,956.64648,-442.3302,259.33578,946.49854
110,0.908,-335.89822,262.86072,1141.73083,-387,315.91385,956.43799,-433.98584,259.517,946.32892
111,0.917,-330.42569,260.39539,1141.65735,-379.01321,316.54214,956.60248,-426.09814,260.13327,947.26678
112,0.925,-324.5531,261.53857,1142.38403,-372.69656,316.56445,957.40125,-419.20966,260.47345,946.99115
113,0.933,-318.2803,261.35748,1142.36475,-366.02567,318.44812,957.77051,-413.32944,260.28653,947.45264
114,0.942,-312.98102,261.68765,1144.02405,-359.36319,318.38593,958.00616,-405.46085,260.83179,947.89587
115,0.95,-304.91162,261.37613,1144.45178,-352.0061,316.57413,957.92529,-400.00668,261.53586,947.67969
116,0.958,-299.06778,261.3378,1144.03723,-345.91702,317.04901,958.22681,-392.92773,260.65317,948.06104
117,0.967,-293.60989,261.56339,1144.19617,-339.73071,317.11841,958.43677,-387.33575,260.26773,947.66528
118,0.975,-288.06116,262.35681,1144.22742,-332.6041,317.1525,958.71539,-378.77408,259.79605,948.19202
119,0.983,-282.31503,263.3356,1144.63611,-327.15781,317.2001,958.73724,-370.95322,259.31894,947.54175
120,0.992,-276.47241,264.3869,1144.20923,-320.48288,316.2298,958.46106,-366.50012,259.91876,946.54565
121,1,-270.2197,264.64822,1144.17981,-314.22855,317.7572,958.20081,-359.97018,259.43845,946.75031
122,1.008,-262.43195,260.73291,1143.47595,-308.73715,317.19861,958.32941,-353.31628,259.95197,946.60663
123,1.017,-256.12357,263.08768,1143.60657,-302.05777,316.89868,957.89178,-348.10931,259.17108,945.77588
124,1.025,-252.40742,262.05487,1142.82166,-296.11945,315.81693,957.36603,-341.77649,259.08893,945.5014
125,1.033,-245.45161,262.14932,1142.94946,-289.63455,315.48087,956.50024,-337.17236,259.02554,945.59216
126,1.042,-238.66576,259.78412,1142.19556,-284.71817,315.17996,955.36176,-329.67245,258.21719,944.96674
127,1.05,-232.11249,260.83899,1141.87659,-278.4624,314.76498,954.97076,-324.21814,256.74698,943.70551
128,1.058,-226.25082,258.7291,1140.68652,-272.88876,313.97073,954.67603,-317.82458,256.76938,942.45105
129,1.067,-221.0992,258.12003,1139.74243,-266.71902,313.76505,954.6994,-313.6618,256.45419,942.14612
130,1.075,-215.76364,258.8909,1137.61816,-260.298,313.65091,954.50031,-308.17221,256.49896,941.65576
131,1.083,-208.0215,255.01787,1136.8219,-255.62466,312.3208,952.92645,-300.39038,256.23193,941.22968
132,1.092,-203.1266,255.54375,1137.43469,-249.72075,311.82004,951.22302,-297.40231,256.16791,940.15973
133,1.1,-196.35493,255.72672,1136.31885,-244.76672,310.73184,951.30908,-288.36334,252.52214,939.33331
134,1.108,-190.2646,251.47749,1135.79224,-238.91571,311.40634,950.45959,-283.98859,252.74136,938.28412
135,1.117,-183.06212,252.97881,1134.68005,-233.10442,308.73572,950.47943,-278.37674,251.87589,937.73663
136,1.125,-179.21126,252.41043,1134.70129,-228.04817,308.50464,949.48016,-273.67581,251.13033,937.77808
137,1.133,-172.78699,248.25923,1133.1958,-222.42676,307.79489,948.43335,-270.0329,250.30817,937.91736
138,1.142,-168.06137,249.62025,1132.97986,-216.55702,305.46918,948.50806,-261.60229,248.12187,937.64185
139,1.15,-160.93002,249.60648,1133.87073,-211.19414,305.53845,948.5318,-259.45972,247.53558,937.28528
140,1.158,-154.02554,246.79153,1133.31226,-206.64496,305.43842,948.06055,-251.0374,247.47163,937.51221
141,1.167,-149.22591,246.01352,1132.04614,-201.77383,302.00006,946.99408,-248.25421,246.64737,937.81116
142,1.175,-143.3107,245.06067,1131.52356,-196.48834,301.72272,947.11774,-243.83992,245.15854,937.34583
143,1.183,-138.79453,243.45908,1130.73462,-192.5377,301.68369,946.30969,-236.94518,243.45761,936.8858
144,1.192,-133.18073,244.67247,1130.61157,-186.76086,301.2695,946.2348,-233.07027,242.97255,936.40637
145,1.2,-129.75925,241.84686,1129.47754,-182.80476,299.22797,945.08923,-229.92906,241.95796,935.38171
146,1.208,-124.25462,240.79979,1128.65796,-178.06229,299.6077,944.81927,-224.14217,240.54286,934.93958
147,1.217,-119.48384,242.16698,1128.28406,-173.61452,298.13354,944.25995,-217.9821,239.52008,933.79095
148,1.225,-114.93569,241.37425,1126.95117,-169.81779,297.04468,943.06183,-213.76399,238.49246,933.38239
149,1.233,-109.68414,238.73447,1126.6991,-164.74666,296.34869,942.54541,-210.192,237.57954,933.69873
150,1.242,-106.16634,238.9072,1125.56958,-160.21776,294.07532,942.2558,-206.3026,236.5807,933.6452
151,1.25,-100.7734,240.67926,1126.62939,-156.96675,294.16611,942.50574,-203.27881,234.80597,933.07495
152,1.258,-94.6899,240.48347,1126.39099,-153.51419,293.02139,941.63123,-195.64072,234.04323,933.13123
153,1.267,-91.50694,240.71025,1127.1947,-149.94528,291.95422,941.76923,-192.62827,232.94888,933.98022
154,1.275,-87.52423,242.2166,1126.77063,-144.08208,292.05145,941.84857,-194.72392,232.15215,934.32495
155,1.283,-82.81008,238.68727,1126.354,-140.68947,291.31015,941.9646,-195.51816,232.24086,934.81769
156,1.292,-79.45892,240.65359,1126.89893,-137.79417,289.89252,942.38251,-185.85432,231.38612,935.19257
157,1.3,-74.52061,239.58194,1126.96631,-132.74808,289.8761,943.35999,-176.98735,229.77162,935.7345
158,1.308,-69.55624,242.28102,1129.76257,-129.12479,288.74304,943.63495,-172.0932,228.00478,936.9624
159,1.317,-65.44064,241.47148,1129.45923,-125.25869,286.93381,945.00098,-171.2666,228.24196,937.30585
160,1.325,-60.38469,241.97806,1129.63025,-121.23678,286.91815,945.53937,-164.36571,225.96338,939.10541
161,1.333,-55.69727,240.70302,1130.75403,-117.06462,287.15619,946.91492,-159.30936,226.06274,940.31671
162,1.342,-50.08657,238.26212,1132.01038,-112.40993,286.65671,947.6853,-155.82022,225.71967,941.47974
163,1.35,-45.28829,240.67451,1133.18042,-108.95931,287.36469,948.50293,-151.37738,225.20657,942.11151
164,1.358,-41.09177,241.61934,1133.31812,-104.79311,286.84512,949.69934,-146.51105,225.53481,943.24951
165,1.367,-36.47141,242.78537,1134.0647,-101.81551,286.03412,950.80255,-142.80219,225.23811,944.00317
166,1.375,-30.52052,239.28429,1134.16406,-96.18566,287.07321,952.38049,-135.47614,225.03908,944.64362
167,1.383,-25.17533,240.81523,1135.0199,-92.6998,286.66718,952.50037,-132.67867,224.85757,945.72089
168,1.392,-21.00144,242.3821,1136.94971,-87.20298,286.49002,953.21588,-126.39069,224.04855,946.84363
169,1.4,-15.1115,242.92166,1136.84534,-82.55949,286.81439,953.43939,-121.99541,224.86179,947.35938
170,1.408,-11.06046,242.97452,1136.82007,-77.36223,288.80832,953.4931,-117.92596,225.74168,949.0755
171,1.417,-5.75912,244.67,1137.34998,-72.4504,287.9689,954.78412,-111.27689,226.57257,948.49854
172,1.425,-0.64741,244.79005,1138.27478,-67.42135,288.86163,954.68994,-109.1415,227.43376,950.17609
173,1.433,6.65664,243.33481,1137.95081,-62.64735,288.90045,955.36169,-103.31744,226.30223,949.47034
174,1.442,11.90332,244.29947,1137.52979,-57.63792,288.81714,955.72968,-98.39191,227.56529,950.41064
175,1.45,17.43662,242.81374,1137.3407,-52.15003,288.96704,955.72333,-91.34443,226.40794,950.4093
176,1.458,23.45645,246.0649,1138.38721,-46.48827,289.10736,956.0451,-84.75323,227.42921,950.56378
177,1.467,28.7511,245.15059,1137.73376,-41.66551,289.91522,956.17493,-84.18457,229.03352,950.89496
178,1.475,34.80585,245.38528,1137.49182,-34.83991,291.04639,955.86938,-76.79642,230.70894,950.24304
179,1.483,40.36785,245.25999,1136.44458,-28.86118,291.75183,955.633,-71.90491,230.69467,949.03827
180,1.492,47.72078,246.73518,1137.14587,-23.06037,291.65637,955.70142,-66.07615,231.45148,950.54376
