Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,1836.63074,-16.14343,1410.72913,1831.4762,173.29126,1318.11743,1829.96375,-200.20663,1298.29846
2,0.008,1830.22119,-15.91299,1412.50745,1824.55005,173.75014,1319.29126,1824.28625,-199.86589,1299.7738
3,0.017,1824.58936,-15.1108,1412.89954,1817.8075,173.4991,1320.87561,1817.74084,-199.5593,1300.16248
4,0.025,1817.46838,-15.31939,1413.53284,1811.24719,173.25911,1320.96106,1809.7854,-201.04349,1300.85864
5,0.033,1810.08777,-14.94579,1414.2373,1804.11121,173.62686,1321.1731,1804.0957,-200.57585,1302.4281
6,0.042,1804.8606,-14.87291,1414.74817,1797.46106,173.21199,1321.29419,1798.44666,-201.70554,1302.48767
7,0.05,1798.5531,-14.35405,1416.05029,1790.75696,173.08441,1321.4646,1792.25598,-200.06076,1304.14294
8,0.058,1792.36096,-13.8064,1415.44373,1784.09106,173.23312,1323.94702,1784.75586,-200.20561,1305.00293
9,0.067,1784.70764,-13.40435,1415.55371,1777.2616,173.92809,1323.19678,1779.56055,-200.5182,1306.10144
10,0.075,1778.29211,-13.5121,1416.85376,1770.44434,174.19904,1322.94043,1770.09619,-198.30792,1305.90063
11,0.083,1771.47937,-12.76853,1416.71912,1763.41064,174.50465,1322.58667,1765.42981,-199.40822,1306.51477
12,0.092,1765.17871,-11.70443,1416.55383,1756.71399,174.4127,1322.50305,1758.74414,-198.53557,1306.47668
13,0.1,1758.18127,-11.93223,1416.05469,1749.75598,175.09799,1322.24426,1753.27612,-199.54158,1305.97351
14,0.108,1750.91345,-11.72927,1416.82764,1743.50244,174.66537,1321.91943,1745.75818,-197.34816,1305.46692
15,0.117,1744.31592,-11.41999,1415.46667,1736.1698,176.19637,1321.38928,1739.22632,-198.3808,1305.45435
16,0.125,1738.11951,-11.13847,1414.89282,1734.61963,177.84221,1320.67395,1731.69275,-197.17374,1305.64441
17,0.133,1732.18677,-10.47306,1414.91333,1727.7052,178.43892,1320.10486,1723.79541,-194.82306,1305.62537
18,0.142,1725.79651,-9.30533,1414.90735,1720.4856,179.70319,1319.40051,1718.27234,-195.82965,1305.12732
19,0.15,1719.02112,-8.38013,1413.6051,1714.45923,178.89742,1319.05554,1712.88232,-196.4073,1303.52063
20,0.158,1712.33765,-8.46139,1414.07629,1707.125,179.41547,1318.4314,1705.06946,-193.00923,1303.17676
21,0.167,1705.66992,-7.37114,1411.81287,1700.58936,179.59781,1317.97937,1698.79517,-192.20383,1303.01965
22,0.175,1699.8103,-6.66297,1412.36902,1693.55615,181.36923,1316.89001,1692.46277,-191.46292,1301.48926
23,0.183,1692.93286,-5.46138,1409.69568,1686.37378,182.31519,1315.67871,1688.39587,-192.14371,1300.9762
24,0.192,1686.65515,-4.45251,1410.56116,1679.86304,183.28577,1315.4834,1682.64954,-192.58081,1298.81018
25,0.2,1681.77698,-3.12328,1408.74182,1672.42249,185.07359,1314.12842,1675.37085,-189.935,1299.1499
26,0.208,1675.92651,-2.34812,1408.65649,1666.1261,185.30769,1314.23047,1667.44348,-187.00526,1298.37952
27,0.217,1668.58984,-2.1352,1407.8363,1662.03491,186.01668,1312.52136,1664.10168,-187.52065,1297.85767
28,0.225,1662.0238,-0.92274,1407.57642,1657.64087,187.85107,1313.57739,1659.55298,-188.50299,1297.90918
29,0.233,1655.8595,0.24501,1407.79309,1651.19897,188.47682,1312.24524,1650.94189,-185.27998,1296.02222
30,0.242,1648.1947,0.81499,1407.18066,1644.31213,189.8681,1312.35876,1644.90686,-184.00729,1297.01086
31,0.25,1643.20544,2.06895,1406.68127,1637.36035,190.83015,1311.48608,1636.3584,-183.93343,1295.8855
32,0.258,1637.37378,3.08237,1407.0979,1630.80347,191.71642,1311.85608,1631.29614,-183.13208,1294.93945
33,0.267,1630.89832,3.66146,1407.1178,1623.70679,193.05281,1311.37451,1624.17322,-181.731,1295.80322
