Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z,R.Ankle.x,R.Ankle.y,R.Ankle.z,R.Ankle.Medial.x,R.Ankle.Medial.y,R.Ankle.Medial.z
1,0,301.88446,-47.09879,348.17944,186.27232,-76.24705,81.9174,234.08737,4.70846,107.2271
2,0.008,301.88446,-47.09879,348.17944,186.57867,-76.40352,81.79323,234.08737,4.70846,107.2271
3,0.017,301.88446,-47.09879,348.17944,186.44104,-76.34452,81.94352,234.08737,4.70846,107.2271
4,0.025,301.88446,-47.09879,348.17944,186.57867,-76.40352,81.79323,234.08737,4.70846,107.2271
5,0.033,301.88446,-47.09879,348.17944,186.27232,-76.24705,81.9174,234.08737,4.70846,107.2271
6,0.042,301.88446,-47.09879,348.17944,186.13469,-76.18803,82.06768,234.08737,4.70846,107.2271
7,0.05,301.88446,-47.09879,348.17944,186.57867,-76.40352,81.79323,234.08737,4.70846,107.2271
8,0.058,301.88446,-47.09879,348.17944,186.27232,-76.24705,81.9174,234.22789,4.18736,107.38728
9,0.067,301.88446,-47.09879,348.17944,186.44104,-76.34452,81.94352,234.22789,4.18736,107.38728
10,0.075,301.88446,-47.09879,348.17944,186.27232,-76.24705,81.9174,235.34531,4.44407,107.1892
11,0.083,301.88446,-47.09879,348.17944,186.13469,-76.18803,82.06768,235.34531,4.44407,107.1892
12,0.092,301.88446,-47.09879,348.17944,186.44104,-76.34452,81.94352,235.36267,5.00463,107.01047
13,0.1,301.88446,-47.09879,348.17944,186.44104,-76.34452,81.94352,235.36267,5.00463,107.01047
14,0.108,301.88446,-47.09879,348.17944,186.57867,-76.40352,81.79323,234.22789,4.18736,107.38728
15,0.117,301.88446,-47.09879,348.17944,185.58238,-76.26617,82.02227,234.22789,4.18736,107.38728
16,0.125,301.88446,-47.09879,348.17944,186.27232,-76.24705,81.9174,234.22789,4.18736,107.38728
17,0.133,301.88446,-47.09879,348.17944,186.27232,-76.24705,81.9174,235.34531,4.44407,107.1892
18,0.142,301.88446,-47.09879,348.17944,186.44104,-76.34452,81.94352,235.36267,5.00463,107.01047
