Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-167.63101,62.73994,1345.03955,-40.869,75.61185,1270.22424,-263.26099,72.25064,1224.87708,-47.7295,79.92906,1093.18408
2,0.008,-167.5161,62.89101,1344.92957,-40.869,75.61185,1270.22424,-263.26099,72.25064,1224.87708,-47.7295,79.92906,1093.18408
3,0.017,-167.53607,62.82195,1345.03809,-41.23668,75.03979,1270.05115,-263.26099,72.25064,1224.87708,-47.72165,79.89112,1093.99475
4,0.025,-167.49095,62.85245,1344.98267,-41.23668,75.03979,1270.05115,-263.26099,72.25064,1224.87708,-47.7295,79.92906,1093.18408
5,0.033,-167.49095,62.85245,1344.98267,-40.869,75.61185,1270.22424,-263.26099,72.25064,1224.87708,-47.7295,79.92906,1093.18408
6,0.042,-167.51695,62.81467,1345.04517,-41.30541,75.43245,1270.32666,-263.26099,72.25064,1224.87708,-47.7295,79.92906,1093.18408
7,0.05,-167.49095,62.85245,1344.98267,-40.869,75.61185,1270.22424,-263.26099,72.25064,1224.87708,-47.7295,79.92906,1093.18408
8,0.058,-167.54208,62.85829,1344.98425,-40.869,75.61185,1270.22424,-263.20276,72.5482,1224.77844,-47.7295,79.92906,1093.18408
9,0.067,-167.40074,62.93778,1345.00476,-40.869,75.61185,1270.22424,-263.33041,72.68102,1224.75488,-47.7295,79.92906,1093.18408
10,0.075,-167.40074,62.93778,1345.00476,-40.869,75.61185,1270.22424,-263.20276,72.5482,1224.77844,-47.7295,79.92906,1093.18408
11,0.083,-167.41962,63.15609,1344.96619,-40.869,75.61185,1270.22424,-263.17459,72.8548,1224.85828,-47.7295,79.92906,1093.18408
12,0.092,-167.53717,63.17194,1344.96643,-40.869,75.61185,1270.22424,-263.17459,72.8548,1224.85828,-47.72165,79.89112,1093.99475
13,0.1,-167.41962,63.15609,1344.96619,-40.869,75.61185,1270.22424,-263.20282,73.00023,1224.76819,-47.7295,79.92906,1093.18408
14,0.108,-167.53717,63.17194,1344.96643,-41.30541,75.43245,1270.32666,-263.33047,73.13306,1224.74463,-47.7295,79.92906,1093.18408
15,0.117,-167.36723,63.4322,1344.92969,-40.869,75.61185,1270.22424,-263.33047,73.13306,1224.74463,-47.7295,79.92906,1093.18408
16,0.125,-167.49243,63.53756,1344.9458,-41.30541,75.43245,1270.32666,-263.35864,72.82645,1224.66467,-47.7295,79.92906,1093.18408
17,0.133,-167.49243,63.53756,1344.9458,-41.30541,75.43245,1270.32666,-263.35864,72.82645,1224.66467,-47.7295,79.92906,1093.18408
18,0.142,-167.32477,63.82021,1344.87085,-41.30541,75.43245,1270.32666,-263.21964,73.33866,1224.83057,-47.7295,79.92906,1093.18408
19,0.15,-167.45584,63.6694,1344.86816,-40.869,75.61185,1270.22424,-263.28098,73.37014,1224.64783,-47.7295,79.92906,1093.18408
20,0.158,-167.32477,63.82021,1344.87085,-40.869,75.61185,1270.22424,-263.17014,73.57574,1224.73376,-47.7295,79.92906,1093.18408
21,0.167,-167.32477,63.82021,1344.87085,-40.869,75.61185,1270.22424,-263.17014,73.57574,1224.73376,-47.7295,79.92906,1093.18408
22,0.175,-167.32477,63.82021,1344.87085,-40.869,75.61185,1270.22424,-263.21964,73.33866,1224.83057,-47.7295,79.92906,1093.18408
23,0.183,-167.32477,63.82021,1344.87085,-41.30541,75.43245,1270.32666,-263.21964,73.33866,1224.83057,-47.7295,79.92906,1093.18408
24,0.192,-167.32477,63.82021,1344.87085,-40.869,75.61185,1270.22424,-263.21964,73.33866,1224.83057,-47.7295,79.92906,1093.18408
25,0.2,-167.06335,64.1064,1344.94873,-40.869,75.61185,1270.22424,-263.21964,73.33866,1224.83057,-47.7295,79.92906,1093.18408
26,0.208,-167.06335,64.1064,1344.94873,-41.30541,75.43245,1270.32666,-263.17014,73.57574,1224.73376,-47.7295,79.92906,1093.18408
27,0.217,-166.93761,64.54002,1344.90698,-41.30541,75.43245,1270.32666,-263.17014,73.57574,1224.73376,-47.7295,79.92906,1093.18408
28,0.225,-166.93655,64.85509,1344.96326,-41.30541,75.43245,1270.32666,-263.11847,73.93824,1224.72241,-47.7295,79.92906,1093.18408
