Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z,L.Ankle.x,L.Ankle.y,L.Ankle.z,L.Ankle.Medial.x,L.Ankle.Medial.y,L.Ankle.Medial.z
1,0,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
2,0.008,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
3,0.017,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
4,0.025,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
5,0.033,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
6,0.042,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.43277,214.13393,107.92706
7,0.05,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
8,0.058,297.99652,240.04211,340.94061,231.09641,307.58447,83.64671,223.97023,213.77219,108.34689
9,0.067,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
10,0.075,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
11,0.083,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
12,0.092,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
13,0.1,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
14,0.108,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.43277,214.13393,107.92706
15,0.117,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.43277,214.13393,107.92706
16,0.125,297.99652,240.04211,340.94061,231.48422,307.71542,83.5203,224.56471,213.92015,108.06135
17,0.133,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.43277,214.13393,107.92706
18,0.142,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
19,0.15,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
20,0.158,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
21,0.167,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.31976,213.6463,108.00811
22,0.175,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,225.01384,214.24272,108.16779
23,0.183,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,225.01384,214.24272,108.16779
24,0.192,297.99652,240.04211,340.94061,231.48422,307.71542,83.5203,224.56471,213.92015,108.06135
25,0.2,297.99652,240.04211,340.94061,231.48422,307.71542,83.5203,224.56471,213.92015,108.06135
26,0.208,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
27,0.217,297.99652,240.04211,340.94061,231.48422,307.71542,83.5203,224.56471,213.92015,108.06135
28,0.225,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
29,0.233,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
30,0.242,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
31,0.25,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
32,0.258,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.43277,214.13393,107.92706
33,0.267,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
34,0.275,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
35,0.283,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
36,0.292,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
37,0.3,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
38,0.308,298.94077,239.44768,340.9953,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
39,0.317,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
40,0.325,297.99652,240.04211,340.94061,231.53853,307.52081,83.58709,224.56471,213.92015,108.06135
