Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
1,0,150.66556,-21.12486,55.37775,390.81104,-41.58743,45.15928,324.61194,-8.21354,63.66093
2,0.008,150.64639,-20.98309,55.59389,390.81104,-41.58743,45.15928,325.34293,-8.1588,63.92658
3,0.017,150.18306,-20.50808,55.25769,390.96201,-41.38282,44.90112,324.95602,-8.11576,63.8143
4,0.025,150.67122,-20.55488,55.15693,390.96201,-41.38282,44.90112,324.95602,-8.11576,63.8143
5,0.033,150.18306,-20.50808,55.25769,390.81104,-41.58743,45.15928,324.939,-7.7757,63.99317
6,0.042,151.16431,-21.0007,55.02124,390.81104,-41.58743,45.15928,324.8945,-7.92481,63.79891
7,0.05,150.66068,-20.72589,55.41263,390.81104,-41.58743,45.15928,325.04684,-8.16348,63.71414
8,0.058,150.65129,-21.38208,55.55901,390.81104,-41.58743,45.15928,324.99673,-8.2177,63.99854
9,0.067,151.13951,-21.42899,55.45824,390.81104,-41.58743,45.15928,324.99673,-8.2177,63.99854
10,0.075,150.66068,-20.72589,55.41263,390.96201,-41.38282,44.90112,325.1701,-7.94964,63.92367
11,0.083,150.18306,-20.50808,55.25769,390.96201,-41.38282,44.90112,325.17386,-7.69859,63.9337
12,0.092,150.68822,-20.20027,55.16058,390.81104,-41.58743,45.15928,325.13046,-7.80096,64.00124
13,0.1,150.18306,-20.50808,55.25769,390.81104,-41.58743,45.15928,325.13046,-7.80096,64.00124
14,0.108,150.66068,-20.72589,55.41263,390.96201,-41.38282,44.90112,325.12668,-8.052,63.99121
15,0.117,150.66068,-20.72589,55.41263,390.81104,-41.58743,45.15928,325.53723,-8.12678,63.88614
16,0.125,150.64639,-20.98309,55.59389,390.81104,-41.58743,45.15928,325.10806,-8.23587,63.98605
17,0.133,150.17252,-20.67907,55.51336,390.81104,-41.58743,45.15928,324.66821,-8.3809,64.04815
18,0.142,150.66068,-20.72589,55.41263,390.81104,-41.58743,45.15928,324.80905,-7.94139,64.00049
19,0.15,150.18306,-20.50808,55.25769,390.81104,-41.58743,45.15928,325.13046,-7.80096,64.00124
20,0.158,150.67122,-20.55488,55.15693,390.81104,-41.58743,45.15928,325.13046,-7.80096,64.00124
21,0.167,150.67122,-20.55488,55.15693,390.81104,-41.58743,45.15928,325.24173,-7.81912,63.98876
