Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,-220.30302,66.14697,1101.29968,-128.82301,-63.33505,1047.84692,-190.36169,261.54532,1033.78882
2,0.008,-220.55333,66.47794,1101.0907,-128.78827,-63.74033,1047.67603,-190.36169,261.54532,1033.78882
3,0.017,-220.23854,66.69363,1101.36731,-128.48088,-64.57713,1047.5769,-190.36186,261.53113,1033.60242
4,0.025,-219.65544,67.27321,1101.05505,-128.45296,-64.74205,1047.47339,-190.26923,261.91498,1033.51746
5,0.033,-219.88898,67.4966,1101.27563,-128.40276,-65.20912,1046.6709,-190.2906,262.36981,1033.47375
6,0.042,-219.2997,67.29821,1100.80249,-127.32349,-65.88151,1046.2229,-190.2906,262.36981,1033.47375
7,0.05,-219.2997,67.29821,1100.80249,-127.39626,-66.1235,1045.73499,-190.42468,261.71646,1033.47449
8,0.058,-219.33655,66.54783,1100.82495,-127.13553,-66.13455,1045.46753,-190.19173,261.65485,1033.46741
9,0.067,-219.01768,66.61883,1100.74072,-127.98264,-66.82538,1045.10437,-190.25456,261.84015,1033.33948
10,0.075,-218.82426,67.12385,1100.93481,-127.90636,-67.38352,1044.66931,-189.88792,261.71759,1033.4325
11,0.083,-218.75955,67.67048,1101.00232,-126.93066,-67.73112,1044.56616,-189.72661,262.13815,1033.28113
12,0.092,-218.53055,67.6397,1100.98572,-126.72806,-67.65138,1043.96191,-189.22473,262.47415,1033.0199
13,0.1,-218.78732,67.87425,1100.91223,-126.18449,-67.15454,1043.80994,-189.11086,262.49097,1033.25085
14,0.108,-218.78732,67.87425,1100.91223,-126.07364,-67.95684,1043.81836,-188.79182,262.22974,1033.08752
15,0.117,-218.62303,67.29682,1100.82813,-126.12907,-68.36108,1043.45081,-188.68747,261.72672,1033.07104
16,0.125,-217.92938,66.76801,1100.94202,-125.30016,-68.35966,1042.44922,-188.44495,261.68787,1033.21936
17,0.133,-217.61621,66.9309,1101.00964,-125.65417,-69.15062,1041.35986,-188.12483,261.69696,1033.22778
18,0.142,-217.32239,67.44713,1101.06079,-125.28571,-70.05963,1040.05713,-188.1058,262.04123,1033.13989
19,0.15,-217.31313,67.25025,1100.8186,-124.91103,-70.07146,1039.62756,-187.81316,261.98636,1033.2135
20,0.158,-217.16605,67.16881,1100.71228,-123.73202,-71.12267,1039.39136,-187.79317,261.78241,1033.19995
21,0.167,-215.6879,66.6294,1100.26941,-123.42518,-71.12367,1038.57898,-188.04634,261.8287,1033.12109
22,0.175,-215.6879,66.6294,1100.26941,-123.00988,-71.21206,1038.53711,-187.65639,261.39096,1033.30566
23,0.183,-215.66975,65.98944,1100.21289,-122.81461,-70.99514,1038.45837,-187.48889,261.37619,1033.40198
24,0.192,-215.50105,65.78392,1100.51367,-122.10316,-71.66146,1038.31189,-187.1862,261.30997,1033.20447
25,0.2,-215.20477,65.83561,1100.505,-121.03761,-72.03499,1038.01477,-187.24403,261.06802,1033.27319
