Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
1,0,-146.93321,-37.58564,1002.23486,-148.37947,160.4617,1030.5575,-292.14511,-29.74089,1028.28735,-290.48724,157.97878,1035.23242,-351.80576,-26.40402,959.83142
2,0.008,-147.2386,-37.53296,1002.91888,-148.37947,160.4617,1030.5575,-292.01987,-29.29143,1028.53198,-290.67743,158.00774,1035.44043,-351.75681,-25.80206,959.86597
3,0.017,-147.2386,-37.53296,1002.91888,-147.94011,160.10976,1031.42993,-292.20477,-29.40186,1028.44373,-290.55762,158.24312,1035.23206,-351.86581,-25.50419,960.05383
4,0.025,-147.2386,-37.53296,1002.91888,-147.94011,160.10976,1031.42993,-292.14182,-29.46531,1028.39612,-290.73715,158.25954,1035.30164,-351.86581,-25.50419,960.05383
5,0.033,-147.2386,-37.53296,1002.91888,-147.94011,160.10976,1031.42993,-292.57315,-29.46722,1028.43335,-290.55762,158.24312,1035.23206,-352.36426,-25.26493,960.16949
6,0.042,-147.0332,-38.20593,1003.48779,-147.84843,159.90991,1031.69336,-292.45123,-29.29335,1028.56921,-290.74789,158.27219,1035.44006,-352.36426,-25.26493,960.16949
7,0.05,-147.0332,-38.20593,1003.48779,-148.5936,160.0323,1032.31421,-292.26633,-29.18292,1028.65759,-290.76544,158.33833,1035.5625,-352.36426,-25.26493,960.16949
8,0.058,-147.0332,-38.20593,1003.48779,-148.5936,160.0323,1032.31421,-292.71994,-29.14315,1028.69238,-290.72177,158.53207,1035.4635,-352.85367,-24.99881,960.1059
9,0.067,-147.0332,-38.20593,1003.48779,-148.46527,159.83415,1032.53479,-292.9324,-28.96781,1028.66406,-290.72177,158.53207,1035.4635,-353.13684,-24.86275,959.91388
10,0.075,-147.14772,-38.09849,1004.06708,-148.46527,159.83415,1032.53479,-293.05353,-28.63528,1028.68396,-290.93805,158.60211,1035.57727,-353.09152,-24.84555,959.93958
11,0.083,-147.14772,-38.09849,1004.06708,-148.46527,159.83415,1032.53479,-293.05353,-28.63528,1028.68396,-290.93805,158.60211,1035.57727,-353.09152,-24.84555,959.93958
12,0.092,-147.14772,-38.09849,1004.06708,-148.46527,159.83415,1032.53479,-293.16205,-28.43571,1028.78113,-290.56427,158.6404,1035.55115,-353.09152,-24.84555,959.93958
13,0.1,-147.14772,-38.09849,1004.06708,-148.6689,159.72749,1033.37903,-293.40723,-28.43958,1028.80103,-290.67255,158.68767,1035.59143,-353.09152,-24.84555,959.93958
