Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-80.71423,25.97367,1310.81604,46.78212,16.1652,1240.48303,-171.15712,53.68813,1189.25879,47.56004,24.99614,1064.23364
2,0.008,-80.84098,25.9308,1310.77649,47.33416,17.66479,1240.39453,-171.03825,53.80458,1189.3396,47.56004,24.99614,1064.23364
3,0.017,-80.84098,25.9308,1310.77649,47.54903,17.41652,1239.9624,-171.1922,53.3163,1189.20129,47.56004,24.99614,1064.23364
4,0.025,-80.84098,25.9308,1310.77649,47.33416,17.66479,1240.39453,-171.08766,53.58084,1189.44983,47.56004,24.99614,1064.23364
5,0.033,-80.71423,25.97367,1310.81604,47.33416,17.66479,1240.39453,-171.12276,53.20899,1189.39221,47.56004,24.99614,1064.23364
6,0.042,-80.71423,25.97367,1310.81604,47.59551,18.05821,1240.22705,-171.20653,53.46441,1189.36914,47.56004,24.99614,1064.23364
7,0.05,-80.71423,25.97367,1310.81604,47.79955,17.74879,1239.82007,-171.24158,53.09259,1189.31152,47.67195,25.14008,1063.95264
8,0.058,-80.71423,25.97367,1310.81604,47.59551,18.05821,1240.22705,-171.15712,53.68813,1189.25879,47.56004,24.99614,1064.23364
9,0.067,-80.84098,25.9308,1310.77649,47.33416,17.66479,1240.39453,-171.24158,53.09259,1189.31152,47.67195,25.14008,1063.95264
10,0.075,-80.84098,25.9308,1310.77649,47.59551,18.05821,1240.22705,-171.24158,53.09259,1189.31152,47.56004,24.99614,1064.23364
11,0.083,-80.84098,25.9308,1310.77649,46.78212,16.1652,1240.48303,-171.24158,53.09259,1189.31152,47.56004,24.99614,1064.23364
12,0.092,-80.84098,25.9308,1310.77649,47.33416,17.66479,1240.39453,-171.24158,53.09259,1189.31152,47.56004,24.99614,1064.23364
13,0.1,-80.84098,25.9308,1310.77649,46.78212,16.1652,1240.48303,-171.3687,53.08375,1189.03357,47.56004,24.99614,1064.23364
14,0.108,-80.84098,25.9308,1310.77649,46.78212,16.1652,1240.48303,-171.1745,53.23425,1188.7262,47.56004,24.99614,1064.23364
15,0.117,-80.84098,25.9308,1310.77649,46.78212,16.1652,1240.48303,-171.31931,53.30743,1188.92334,47.56004,24.99614,1064.23364
16,0.125,-80.84098,25.9308,1310.77649,47.04361,16.55887,1240.31567,-171.15712,53.68813,1189.25879,47.56004,24.99614,1064.23364
17,0.133,-80.71423,25.97367,1310.81604,47.26207,16.49739,1239.86743,-171.20653,53.46441,1189.36914,47.56004,24.99614,1064.23364
18,0.142,-80.84098,25.9308,1310.77649,47.54903,17.41652,1239.9624,-171.08766,53.58084,1189.44983,47.56004,24.99614,1064.23364
19,0.15,-80.71423,25.97367,1310.81604,47.54903,17.41652,1239.9624,-171.05821,53.37451,1189.0769,47.56004,24.99614,1064.23364
20,0.158,-80.55819,25.98548,1310.81641,47.79955,17.74879,1239.82007,-170.93936,53.49096,1189.15759,47.56004,24.99614,1064.23364
21,0.167,-80.55819,25.98548,1310.81641,47.79955,17.74879,1239.82007,-171.0088,53.59822,1188.96667,47.56004,24.99614,1064.23364
22,0.175,-80.55819,25.98548,1310.81641,47.79955,17.74879,1239.82007,-170.88994,53.71469,1189.04736,47.56004,24.99614,1064.23364
23,0.183,-80.55819,25.98548,1310.81641,47.79955,17.74879,1239.82007,-171.05821,53.37451,1189.0769,47.56004,24.99614,1064.23364
24,0.192,-80.55819,25.98548,1310.81641,47.79955,17.74879,1239.82007,-171.05821,53.37451,1189.0769,47.56004,24.99614,1064.23364
25,0.2,-80.55819,25.98548,1310.81641,47.79955,17.74879,1239.82007,-171.05821,53.37451,1189.0769,47.73101,25.00309,1063.6842
26,0.208,-80.55819,25.98548,1310.81641,47.79955,17.74879,1239.82007,-170.93936,53.49096,1189.15759,47.56004,24.99614,1064.23364
27,0.217,-80.55819,25.98548,1310.81641,47.85922,19.04653,1239.31091,-171.04387,53.22633,1188.90906,47.73101,25.00309,1063.6842
28,0.225,-80.55819,25.98548,1310.81641,47.5826,17.11335,1239.45129,-170.88994,53.71469,1189.04736,47.67195,25.14008,1063.95264
