Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,165.84094,268.38086,56.83222,362.94485,195.95003,44.38742,291.92303,168.97609,66.66626
2,0.008,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
3,0.017,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,291.92303,168.97609,66.66626
4,0.025,165.84094,268.38086,56.83222,363.48532,196.60501,44.25796,291.92303,168.97609,66.66626
5,0.033,165.84094,268.38086,56.83222,362.94485,195.95003,44.38742,291.85269,168.59711,66.66936
6,0.042,165.84094,268.38086,56.83222,362.94485,195.95003,44.38742,291.92303,168.97609,66.66626
7,0.05,165.84094,268.38086,56.83222,363.0657,196.0836,44.2929,291.92303,168.97609,66.66626
8,0.058,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,291.92303,168.97609,66.66626
9,0.067,165.84094,268.38086,56.83222,363.3645,196.47154,44.3525,291.92303,168.97609,66.66626
10,0.075,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
11,0.083,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,292.16306,168.77538,66.26344
12,0.092,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
13,0.1,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
14,0.108,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,291.92303,168.97609,66.66626
15,0.117,165.84094,268.38086,56.83222,363.0657,196.0836,44.2929,291.92303,168.97609,66.66626
16,0.125,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,291.92303,168.97609,66.66626
17,0.133,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,291.92303,168.97609,66.66626
18,0.142,165.84094,268.38086,56.83222,363.48532,196.60501,44.25796,291.92303,168.97609,66.66626
19,0.15,165.82097,268.13803,56.95398,363.50803,196.07993,44.19453,292.16306,168.77538,66.26344
20,0.158,165.84094,268.38086,56.83222,362.94485,195.95003,44.38742,291.92303,168.97609,66.66626
21,0.167,165.84094,268.38086,56.83222,362.94485,195.95003,44.38742,291.92303,168.97609,66.66626
22,0.175,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
23,0.183,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
24,0.192,165.84094,268.38086,56.83222,363.48532,196.60501,44.25796,291.92303,168.97609,66.66626
25,0.2,165.82097,268.13803,56.95398,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
26,0.208,165.84094,268.38086,56.83222,363.0657,196.0836,44.2929,291.92303,168.97609,66.66626
27,0.217,165.84094,268.38086,56.83222,362.92227,196.47519,44.45084,291.92303,168.97609,66.66626
28,0.225,165.84094,268.38086,56.83222,363.04312,196.60872,44.35631,291.92303,168.97609,66.66626
29,0.233,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,292.16306,168.77538,66.26344
30,0.242,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
31,0.25,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,291.92303,168.97609,66.66626
32,0.258,165.85678,268.40741,56.64968,362.94485,195.95003,44.38742,291.92303,168.97609,66.66626
33,0.267,165.84094,268.38086,56.83222,363.0657,196.0836,44.2929,291.92303,168.97609,66.66626
34,0.275,165.84094,268.38086,56.83222,363.28949,196.0937,44.29757,291.85269,168.59711,66.66936
35,0.283,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.85269,168.59711,66.66936
36,0.292,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
37,0.3,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,291.92303,168.97609,66.66626
38,0.308,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
39,0.317,165.84094,268.38086,56.83222,363.0657,196.0836,44.2929,291.92303,168.97609,66.66626
40,0.325,165.84094,268.38086,56.83222,363.0657,196.0836,44.2929,291.92303,168.97609,66.66626
41,0.333,165.84094,268.38086,56.83222,363.0657,196.0836,44.2929,291.92303,168.97609,66.66626
42,0.342,165.85248,268.54248,56.65929,363.04312,196.60872,44.35631,291.92303,168.97609,66.66626
43,0.35,165.84094,268.38086,56.83222,362.92227,196.47519,44.45084,291.92303,168.97609,66.66626
44,0.358,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,291.92303,168.97609,66.66626
45,0.367,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.85269,168.59711,66.66936
46,0.375,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
47,0.383,165.84094,268.38086,56.83222,363.64926,195.97227,44.28365,291.92303,168.97609,66.66626
48,0.392,165.84094,268.38086,56.83222,363.0657,196.0836,44.2929,291.85269,168.59711,66.66936
49,0.4,165.85248,268.54248,56.65929,362.94485,195.95003,44.38742,291.92303,168.97609,66.66626
50,0.408,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
51,0.417,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,292.16306,168.77538,66.26344
52,0.425,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,292.16306,168.77538,66.26344
53,0.433,165.84094,268.38086,56.83222,363.0657,196.0836,44.2929,291.92303,168.97609,66.66626
54,0.442,165.84094,268.38086,56.83222,362.94485,195.95003,44.38742,291.85269,168.59711,66.66936
55,0.45,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,292.16306,168.77538,66.26344
56,0.458,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
57,0.467,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,291.92303,168.97609,66.66626
58,0.475,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
59,0.483,165.84094,268.38086,56.83222,362.94485,195.95003,44.38742,292.16306,168.77538,66.26344
60,0.492,165.84094,268.38086,56.83222,362.94485,195.95003,44.38742,291.92303,168.97609,66.66626
61,0.5,165.84094,268.38086,56.83222,362.94485,195.95003,44.38742,291.92303,168.97609,66.66626
62,0.508,165.84094,268.38086,56.83222,363.3645,196.47154,44.3525,291.92303,168.97609,66.66626
63,0.517,165.84094,268.38086,56.83222,362.94485,195.95003,44.38742,291.92303,168.97609,66.66626
64,0.525,165.84094,268.38086,56.83222,363.73181,196.08995,44.19917,291.92303,168.97609,66.66626
65,0.533,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,291.92303,168.97609,66.66626
66,0.542,165.84094,268.38086,56.83222,363.0657,196.0836,44.2929,291.85269,168.59711,66.66936
67,0.55,165.84094,268.38086,56.83222,362.92227,196.47519,44.45084,291.92303,168.97609,66.66626
68,0.558,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,291.92303,168.97609,66.66626
69,0.567,165.84094,268.38086,56.83222,363.3645,196.47154,44.3525,291.92303,168.97609,66.66626
70,0.575,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
71,0.583,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.85269,168.59711,66.66936
72,0.592,165.82097,268.13803,56.95398,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
73,0.6,165.84094,268.38086,56.83222,362.94485,195.95003,44.38742,291.92303,168.97609,66.66626
74,0.608,165.84094,268.38086,56.83222,363.04312,196.60872,44.35631,291.92303,168.97609,66.66626
75,0.617,165.84094,268.38086,56.83222,363.0657,196.0836,44.2929,291.92303,168.97609,66.66626
76,0.625,165.84094,268.38086,56.83222,363.0657,196.0836,44.2929,292.16306,168.77538,66.26344
77,0.633,165.84094,268.38086,56.83222,363.48532,196.60501,44.25796,291.85269,168.59711,66.66936
78,0.642,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,292.16306,168.77538,66.26344
79,0.65,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
80,0.658,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
81,0.667,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
82,0.675,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
83,0.683,165.84094,268.38086,56.83222,363.62656,196.49738,44.34708,291.92303,168.97609,66.66626
84,0.692,165.84094,268.38086,56.83222,363.0657,196.0836,44.2929,291.92303,168.97609,66.66626
85,0.7,165.84094,268.38086,56.83222,362.94485,195.95003,44.38742,291.92303,168.97609,66.66626
86,0.708,165.84094,268.38086,56.83222,362.94485,195.95003,44.38742,291.92303,168.97609,66.66626
87,0.717,165.84094,268.38086,56.83222,363.0657,196.0836,44.2929,291.92303,168.97609,66.66626
88,0.725,165.84094,268.38086,56.83222,362.94485,195.95003,44.38742,291.92303,168.97609,66.66626
89,0.733,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,291.92303,168.97609,66.66626
90,0.742,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
91,0.75,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,291.92303,168.97609,66.66626
92,0.758,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.85269,168.59711,66.66936
93,0.767,165.84094,268.38086,56.83222,362.94485,195.95003,44.38742,291.85269,168.59711,66.66936
94,0.775,165.84094,268.38086,56.83222,363.0657,196.0836,44.2929,291.92303,168.97609,66.66626
95,0.783,165.84094,268.38086,56.83222,362.94485,195.95003,44.38742,291.92303,168.97609,66.66626
96,0.792,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,291.92303,168.97609,66.66626
97,0.8,165.85678,268.40741,56.64968,363.50803,196.07993,44.19453,291.92303,168.97609,66.66626
98,0.808,165.84094,268.38086,56.83222,363.38718,195.94641,44.28907,291.92303,168.97609,66.66626
99,0.817,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,292.16306,168.77538,66.26344
100,0.825,165.84094,268.38086,56.83222,363.50803,196.07993,44.19453,291.92303,168.97609,66.66626
