Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,290.52625,-260.60526,1127.92566,286.29364,-208.65755,1104.6405,337.69644,-177.35532,1098.73132,395.01443,-163.29137,1103.01184,363.57025,-248.06924,1161.44482,417.75693,-244.75386,1153.34521,469.14398,-234.42307,1140.99451
2,0.008,289.41809,-258.89865,1130.7561,285.63397,-206.91777,1107.8894,337.70508,-173.68633,1101.66321,395.711,-160.38133,1106.74487,362.73157,-246.06129,1164.49146,417.33429,-240.89159,1156.53894,467.50705,-231.39174,1144.63123
3,0.017,289.66513,-256.34076,1133.24353,285.49911,-205.69887,1109.52771,337.5127,-171.92177,1103.63867,393.74158,-157.01726,1109.80188,361.35815,-245.37671,1167.70935,418.01859,-237.61815,1159.67297,466.94302,-226.10104,1148.25574
4,0.025,289.94864,-253.70424,1135.91016,284.6564,-203.25824,1113.00122,335.7106,-169.04231,1107.7135,393.25546,-154.5974,1113.00513,361.1232,-240.25462,1170.53992,416.60992,-234.9942,1164.65344,466.70911,-222.64168,1152.78723
5,0.033,289.06433,-250.48303,1138.01123,284.28937,-200.19061,1115.15125,336.54633,-165.69269,1110.46729,393.20908,-152.31178,1115.85278,360.88715,-237.96132,1173.98279,416.00717,-232.78912,1166.8999,466.43103,-221.71297,1155.82458
6,0.042,288.04126,-248.90695,1140.74731,284.21243,-198.00862,1116.82043,336.06363,-163.81323,1112.81775,393.41095,-147.87868,1119.64832,360.23026,-235.39548,1176.20251,415.98206,-227.96838,1170.84216,465.66086,-216.14313,1159.85242
7,0.05,287.80927,-246.45087,1143.66016,283.54385,-194.88414,1119.51343,334.72089,-161.42949,1114.80249,391.70169,-145.81746,1121.91748,359.74881,-231.73546,1179.03833,415.87503,-225.22189,1174.05847,466.08502,-214.16585,1163.20667
8,0.058,288.83585,-244.1657,1144.58362,283.80426,-193.87587,1121.48572,334.52515,-158.20889,1117.1554,390.58121,-143.7157,1124.62646,359.67172,-229.6362,1181.05212,415.17535,-222.67043,1176.54004,464.34488,-209.25528,1167.18567
9,0.067,287.72955,-240.45259,1148.20764,283.65253,-191.76775,1124.44055,333.67621,-155.19327,1119.56165,390.69119,-138.85292,1128.12988,358.19901,-227.00462,1185.14551,414.38608,-218.59183,1178.60278,464.9115,-207.43344,1170.00635
10,0.075,287.15625,-238.73859,1149.64587,283.2059,-187.35194,1126.38428,333.21353,-152.11588,1121.80859,390.08044,-136.68166,1130.42224,358.05557,-223.68839,1186.77344,413.94089,-215.19269,1182.55286,463.75259,-201.21255,1173.15955
11,0.083,287.5097,-235.32286,1150.68445,283.09534,-185.5152,1128.26086,333.25436,-149.17195,1123.36633,389.05002,-131.58081,1132.5752,358.21484,-219.04694,1189.93372,412.67752,-212.14487,1185.72461,463.20358,-197.75302,1176.74109
