Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,-336.23645,75.81372,576.44196,-198.04501,-79.85696,622.73236,-200.9518,253.0934,628.84076
2,0.008,-336.23645,75.81372,576.44196,-199.18584,-79.6711,622.41156,-200.9518,253.0934,628.84076
3,0.017,-336.23645,75.81372,576.44196,-199.18584,-79.6711,622.41156,-200.9518,253.0934,628.84076
4,0.025,-336.23645,75.81372,576.44196,-199.18584,-79.6711,622.41156,-200.9518,253.0934,628.84076
5,0.033,-336.23645,75.81372,576.44196,-199.18584,-79.6711,622.41156,-201.2796,253.14224,628.97772
6,0.042,-336.23645,75.81372,576.44196,-199.18584,-79.6711,622.41156,-201.2796,253.14224,628.97772
7,0.05,-336.23645,75.81372,576.44196,-199.18584,-79.6711,622.41156,-201.54652,253.17041,628.98077
8,0.058,-336.23645,75.81372,576.44196,-199.18584,-79.6711,622.41156,-201.21872,253.12161,628.84387
9,0.067,-336.23645,75.81372,576.44196,-199.18584,-79.6711,622.41156,-201.54652,253.17041,628.98077
10,0.075,-336.23645,75.81372,576.44196,-199.22942,-79.37836,622.59949,-201.58197,252.97186,628.80298
11,0.083,-336.23645,75.81372,576.44196,-199.65697,-79.9457,622.07196,-201.54652,253.17041,628.98077
12,0.092,-336.23645,75.81372,576.44196,-199.65697,-79.9457,622.07196,-201.54652,253.17041,628.98077
13,0.1,-336.23645,75.81372,576.44196,-201.99078,-82.97378,621.34723,-201.54652,253.17041,628.98077
14,0.108,-336.23645,75.81372,576.44196,-201.99078,-82.97378,621.34723,-201.54652,253.17041,628.98077
15,0.117,-336.23645,75.81372,576.44196,-201.99078,-82.97378,621.34723,-201.58197,252.97186,628.80298
16,0.125,-336.23645,75.81372,576.44196,-201.99078,-82.97378,621.34723,-201.58197,252.97186,628.80298
17,0.133,-336.23645,75.81372,576.44196,-201.99078,-82.97378,621.34723,-201.58197,252.97186,628.80298
18,0.142,-336.23645,75.81372,576.44196,-199.66716,-79.85493,620.0827,-201.58197,252.97186,628.80298
19,0.15,-336.23645,75.81372,576.44196,-199.66716,-79.85493,620.0827,-201.54652,253.17041,628.98077
20,0.158,-336.23645,75.81372,576.44196,-199.66716,-79.85493,620.0827,-201.58197,252.97186,628.80298
21,0.167,-336.23645,75.81372,576.44196,-199.66716,-79.85493,620.0827,-201.74472,253.53329,628.86224
22,0.175,-336.23645,75.81372,576.44196,-199.66716,-79.85493,620.0827,-201.71013,253.29045,628.70715
23,0.183,-336.26563,75.47584,576.42188,-199.66716,-79.85493,620.0827,-202.02025,253.54935,628.88983
24,0.192,-336.23645,75.81372,576.44196,-199.66716,-79.85493,620.0827,-202.02025,253.54935,628.88983
25,0.2,-336.23645,75.81372,576.44196,-199.66716,-79.85493,620.0827,-202.02025,253.54935,628.88983
26,0.208,-336.23645,75.81372,576.44196,-199.66716,-79.85493,620.0827,-202.43121,253.34071,628.73975
27,0.217,-336.20047,75.74675,576.21545,-199.66716,-79.85493,620.0827,-202.43121,253.34071,628.73975
28,0.225,-336.23645,75.81372,576.44196,-199.66716,-79.85493,620.0827,-202.43121,253.34071,628.73975
29,0.233,-336.23013,75.43584,576.21185,-199.68025,-80.55907,619.87042,-202.43121,253.34071,628.73975
30,0.242,-336.13376,75.06924,576.12769,-199.66716,-79.85493,620.0827,-202.43121,253.34071,628.73975
31,0.25,-336.17038,75.10287,576.341,-199.66716,-79.85493,620.0827,-202.10675,253.38681,628.30164
32,0.258,-336.26563,75.47584,576.42188,-199.66716,-79.85493,620.0827,-202.51582,253.19957,628.15466
33,0.267,-336.15945,75.5695,576.52515,-199.66716,-79.85493,620.0827,-202.97081,252.8436,628.69073
34,0.275,-336.13504,75.08472,576.68097,-199.66716,-79.85493,620.0827,-202.97081,252.8436,628.69073
35,0.283,-336.13504,75.08472,576.68097,-199.66716,-79.85493,620.0827,-203.1022,252.67143,628.75385
36,0.292,-336.11682,74.95596,576.51691,-199.66716,-79.85493,620.0827,-202.97081,252.8436,628.69073
37,0.3,-336.13504,75.08472,576.68097,-199.66716,-79.85493,620.0827,-203.1022,252.67143,628.75385
38,0.308,-336.10593,75.42263,576.70105,-199.66716,-79.85493,620.0827,-202.97081,252.8436,628.69073
39,0.317,-336.10593,75.42263,576.70105,-199.66716,-79.85493,620.0827,-202.97081,252.8436,628.69073
40,0.325,-336.13504,75.08472,576.68097,-199.66716,-79.85493,620.0827,-203.1022,252.67143,628.75385
41,0.333,-336.13504,75.08472,576.68097,-198.66818,-79.69714,620.51147,-202.97081,252.8436,628.69073
42,0.342,-335.85947,74.98949,576.80243,-198.66818,-79.69714,620.51147,-202.97081,252.8436,628.69073
43,0.35,-335.85947,74.98949,576.80243,-198.66159,-79.74198,621.50623,-202.97081,252.8436,628.69073
44,0.358,-335.85947,74.98949,576.80243,-198.66818,-79.69714,620.51147,-202.97081,252.8436,628.69073
45,0.367,-335.83032,75.32742,576.82251,-198.04959,-79.81168,621.73749,-202.97081,252.8436,628.69073
46,0.375,-335.83032,75.32742,576.82251,-196.89024,-77.75137,621.66364,-202.97081,252.8436,628.69073
47,0.383,-335.62662,75.31168,576.91284,-198.07704,-80.46473,620.54102,-202.97081,252.8436,628.69073
48,0.392,-335.67578,75.12537,577.07794,-198.04501,-79.85696,622.73236,-202.56174,253.03088,628.83765
49,0.4,-335.69977,74.82236,577.04822,-198.15776,-79.58932,622.88062,-202.97081,252.8436,628.69073
50,0.408,-335.69977,74.82236,577.04822,-198.15776,-79.58932,622.88062,-202.97081,252.8436,628.69073
51,0.417,-335.69977,74.82236,577.04822,-198.04501,-79.85696,622.73236,-202.97081,252.8436,628.69073
52,0.425,-335.39832,75.19046,577.15308,-198.15776,-79.58932,622.88062,-202.56174,253.03088,628.83765
53,0.433,-335.00272,75.25881,577.00629,-198.15776,-79.58932,622.88062,-202.50537,253.41623,628.87439
54,0.442,-335.05191,75.07248,577.17139,-198.15776,-79.58932,622.88062,-201.79602,253.37144,628.85968
55,0.45,-335.05191,75.07248,577.17139,-198.48705,-80.39406,623.01501,-201.65039,253.05156,628.5351
56,0.458,-335.05191,75.07248,577.17139,-198.15776,-79.58932,622.88062,-202.09074,253.03781,629.05914
57,0.467,-335.07593,74.76945,577.14166,-198.15776,-79.58932,622.88062,-202.09074,253.03781,629.05914
58,0.475,-334.89111,75.04778,577.52563,-197.76016,-79.47908,623.08429,-202.09074,253.03781,629.05914
59,0.483,-334.83337,75.06319,577.29218,-197.76016,-79.47908,623.08429,-202.07422,253.25031,629.24774
60,0.492,-334.83337,75.06319,577.29218,-197.76016,-79.47908,623.08429,-202.07422,253.25031,629.24774
61,0.5,-334.69547,75.01361,577.48743,-197.76016,-79.47908,623.08429,-202.07422,253.25031,629.24774
62,0.508,-334.75317,74.99821,577.72089,-197.76016,-79.47908,623.08429,-201.9415,253.4312,629.17627
63,0.517,-334.75317,74.99821,577.72089,-197.76016,-79.47908,623.08429,-202.07422,253.25031,629.24774
64,0.525,-334.25909,74.8315,577.61609,-197.76016,-79.47908,623.08429,-201.95804,253.21872,628.98767
65,0.533,-334.25909,74.8315,577.61609,-197.76016,-79.47908,623.08429,-201.95804,253.21872,628.98767
66,0.542,-334.25909,74.8315,577.61609,-197.76016,-79.47908,623.08429,-201.95804,253.21872,628.98767
67,0.55,-334.25909,74.8315,577.61609,-197.76016,-79.47908,623.08429,-201.92273,253.63345,629.02521
68,0.558,-334.25909,74.8315,577.61609,-197.76016,-79.47908,623.08429,-201.9415,253.4312,629.17627
69,0.567,-334.25909,74.8315,577.61609,-197.76016,-79.47908,623.08429,-201.81972,253.81279,629.08209
70,0.575,-334.25909,74.8315,577.61609,-197.76016,-79.47908,623.08429,-201.82759,253.57338,628.87714
71,0.583,-334.25909,74.8315,577.61609,-197.76016,-79.47908,623.08429,-202.19083,253.15718,628.86816
72,0.592,-334.25909,74.8315,577.61609,-196.93869,-79.54606,623.0528,-202.41805,253.23672,628.82745
73,0.6,-334.25909,74.8315,577.61609,-199.55627,-82.5954,623.6936,-202.26259,253.81685,628.60358
74,0.608,-336.41119,74.76283,578.03064,-196.36613,-80.39857,623.06476,-202.39954,253.44019,628.71875
75,0.617,-336.41119,74.76283,578.03064,-196.11714,-79.61327,623.02124,-202.65636,253.57948,628.50763
76,0.625,-336.41119,74.76283,578.03064,-196.36613,-80.39857,623.06476,-203.13087,252.95587,628.62311
77,0.633,-336.35538,74.07146,577.64172,-196.11714,-79.61327,623.02124,-203.13087,252.95587,628.62311
78,0.642,-336.35538,74.07146,577.64172,-196.11714,-79.61327,623.02124,-203.60507,253.05501,628.65558
79,0.65,-336.35538,74.07146,577.64172,-196.11714,-79.61327,623.02124,-203.5034,252.86969,628.68762
80,0.658,-336.35538,74.07146,577.64172,-196.11714,-79.61327,623.02124,-203.18495,253.3226,628.18958
81,0.667,-336.35538,74.07146,577.64172,-196.11714,-79.61327,623.02124,-203.54649,253.79317,628.24219
82,0.675,-336.35538,74.07146,577.64172,-196.11714,-79.61327,623.02124,-203.66026,253.36006,628.43518
83,0.683,-336.3779,73.8259,577.70972,-196.15244,-80.77173,622.90491,-203.56976,253.72672,628.31836
84,0.692,-336.3779,73.8259,577.70972,-198.01857,-82.83337,623.08234,-204.1718,253.46057,628.45569
85,0.7,-336.46988,73.6102,577.85577,-195.90204,-79.91206,622.88397,-204.1718,253.46057,628.45569
86,0.708,-336.46988,73.6102,577.85577,-193.85188,-76.69621,621.22339,-204.37172,253.6761,628.16534
87,0.717,-336.46988,73.6102,577.85577,-195.90204,-79.91206,622.88397,-204.39861,253.44185,628.52563
88,0.725,-336.46988,73.6102,577.85577,-196.15244,-80.77173,622.90491,-205.21216,253.49031,627.8233
89,0.733,-336.48422,73.36906,577.84418,-195.90204,-79.91206,622.88397,-204.61226,253.02403,627.49835
90,0.742,-336.3045,73.17033,577.76849,-197.3625,-81.10924,623.18323,-204.45563,253.31944,627.36029
91,0.75,-336.3045,73.17033,577.76849,-195.28973,-79.98197,623.11548,-204.61226,253.02403,627.49835
92,0.758,-336.3045,73.17033,577.76849,-195.55162,-80.86832,623.14124,-204.61226,253.02403,627.49835
93,0.767,-336.3045,73.17033,577.76849,-193.47855,-77.18567,621.71814,-204.21649,253.492,627.14496
94,0.775,-336.3045,73.17033,577.76849,-193.87869,-77.43766,622.25085,-204.43481,253.46356,627.21228
95,0.783,-336.3045,73.17033,577.76849,-193.87869,-77.43766,622.25085,-204.43481,253.46356,627.21228
96,0.792,-336.3045,73.17033,577.76849,-193.23886,-77.11733,622.56024,-204.43481,253.46356,627.21228
97,0.8,-336.3045,73.17033,577.76849,-194.3149,-79.96722,623.64001,-204.45563,253.31944,627.36029
98,0.808,-336.3045,73.17033,577.76849,-195.00479,-80.51727,623.79877,-204.23729,253.34787,627.29297
99,0.817,-336.3045,73.17033,577.76849,-194.60461,-80.87026,623.6933,-204.43481,253.46356,627.21228
100,0.825,-336.3045,73.17033,577.76849,-192.78873,-77.23563,623.05536,-204.14766,253.56902,627.04865
101,0.833,-336.3045,73.17033,577.76849,-197.22588,-80.38367,623.54846,-204.21649,253.492,627.14496
102,0.842,-336.3045,73.17033,577.76849,-197.13568,-80.856,624.05585,-204.14766,253.56902,627.04865
103,0.85,-336.3045,73.17033,577.76849,-197.33702,-81.67356,624.16095,-204.16847,253.4249,627.19672
104,0.858,-336.3045,73.17033,577.76849,-196.94832,-81.0864,624.31079,-204.16847,253.4249,627.19672
105,0.867,-336.3045,73.17033,577.76849,-197.05525,-82.22713,625.15863,-204.14766,253.56902,627.04865
106,0.875,-336.29019,73.41145,577.78009,-197.28629,-82.58601,625.50403,-204.14766,253.56902,627.04865
107,0.883,-336.29019,73.41145,577.78009,-198.04562,-85.03358,626.3335,-204.39407,253.61879,626.88812
108,0.892,-336.29019,73.41145,577.78009,-197.07446,-82.76976,626.25903,-204.39407,253.61879,626.88812
109,0.9,-336.3045,73.17033,577.76849,-197.72034,-85.94086,626.97009,-204.45145,253.694,626.81464
110,0.908,-336.32977,72.89001,577.84052,-194.97203,-81.15535,624.15283,-204.07132,253.76846,627.04346
111,0.917,-336.55695,73.78441,578.22546,-194.32101,-81.33631,624.34326,-204.35953,253.62636,626.80438
112,0.925,-336.46988,73.6102,577.85577,-194.78363,-80.33729,624.03705,-203.76746,254.58221,626.23053
113,0.933,-336.46988,73.6102,577.85577,-194.97203,-81.15535,624.15283,-203.995,254.06415,626.66364
114,0.942,-336.3779,73.8259,577.70972,-193.31442,-79.80949,624.07019,-203.76746,254.58221,626.23053
115,0.95,-336.3779,73.8259,577.70972,-194.32101,-81.33631,624.34326,-203.76746,254.58221,626.23053
116,0.958,-336.45059,74.24129,578.09106,-194.32101,-81.33631,624.34326,-204.08342,254.00542,626.66913
117,0.967,-336.45059,74.24129,578.09106,-194.12912,-80.48231,624.22894,-203.78062,254.45033,626.37109
118,0.975,-336.3779,73.8259,577.70972,-194.78363,-80.33729,624.03705,-203.30084,254.37323,626.3197
119,0.983,-336.3779,73.8259,577.70972,-193.60042,-80.67953,624.12946,-203.30084,254.37323,626.3197
120,0.992,-336.54257,74.02559,578.23706,-194.32101,-81.33631,624.34326,-203.57329,254.06346,626.45416
121,1,-336.3779,73.8259,577.70972,-194.12912,-80.48231,624.22894,-203.2877,254.50513,626.17914
122,1.008,-336.3779,73.8259,577.70972,-194.12912,-80.48231,624.22894,-203.2877,254.50513,626.17914
123,1.017,-336.45059,74.24129,578.09106,-194.32101,-81.33631,624.34326,-203.2877,254.50513,626.17914
124,1.025,-336.45059,74.24129,578.09106,-194.32101,-81.33631,624.34326,-203.59419,253.91939,626.60223
125,1.033,-336.3779,73.8259,577.70972,-194.12912,-80.48231,624.22894,-203.30084,254.37323,626.3197
126,1.042,-336.45059,74.24129,578.09106,-194.12912,-80.48231,624.22894,-203.30084,254.37323,626.3197
127,1.05,-336.3779,73.8259,577.70972,-194.12912,-80.48231,624.22894,-203.2877,254.50513,626.17914
128,1.058,-336.3779,73.8259,577.70972,-194.32101,-81.33631,624.34326,-203.2877,254.50513,626.17914
129,1.067,-334.31964,74.26798,577.64447,-194.32101,-81.33631,624.34326,-203.2877,254.50513,626.17914
130,1.075,-334.31964,74.26798,577.64447,-194.32101,-81.33631,624.34326,-203.2877,254.50513,626.17914
131,1.083,-334.31964,74.26798,577.64447,-194.64345,-80.67439,624.6145,-203.2877,254.50513,626.17914
132,1.092,-336.39224,73.58478,577.69812,-194.64345,-80.67439,624.6145,-203.2877,254.50513,626.17914
133,1.1,-334.31964,74.26798,577.64447,-194.64345,-80.67439,624.6145,-203.57329,254.06346,626.45416
134,1.108,-334.31964,74.26798,577.64447,-193.31442,-79.80949,624.07019,-203.2877,254.50513,626.17914
135,1.117,-334.31964,74.26798,577.64447,-194.90349,-81.59406,624.80804,-203.2877,254.50513,626.17914
136,1.125,-334.31964,74.26798,577.64447,-194.90349,-81.59406,624.80804,-203.2877,254.50513,626.17914
137,1.133,-334.31964,74.26798,577.64447,-194.64345,-80.67439,624.6145,-203.2877,254.50513,626.17914
138,1.142,-334.45523,74.04918,577.79742,-195.16455,-80.35315,624.61804,-203.30333,254.45627,625.97009
139,1.15,-334.31964,74.26798,577.64447,-195.88322,-81.11797,624.66571,-203.30333,254.45627,625.97009
140,1.158,-334.45523,74.04918,577.79742,-195.59166,-80.31789,624.8512,-203.2877,254.50513,626.17914
141,1.167,-334.31964,74.26798,577.64447,-195.59166,-80.31789,624.8512,-203.30333,254.45627,625.97009
142,1.175,-334.45523,74.04918,577.79742,-195.59166,-80.31789,624.8512,-203.30333,254.45627,625.97009
143,1.183,-334.31964,74.26798,577.64447,-195.89304,-81.17384,625.10974,-203.30333,254.45627,625.97009
144,1.192,-334.28317,74.52843,577.58636,-195.59166,-80.31789,624.8512,-203.30333,254.45627,625.97009
145,1.2,-334.28317,74.52843,577.58636,-196.30992,-80.81403,625.11243,-203.30333,254.45627,625.97009
146,1.208,-334.28317,74.52843,577.58636,-196.30992,-80.81403,625.11243,-203.34819,254.01393,625.91052
147,1.217,-334.28317,74.52843,577.58636,-196.68875,-81.80232,625.45148,-203.30333,254.45627,625.97009
148,1.225,-334.28317,74.52843,577.58636,-196.68875,-81.80232,625.45148,-203.10535,254.43465,625.66351
149,1.233,-334.28317,74.52843,577.58636,-196.30992,-80.81403,625.11243,-202.53503,253.89604,625.48102
150,1.242,-334.28317,74.52843,577.58636,-196.27858,-80.8461,625.5058,-202.53503,253.89604,625.48102
151,1.25,-334.28317,74.52843,577.58636,-196.30992,-80.81403,625.11243,-202.75771,254.37219,625.81659
152,1.258,-334.25909,74.8315,577.61609,-196.69872,-81.85841,625.89532,-202.53503,253.89604,625.48102
153,1.267,-334.25909,74.8315,577.61609,-196.27858,-80.8461,625.5058,-201.90215,253.84187,625.12592
154,1.275,-334.25909,74.8315,577.61609,-196.69872,-81.85841,625.89532,-201.55576,253.7813,625.23157
155,1.283,-334.25909,74.8315,577.61609,-196.69872,-81.85841,625.89532,-201.55576,253.7813,625.23157
156,1.292,-334.25909,74.8315,577.61609,-196.69872,-81.85841,625.89532,-201.55576,253.7813,625.23157
157,1.3,-334.25909,74.8315,577.61609,-196.69872,-81.85841,625.89532,-201.36806,253.73653,625.42786
158,1.308,-334.25909,74.8315,577.61609,-196.69872,-81.85841,625.89532,-201.36806,253.73653,625.42786
159,1.317,-334.25909,74.8315,577.61609,-196.69872,-81.85841,625.89532,-200.88608,254.12566,625.69366
160,1.325,-334.25909,74.8315,577.61609,-196.69872,-81.85841,625.89532,-201.1597,253.72682,625.61487
161,1.333,-334.25909,74.8315,577.61609,-197.27545,-81.76285,626.15637,-200.66704,253.68771,625.59363
162,1.342,-334.25909,74.8315,577.61609,-197.27545,-81.76285,626.15637,-200.31677,253.58089,625.6701
163,1.35,-334.25909,74.8315,577.61609,-197.27545,-81.76285,626.15637,-200.43733,253.70453,625.81122
164,1.358,-334.25909,74.8315,577.61609,-197.27545,-81.76285,626.15637,-200.30125,253.62984,625.87927
165,1.367,-334.25909,74.8315,577.61609,-197.27545,-81.76285,626.15637,-200.31677,253.58089,625.6701
166,1.375,-334.25909,74.8315,577.61609,-197.27545,-81.76285,626.15637,-200.31677,253.58089,625.6701
167,1.383,-334.25909,74.8315,577.61609,-197.27545,-81.76285,626.15637,-200.07243,253.69756,625.99854
168,1.392,-334.25909,74.8315,577.61609,-197.27545,-81.76285,626.15637,-199.96524,253.8089,626.16937
169,1.4,-334.13412,74.95262,577.74799,-197.27545,-81.76285,626.15637,-199.96524,253.8089,626.16937
170,1.408,-334.25909,74.8315,577.61609,-197.27545,-81.76285,626.15637,-200.07243,253.69756,625.99854
171,1.417,-334.25909,74.8315,577.61609,-197.27545,-81.76285,626.15637,-200.07243,253.69756,625.99854
172,1.425,-334.25909,74.8315,577.61609,-197.27545,-81.76285,626.15637,-199.95958,253.80026,626.38275
173,1.433,-334.13412,74.95262,577.74799,-197.27545,-81.76285,626.15637,-199.91837,254.05228,626.52045
174,1.442,-334.13412,74.95262,577.74799,-197.27545,-81.76285,626.15637,-199.91837,254.05228,626.52045
175,1.45,-334.13412,74.95262,577.74799,-197.27545,-81.76285,626.15637,-199.91837,254.05228,626.52045
176,1.458,-334.13412,74.95262,577.74799,-197.27545,-81.76285,626.15637,-199.91837,254.05228,626.52045
177,1.467,-334.13412,74.95262,577.74799,-198.40247,-81.42202,625.49512,-199.91837,254.05228,626.52045
178,1.475,-334.13412,74.95262,577.74799,-197.37886,-81.67616,625.67603,-199.95958,253.80026,626.38275
179,1.483,-334.13412,74.95262,577.74799,-198.40247,-81.42202,625.49512,-199.91837,254.05228,626.52045
180,1.492,-334.13412,74.95262,577.74799,-197.92851,-82.37988,625.62561,-199.91837,254.05228,626.52045
181,1.5,-334.13412,74.95262,577.74799,-198.95189,-82.12584,625.4447,-199.91837,254.05228,626.52045
182,1.508,-334.25909,74.8315,577.61609,-197.92851,-82.37988,625.62561,-199.91837,254.05228,626.52045
183,1.517,-334.13412,74.95262,577.74799,-198.95189,-82.12584,625.4447,-199.95958,253.80026,626.38275
184,1.525,-334.13412,74.95262,577.74799,-195.1647,-79.46661,624.62476,-199.95958,253.80026,626.38275
185,1.533,-334.13412,74.95262,577.74799,-196.76035,-80.17607,624.73621,-199.9726,253.66821,626.52344
186,1.542,-334.25909,74.8315,577.61609,-196.76035,-80.17607,624.73621,-199.9726,253.66821,626.52344
187,1.55,-334.25909,74.8315,577.61609,-196.31203,-79.35686,624.46448,-199.9726,253.66821,626.52344
188,1.558,-334.25909,74.8315,577.61609,-196.31203,-79.35686,624.46448,-199.9726,253.66821,626.52344
189,1.567,-334.25909,74.8315,577.61609,-196.76035,-80.17607,624.73621,-199.9726,253.66821,626.52344
190,1.575,-334.75317,74.99821,577.72089,-196.76035,-80.17607,624.73621,-199.9726,253.66821,626.52344
191,1.583,-334.25909,74.8315,577.61609,-196.31203,-79.35686,624.46448,-199.9726,253.66821,626.52344
192,1.592,-334.75317,74.99821,577.72089,-196.31203,-79.35686,624.46448,-199.9726,253.66821,626.52344
193,1.6,-334.75317,74.99821,577.72089,-196.76035,-80.17607,624.73621,-199.9726,253.66821,626.52344
194,1.608,-334.75317,74.99821,577.72089,-196.31203,-79.35686,624.46448,-199.9726,253.66821,626.52344
195,1.617,-334.75317,74.99821,577.72089,-199.49664,-82.44891,624.96381,-199.9726,253.66821,626.52344
196,1.625,-334.77719,74.69516,577.69116,-199.49664,-82.44891,624.96381,-200.24794,253.21194,626.51141
197,1.633,-334.75317,74.99821,577.72089,-199.49664,-82.44891,624.96381,-199.9726,253.66821,626.52344
198,1.642,-334.75317,74.99821,577.72089,-199.49664,-82.44891,624.96381,-200.20428,253.65407,626.57074
199,1.65,-334.75317,74.99821,577.72089,-199.49664,-82.44891,624.96381,-200.48814,253.37952,626.54053
200,1.658,-334.75317,74.99821,577.72089,-199.49664,-82.44891,624.96381,-200.48814,253.37952,626.54053
201,1.667,-334.75317,74.99821,577.72089,-196.43349,-79.32227,623.68518,-200.48814,253.37952,626.54053
202,1.675,-334.77719,74.69516,577.69116,-197.22693,-80.32866,623.14459,-200.60445,253.18703,626.90833
203,1.683,-334.77719,74.69516,577.69116,-200.2903,-82.43283,623.71234,-200.64772,253.10403,627.00995
204,1.692,-334.77719,74.69516,577.69116,-200.2903,-82.43283,623.71234,-200.59846,253.10016,627.00787
205,1.7,-334.77719,74.69516,577.69116,-200.2903,-82.43283,623.71234,-200.8246,253.0374,627.211
206,1.708,-334.77719,74.69516,577.69116,-200.2903,-82.43283,623.71234,-200.87569,253.11998,627.22449
207,1.717,-334.75317,74.99821,577.72089,-200.2903,-82.43283,623.71234,-200.8317,253.01065,627.45892
208,1.725,-335.10965,75.05708,577.40485,-200.2903,-82.43283,623.71234,-200.84999,253.01414,627.255
209,1.733,-335.10965,75.05708,577.40485,-200.2903,-82.43283,623.71234,-200.84462,252.87859,627.59961
210,1.742,-335.41122,74.68898,577.29993,-200.2903,-82.43283,623.71234,-200.61572,252.94629,627.71881
211,1.75,-335.13367,74.75405,577.37512,-200.2903,-82.43283,623.71234,-200.84795,253.33556,628.14697
212,1.758,-335.07593,74.76945,577.14166,-200.2903,-82.43283,623.71234,-200.84795,253.33556,628.14697
213,1.767,-335.67578,75.12537,577.07794,-200.2903,-82.43283,623.71234,-200.84795,253.33556,628.14697
214,1.775,-335.05191,75.07248,577.17139,-200.2903,-82.43283,623.71234,-200.61572,252.94629,627.71881
215,1.783,-335.00272,75.25881,577.00629,-200.2903,-82.43283,623.71234,-200.61572,252.94629,627.71881
216,1.792,-335.32947,75.00738,577.09625,-200.2903,-82.43283,623.71234,-200.61572,252.94629,627.71881
217,1.8,-335.07593,74.76945,577.14166,-200.2903,-82.43283,623.71234,-201.02663,253.03271,628.31403
218,1.808,-335.13367,74.75405,577.37512,-200.2903,-82.43283,623.71234,-201.02663,253.03271,628.31403
219,1.817,-335.07593,74.76945,577.14166,-200.2903,-82.43283,623.71234,-200.92853,253.61517,628.35223
220,1.825,-335.07593,74.76945,577.14166,-200.2903,-82.43283,623.71234,-200.92853,253.61517,628.35223
221,1.833,-335.05191,75.07248,577.17139,-200.2903,-82.43283,623.71234,-201.10019,253.28387,628.50177
222,1.842,-335.32947,75.00738,577.09625,-200.2903,-82.43283,623.71234,-201.23148,253.11137,628.56476
223,1.85,-335.05191,75.07248,577.17139,-200.2903,-82.43283,623.71234,-201.10019,253.28387,628.50177
224,1.858,-335.69977,74.82236,577.04822,-197.76016,-79.47908,623.08429,-200.83325,253.25565,628.49866
225,1.867,-335.35345,74.70436,577.06647,-197.76016,-79.47908,623.08429,-201.12288,253.09554,628.60297
226,1.875,-335.35345,74.70436,577.06647,-197.76016,-79.47908,623.08429,-201.25414,252.92303,628.66602
227,1.883,-335.35345,74.70436,577.06647,-197.76016,-79.47908,623.08429,-201.25414,252.92303,628.66602
228,1.892,-335.35345,74.70436,577.06647,-197.76016,-79.47908,623.08429,-201.25414,252.92303,628.66602
229,1.9,-335.32947,75.00738,577.09625,-197.76016,-79.47908,623.08429,-201.58197,252.97186,628.80298
230,1.908,-335.35345,74.70436,577.06647,-198.08765,-80.25903,623.22443,-201.4346,253.27435,628.6795
231,1.917,-335.35345,74.70436,577.06647,-197.76016,-79.47908,623.08429,-201.4346,253.27435,628.6795
232,1.925,-335.35345,74.70436,577.06647,-197.76016,-79.47908,623.08429,-201.4346,253.27435,628.6795
233,1.933,-335.35345,74.70436,577.06647,-197.76016,-79.47908,623.08429,-201.58197,252.97186,628.80298
234,1.942,-335.69977,74.82236,577.04822,-197.76016,-79.47908,623.08429,-201.58197,252.97186,628.80298
235,1.95,-335.35345,74.70436,577.06647,-197.76016,-79.47908,623.08429,-201.65967,253.59038,629.08057
236,1.958,-335.38992,74.44395,577.12457,-197.76016,-79.47908,623.08429,-201.39108,253.83475,628.77271
237,1.967,-335.73621,74.56196,577.10626,-197.76016,-79.47908,623.08429,-201.58197,252.97186,628.80298
238,1.975,-335.73621,74.56196,577.10626,-197.76016,-79.47908,623.08429,-201.58197,252.97186,628.80298
239,1.983,-335.79395,74.54658,577.33978,-197.76016,-79.47908,623.08429,-201.58197,252.97186,628.80298
240,1.992,-335.75751,74.80698,577.28168,-197.76016,-79.47908,623.08429,-201.58197,252.97186,628.80298
241,2,-335.75751,74.80698,577.28168,-197.76016,-79.47908,623.08429,-201.58197,252.97186,628.80298
242,2.008,-335.73621,74.56196,577.10626,-197.76016,-79.47908,623.08429,-201.58197,252.97186,628.80298
243,2.017,-335.79395,74.54658,577.33978,-197.76016,-79.47908,623.08429,-202.26137,252.79836,628.67572
244,2.025,-335.79395,74.54658,577.33978,-197.76016,-79.47908,623.08429,-202.26137,252.79836,628.67572
245,2.033,-336.03217,74.05303,577.42841,-198.08765,-80.25903,623.22443,-202.26137,252.79836,628.67572
246,2.042,-336.01202,74.31848,577.46008,-197.76016,-79.47908,623.08429,-202.26137,252.79836,628.67572
247,2.05,-335.97565,74.57889,577.40198,-197.76016,-79.47908,623.08429,-202.56174,253.03088,628.83765
248,2.058,-335.6658,74.20047,577.47839,-197.76016,-79.47908,623.08429,-202.56174,253.03088,628.83765
249,2.067,-336.01202,74.31848,577.46008,-197.76016,-79.47908,623.08429,-202.97081,252.8436,628.69073
250,2.075,-336.01202,74.31848,577.46008,-197.76016,-79.47908,623.08429,-202.26137,252.79836,628.67572
