Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
1,0,304.70923,-45.13646,1487.69727,293.98624,164.99483,1502.89722,154.62607,-33.6725,1498.77271,153.40511,135.47867,1501.41724,104.09705,-29.63258,1419.72437
2,0.008,305.09274,-45.58596,1487.77686,293.98624,164.99483,1502.89722,154.4068,-33.60759,1498.83337,153.40511,135.47867,1501.41724,104.09705,-29.63258,1419.72437
3,0.017,304.70923,-45.13646,1487.69727,294.43765,166.40616,1503.00647,154.4068,-33.60759,1498.83337,153.40511,135.47867,1501.41724,104.16022,-28.97389,1419.80554
4,0.025,304.70923,-45.13646,1487.69727,294.72766,166.01709,1502.83203,154.33798,-33.80745,1499.00159,153.40511,135.47867,1501.41724,104.09705,-29.63258,1419.72437
5,0.033,304.54007,-44.84825,1487.56519,294.72766,166.01709,1502.83203,154.3011,-34.19823,1499.00769,153.40511,135.47867,1501.41724,104.10225,-29.97543,1419.55176
6,0.042,304.44397,-45.29616,1487.87488,294.43765,166.40616,1503.00647,154.24762,-34.26133,1499.14075,153.35619,135.06438,1501.4353,104.10225,-29.97543,1419.55176
7,0.05,304.60889,-45.38151,1487.85657,293.68594,165.75313,1503.8219,154.3011,-34.19823,1499.00769,153.40511,135.47867,1501.41724,104.09705,-29.63258,1419.72437
8,0.058,304.60889,-45.38151,1487.85657,293.98624,164.99483,1502.89722,154.3533,-33.67065,1498.96655,153.40511,135.47867,1501.41724,104.16022,-28.97389,1419.80554
9,0.067,304.70923,-45.13646,1487.69727,293.68594,165.75313,1503.8219,154.3533,-33.67065,1498.96655,153.40511,135.47867,1501.41724,104.16022,-28.97389,1419.80554
10,0.075,304.70923,-45.13646,1487.69727,294.89703,166.60498,1504.18359,154.3533,-33.67065,1498.96655,153.40511,135.47867,1501.41724,104.16022,-28.97389,1419.80554
11,0.083,304.70923,-45.13646,1487.69727,294.71756,166.38663,1503.58203,154.33798,-33.80745,1499.00159,153.40511,135.47867,1501.41724,104.16022,-28.97389,1419.80554
12,0.092,304.54007,-44.84825,1487.56519,294.96082,166.35388,1504.29944,154.24762,-34.26133,1499.14075,153.40511,135.47867,1501.41724,104.09705,-29.63258,1419.72437
13,0.1,305.09274,-45.58596,1487.77686,294.60699,166.99355,1504.35779,154.24762,-34.26133,1499.14075,153.35619,135.06438,1501.4353,104.10225,-29.97543,1419.55176
14,0.108,304.17447,-45.25298,1487.90198,294.7887,166.52908,1504.45422,154.24762,-34.26133,1499.14075,153.35619,135.06438,1501.4353,104.10225,-29.97543,1419.55176
15,0.117,304.60889,-45.38151,1487.85657,294.58789,167.53098,1504.4834,154.24762,-34.26133,1499.14075,153.40511,135.47867,1501.41724,104.09705,-29.63258,1419.72437
16,0.125,303.71301,-44.89395,1488.00598,294.71756,166.38663,1503.58203,154.25638,-33.63623,1499.2959,153.40511,135.47867,1501.41724,104.16022,-28.97389,1419.80554
17,0.133,303.71301,-44.89395,1488.00598,294.42755,166.7753,1503.75623,154.25638,-33.63623,1499.2959,153.40511,135.47867,1501.41724,104.16022,-28.97389,1419.80554
18,0.142,303.71301,-44.89395,1488.00598,294.60699,166.99355,1504.35779,154.25638,-33.63623,1499.2959,153.40511,135.47867,1501.41724,104.16022,-28.97389,1419.80554
19,0.15,303.58035,-44.72835,1488.26428,294.42755,166.7753,1503.75623,154.24762,-34.26133,1499.14075,153.40511,135.47867,1501.41724,104.09705,-29.63258,1419.72437
20,0.158,303.71301,-44.89395,1488.00598,294.94177,166.89142,1504.42517,154.24762,-34.26133,1499.14075,153.2608,135.53114,1501.48645,104.09705,-29.63258,1419.72437
21,0.167,303.71301,-44.89395,1488.00598,294.42755,166.7753,1503.75623,154.24762,-34.26133,1499.14075,153.21191,135.11687,1501.50452,104.10225,-29.97543,1419.55176
22,0.175,303.58035,-44.72835,1488.26428,294.40021,166.91476,1504.45862,154.24762,-34.26133,1499.14075,153.21191,135.11687,1501.50452,104.09705,-29.63258,1419.72437
23,0.183,303.71301,-44.89395,1488.00598,294.42755,166.7753,1503.75623,154.2845,-33.87054,1499.13464,153.40511,135.47867,1501.41724,104.09705,-29.63258,1419.72437
24,0.192,303.58035,-44.72835,1488.26428,293.68594,165.75313,1503.8219,154.25638,-33.63623,1499.2959,153.2608,135.53114,1501.48645,104.16022,-28.97389,1419.80554
25,0.2,304.05963,-44.92795,1487.67297,293.65863,165.89253,1504.52454,154.25638,-33.63623,1499.2959,153.2608,135.53114,1501.48645,104.16022,-28.97389,1419.80554
26,0.208,303.71301,-44.89395,1488.00598,294.7887,166.52908,1504.45422,154.24762,-34.26133,1499.14075,153.05861,135.47559,1501.30823,104.09705,-29.63258,1419.72437
27,0.217,303.71301,-44.89395,1488.00598,293.86554,165.97141,1504.42371,154.24762,-34.26133,1499.14075,153.15396,135.00882,1501.25696,104.10225,-29.97543,1419.55176
28,0.225,304.05963,-44.92795,1487.67297,293.86554,165.97141,1504.42371,154.24762,-34.26133,1499.14075,152.81573,134.7299,1501.32751,104.10225,-29.97543,1419.55176
29,0.233,304.05963,-44.92795,1487.67297,293.63959,166.42986,1504.65015,154.24762,-34.26133,1499.14075,153.05861,135.47559,1501.30823,104.10225,-29.97543,1419.55176
30,0.242,303.92703,-44.76233,1487.93127,293.72357,165.96748,1504.79065,154.24762,-34.26133,1499.14075,153.05861,135.47559,1501.30823,104.09705,-29.63258,1419.72437
31,0.25,303.58035,-44.72835,1488.26428,294.2207,166.69652,1503.85706,154.2845,-33.87054,1499.13464,153.05861,135.47559,1501.30823,104.09705,-29.63258,1419.72437
32,0.258,304.05963,-44.92795,1487.67297,294.42755,166.7753,1503.75623,154.2845,-33.87054,1499.13464,153.05861,135.47559,1501.30823,104.09705,-29.63258,1419.72437
33,0.267,303.92703,-44.76233,1487.93127,294.2207,166.69652,1503.85706,154.24762,-34.26133,1499.14075,153.05861,135.47559,1501.30823,104.09705,-29.63258,1419.72437
34,0.275,303.58035,-44.72835,1488.26428,294.2583,166.9108,1504.82556,154.24762,-34.26133,1499.14075,153.05861,135.47559,1501.30823,104.10225,-29.97543,1419.55176
35,0.283,303.58035,-44.72835,1488.26428,293.65863,165.89253,1504.52454,154.24762,-34.26133,1499.14075,153.05861,135.47559,1501.30823,104.10225,-29.97543,1419.55176
36,0.292,303.58035,-44.72835,1488.26428,294.20175,167.23409,1503.98267,154.24762,-34.26133,1499.14075,153.05861,135.47559,1501.30823,104.10225,-29.97543,1419.55176
37,0.3,303.58035,-44.72835,1488.26428,294.38113,167.45222,1504.58423,154.24762,-34.26133,1499.14075,153.05861,135.47559,1501.30823,104.10225,-29.97543,1419.55176
38,0.308,303.58035,-44.72835,1488.26428,294.07898,166.69263,1504.224,154.38179,-33.72474,1499.06946,152.72137,135.51588,1501.31738,104.09705,-29.63258,1419.72437
39,0.317,303.58035,-44.72835,1488.26428,294.42755,166.7753,1503.75623,154.3533,-33.67065,1498.96655,152.72137,135.51588,1501.31738,104.09705,-29.63258,1419.72437
40,0.325,303.58035,-44.72835,1488.26428,293.479,165.67427,1503.92273,154.2845,-33.87054,1499.13464,152.72137,135.51588,1501.31738,104.10225,-29.97543,1419.55176
41,0.333,303.83865,-44.63557,1488.40503,293.46008,166.2117,1504.04846,154.35143,-34.15369,1499.04321,152.72137,135.51588,1501.31738,104.10225,-29.97543,1419.55176
42,0.342,303.58035,-44.72835,1488.26428,293.63959,166.42986,1504.65015,154.14507,-34.30423,1499.24158,152.57047,135.3226,1501.43628,104.10225,-29.97543,1419.55176
43,0.35,303.58035,-44.72835,1488.26428,293.47021,165.84279,1503.29846,154.24762,-34.26133,1499.14075,152.38501,135.01895,1501.46106,104.06417,-30.19209,1419.42603
44,0.358,303.83865,-44.63557,1488.40503,293.37994,166.47852,1504.2948,154.22035,-34.14247,1499.04114,152.52736,135.18448,1501.3186,104.06417,-30.19209,1419.42603
45,0.367,303.58035,-44.72835,1488.26428,293.46008,166.2117,1504.04846,154.32292,-34.09959,1498.94019,152.52736,135.18448,1501.3186,104.06417,-30.19209,1419.42603
46,0.375,303.58035,-44.72835,1488.26428,293.37994,166.47852,1504.2948,154.00539,-33.89868,1498.77551,152.52736,135.18448,1501.3186,104.06417,-30.19209,1419.42603
47,0.383,303.58035,-44.72835,1488.26428,293.63959,166.42986,1504.65015,153.90283,-33.94156,1498.87646,152.52736,135.18448,1501.3186,104.06417,-30.19209,1419.42603
48,0.392,303.58035,-44.72835,1488.26428,293.37994,166.47852,1504.2948,154.3533,-33.67065,1498.96655,152.25824,135.03236,1501.4408,104.06417,-30.19209,1419.42603
49,0.4,303.58035,-44.72835,1488.26428,293.46008,166.2117,1504.04846,154.32292,-34.09959,1498.94019,152.38501,135.01895,1501.46106,104.06417,-30.19209,1419.42603
50,0.408,303.58035,-44.72835,1488.26428,293.37994,166.47852,1504.2948,153.90283,-33.94156,1498.87646,152.25824,135.03236,1501.4408,104.06417,-30.19209,1419.42603
51,0.417,303.58035,-44.72835,1488.26428,293.33716,165.67038,1504.28967,153.90283,-33.94156,1498.87646,152.40059,135.19789,1501.29834,104.06417,-30.19209,1419.42603
52,0.425,303.58035,-44.72835,1488.26428,293.55936,166.69661,1504.89661,153.82756,-34.10333,1499.0769,152.25824,135.03236,1501.4408,104.06417,-30.19209,1419.42603
53,0.433,303.58035,-44.72835,1488.26428,293.55936,166.69661,1504.89661,153.56123,-34.10027,1499.11206,152.25824,135.03236,1501.4408,104.06417,-30.19209,1419.42603
54,0.442,303.58035,-44.72835,1488.26428,293.55936,166.69661,1504.89661,153.82756,-34.10333,1499.0769,152.25824,135.03236,1501.4408,104.06417,-30.19209,1419.42603
