Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,854.43469,-113.29351,1456.20703,837.74951,-71.60854,1481.89551,871.55005,-33.79774,1500.63562,918.18042,-12.67692,1525.5332,932.10736,-94.83085,1458.59009,979.19049,-76.80487,1449.46619,1025.05396,-58.56479,1441.22607
2,0.008,854.51514,-113.7457,1456.73535,837.74951,-71.60854,1481.89551,871.55005,-33.79774,1500.63562,918.18042,-12.67692,1525.5332,931.63031,-94.30808,1458.29248,979.94421,-75.6888,1448.81396,1024.5188,-58.19526,1441.04797
3,0.017,854.73376,-113.24709,1455.75122,837.74951,-71.60854,1481.89551,871.55005,-33.79774,1500.63562,918.18042,-12.67692,1525.5332,931.63031,-94.30808,1458.29248,980.62982,-74.53685,1448.51038,1024.5188,-58.19526,1441.04797
4,0.025,855.35492,-113.26273,1455.22815,839.11487,-72.11344,1481.53125,872.14856,-33.56153,1500.30798,918.18042,-12.67692,1525.5332,931.73706,-94.50447,1457.76172,980.45862,-74.79427,1448.4071,1024.5188,-58.19526,1441.04797
5,0.033,855.35492,-113.26273,1455.22815,839.56244,-71.12399,1481.36414,872.14856,-33.56153,1500.30798,918.18042,-12.67692,1525.5332,932.19171,-92.64831,1458.11902,979.35242,-75.52503,1448.43384,1024.5509,-57.98709,1440.81921
6,0.042,855.35492,-113.26273,1455.22815,837.9115,-68.82111,1481.18591,872.14856,-33.56153,1500.30798,918.18042,-12.67692,1525.5332,931.65521,-94.71709,1457.51929,979.80389,-76.37724,1448.89478,1025.34143,-58.43649,1440.42981
7,0.05,856.909,-114.17274,1454.80176,838.28174,-68.65382,1481.10352,872.08398,-33.42225,1500.00427,918.18042,-12.67692,1525.5332,932.4964,-95.33374,1457.00732,979.97034,-76.23519,1448.84216,1025.34143,-58.43649,1440.42981
8,0.058,856.909,-114.17274,1454.80176,838.65198,-68.48596,1481.02148,872.35883,-33.47347,1500.15869,918.57245,-11.98303,1525.31116,932.52686,-95.47823,1456.85364,979.97034,-76.23519,1448.84216,1025.34143,-58.43649,1440.42981
9,0.067,856.40472,-116.28867,1454.71399,838.87616,-67.95296,1481.10046,872.35883,-33.47347,1500.15869,918.57245,-11.98303,1525.31116,932.52686,-95.47823,1456.85364,979.97034,-76.23519,1448.84216,1025.86462,-57.66497,1440.06567
10,0.075,856.40472,-116.28867,1454.71399,838.87616,-67.95296,1481.10046,873.0824,-32.04649,1499.62122,918.57245,-11.98303,1525.31116,933.33948,-93.58892,1457.25598,979.51471,-75.36495,1448.38257,1025.86548,-57.92694,1439.6886
