Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
1,0,198.81226,64.03807,1564.72156,257.19659,-79.39378,1512.15027,244.8913,213.53856,1526.49707
2,0.008,198.85493,64.85064,1564.40564,257.02609,-79.19691,1512.4458,245.11055,213.53484,1526.49304
3,0.017,199.23689,65.46703,1564.54407,257.02609,-79.19691,1512.4458,244.8913,213.53856,1526.49707
4,0.025,199.72388,66.26563,1564.53979,257.74048,-79.33321,1512.09204,245.21046,213.79008,1526.76794
5,0.033,199.72388,66.26563,1564.53979,257.74048,-79.33321,1512.09204,245.21046,213.79008,1526.76794
6,0.042,199.62346,65.52468,1564.42224,257.74048,-79.33321,1512.09204,245.21046,213.79008,1526.76794
7,0.05,199.44037,64.7722,1564.62012,257.74048,-79.33321,1512.09204,245.21046,213.79008,1526.76794
8,0.058,199.44037,64.7722,1564.62012,257.74048,-79.33321,1512.09204,245.21046,213.79008,1526.76794
9,0.067,199.72388,66.26563,1564.53979,257.74048,-79.33321,1512.09204,245.24335,213.85632,1526.65015
10,0.075,199.72388,66.26563,1564.53979,257.74048,-79.33321,1512.09204,245.24335,213.85632,1526.65015
11,0.083,199.72388,66.26563,1564.53979,257.56992,-79.13636,1512.38757,245.24335,213.85632,1526.65015
12,0.092,199.72388,66.26563,1564.53979,257.74048,-79.33321,1512.09204,245.27628,214.16187,1526.55859
13,0.1,199.72388,66.26563,1564.53979,257.74048,-79.33321,1512.09204,245.47804,214.18622,1526.50635
14,0.108,200.03201,66.25585,1564.49658,257.98831,-79.04153,1512.44458,245.47804,214.18622,1526.50635
15,0.117,200.03201,66.25585,1564.49658,258.15887,-79.2384,1512.14893,245.47804,214.18622,1526.50635
16,0.125,200.03201,66.25585,1564.49658,258.15887,-79.2384,1512.14893,245.47804,214.18622,1526.50635
17,0.133,200.03201,66.25585,1564.49658,258.15887,-79.2384,1512.14893,245.95279,214.60919,1526.58069
18,0.142,200.03201,66.25585,1564.49658,258.15887,-79.2384,1512.14893,245.95279,214.60919,1526.58069
19,0.15,200.15988,66.4096,1564.29736,258.15887,-79.2384,1512.14893,247.24123,214.38631,1526.38403
20,0.158,200.03201,66.25585,1564.49658,258.15887,-79.2384,1512.14893,247.24123,214.38631,1526.38403
21,0.167,200.15988,66.4096,1564.29736,258.15887,-79.2384,1512.14893,247.41829,214.02582,1525.96216
22,0.175,200.15988,66.4096,1564.29736,258.15887,-79.2384,1512.14893,247.24123,214.38631,1526.38403
23,0.183,200.3495,66.07957,1564.27209,258.15887,-79.2384,1512.14893,247.82571,214.06708,1526.39453
24,0.192,200.83626,66.87897,1564.2677,258.57733,-79.14372,1512.20605,248.43156,214.23766,1526.32959
25,0.2,201.33656,67.04355,1564.42957,258.15887,-79.2384,1512.14893,248.43156,214.23766,1526.32959
26,0.208,201.33656,67.04355,1564.42957,258.57733,-79.14372,1512.20605,248.20703,214.09856,1526.59961
