Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
1,0,263.05823,270.65103,682.5752,276.56128,263.79132,538.21552,301.28241,168.56757,516.18518
2,0.008,263.05823,270.65103,682.5752,277.10129,263.37686,538.32458,301.28241,168.56757,516.18518
3,0.017,262.90939,270.44336,682.33215,276.85077,263.43039,538.15979,301.28241,168.56757,516.18518
4,0.025,263.05823,270.65103,682.5752,276.85077,263.43039,538.15979,301.4332,168.90302,516.01099
5,0.033,263.01788,270.51123,682.17377,276.58881,263.47165,538.36011,301.4332,168.90302,516.01099
6,0.042,263.41742,270.93311,682.28101,276.85077,263.43039,538.15979,301.4332,168.90302,516.01099
7,0.05,263.01788,270.51123,682.17377,276.85077,263.43039,538.15979,300.96964,168.48384,515.49945
8,0.058,263.05823,270.65103,682.5752,276.82321,263.75006,538.0152,300.96964,168.48384,515.49945
9,0.067,263.41742,270.93311,682.28101,277.10129,263.37686,538.32458,301.4332,168.90302,516.01099
10,0.075,263.41742,270.93311,682.28101,276.84055,263.41953,538.48438,301.28241,168.56757,516.18518
11,0.083,263.36969,270.96063,682.58075,276.82321,263.75006,538.0152,301.4332,168.90302,516.01099
12,0.092,263.36969,270.96063,682.58075,276.82321,263.75006,538.0152,301.44006,168.84024,516.0882
13,0.1,263.41742,270.93311,682.28101,276.82321,263.75006,538.0152,301.30829,169.6879,516.02991
14,0.108,263.41742,270.93311,682.28101,277.11514,263.75812,538.28162,300.83145,169.32956,515.60779
15,0.117,263.42517,270.95572,682.06152,277.07367,263.69659,538.17999,301.30829,169.6879,516.02991
16,0.125,263.39166,270.96902,682.31195,276.95032,263.97769,538.17358,301.36069,169.45253,515.65515
17,0.133,263.42517,270.95572,682.06152,276.95032,263.97769,538.17358,301.36069,169.45253,515.65515
18,0.142,263.67261,270.51682,682.42755,276.70749,264.01123,538.02679,301.17773,169.29245,515.93671
19,0.15,263.34955,270.99606,682.55347,276.46005,264.02451,538.1936,300.93243,169.97192,515.79059
20,0.158,263.56763,270.83951,682.005,276.46005,264.02451,538.1936,301.33963,169.54655,515.80505
21,0.167,263.56015,270.6976,682.38135,276.46005,264.02451,538.1936,301.33963,169.54655,515.80505
22,0.175,263.35553,270.99219,682.51892,276.70749,264.01123,538.02679,301.33963,169.54655,515.80505
23,0.183,263.41901,271.0939,682.17035,276.70749,264.01123,538.02679,301.33963,169.54655,515.80505
24,0.192,263.39166,270.96902,682.31195,276.70749,264.01123,538.02679,300.93243,169.97192,515.79059
25,0.2,263.59366,270.68433,682.13086,276.70749,264.01123,538.02679,300.93243,169.97192,515.79059
26,0.208,263.42517,270.95572,682.06152,276.46005,264.02451,538.1936,301.33963,169.54655,515.80505
27,0.217,263.43213,271.08023,681.93726,276.70749,264.01123,538.02679,300.93243,169.97192,515.79059
28,0.225,263.42517,270.95572,682.06152,276.46005,264.02451,538.1936,301.33963,169.54655,515.80505
29,0.233,263.42517,270.95572,682.06152,276.46005,264.02451,538.1936,300.93243,169.97192,515.79059
30,0.242,263.39166,270.96902,682.31195,276.46005,264.02451,538.1936,300.77051,169.71783,515.92224
31,0.25,263.39166,270.96902,682.31195,276.46005,264.02451,538.1936,300.93243,169.97192,515.79059
32,0.258,263.42517,270.95572,682.06152,276.46005,264.02451,538.1936,300.93243,169.97192,515.79059
33,0.267,263.35553,270.99219,682.51892,276.26474,264.12549,538.31067,300.93243,169.97192,515.79059
34,0.275,263.42517,270.95572,682.06152,276.26474,264.12549,538.31067,300.77051,169.71783,515.92224
35,0.283,263.39166,270.96902,682.31195,276.26474,264.12549,538.31067,300.93243,169.97192,515.79059
36,0.292,263.39166,270.96902,682.31195,276.26474,264.12549,538.31067,300.93243,169.97192,515.79059
37,0.3,263.18958,271.26208,682.43579,276.26474,264.12549,538.31067,300.77051,169.71783,515.92224
38,0.308,262.88397,271.35724,682.03296,276.26474,264.12549,538.31067,300.93243,169.97192,515.79059
39,0.317,262.93628,271.37207,682.42279,276.26474,264.12549,538.31067,300.93243,169.97192,515.79059
40,0.325,262.81024,271.29813,682.59814,276.26474,264.12549,538.31067,300.77051,169.71783,515.92224
41,0.333,262.93628,271.37207,682.42279,276.26474,264.12549,538.31067,300.93243,169.97192,515.79059
42,0.342,262.93628,271.37207,682.42279,276.26474,264.12549,538.31067,300.77051,169.71783,515.92224
43,0.35,262.55292,271.37399,682.17346,276.26474,264.12549,538.31067,300.36417,170.1442,515.9082
44,0.358,262.93628,271.37207,682.42279,276.26474,264.12549,538.31067,300.52609,170.39828,515.77655
45,0.367,262.81024,271.29813,682.59814,276.26474,264.12549,538.31067,300.52609,170.39828,515.77655
46,0.375,262.94128,271.35425,682.62872,276.26474,264.12549,538.31067,300.77051,169.71783,515.92224
47,0.383,262.55292,271.37399,682.17346,276.26474,264.12549,538.31067,300.77051,169.71783,515.92224
48,0.392,263.26733,271.35532,682.28229,276.26474,264.12549,538.31067,300.77051,169.71783,515.92224
49,0.4,263.39166,270.96902,682.31195,276.26474,264.12549,538.31067,300.77051,169.71783,515.92224
50,0.408,263.39166,270.96902,682.31195,276.26474,264.12549,538.31067,300.39014,169.8632,516.17035
51,0.417,263.18958,271.26208,682.43579,276.26733,263.86401,538.44409,300.77051,169.71783,515.92224
52,0.425,262.40387,271.32501,682.34436,276.26474,264.12549,538.31067,300.36417,170.1442,515.9082
53,0.433,262.60593,271.03192,682.22046,276.26474,264.12549,538.31067,300.36417,170.1442,515.9082
54,0.442,263.0123,271.00507,682.47437,276.26474,264.12549,538.31067,300.36417,170.1442,515.9082
55,0.45,263.0123,271.00507,682.47437,276.26474,264.12549,538.31067,300.77051,169.71783,515.92224
56,0.458,262.60593,271.03192,682.22046,276.26474,264.12549,538.31067,300.77051,169.71783,515.92224
57,0.467,262.19211,270.66718,681.8858,276.26733,263.86401,538.44409,300.77051,169.71783,515.92224
58,0.475,262.66846,270.74472,682.47375,276.26733,263.86401,538.44409,300.77051,169.71783,515.92224
59,0.483,262.66846,270.74472,682.47375,276.26733,263.86401,538.44409,300.77051,169.71783,515.92224
60,0.492,262.19211,270.66718,681.8858,276.26474,264.12549,538.31067,300.39014,169.8632,516.17035
61,0.5,262.60593,271.03192,682.22046,276.26474,264.12549,538.31067,300.77051,169.71783,515.92224
62,0.508,262.60593,271.03192,682.22046,276.26474,264.12549,538.31067,299.98376,170.28963,516.15631
63,0.517,262.81024,271.29813,682.59814,276.26733,263.86401,538.44409,300.36417,170.1442,515.9082
64,0.525,262.4664,271.03787,682.5976,276.26733,263.86401,538.44409,300.77051,169.71783,515.92224
65,0.533,262.26215,270.77158,682.21985,276.26733,263.86401,538.44409,300.36417,170.1442,515.9082
66,0.542,262.59833,270.64038,682.13971,276.26733,263.86401,538.44409,300.77051,169.71783,515.92224
67,0.55,262.66846,270.74472,682.47375,276.26474,264.12549,538.31067,300.36417,170.1442,515.9082
