Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z,L.Knee.x,L.Knee.y,L.Knee.z,L.Knee.Medial.x,L.Knee.Medial.y,L.Knee.Medial.z
1,0,-76.83057,375.29596,485.29242,51.47314,359.5105,441.67404,54.20051,253.02075,437.33823
2,0.008,-77.70504,375.28403,484.97263,51.51635,359.46768,441.47961,54.20051,253.02075,437.33823
3,0.017,-77.82253,376.26959,484.68002,50.64147,359.95184,440.85666,54.20051,253.02075,437.33823
4,0.025,-77.99444,377.49741,484.96118,51.0715,360.14722,439.93439,54.15305,253.87305,436.31522
5,0.033,-78.17135,377.64987,484.85934,51.07199,360.39734,439.70892,53.93392,253.76984,436.73895
6,0.042,-76.94304,376.94254,484.54437,51.0715,360.14722,439.93439,53.93392,253.76984,436.73895
7,0.05,-77.08463,375.13623,485.08423,51.25333,360.14008,440.35352,55.3894,254.69232,437.65475
8,0.058,-77.45097,375.44391,485.18085,50.99514,359.81995,441.22485,55.50363,253.77376,438.46835
9,0.067,-76.83057,375.29596,485.29242,51.34477,359.59924,441.62158,55.50363,253.77376,438.46835
10,0.075,-76.83057,375.29596,485.29242,51.44032,359.73611,441.79623,57.24174,253.52818,439.26312
11,0.083,-76.84924,375.12143,485.43643,51.56949,359.78128,442.27408,56.71153,254.22252,439.16559
12,0.092,-76.84924,375.12143,485.43643,51.38671,359.8248,442.39264,56.60859,253.84081,440.32706
13,0.1,-76.84924,375.12143,485.43643,51.08352,359.8486,442.77319,56.52507,254.20305,440.81339
14,0.108,-76.89983,375.18604,486.2915,50.89056,359.87833,443.0307,56.52507,254.20305,440.81339
15,0.117,-76.89983,375.18604,486.2915,51.47979,360.164,443.41272,56.52507,254.20305,440.81339
16,0.125,-76.72292,375.03369,486.39352,51.47979,360.164,443.41272,56.01225,253.91277,441.32239
17,0.133,-76.79957,374.62366,486.56479,51.56193,360.03131,443.54727,56.01225,253.91277,441.32239
18,0.142,-76.79957,374.62366,486.56479,51.05543,359.56586,443.68127,56.01225,253.91277,441.32239
19,0.15,-76.97875,374.67636,487.00165,51.86283,359.7113,443.7919,55.10486,253.04581,441.57837
20,0.158,-76.97875,374.67636,487.00165,51.3762,359.10559,443.79153,55.10486,253.04581,441.57837
21,0.167,-76.97875,374.67636,487.00165,50.93115,359.19821,443.73645,55.10486,253.04581,441.57837
22,0.175,-76.97875,374.67636,487.00165,51.07692,359.21323,443.69687,55.10486,253.04581,441.57837
23,0.183,-76.79957,374.62366,486.56479,51.07692,359.21323,443.69687,55.19684,252.43881,440.92767
24,0.192,-77.36581,374.40833,486.91235,51.01105,359.13605,443.52393,55.19684,252.43881,440.92767
25,0.2,-76.79957,374.62366,486.56479,51.10216,359.47098,443.14432,55.93357,253.19518,440.45425
26,0.208,-76.89983,375.18604,486.2915,51.45606,359.37479,442.69891,56.35887,253.50171,440.168
27,0.217,-76.84924,375.12143,485.43643,51.39817,359.42627,442.30685,56.99195,253.18904,439.10388
28,0.225,-76.84924,375.12143,485.43643,51.47314,359.5105,441.67404,56.99195,253.18904,439.10388
29,0.233,-77.70504,375.28403,484.97263,51.27175,359.55188,441.43195,54.20051,253.02075,437.33823
30,0.242,-77.70504,375.28403,484.97263,50.84365,359.70364,441.09488,54.39803,253.23308,436.90561
31,0.25,-77.82253,376.26959,484.68002,51.0715,360.14722,439.93439,54.39803,253.23308,436.90561
32,0.258,-77.99945,376.42221,484.57822,51.01891,360.32196,439.78015,54.39803,253.23308,436.90561
33,0.267,-77.82253,376.26959,484.68002,50.61795,359.93182,440.66119,54.39803,253.23308,436.90561
34,0.275,-77.70504,375.28403,484.97263,50.78239,359.72061,441.3367,54.20051,253.02075,437.33823
35,0.283,-77.70504,375.28403,484.97263,50.82233,359.76654,441.62006,54.67828,254.64006,438.29187
36,0.292,-77.46967,375.26944,485.32486,51.12802,359.85599,442.25211,56.46169,253.88339,439.00635
37,0.3,-76.84924,375.12143,485.43643,51.16034,359.89069,442.44489,56.60859,253.84081,440.32706
38,0.308,-76.84924,375.12143,485.43643,50.64188,360.44257,443.00464,56.52507,254.20305,440.81339
39,0.317,-76.93056,375.4259,487.00262,50.58154,360.56741,443.39365,56.01225,253.91277,441.32239
40,0.325,-77.51551,375.11096,487.27844,51.08429,361.20413,443.66965,56.01225,253.91277,441.32239
