Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,-497.215,223.24756,671.51282,-275.41599,-22.85938,624.20605,-254.64565,392.54675,634.81238
2,0.008,-497.21326,223.04428,671.33856,-274.86908,-23.08346,623.95465,-254.64565,392.54675,634.81238
3,0.017,-497.1658,223.84178,671.52924,-275.41599,-22.85938,624.20605,-254.56001,392.6879,634.3833
4,0.025,-497.1658,223.84178,671.52924,-274.8306,-22.89877,624.20453,-254.59872,392.52621,634.53918
5,0.033,-496.75351,223.77226,671.4306,-274.8306,-22.89877,624.20453,-254.60695,392.70847,634.65656
6,0.042,-497.1658,223.84178,671.52924,-274.86908,-23.08346,623.95465,-254.64565,392.54675,634.81238
7,0.05,-497.215,223.24756,671.51282,-274.86908,-23.08346,623.95465,-254.64565,392.54675,634.81238
8,0.058,-497.21326,223.04428,671.33856,-274.86908,-23.08346,623.95465,-254.64565,392.54675,634.81238
9,0.067,-497.215,223.24756,671.51282,-274.87482,-22.96947,623.95685,-254.64565,392.54675,634.81238
10,0.075,-497.215,223.24756,671.51282,-274.87482,-22.96947,623.95685,-254.64565,392.54675,634.81238
11,0.083,-497.1658,223.84178,671.52924,-274.87482,-22.96947,623.95685,-254.64565,392.54675,634.81238
12,0.092,-497.14972,223.48531,671.763,-274.86908,-23.08346,623.95465,-254.64565,392.54675,634.81238
13,0.1,-497.1658,223.84178,671.52924,-274.87482,-22.96947,623.95685,-254.64565,392.54675,634.81238
14,0.108,-496.78021,223.49419,671.45667,-274.87482,-22.96947,623.95685,-254.60695,392.70847,634.65656
15,0.117,-497.15308,223.04614,671.5816,-274.86908,-23.08346,623.95465,-254.64565,392.54675,634.81238
16,0.125,-497.23975,222.95039,671.50464,-274.87482,-22.96947,623.95685,-254.59532,392.34872,634.76929
17,0.133,-497.215,223.24756,671.51282,-274.86908,-23.08346,623.95465,-254.60695,392.70847,634.65656
18,0.142,-497.1658,223.84178,671.52924,-274.85812,-22.7601,624.22894,-254.60695,392.70847,634.65656
19,0.15,-497.1658,223.84178,671.52924,-274.85812,-22.7601,624.22894,-254.60695,392.70847,634.65656
20,0.158,-496.75351,223.77226,671.4306,-275.39926,-22.65,624.47815,-254.60695,392.70847,634.65656
21,0.167,-497.215,223.24756,671.51282,-274.95087,-22.22844,624.0473,-254.4451,392.3829,634.87726
22,0.175,-496.80264,223.17795,671.41418,-274.96756,-22.43779,623.77521,-254.43027,392.54465,634.73047
23,0.183,-497.23938,223.14526,671.65271,-275.50879,-22.32773,624.02448,-254.43027,392.54465,634.73047
24,0.192,-497.215,223.24756,671.51282,-275.50879,-22.32773,624.02448,-254.43027,392.54465,634.73047
25,0.2,-496.78021,223.49419,671.45667,-274.31845,-21.12598,624.06238,-254.4451,392.3829,634.87726
26,0.208,-497.1658,223.84178,671.52924,-274.31845,-21.12598,624.06238,-254.38333,392.52408,634.45721
27,0.217,-496.75351,223.77226,671.4306,-273.77713,-21.23606,623.81299,-254.39816,392.36237,634.604
28,0.225,-497.1658,223.84178,671.52924,-275.49203,-22.11836,624.29657,-254.38333,392.52408,634.45721
29,0.233,-497.1925,223.56374,671.5553,-274.95087,-22.22844,624.0473,-254.4451,392.3829,634.87726
30,0.242,-497.1925,223.56374,671.5553,-273.77713,-21.23606,623.81299,-254.41861,392.18484,634.8432
31,0.25,-497.1925,223.56374,671.5553,-275.50879,-22.32773,624.02448,-254.27335,392.28052,634.22418
32,0.258,-496.78021,223.49419,671.45667,-274.33527,-21.33549,623.79022,-254.27335,392.28052,634.22418
33,0.267,-496.75351,223.77226,671.4306,-273.79395,-21.44555,623.54083,-254.38333,392.52408,634.45721
34,0.275,-497.1658,223.84178,671.52924,-274.31845,-21.12598,624.06238,-254.56001,392.6879,634.3833
35,0.283,-497.1658,223.84178,671.52924,-274.31845,-21.12598,624.06238,-254.38333,392.52408,634.45721
36,0.292,-497.1658,223.84178,671.52924,-274.31845,-21.12598,624.06238,-254.56001,392.6879,634.3833
37,0.3,-496.75351,223.77226,671.4306,-275.88562,-22.02993,624.2088,-254.56001,392.6879,634.3833
38,0.308,-497.1658,223.84178,671.52924,-275.88562,-22.02993,624.2088,-254.45044,392.42081,634.14697
39,0.317,-497.22076,223.42659,671.70331,-274.72888,-21.24698,623.70251,-254.56001,392.6879,634.3833
40,0.325,-497.1925,223.56374,671.5553,-275.88562,-22.02993,624.2088,-254.69693,392.86765,634.28033
41,0.333,-497.1658,223.84178,671.52924,-275.88562,-22.02993,624.2088,-254.58978,392.57547,634.04388
42,0.342,-497.1658,223.84178,671.52924,-275.88562,-22.02993,624.2088,-255.08012,393.24026,633.94159
43,0.35,-497.15158,224.09116,671.5932,-275.88562,-22.02993,624.2088,-255.07391,393.03104,634.14667
44,0.358,-497.1658,223.84178,671.52924,-275.88562,-22.02993,624.2088,-255.07391,393.03104,634.14667
45,0.367,-497.1658,223.84178,671.52924,-275.88562,-22.02993,624.2088,-255.07391,393.03104,634.14667
46,0.375,-497.215,223.24756,671.51282,-275.90234,-22.23926,623.93677,-255.07391,393.03104,634.14667
47,0.383,-497.215,223.24756,671.51282,-275.90234,-22.23926,623.93677,-255.07391,393.03104,634.14667
48,0.392,-497.1925,223.56374,671.5553,-275.90234,-22.23926,623.93677,-255.07391,393.03104,634.14667
49,0.4,-497.1658,223.84178,671.52924,-275.71204,-21.64118,623.66571,-255.08012,393.24026,633.94159
50,0.408,-497.15158,224.09116,671.5932,-275.71204,-21.64118,623.66571,-255.09918,393.79187,634.0304
51,0.417,-497.15158,224.09116,671.5932,-274.5383,-20.64851,623.43134,-255.09918,393.79187,634.0304
52,0.425,-497.1658,223.84178,671.52924,-274.5383,-20.64851,623.43134,-255.08012,393.24026,633.94159
53,0.433,-497.21326,223.04428,671.33856,-274.72888,-21.24698,623.70251,-254.96667,392.71667,633.90619
54,0.442,-497.21326,223.04428,671.33856,-274.72888,-21.24698,623.70251,-254.96667,392.71667,633.90619
55,0.45,-497.21326,223.04428,671.33856,-274.72888,-21.24698,623.70251,-255.07391,393.03104,634.14667
56,0.458,-497.15948,223.69255,671.35645,-275.71204,-21.64118,623.66571,-254.98222,392.89941,633.71295
57,0.467,-497.1658,223.84178,671.52924,-275.71204,-21.64118,623.66571,-255.08012,393.24026,633.94159
58,0.475,-497.15158,224.09116,671.5932,-274.5383,-20.64851,623.43134,-255.08012,393.24026,633.94159
59,0.483,-497.15948,223.69255,671.35645,-274.5383,-20.64851,623.43134,-255.08012,393.24026,633.94159
