Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
1,0,1288.42419,-42.46537,1004.3316,1105.09595,139.63881,946.82404,1078.1228,-218.57913,986.15076
2,0.008,1287.21484,-42.771,1003.82483,1102.32935,139.53009,947.33411,1077.16077,-217.81989,985.52875
3,0.017,1283.91382,-42.79226,1004.34003,1100.2561,139.76317,946.76849,1073.40759,-219.53677,985.44537
4,0.025,1282.05896,-43.10581,1003.91272,1097.72803,139.52576,946.05109,1070.24121,-220.51942,984.62134
5,0.033,1278.62024,-42.48817,1004.38806,1094.09167,138.85783,945.85303,1069.40552,-220.29962,984.61292
6,0.042,1277.23438,-43.88624,1003.6543,1092.73291,138.79079,945.7345,1067.55457,-220.0421,983.89618
7,0.05,1274.19983,-43.16939,1004.0874,1090.11023,138.68524,945.39996,1064.4574,-220.81165,984.10327
8,0.058,1272.17603,-44.02462,1003.73676,1087.0957,138.26495,945.17908,1061.68494,-222.30383,983.44684
9,0.067,1269.48157,-43.34205,1004.02728,1085.17627,137.84492,945.12207,1058.94739,-221.53661,983.24658
10,0.075,1267.89673,-43.11612,1003.6178,1082.74438,137.7529,945.22705,1057.29309,-221.18347,982.51263
11,0.083,1264.31848,-43.90123,1003.9129,1080.85583,138.2944,945.11835,1054.08508,-222.36282,981.58832
12,0.092,1262.59033,-44.45661,1003.91595,1077.45728,138.36015,945.19214,1051.93628,-223.30022,981.53638
13,0.1,1258.78821,-45.25145,1003.68188,1075.14014,137.69456,944.96912,1049.08154,-222.92053,980.65802
14,0.108,1256.27161,-44.7662,1003.25854,1070.71179,137.82703,944.90527,1046.3363,-222.11868,979.36383
15,0.117,1253.28479,-45.88548,1002.88818,1069.68677,138.09822,943.98724,1042.77979,-223.26675,979.20502
16,0.125,1251.34253,-46.67231,1002.13,1066.2146,138.00597,943.31531,1040.12866,-223.63304,978.32422
17,0.133,1246.72388,-47.71846,1002.25616,1066.8877,137.53375,942.48608,1036.76086,-222.9516,977.76221
18,0.142,1244.57764,-48.24887,1002.43256,1063.11194,136.83214,943.13074,1033.25757,-223.85246,977.10327
19,0.15,1240.64807,-48.54974,1002.00293,1061.61108,136.04759,942.24591,1029.19214,-224.38286,976.73395
20,0.158,1236.88977,-49.16832,1000.3703,1059.75293,136.23996,943.00085,1025.63647,-223.55574,976.37073
21,0.167,1232.27332,-50.04907,999.28241,1057.26746,135.4487,942.40918,1021.75073,-224.20723,975.01624
22,0.175,1230.84534,-50.98907,999.49268,1052.63135,135.00038,942.8783,1018.74249,-224.66971,974.50592
23,0.183,1227.67273,-52.22651,999.33618,1050.63708,134.76988,942.44275,1014.43713,-224.87337,973.79968
24,0.192,1222.53223,-52.84871,998.90771,1047.46643,134.96797,942.1297,1010.64215,-225.22784,973.27771
25,0.2,1218.64819,-53.66452,998.35297,1040.45862,135.54228,941.74054,1006.75714,-226.177,972.07635
26,0.208,1215.09155,-54.53918,997.44666,1038.17639,135.01894,941.797,1001.58307,-227.07722,971.12103
27,0.217,1211.02808,-55.27946,995.94214,1033.02478,133.69469,941.20282,998.11389,-226.22559,970.16327
28,0.225,1206.37732,-56.45602,995.19189,1028.07068,133.08846,941.10876,992.96539,-228.57663,969.94342
29,0.233,1202.03906,-56.41608,994.57471,1024.03613,132.62274,940.71765,989.5304,-227.97115,969.23328
30,0.242,1199.09045,-57.58884,993.8313,1018.78009,131.64125,940.89996,983.49445,-229.74438,968.4245
31,0.25,1194.45935,-58.54079,992.9408,1016.30219,131.56976,940.86902,979.72491,-229.97191,967.2923
32,0.258,1190.08044,-58.71784,992.12366,1011.53101,131.00755,941.2702,974.73022,-230.83467,966.48212
33,0.267,1185.6908,-59.85227,991.8147,1006.96259,130.84428,941.36749,970.74792,-230.50311,966.38605
34,0.275,1181.31812,-59.91021,992.0036,1003.22034,131.17955,941.08362,965.54779,-231.79582,966.24463
35,0.283,1177.52332,-60.467,991.71802,998.35291,130.09189,942.04999,961.26923,-232.62616,966.05737
36,0.292,1174.01636,-61.33344,991.64178,994.4021,129.24393,941.81647,956.51721,-233.90137,966.32916
37,0.3,1170.04578,-62.22802,991.60846,989.38336,128.47537,942.20929,952.60345,-234.65033,966.53302
38,0.308,1164.6748,-62.63014,990.89661,985.91431,127.68985,942.61102,948.83203,-235.80449,967.27661
39,0.317,1160.39087,-63.53733,990.78333,981.76263,126.7886,942.74329,944.16461,-236.43732,967.0802
40,0.325,1157.04822,-64.40963,990.71008,977.50061,124.74692,943.12427,940.57697,-237.71385,967.23511
41,0.333,1153.59229,-65.54258,990.76666,974.12921,123.88188,942.96283,936.65631,-239.22577,967.57733
42,0.342,1150.31128,-66.26366,990.6098,969.98743,122.80831,943.56104,932.5932,-240.55014,967.5249
43,0.35,1145.92017,-67.46129,990.79034,966.45239,121.64717,944.36609,928.34692,-240.99625,967.84753
44,0.358,1140.62842,-69.56615,991.29144,962.71814,120.74397,944.05963,923.4635,-242.84727,967.97632
45,0.367,1136.8645,-70.76341,991.508,958.56207,119.4591,944.16656,921.15936,-243.35764,968.57233
46,0.375,1134.27405,-72.39178,992.07861,955.16461,119.29299,944.7215,915.36353,-245.44357,968.67487
47,0.383,1129.08862,-73.31663,992.68347,951.27026,117.62128,945.29913,912.4303,-245.50835,969.86298
48,0.392,1125.26294,-74.905,993.27075,947.83185,116.87191,946.73077,907.95605,-246.90428,970.34546
49,0.4,1122.28027,-76.89272,994.58795,943.85248,115.05498,948.22455,905.14325,-246.63393,971.08026
50,0.408,1118.88806,-77.35943,995.22021,941.14813,113.93706,949.10236,901.83521,-246.95216,972.13519
51,0.417,1115.81787,-78.06739,995.97046,938.11371,112.24312,949.67566,896.98846,-248.66737,973.11615
52,0.425,1110.68176,-79.83456,996.48859,933.78638,112.10444,950.94574,893.68219,-249.12202,974.02258
53,0.433,1108.18457,-80.99892,996.90637,930.9411,111.58089,952.20245,889.71307,-250.77234,974.34772
54,0.442,1105.98621,-82.32922,997.55927,926.19598,109.98265,953.08429,886.26031,-250.92734,974.48315
55,0.45,1101.01563,-83.17079,997.80847,923.47595,110.0219,953.84857,882.92212,-251.49583,974.6156
56,0.458,1099.21143,-83.79016,998.29956,920.21051,107.52463,953.92981,879.19452,-251.79128,974.87415
57,0.467,1095.00903,-84.28741,998.59979,916.87775,106.97041,954.11682,876.65338,-252.26802,975.42554
58,0.475,1092.34094,-85.71615,999.05377,914.29645,108.40589,954.36951,873.21985,-253.56723,975.32751
59,0.483,1089.60254,-85.8308,999.43475,911.13538,106.78555,954.60114,870.41931,-253.96474,975.15143
60,0.492,1086.37659,-86.38982,999.37207,908.45142,105.69501,954.40649,866.90967,-254.32803,974.96222
61,0.5,1083.76184,-87.33331,999.92365,905.5321,105.56912,954.54352,864.43811,-256.11469,975.00372
62,0.508,1080.65857,-87.15406,1000.42932,903.07062,104.40414,954.32605,860.55804,-256.78516,974.67242
63,0.517,1077.50757,-88.59555,1000.77875,900.83966,103.82816,953.67426,859.3172,-255.67879,974.02271
64,0.525,1075.44043,-89.22867,1001.01166,897.97095,103.25507,953.82764,855.13428,-256.78302,974.4718
65,0.533,1071.99036,-89.60173,1001.44702,895.72247,102.84254,954.37061,853.10132,-256.95148,974.38037
66,0.542,1069.45337,-90.3634,1002.12067,893.76508,102.72012,954.60229,849.83783,-257.38049,974.80341
67,0.55,1065.8479,-91.24193,1002.51599,890.64856,102.55087,955.02783,845.78845,-258.22394,975.35492
68,0.558,1063.85742,-90.95963,1002.62537,888.24005,101.92475,955.1676,842.91309,-257.70166,975.41437
69,0.567,1060.63867,-91.12199,1003.18695,884.86957,101.44174,955.66486,841.3114,-256.53647,975.64111
70,0.575,1057.73853,-91.60705,1002.75989,882.93604,101.6914,956.6626,838.27386,-257.34433,975.92133
71,0.583,1055.07947,-91.97753,1003.66235,879.96417,102.11476,956.63385,834.3125,-257.16501,976.24408
72,0.592,1051.7688,-92.22784,1003.83453,876.99463,101.66339,956.99683,832.40222,-257.47403,974.99829
73,0.6,1048.92139,-92.61624,1004.1059,874.45197,100.72641,957.23151,830.20355,-257.34143,975.22949
74,0.608,1045.17139,-91.7512,1004.92615,871.44489,101.57449,957.6709,825.21088,-258.41855,974.88837
75,0.617,1044.01404,-92.56236,1004.29492,868.82104,101.86057,957.61505,822.89148,-257.91245,974.92377
76,0.625,1039.94348,-93.4553,1004.54761,865.69519,101.18696,958.27429,820.78137,-257.81641,974.96155
77,0.633,1038.52234,-91.93681,1005.1153,862.7406,100.49875,958.28278,817.73041,-258.16962,974.71924
78,0.642,1034.83984,-93.2841,1005.38812,860.94293,100.29504,957.56781,814.83716,-258.99872,974.77875
79,0.65,1031.08081,-93.02264,1006.02905,856.96527,100.12122,957.67468,811.66595,-258.42139,974.5451
80,0.658,1029.31311,-92.45244,1005.94183,853.86652,100.91162,957.42737,809.28119,-257.9472,974.83716
81,0.667,1025.43213,-92.94057,1005.96313,851.4328,101.18943,956.80219,805.94397,-258.50443,974.41589
82,0.675,1023.29456,-92.7152,1005.66943,847.15192,102.21784,958.06451,803.14514,-258.75461,974.07544
