Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,1074.41626,234.07072,800.96063,1069.32886,179.6275,782.01434,1081.51453,157.27925,747.888,1082.32813,147.42818,702.18188,1058.98035,234.25937,717.35419,1075.15161,220.43217,669.18933,1114.30396,201.63998,651.66406
2,0.008,1071.87988,233.92188,800.51093,1066.36853,180.26411,782.39386,1080.34949,156.01498,747.55951,1079.00647,146.84453,701.19836,1057.07043,233.62796,717.38049,1072.29944,220.31339,669.15778,1111.24072,200.84407,650.27722
3,0.017,1069.80737,233.74211,800.2558,1064.1488,178.14622,782.21503,1074.89722,155.54465,746.26807,1075.25916,146.36497,700.18427,1054.17346,232.53146,717.40454,1070.24756,219.41257,669.14758,1107.97852,199.90321,651.18195
4,0.025,1067.9917,233.57692,799.3241,1060.76147,178.63309,782.1485,1074.14966,155.21584,746.83618,1072.26538,145.06552,700.32153,1051.28247,231.60909,717.31195,1067.38,218.10271,668.14142,1105.44128,199.77675,650.29785
5,0.033,1063.84766,231.77898,800.11957,1059.02869,178.05739,781.61511,1073.03137,154.25414,746.98358,1073.0094,144.18965,700.65112,1048.20813,232.47232,716.6554,1064.70239,217.92043,667.69904,1102.15479,197.97853,649.90955
6,0.042,1061.45337,231.4772,799.56689,1056.17896,177.61139,781.28448,1068.30505,153.76375,746.13989,1071.5094,143.51463,700.75476,1045.11743,230.89622,715.86493,1062.47449,217.505,667.70886,1099.51172,198.02298,649.59955
7,0.05,1058.61096,231.74628,798.07935,1053.35278,175.30582,781.04456,1066.84656,153.34396,746.86304,1067.84851,141.38048,700.92615,1042.9303,229.16261,714.75928,1058.2428,215.83493,667.30432,1097.24927,197.67413,648.841
8,0.058,1054.38428,231.21671,797.85168,1051.14429,176.51535,778.76874,1066.82751,152.93385,744.96283,1065.18018,141.23717,700.80682,1040.92834,229.36255,714.23779,1056.07874,215.29193,666.38678,1094.72314,197.05606,648.34943
9,0.067,1052,231.64662,798.35669,1048.35559,175.44676,777.13062,1064.8313,153.12524,746.09778,1064.58044,141.96725,700.46368,1037.10608,230.76221,714.0069,1054.72095,214.84421,665.48065,1092.4679,195.47478,648.45569
10,0.075,1049.58179,231.84303,797.44183,1047.37634,176.1595,777.81787,1060.09583,151.96098,745.90887,1062.65942,142.3618,700.0506,1033.67554,228.57153,713.55402,1050.91187,213.31004,665.38751,1089.53857,194.99103,648.01385
