Frame#,Time,L.Forearm.x,L.Forearm.y,L.Forearm.z,L.Ulna.x,L.Ulna.y,L.Ulna.z,L.Radius.x,L.Radius.y,L.Radius.z
1,0,-68.33014,400.46457,969.66754,10.79936,355.00327,915.27203,-7.02291,283.33179,972.54144
2,0.008,-68.33014,400.46457,969.66754,10.70259,354.96878,914.96552,-7.02291,283.33179,972.54144
3,0.017,-68.33014,400.46457,969.66754,10.7424,355.04831,914,-7.10186,283.18527,972.17084
4,0.025,-67.97156,400.55325,969.46033,10.7424,355.04831,914,-7.10186,283.18527,972.17084
5,0.033,-67.97156,400.55325,969.46033,11.45761,354.94809,914.07037,-6.41387,282.98611,972.00012
6,0.042,-68.10969,400.54913,969.34985,11.52218,354.73346,913.84924,-6.56512,283.06812,971.91449
7,0.05,-68.28035,400.60934,969.20062,11.07942,354.69412,913.51764,-6.35406,283.16397,971.80157
8,0.058,-68.23374,400.47784,969.02142,10.89641,354.74283,913.4967,-6.33926,283.11127,971.85925
9,0.067,-68.23374,400.47784,969.02142,10.71753,354.5173,913.04956,-6.35406,283.16397,971.80157
10,0.075,-68.17986,400.43057,968.86877,10.71753,354.5173,913.04956,-6.35406,283.16397,971.80157
11,0.083,-68.28705,400.25925,968.47083,10.62072,354.48254,912.74298,-6.12946,283.21161,971.74164
12,0.092,-68.28705,400.25925,968.47083,10.62072,354.48254,912.74298,-6.35406,283.16397,971.80157
13,0.1,-68.81108,400.0834,967.77942,10.62072,354.48254,912.74298,-6.35406,283.16397,971.80157
14,0.108,-68.81108,400.0834,967.77942,10.62072,354.48254,912.74298,-6.35406,283.16397,971.80157
15,0.117,-68.81108,400.0834,967.77942,10.62072,354.48254,912.74298,-6.35406,283.16397,971.80157
16,0.125,-68.902,400.25833,967.8277,10.41136,354.53598,912.72162,-7.04198,283.36313,971.97229
17,0.133,-68.60461,400.46069,968.56268,10.41136,354.53598,912.72162,-6.95111,283.68274,971.73505
18,0.142,-69.33516,400.19373,967.90112,10.41136,354.53598,912.72162,-6.95111,283.68274,971.73505
19,0.15,-69.33516,400.19373,967.90112,10.11216,354.85193,912.80243,-7.04198,283.36313,971.97229
20,0.158,-69.38525,400.22986,968.0434,9.87457,354.87006,912.82288,-7.2531,283.26715,972.08514
21,0.167,-69.65391,400.35992,968.03143,9.87457,354.87006,912.82288,-7.16222,283.58682,971.8479
22,0.175,-69.65391,400.35992,968.03143,9.90706,355.11942,913.35077,-7.2531,283.26715,972.08514
23,0.183,-69.48466,400.80951,968.84229,9.72124,355.11264,913.38885,-7.37012,283.34097,972.25531
24,0.192,-69.5576,400.97763,968.79352,9.72124,355.11264,913.38885,-7.37012,283.34097,972.25531
25,0.2,-69.5576,400.97763,968.79352,9.72124,355.11264,913.38885,-7.37012,283.34097,972.25531
26,0.208,-70.04501,400.65149,968.15076,9.07486,355.93484,913.78412,-7.37012,283.34097,972.25531
27,0.217,-69.67979,400.96539,968.85413,8.91323,355.88116,913.86737,-7.37012,283.34097,972.25531
28,0.225,-69.67979,400.96539,968.85413,8.91323,355.88116,913.86737,-7.37012,283.34097,972.25531
29,0.233,-69.87118,401.02298,968.97644,8.82338,355.66464,913.80096,-7.37012,283.34097,972.25531
30,0.242,-69.93192,401.22549,968.84827,8.82338,355.66464,913.80096,-7.37012,283.34097,972.25531
31,0.25,-70.07649,401.15424,968.10529,8.45877,355.74118,913.62689,-7.37012,283.34097,972.25531
32,0.258,-69.93192,401.22549,968.84827,8.5102,356.06763,913.98914,-7.37012,283.34097,972.25531
33,0.267,-70.47672,400.87949,968.10303,8.5102,356.06763,913.98914,-7.37012,283.34097,972.25531
34,0.275,-70.57825,401.10706,968.79968,8.5102,356.06763,913.98914,-7.37012,283.34097,972.25531
35,0.283,-71.26514,400.87704,968.13763,8.5102,356.06763,913.98914,-7.27923,283.66064,972.01813
36,0.292,-71.19656,400.84399,968.05524,8.45877,355.74118,913.62689,-7.27923,283.66064,972.01813
37,0.3,-71.15577,400.61115,968.0802,8.45877,355.74118,913.62689,-7.27923,283.66064,972.01813
38,0.308,-71.26514,400.87704,968.13763,8.45877,355.74118,913.62689,-7.27923,283.66064,972.01813
39,0.317,-71.26514,400.87704,968.13763,8.45877,355.74118,913.62689,-7.27923,283.66064,972.01813
40,0.325,-71.26514,400.87704,968.13763,8.42998,355.66245,913.35126,-7.27923,283.66064,972.01813
41,0.333,-71.26514,400.87704,968.13763,8.33304,355.62766,913.04443,-7.43047,283.74261,971.93256
42,0.342,-71.22435,400.64423,968.1626,8.33304,355.62766,913.04443,-7.43047,283.74261,971.93256
43,0.35,-71.4159,400.97037,968.26093,8.33304,355.62766,913.04443,-7.43047,283.74261,971.93256
44,0.358,-71.4159,400.97037,968.26093,8.33304,355.62766,913.04443,-7.8713,283.17917,971.94421
45,0.367,-71.37514,400.73758,968.28589,8.33304,355.62766,913.04443,-7.8713,283.17917,971.94421
46,0.375,-71.30588,400.33499,968.41492,8.33304,355.62766,913.04443,-7.8713,283.17917,971.94421
47,0.383,-71.4159,400.97037,968.26093,8.33304,355.62766,913.04443,-7.8713,283.17917,971.94421
48,0.392,-71.22435,400.64423,968.1626,8.33304,355.62766,913.04443,-7.8713,283.17917,971.94421
49,0.4,-71.37514,400.73758,968.28589,8.33304,355.62766,913.04443,-7.8713,283.17917,971.94421
50,0.408,-71.4159,400.97037,968.26093,8.33304,355.62766,913.04443,-7.8713,283.17917,971.94421
51,0.417,-71.30588,400.33499,968.41492,8.33304,355.62766,913.04443,-7.8713,283.17917,971.94421
52,0.425,-71.26804,400.43527,968.49841,8.33304,355.62766,913.04443,-7.8713,283.17917,971.94421
53,0.433,-71.26804,400.43527,968.49841,8.33304,355.62766,913.04443,-7.8713,283.17917,971.94421
54,0.442,-71.29574,400.64597,968.49158,8.42998,355.66245,913.35126,-7.8713,283.17917,971.94421
55,0.45,-71.29574,400.64597,968.49158,8.45877,355.74118,913.62689,-7.8713,283.17917,971.94421
56,0.458,-71.01675,400.87238,969.27228,8.45877,355.74118,913.62689,-7.87362,283.00677,972.14001
57,0.467,-71.16413,401.52716,969.13721,8.5102,356.06763,913.98914,-7.87362,283.00677,972.14001
58,0.475,-71.06006,401.09845,969.26886,8.5102,356.06763,913.98914,-7.72236,282.92474,972.22559
59,0.483,-71.06006,401.09845,969.26886,8.5102,356.06763,913.98914,-7.72236,282.92474,972.22559
60,0.492,-71.11385,401.1456,969.42169,8.5102,356.06763,913.98914,-7.72236,282.92474,972.22559
61,0.5,-71.07054,400.91956,969.42511,8.5102,356.06763,913.98914,-7.72236,282.92474,972.22559
62,0.508,-70.87703,401.46722,969.56165,8.5102,356.06763,913.98914,-7.72236,282.92474,972.22559
63,0.517,-70.87703,401.46722,969.56165,8.5102,356.06763,913.98914,-7.37012,283.34097,972.25531
64,0.525,-70.83372,401.24121,969.56506,8.5102,356.06763,913.98914,-7.56313,283.59915,972.75116
65,0.533,-70.22383,401.28308,969.79297,8.5102,356.06763,913.98914,-7.56313,283.59915,972.75116
66,0.542,-69.96828,401.12439,969.91638,8.97178,356.02551,914.46991,-7.56313,283.59915,972.75116
67,0.55,-69.87672,400.96301,970.32819,8.97178,356.02551,914.46991,-7.72847,283.61081,973.14948
68,0.558,-69.87672,400.96301,970.32819,9.30072,355.90042,914.7951,-7.53254,283.68335,973.34985
69,0.567,-69.72852,400.87567,970.36743,9.29112,355.51508,914.98114,-7.53254,283.68335,973.34985
70,0.575,-69.75476,400.811,970.44904,9.64612,355.24777,915.26831,-7.2714,283.78473,973.67688
71,0.583,-69.54482,400.40637,970.72748,9.64612,355.24777,915.26831,-7.38338,283.5148,973.82684
72,0.592,-69.58823,400.63254,970.724,9.59941,355.14755,915.38141,-7.28122,283.61295,974.46643
73,0.6,-69.49766,400.33026,970.79346,9.59941,355.14755,915.38141,-7.13013,283.53091,974.55194
74,0.608,-69.39281,400.24521,970.84711,9.59941,355.14755,915.38141,-7.13013,283.53091,974.55194
75,0.617,-69.39281,400.24521,970.84711,9.59941,355.14755,915.38141,-7.13013,283.53091,974.55194
76,0.625,-69.39281,400.24521,970.84711,9.59941,355.14755,915.38141,-6.86913,283.63229,974.87891
77,0.633,-69.35276,400.29517,970.77637,9.82011,355.05334,915.44348,-6.86913,283.63229,974.87891
78,0.642,-69.35276,400.29517,970.77637,9.82011,355.05334,915.44348,-6.86913,283.63229,974.87891
79,0.65,-69.35276,400.29517,970.77637,10.20995,354.69308,915.56793,-6.82366,283.53156,974.98859
80,0.658,-69.35276,400.29517,970.77637,10.26834,354.89853,915.47034,-6.91256,283.40704,975.12909
81,0.667,-69.24426,400.31369,970.71405,10.26834,354.89853,915.47034,-6.82366,283.53156,974.98859
82,0.675,-69.24426,400.31369,970.71405,10.26834,354.89853,915.47034,-6.87102,283.12241,975.18091
83,0.683,-69.07852,400.51093,970.15289,10.26834,354.89853,915.47034,-6.96642,283.0097,974.45575
84,0.692,-68.74527,400.33441,970.14258,10.20995,354.69308,915.56793,-6.87102,283.12241,975.18091
85,0.7,-68.74527,400.33441,970.14258,10.26834,354.89853,915.47034,-6.87102,283.12241,975.18091
86,0.708,-68.69146,400.28723,969.98987,10.48344,354.65228,915.56512,-6.70537,283.11115,974.78278
87,0.717,-68.61427,400.30667,969.83386,10.54182,354.85773,915.46759,-6.97969,283.03604,973.67578
88,0.725,-68.49586,400.38455,969.70215,10.20995,354.69308,915.56793,-7.5568,282.76508,973.87622
89,0.733,-68.78086,400.38409,969.64423,10.20995,354.69308,915.56793,-6.97969,283.03604,973.67578
90,0.742,-68.78086,400.38409,969.64423,10.844,355.10648,915.80029,-6.97969,283.03604,973.67578
91,0.75,-68.96606,400.72925,969.52875,10.844,355.10648,915.80029,-7.3914,282.75357,973.47803
92,0.758,-69.25771,400.60156,969.47864,10.35473,354.26706,915.61951,-7.1848,282.56683,973.14673
93,0.767,-69.25771,400.60156,969.47864,10.04856,354.84839,915.76563,-7.13924,282.46613,973.25647
94,0.775,-69.25771,400.60156,969.47864,10.26834,354.89853,915.47034,-7.1848,282.56683,973.14673
95,0.783,-69.11407,400.56061,969.65448,10.26834,354.89853,915.47034,-7.1848,282.56683,973.14673
96,0.792,-69.25771,400.60156,969.47864,10.26834,354.89853,915.47034,-7.43297,283.03821,973.42627
97,0.8,-69.25771,400.60156,969.47864,10.26834,354.89853,915.47034,-7.43297,283.03821,973.42627
98,0.808,-69.19125,400.54114,969.81055,10.26834,354.89853,915.47034,-7.06681,283.4213,973.51422
99,0.817,-69.31484,400.62085,969.77008,10.09432,355.09305,915.29517,-7.06681,283.4213,973.51422
100,0.825,-69.31484,400.62085,969.77008,10.09432,355.09305,915.29517,-7.23222,283.4328,973.91241
101,0.833,-69.31484,400.62085,969.77008,9.64612,355.24777,915.26831,-7.06681,283.4213,973.51422
102,0.842,-69.45659,400.74323,970.01489,9.64612,355.24777,915.26831,-7.06681,283.4213,973.51422
103,0.85,-69.51041,400.79037,970.1676,9.64612,355.24777,915.26831,-7.06681,283.4213,973.51422
104,0.858,-69.5789,400.73935,970.06628,9.64612,355.24777,915.26831,-7.23222,283.4328,973.91241
105,0.867,-69.63271,400.7865,970.21906,9.59941,355.14755,915.38141,-7.23222,283.4328,973.91241
106,0.875,-69.63271,400.7865,970.21906,9.64612,355.24777,915.26831,-7.23222,283.4328,973.91241
107,0.883,-69.63271,400.7865,970.21906,9.64612,355.24777,915.26831,-7.23222,283.4328,973.91241
108,0.892,-69.63271,400.7865,970.21906,9.59941,355.14755,915.38141,-6.97105,283.53445,974.2395
109,0.9,-69.68514,400.64951,970.37091,9.59941,355.14755,915.38141,-6.86913,283.63229,974.87891
110,0.908,-69.63271,400.7865,970.21906,9.59941,355.14755,915.38141,-6.86913,283.63229,974.87891
111,0.917,-69.63271,400.7865,970.21906,9.59941,355.14755,915.38141,-7.13013,283.53091,974.55194
112,0.925,-69.63271,400.7865,970.21906,9.59941,355.14755,915.38141,-6.86913,283.63229,974.87891
113,0.933,-69.68514,400.64951,970.37091,10.389,355.69391,915.49951,-6.86913,283.63229,974.87891
114,0.942,-69.63132,400.60239,970.21814,10.36391,355.59073,915.60211,-6.82366,283.53156,974.98859
115,0.95,-69.78846,400.48874,970.05396,10.36391,355.59073,915.60211,-7.13013,283.53091,974.55194
116,0.958,-69.73603,400.6257,969.9021,10.36391,355.59073,915.60211,-7.21543,283.42508,974.67151
117,0.967,-70.07915,400.21408,970.06671,10.33673,355.39502,915.69965,-7.21543,283.42508,974.67151
118,0.975,-70.02533,400.1669,969.91394,10.36391,355.59073,915.60211,-7.17355,283.30573,974.80212
119,0.983,-69.78846,400.48874,970.05396,10.36391,355.59073,915.60211,-7.68365,282.94391,973.94409
120,0.992,-69.78846,400.48874,970.05396,10.36391,355.59073,915.60211,-7.68365,282.94391,973.94409
121,1,-69.97289,400.30389,969.76215,10.36391,355.59073,915.60211,-7.74953,283.13174,973.73889
122,1.008,-70.25513,399.94247,969.7196,10.36391,355.59073,915.60211,-7.58415,283.12021,973.34064
123,1.017,-70.53165,399.61078,969.84052,10.36391,355.59073,915.60211,-7.58415,283.12021,973.34064
124,1.025,-69.88319,400.06104,969.7533,9.26832,354.78796,915.46606,-7.43297,283.03821,973.42627
125,1.033,-69.64633,400.38293,969.89331,10.14709,355.2771,915.698,-7.22638,282.85153,973.09497
126,1.042,-69.88319,400.06104,969.7533,9.59941,355.14755,915.38141,-7.22638,282.85153,973.09497
127,1.05,-69.84396,400.06,969.69733,9.40494,355.17108,915.56494,-7.1848,282.56683,973.14673
128,1.058,-69.83427,399.97318,969.83154,9.95079,354.95834,915.10168,-7.45958,282.39377,972.65485
129,1.067,-69.71735,399.88516,969.88379,9.59941,355.14755,915.38141,-7.75116,282.19043,972.4668
130,1.075,-69.66492,400.02216,969.73199,9.59941,355.14755,915.38141,-7.75116,282.19043,972.4668
131,1.083,-69.66492,400.02216,969.73199,9.89773,355.36786,914.65198,-7.75116,282.19043,972.4668
132,1.092,-69.53442,399.84311,970.00372,10.10269,355.29123,914.69818,-7.45958,282.39377,972.65485
133,1.1,-69.29758,400.16501,970.14368,10.10269,355.29123,914.69818,-7.45958,282.39377,972.65485
134,1.108,-69.34998,400.02802,970.29547,10.10269,355.29123,914.69818,-7.45958,282.39377,972.65485
135,1.117,-68.83284,399.92371,970.29181,10.10269,355.29123,914.69818,-7.45958,282.39377,972.65485
136,1.125,-68.72433,399.9422,970.22949,10.10269,355.29123,914.69818,-7.45958,282.39377,972.65485
137,1.133,-69.01355,399.48328,970.24127,10.17515,354.33755,914.65997,-7.57058,281.17502,972.54199
138,1.142,-68.72433,399.9422,970.22949,10.38566,354.38501,915.49048,-7.45958,282.39377,972.65485
139,1.15,-68.72433,399.9422,970.22949,10.44221,355.16702,915.13104,-7.57058,281.17502,972.54199
140,1.158,-68.83284,399.92371,970.29181,10.62824,354.22626,915.61676,-7.45958,282.39377,972.65485
141,1.167,-68.7767,399.80524,970.38129,11.03375,353.90933,915.31042,-6.85492,281.11938,972.70062
142,1.175,-68.7767,399.80524,970.38129,11.34993,354.03076,915.64087,-6.85492,281.11938,972.70062
143,1.183,-68.72433,399.9422,970.22949,13.30777,353.47369,916.69586,-6.4886,281.50305,972.78882
144,1.192,-68.64057,399.79446,970.3407,13.36309,353.52948,916.90045,-6.4886,281.50305,972.78882
145,1.2,-68.40198,399.69165,970.45355,13.62041,353.47778,916.97034,-6.37869,281.65683,973.17236
146,1.208,-68.40198,399.69165,970.45355,13.74933,353.51785,916.92493,-5.96591,281.70648,973.44342
147,1.217,-68.40198,399.69165,970.45355,13.74933,353.51785,916.92493,-6.33314,281.55603,973.28217
148,1.225,-68.20163,399.84671,970.32355,13.13797,353.41165,916.95209,-5.92037,281.60559,973.55322
149,1.233,-68.5423,399.6575,969.72021,12.88635,353.65509,916.93396,-5.70016,281.56213,973.59399
150,1.242,-68.60789,399.49802,969.79462,13.492,353.56952,916.8551,-5.70016,281.56213,973.59399
151,1.25,-68.32272,399.38742,969.82404,13.492,353.56952,916.8551,-5.46189,281.43307,973.72919
152,1.258,-68.03723,399.63132,969.716,13.18922,353.6124,916.89453,-5.77589,281.42084,973.75275
153,1.267,-67.60597,399.94608,969.37042,12.88438,353.35477,916.64069,-4.76218,281.39359,973.27338
154,1.275,-67.39602,399.83014,969.28693,13.69153,353.60544,916.70428,-4.56578,281.14041,973.04413
155,1.283,-66.90291,399.94659,970.08643,13.20975,353.5817,915.33459,-4.36742,281.02472,973.48694
156,1.292,-66.95144,399.93304,969.88763,14.39771,352.8544,916.60663,-4.36742,281.02472,973.48694
157,1.3,-66.82455,399.75723,970.15692,14.15013,352.75345,916.6015,-4.36742,281.02472,973.48694
158,1.308,-66.70934,399.70157,969.94165,13.67953,353.06284,916.59961,-4.09344,281.22577,973.25604
159,1.317,-66.23196,399.51196,970.24731,14.39771,352.8544,916.60663,-4.08704,281.10495,973.38947
