Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
1,0,47.61418,-179.21271,548.10657,226.05475,-100.91077,535.21045,249.33971,-170.49725,463.15781,257.4093,-48.52004,439.3187
2,0.008,47.80814,-179.31108,547.91699,226.26897,-100.951,535.20789,249.33971,-170.49725,463.15781,257.47855,-48.20832,439.45111
3,0.017,47.91806,-179.3521,547.96338,226.52312,-100.9161,535.47333,249.31334,-170.19919,463.27188,257.24429,-48.19566,439.50143
4,0.025,48.06206,-179.29712,547.94855,226.53923,-100.92059,535.58691,249.88968,-170.37532,463.21179,257.47855,-48.20832,439.45111
5,0.033,48.30543,-179.36807,548.34406,226.73511,-100.98531,535.70062,250.39999,-170.47087,463.91791,257.50806,-47.97226,439.62921
6,0.042,48.38459,-179.50974,548.49902,227.10028,-100.702,535.7735,250.6703,-170.60915,464.08762,257.50806,-47.97226,439.62921
7,0.05,48.69871,-179.46771,548.72479,227.2894,-100.67081,535.84912,250.81683,-170.17363,464.68985,257.37534,-47.9025,440.04886
8,0.058,48.91642,-179.46239,548.94098,227.46709,-100.71269,536.31616,250.70802,-170.25085,464.81305,257.61621,-47.77998,440.61673
9,0.067,49.38021,-179.44514,549.20013,227.91948,-99.92065,536.70953,251.26085,-170.4648,465.57022,257.82571,-47.56013,441.14716
10,0.075,49.48302,-179.31343,549.24323,227.8255,-99.98193,537.03369,251.44406,-170.78615,465.5806,257.89542,-47.45731,441.45276
11,0.083,49.47422,-179.13339,549.38843,227.75381,-100.09,537.22418,251.90991,-170.00633,465.7435,257.91336,-47.7657,441.67599
12,0.092,49.27515,-179.17867,549.81622,227.96745,-100.00027,537.49792,252.06479,-169.63899,465.80618,259.0336,-47.89687,441.99051
13,0.1,49.6612,-178.66307,549.9928,228.0842,-100.02819,537.76233,252.09373,-170.51595,466.63937,259.01941,-47.50335,441.97299
14,0.108,49.49508,-178.91756,550.09357,228.20891,-99.79205,538.28821,252.50175,-170.48848,466.99423,259.04614,-47.86998,442.26477
15,0.117,49.4267,-179.03798,550.2478,228.14474,-99.89977,538.31744,252.55573,-170.43019,466.96738,259.22522,-48.16468,442.38672
16,0.125,49.63297,-178.75172,550.26715,228.20987,-100.18391,538.45917,252.62779,-169.97852,467.0025,259.22522,-48.16468,442.38672
17,0.133,49.68978,-178.74825,550.41962,228.32552,-100.10055,538.81299,252.95316,-169.69284,466.98499,259.08966,-48.63152,442.82547
18,0.142,49.71416,-178.7796,550.64697,228.17004,-99.95377,539.20795,252.77962,-170.10062,468.18011,259.14053,-48.42073,442.96695
19,0.15,49.71416,-178.7796,550.64697,228.41441,-100.14896,539.30438,253.37727,-170.30872,468.57684,259.90881,-48.49343,443.24741
20,0.158,49.51656,-179.03421,550.49652,228.30714,-100.17691,539.62891,253.39482,-169.93752,468.21127,259.80368,-48.81948,443.7005
21,0.167,49.51656,-179.03421,550.49652,228.44385,-100.29545,539.73511,253.28149,-170.61609,468.82056,259.79443,-48.70459,443.5256
22,0.175,49.49035,-179.02518,550.39703,228.42938,-100.53254,539.70636,253.30209,-170.58571,468.81619,259.80368,-48.81948,443.7005
