Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
1,0,126.32004,-172.36574,1114.90515,229.82404,-210.46689,1103.36255,289.06458,-120.67391,1105.55957
2,0.008,126.75771,-172.13437,1114.92749,230.15741,-210.65843,1103.06445,289.27164,-120.84755,1105.66907
3,0.017,127.0006,-172.02641,1115.0022,230.17371,-210.56465,1103.34875,289.22504,-120.20569,1105.55298
4,0.025,127.32838,-172.34862,1114.7583,230.65561,-210.50665,1103.19482,289.01804,-120.03216,1105.44348
5,0.033,127.38448,-172.38354,1114.61389,230.5116,-210.22723,1103.10876,289.22504,-120.20569,1105.55298
6,0.042,127.37981,-172.13574,1114.60632,230.65561,-210.50665,1103.19482,289.22504,-120.20569,1105.55298
7,0.05,127.42452,-172.0486,1114.45081,231.0249,-210.44565,1102.93982,289.22504,-120.20569,1105.55298
8,0.058,127.49072,-171.96268,1114.48364,230.69536,-210.22383,1102.84192,289.22504,-120.20569,1105.55298
9,0.067,127.42452,-172.0486,1114.45081,230.91096,-210.14656,1102.82397,289.22504,-120.20569,1105.55298
10,0.075,127.03451,-171.50841,1114.06104,231.05933,-210.24269,1102.95654,289.22504,-120.20569,1105.55298
11,0.083,126.90835,-171.28264,1114.21887,231.24612,-210.1913,1102.94165,289.22504,-120.20569,1105.55298
12,0.092,126.90835,-171.28264,1114.21887,231.24612,-210.1913,1102.94165,289.75394,-120.22042,1105.83728
13,0.1,127.2131,-172.08725,1114.15369,231.24612,-210.1913,1102.94165,289.75394,-120.22042,1105.83728
14,0.108,127.20173,-171.96521,1114.1427,231.24612,-210.1913,1102.94165,289.22504,-120.20569,1105.55298
15,0.117,127.20173,-171.96521,1114.1427,231.1188,-210.09894,1103.03479,289.22504,-120.20569,1105.55298
16,0.125,127.33195,-171.31203,1114.58459,231.04559,-209.72816,1102.95923,289.75394,-120.22042,1105.83728
17,0.133,127.01901,-171.29613,1114.81604,231.04559,-209.72816,1102.95923,289.68323,-119.87209,1106.42163
18,0.142,127.27586,-171.27707,1114.729,231.05908,-209.92331,1103.15198,289.68323,-119.87209,1106.42163
19,0.15,127.27586,-171.27707,1114.729,231.05908,-209.92331,1103.15198,289.68323,-119.87209,1106.42163
20,0.158,127.90211,-172.08032,1114.59216,231.1188,-210.09894,1103.03479,289.68323,-119.87209,1106.42163
21,0.167,127.58537,-171.66042,1114.53259,231.1864,-210.01567,1103.05896,289.68323,-119.87209,1106.42163
22,0.175,127.53604,-171.75046,1114.50269,231.1864,-210.01567,1103.05896,289.68323,-119.87209,1106.42163
23,0.183,127.68148,-172.0296,1114.36377,230.98199,-210.02629,1103.22461,289.68323,-119.87209,1106.42163
24,0.192,127.55148,-172.24541,1114.3468,230.83281,-209.735,1103.13354,289.98907,-120.67458,1106.6167
25,0.2,127.60381,-172.37788,1114.55713,230.64191,-209.7831,1103.15112,289.72995,-120.51398,1106.53796
26,0.208,127.60381,-172.37788,1114.55713,230.83281,-209.735,1103.13354,289.72995,-120.51398,1106.53796
27,0.217,127.61428,-172.52855,1114.46167,230.63393,-209.99498,1103.21252,289.98907,-120.67458,1106.6167
28,0.225,127.35464,-172.41206,1113.44434,230.44302,-210.04306,1103.2301,289.72995,-120.51398,1106.53796
29,0.233,126.77592,-172.58252,1113.42651,230.5116,-210.22723,1103.10876,289.98907,-120.67458,1106.6167
30,0.242,126.95245,-172.4178,1112.93164,230.5116,-210.22723,1103.10876,289.98907,-120.67458,1106.6167
