Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
1,0,181.67523,92.0312,51.58434,408.1337,160.74632,51.32843,357.35461,110.59373,64.6608
2,0.008,181.70747,92.3176,51.57376,408.34354,161.04146,51.47325,357.16409,110.71348,64.51408
3,0.017,181.6924,92.3799,51.65203,408.29663,161.27881,51.32682,357.11121,110.89559,64.41201
4,0.025,181.63445,92.33517,51.75146,408.38455,161.43385,51.22148,356.93951,111.19409,64.43159
5,0.033,181.6924,92.3799,51.65203,408.38455,161.43385,51.22148,356.74551,111.24422,64.45139
6,0.042,181.87085,92.67825,51.67442,408.36169,161.97682,51.11804,356.66669,111.87508,64.91389
7,0.05,181.69724,93.06822,51.80476,407.98083,162.31216,50.99458,356.5752,112.12524,64.92627
8,0.058,181.69724,93.06822,51.80476,408.05045,162.65338,51.06929,356.52151,112.29185,64.97345
9,0.067,181.66061,93.28631,51.7092,408.03616,162.85516,50.96166,356.34644,112.82359,65.00806
10,0.075,181.61684,93.43863,51.78628,407.95056,163.09412,50.96476,356.09222,113.48682,65.04122
11,0.083,181.56883,93.59396,51.8335,407.81403,163.35574,51.0186,356.36047,114.38566,65.17392
12,0.092,181.5439,93.67963,51.706,407.70892,163.96765,50.84932,356.19955,114.54619,65.2519
13,0.1,181.48076,94.09257,51.55696,407.20764,164.43301,51.00985,355.98395,114.91407,65.3289
14,0.108,181.4693,94.46404,51.41873,407.20764,164.43301,51.00985,355.88348,115.12189,65.40321
15,0.117,181.3452,94.65788,51.3252,407.20764,164.43301,51.00985,355.8855,115.40237,65.50713
16,0.125,180.82359,95.06242,51.28576,407.20721,164.92648,50.87862,355.68549,115.52203,65.37473
17,0.133,180.64618,95.66391,51.27438,407.25046,165.32097,51.11055,355.62756,115.62729,65.3036
18,0.142,180.43745,95.71449,51.27982,406.95172,165.49438,50.96719,355.5202,115.70226,65.38762
