Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,61.3942,-75.33745,620.44482,49.29095,-34.09941,628.38147,57.91433,9.68749,633.62115,104.40711,42.7388,618.89966,133.71854,-38.60909,638.99347,139.01859,6.51118,590.22284,91.76418,-8.03398,582.97443
2,0.008,62.28822,-75.64664,620.75684,49.29095,-34.09941,628.38147,59.16988,9.87796,632.62048,104.69261,42.97919,618.53247,134.0934,-38.01503,638.90259,139.18971,6.76344,590.19739,92.09299,-7.96624,582.63379
3,0.017,62.28822,-75.64664,620.75684,49.44152,-34.13754,628.28589,59.88281,9.44386,632.86859,104.69261,42.97919,618.53247,134.51012,-37.97823,638.92999,139.42149,6.93989,590.3175,92.29524,-7.77803,582.90332
4,0.025,62.45688,-75.21124,620.4845,49.57488,-34.39504,628.36523,58.78758,10.08004,633.79218,105.00497,43.16938,618.43872,134.89082,-37.55781,638.74512,139.90822,6.81613,590.17285,92.80315,-7.61882,582.48303
5,0.033,62.54579,-74.8882,620.6283,49.62655,-34.03465,628.47913,58.78758,10.08004,633.79218,105.30421,43.1685,618.32593,134.82185,-37.46161,638.68402,140.02992,7.02652,590.15228,92.87389,-7.26917,582.45306
6,0.042,62.77956,-74.49765,620.71039,49.92771,-34.1699,628.36682,58.78758,10.08004,633.79218,105.42381,43.23801,618.24658,134.91785,-37.47036,638.51733,140.02992,7.02652,590.15228,92.81824,-7.05404,582.52081
7,0.05,62.77956,-74.49765,620.71039,50.47457,-33.02976,628.48901,58.78758,10.08004,633.79218,105.2989,43.35334,618.15924,134.91785,-37.47036,638.51733,139.83926,7.5936,589.96826,92.59084,-6.87641,582.78967
8,0.058,62.77956,-74.49765,620.71039,50.5995,-32.67496,628.37488,58.78758,10.08004,633.79218,105.2989,43.35334,618.15924,135.05005,-37.08887,638.32611,139.90155,7.72941,589.78931,92.68909,-6.70714,582.50824
9,0.067,62.77956,-74.49765,620.71039,50.89271,-32.88831,628.13483,58.78758,10.08004,633.79218,105.2989,43.35334,618.15924,135.04575,-36.81064,638.21643,139.94089,8.319,589.62762,92.7273,-6.29839,582.4375
10,0.075,63.03518,-74.62559,620.97607,50.4998,-32.15817,628.38556,59.5536,10.12255,633.87067,105.18588,43.65178,618.07721,135.02589,-36.4991,638.17645,139.94089,8.319,589.62762,92.79786,-6.26501,582.17798
